,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票５〕Ｑ５（無線ＬＡＮ利用まとめ）あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,無線ＬＡＮ利用（計）,無線ＬＡＮ非利用,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  説明を受けたり学んだりした,2430    ,45.0    ,0.5    ,0.5    ,2.3    ,0.9    ,0.2    ,20.8    ,8.3    ,13.6    ,4.0    ,0.2    ,8.8    ,16.6    ,6.0    ,1.0    ,100.0    ,-,47.6    ,1.2    ,28.0    ,17.3    ,8.8    ,18.4    ,1.0    ,48.5    ,0.7    ,47.9    
  教えてもらったり学んだりしたことはない,155    ,28.4    ,0.6    ,-,4.5    ,2.6    ,0.6    ,18.1    ,7.1    ,11.6    ,3.2    ,-,6.5    ,24.5    ,6.5    ,0.6    ,100.0    ,-,33.5    ,3.2    ,24.5    ,14.8    ,6.5    ,25.8    ,0.6    ,36.8    ,0.6    ,36.1    
  わからない,30    ,23.3    ,-,-,3.3    ,-,-,6.7    ,3.3    ,13.3    ,3.3    ,-,3.3    ,20.0    ,6.7    ,-,100.0    ,-,26.7    ,-,10.0    ,16.7    ,3.3    ,20.0    ,-,26.7    ,-,26.7    
小学生（計）,572    ,11.7    ,0.2    ,0.3    ,4.0    ,1.0    ,0.5    ,18.5    ,6.1    ,17.3    ,4.0    ,0.3    ,3.3    ,32.5    ,7.5    ,0.5    ,100.0    ,-,15.9    ,1.6    ,24.1    ,21.0    ,3.3    ,33.4    ,0.5    ,17.0    ,0.9    ,16.3    
  説明を受けたり学んだりした,482    ,13.1    ,0.2    ,0.4    ,3.5    ,1.2    ,0.4    ,18.5    ,6.0    ,17.8    ,3.9    ,0.4    ,3.5    ,30.5    ,7.3    ,0.6    ,100.0    ,-,16.8    ,1.7    ,23.9    ,21.4    ,3.5    ,31.3    ,0.6    ,17.8    ,0.8    ,17.2    
  教えてもらったり学んだりしたことはない,76    ,5.3    ,-,-,6.6    ,-,1.3    ,21.1    ,7.9    ,13.2    ,5.3    ,-,2.6    ,47.4    ,10.5    ,-,100.0    ,-,11.8    ,1.3    ,28.9    ,18.4    ,2.6    ,48.7    ,-,13.2    ,1.3    ,11.8    
  わからない,14    ,-,-,-,7.1    ,-,-,7.1    ,-,21.4    ,-,-,-,21.4    ,-,-,100.0    ,-,7.1    ,-,7.1    ,21.4    ,-,21.4    ,-,7.1    ,-,7.1    
中学生（計）,1055    ,35.5    ,0.9    ,0.4    ,3.0    ,1.0    ,0.4    ,20.3    ,8.3    ,16.5    ,6.4    ,0.2    ,12.1    ,17.2    ,6.4    ,1.4    ,100.0    ,-,39.0    ,1.4    ,27.3    ,22.5    ,12.1    ,19.4    ,1.4    ,40.2    ,0.8    ,39.4    
  説明を受けたり学んだりした,1012    ,36.0    ,0.8    ,0.4    ,3.1    ,1.0    ,0.4    ,20.6    ,8.3    ,16.6    ,6.5    ,0.2    ,11.9    ,17.4    ,6.2    ,1.4    ,100.0    ,-,39.3    ,1.4    ,27.6    ,22.6    ,11.9    ,19.7    ,1.4    ,40.5    ,0.8    ,39.7    
  教えてもらったり学んだりしたことはない,33    ,24.2    ,3.0    ,-,3.0    ,3.0    ,-,15.2    ,9.1    ,15.2    ,3.0    ,-,21.2    ,6.1    ,6.1    ,3.0    ,100.0    ,-,30.3    ,3.0    ,21.2    ,18.2    ,21.2    ,9.1    ,3.0    ,33.3    ,-,33.3    
  わからない,10    ,30.0    ,-,-,-,-,-,10.0    ,10.0    ,10.0    ,10.0    ,-,10.0    ,30.0    ,20.0    ,-,100.0    ,-,30.0    ,-,20.0    ,20.0    ,10.0    ,30.0    ,-,30.0    ,-,30.0    
高校生（計）,965    ,71.2    ,0.2    ,0.5    ,1.0    ,0.9    ,-,22.2    ,9.3    ,8.2    ,1.3    ,-,7.9    ,8.0    ,4.9    ,0.8    ,100.0    ,-,72.2    ,0.9    ,30.3    ,9.3    ,7.9    ,9.7    ,0.8    ,73.1    ,0.5    ,72.6    
  説明を受けたり学んだりした,916    ,71.3    ,0.2    ,0.5    ,1.0    ,0.7    ,-,22.6    ,9.6    ,8.3    ,1.4    ,-,8.2    ,8.4    ,5.1    ,0.9    ,100.0    ,-,72.3    ,0.7    ,30.9    ,9.5    ,8.2    ,10.3    ,0.9    ,72.8    ,0.5    ,72.4    
  教えてもらったり学んだりしたことはない,43    ,69.8    ,-,-,2.3    ,7.0    ,-,16.3    ,4.7    ,7.0    ,-,-,2.3    ,-,-,-,100.0    ,-,72.1    ,7.0    ,20.9    ,7.0    ,2.3    ,-,-,79.1    ,-,79.1    
  わからない,6    ,66.7    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,66.7    ,-,-,-,-,-,-,66.7    ,-,66.7    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ルールを決めている（計）,1651    ,39.9    ,0.5    ,0.6    ,2.5    ,1.1    ,0.2    ,21.9    ,8.8    ,15.1    ,4.8    ,0.2    ,8.8    ,18.8    ,6.7    ,0.8    ,100.0    ,-,42.7    ,1.3    ,29.6    ,19.7    ,8.8    ,20.7    ,0.8    ,43.7    ,0.8    ,43.0    
  特にルールを決めていない,937    ,51.2    ,0.5    ,0.1    ,2.3    ,0.9    ,0.3    ,18.5    ,7.2    ,10.8    ,2.6    ,-,8.4    ,14.3    ,5.0    ,1.4    ,100.0    ,-,53.7    ,1.2    ,24.7    ,12.9    ,8.4    ,15.9    ,1.4    ,54.7    ,0.4    ,54.3    
  わからない,27    ,22.2    ,-,-,7.4    ,-,-,3.7    ,3.7    ,7.4    ,-,-,3.7    ,11.1    ,-,-,100.0    ,-,29.6    ,-,7.4    ,7.4    ,3.7    ,11.1    ,-,29.6    ,-,29.6    
小学生（計）,572    ,11.7    ,0.2    ,0.3    ,4.0    ,1.0    ,0.5    ,18.5    ,6.1    ,17.3    ,4.0    ,0.3    ,3.3    ,32.5    ,7.5    ,0.5    ,100.0    ,-,15.9    ,1.6    ,24.1    ,21.0    ,3.3    ,33.4    ,0.5    ,17.0    ,0.9    ,16.3    
  ルールを決めている（計）,424    ,13.0    ,0.2    ,0.2    ,4.0    ,1.2    ,0.5    ,19.3    ,6.4    ,18.9    ,4.0    ,0.5    ,3.8    ,32.5    ,8.5    ,0.5    ,100.0    ,-,17.0    ,1.7    ,25.2    ,22.6    ,3.8    ,33.7    ,0.5    ,17.9    ,0.7    ,17.5    
  特にルールを決めていない,135    ,8.9    ,-,0.7    ,3.7    ,0.7    ,0.7    ,17.8    ,5.2    ,12.6    ,4.4    ,-,2.2    ,33.3    ,5.2    ,0.7    ,100.0    ,-,13.3    ,1.5    ,22.2    ,16.3    ,2.2    ,33.3    ,0.7    ,14.8    ,1.5    ,13.3    
  わからない,13    ,-,-,-,7.7    ,-,-,-,7.7    ,15.4    ,-,-,-,23.1    ,-,-,100.0    ,-,7.7    ,-,7.7    ,15.4    ,-,23.1    ,-,7.7    ,-,7.7    
中学生（計）,1055    ,35.5    ,0.9    ,0.4    ,3.0    ,1.0    ,0.4    ,20.3    ,8.3    ,16.5    ,6.4    ,0.2    ,12.1    ,17.2    ,6.4    ,1.4    ,100.0    ,-,39.0    ,1.4    ,27.3    ,22.5    ,12.1    ,19.4    ,1.4    ,40.2    ,0.8    ,39.4    
  ルールを決めている（計）,731    ,35.0    ,0.8    ,0.5    ,2.6    ,1.1    ,0.3    ,21.8    ,9.6    ,17.4    ,7.5    ,0.3    ,12.0    ,17.2    ,6.0    ,1.1    ,100.0    ,-,38.2    ,1.4    ,29.5    ,24.6    ,12.0    ,19.7    ,1.1    ,39.4    ,0.8    ,38.6    
  特にルールを決めていない,315    ,37.1    ,1.0    ,-,3.8    ,1.0    ,0.6    ,17.1    ,5.7    ,14.9    ,4.1    ,-,12.4    ,17.5    ,7.3    ,2.2    ,100.0    ,-,41.0    ,1.6    ,22.5    ,18.1    ,12.4    ,19.4    ,2.2    ,42.2    ,0.6    ,41.6    
  わからない,9    ,22.2    ,-,-,11.1    ,-,-,11.1    ,-,-,-,-,11.1    ,-,-,-,100.0    ,-,33.3    ,-,11.1    ,-,11.1    ,-,-,33.3    ,-,33.3    
高校生（計）,965    ,71.2    ,0.2    ,0.5    ,1.0    ,0.9    ,-,22.2    ,9.3    ,8.2    ,1.3    ,-,7.9    ,8.0    ,4.9    ,0.8    ,100.0    ,-,72.2    ,0.9    ,30.3    ,9.3    ,7.9    ,9.7    ,0.8    ,73.1    ,0.5    ,72.6    
  ルールを決めている（計）,488    ,70.1    ,0.2    ,1.0    ,1.0    ,1.0    ,-,24.6    ,10.0    ,8.8    ,1.6    ,-,8.4    ,9.2    ,6.4    ,0.6    ,100.0    ,-,71.3    ,1.0    ,33.6    ,10.0    ,8.4    ,10.9    ,0.6    ,72.1    ,1.0    ,71.3    
  特にルールを決めていない,472    ,72.2    ,0.2    ,-,1.1    ,0.8    ,-,19.9    ,8.7    ,7.6    ,1.1    ,-,7.4    ,6.8    ,3.4    ,1.1    ,100.0    ,-,73.1    ,0.8    ,27.1    ,8.7    ,7.4    ,8.7    ,1.1    ,73.9    ,-,73.9    
  わからない,5    ,80.0    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,80.0    ,-,-,-,-,-,-,80.0    ,-,80.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,43.8    ,0.5    ,0.4    ,2.5    ,1.0    ,0.3    ,20.5    ,8.2    ,13.5    ,4.0    ,0.2    ,8.6    ,17.1    ,6.0    ,1.0    ,100.0    ,-,46.5    ,1.3    ,27.6    ,17.1    ,8.6    ,18.9    ,1.0    ,47.5    ,0.7    ,46.9    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,572    ,11.7    ,0.2    ,0.3    ,4.0    ,1.0    ,0.5    ,18.5    ,6.1    ,17.3    ,4.0    ,0.3    ,3.3    ,32.5    ,7.5    ,0.5    ,100.0    ,-,15.9    ,1.6    ,24.1    ,21.0    ,3.3    ,33.4    ,0.5    ,17.0    ,0.9    ,16.3    
  インターネット利用（計）,572    ,11.7    ,0.2    ,0.3    ,4.0    ,1.0    ,0.5    ,18.5    ,6.1    ,17.3    ,4.0    ,0.3    ,3.3    ,32.5    ,7.5    ,0.5    ,100.0    ,-,15.9    ,1.6    ,24.1    ,21.0    ,3.3    ,33.4    ,0.5    ,17.0    ,0.9    ,16.3    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,1055    ,35.5    ,0.9    ,0.4    ,3.0    ,1.0    ,0.4    ,20.3    ,8.3    ,16.5    ,6.4    ,0.2    ,12.1    ,17.2    ,6.4    ,1.4    ,100.0    ,-,39.0    ,1.4    ,27.3    ,22.5    ,12.1    ,19.4    ,1.4    ,40.2    ,0.8    ,39.4    
