,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,
〔回答票９〕Ｆ３　あなたは、学校へ通っていますか。在学中（ざいがくちゅう）の人は学校の種類と学年について〔在学中（ざいがくちゅう）の方〕（１から10まで）の中からお答えください。在学中（ざいがくちゅう）でない人は、最後に卒業（中退を含む）した学校について〔在学中（ざいがくちゅう）でない方〕（11から13）の中からお答えください。（１つだけ）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,
,総数,小学４年生,小学５年生,小学６年生,中学１年生,中学２年生,中学３年生,高校１年生,高校２年生,高校３年生,専門学校、各種学校等,中学校卒業,高校中退,専門学校、各種学校等中退・卒業,小学生（計）,中学生（計）,高校生（計）,その他（計）
  わからない,27    ,11.1    ,18.5    ,18.5    ,18.5    ,11.1    ,3.7    ,11.1    ,3.7    ,3.7    ,-,-,-,-,48.1    ,33.3    ,18.5    ,-
小学生（計）,572    ,17.5    ,36.7    ,45.8    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  ルールを決めている（計）,424    ,17.9    ,37.0    ,45.0    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  特にルールを決めていない,135    ,15.6    ,35.6    ,48.9    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  わからない,13    ,23.1    ,38.5    ,38.5    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,1055    ,-,-,-,30.5    ,34.5    ,35.0    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  ルールを決めている（計）,731    ,-,-,-,31.6    ,36.7    ,31.7    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  特にルールを決めていない,315    ,-,-,-,27.3    ,29.5    ,43.2    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  わからない,9    ,-,-,-,55.6    ,33.3    ,11.1    ,-,-,-,-,-,-,-,-,100.0    ,-,-
高校生（計）,965    ,-,-,-,-,-,-,40.9    ,42.2    ,16.9    ,-,-,-,-,-,-,100.0    ,-
  ルールを決めている（計）,488    ,-,-,-,-,-,-,45.7    ,40.2    ,14.1    ,-,-,-,-,-,-,100.0    ,-
  特にルールを決めていない,472    ,-,-,-,-,-,-,35.8    ,44.5    ,19.7    ,-,-,-,-,-,-,100.0    ,-
  わからない,5    ,-,-,-,-,-,-,60.0    ,20.0    ,20.0    ,-,-,-,-,-,-,100.0    ,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,3.8    ,8.0    ,10.0    ,12.3    ,13.9    ,14.1    ,15.1    ,15.6    ,6.2    ,-,0.3    ,0.6    ,-,21.9    ,40.3    ,36.9    ,0.9    
  インターネット非利用（含わからない）,527    ,16.3    ,22.2    ,25.4    ,12.3    ,10.1    ,8.2    ,1.7    ,2.8    ,0.6    ,-,-,0.2    ,0.2    ,63.9    ,30.6    ,5.1    ,0.4    
小学生（計）,909    ,20.5    ,36.0    ,43.6    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  インターネット利用（計）,572    ,17.5    ,36.7    ,45.8    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  インターネット非利用（含わからない）,337    ,25.5    ,34.7    ,39.8    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,1216    ,-,-,-,31.8    ,34.3    ,33.9    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  インターネット利用（計）,1055    ,-,-,-,30.5    ,34.5    ,35.0    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  インターネット非利用（含わからない）,161    ,-,-,-,40.4    ,32.9    ,26.7    ,-,-,-,-,-,-,-,-,100.0    ,-,-
高校生（計）,992    ,-,-,-,-,-,-,40.7    ,42.5    ,16.7    ,-,-,-,-,-,-,100.0    ,-
  インターネット利用（計）,965    ,-,-,-,-,-,-,40.9    ,42.2    ,16.9    ,-,-,-,-,-,-,100.0    ,-
  インターネット非利用（含わからない）,27    ,-,-,-,-,-,-,33.3    ,55.6    ,11.1    ,-,-,-,-,-,-,100.0    ,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,,,,,,
  １人以上いる,1846    ,6.1    ,9.8    ,11.9    ,12.3    ,14.2    ,13.6    ,13.1    ,13.2    ,5.0    ,-,0.3    ,0.5    ,-,27.7    ,40.1    ,31.4    ,0.9    
  いない,1595    ,7.7    ,13.7    ,14.3    ,12.4    ,12.4    ,12.2    ,10.7    ,11.4    ,4.7    ,-,0.1    ,0.4    ,0.1    ,35.7    ,36.9    ,26.8    ,0.6    
小学生（計）,1080    ,21.8    ,36.9    ,41.4    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  １人以上いる,511    ,21.9    ,35.2    ,42.9    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  いない,569    ,21.6    ,38.3    ,40.1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,1329    ,-,-,-,32.0    ,34.5    ,33.5    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  １人以上いる,740    ,-,-,-,30.7    ,35.4    ,33.9    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  いない,589    ,-,-,-,33.6    ,33.4    ,32.9    ,-,-,-,-,-,-,-,-,100.0    ,-,-
高校生（計）,1007    ,-,-,-,-,-,-,41.0    ,42.3    ,16.7    ,-,-,-,-,-,-,100.0    ,-
  １人以上いる,579    ,-,-,-,-,-,-,41.8    ,42.1    ,16.1    ,-,-,-,-,-,-,100.0    ,-
  いない,428    ,-,-,-,-,-,-,40.0    ,42.5    ,17.5    ,-,-,-,-,-,-,100.0    ,-
〔地域〕,,,,,,,,,,,,,,,,,,
北海道・東北,430    ,6.7    ,10.9    ,12.8    ,11.6    ,14.0    ,11.2    ,12.3    ,13.0    ,6.3    ,-,0.5    ,0.7    ,-,30.5    ,36.7    ,31.6    ,1.2    
北関東,540    ,6.7    ,13.0    ,10.9    ,12.0    ,12.2    ,13.9    ,12.4    ,11.3    ,6.3    ,-,0.4    ,0.7    ,0.2    ,30.6    ,38.1    ,30.0    ,1.3    
南関東,485    ,7.0    ,13.8    ,12.8    ,12.8    ,13.6    ,12.0    ,13.0    ,11.5    ,2.9    ,-,-,0.6    ,-,33.6    ,38.4    ,27.4    ,0.6    
東海・北陸・信越,693    ,5.5    ,10.0    ,12.1    ,14.3    ,13.7    ,14.1    ,12.7    ,12.6    ,4.5    ,-,0.4    ,0.1    ,-,27.6    ,42.1    ,29.7    ,0.6    
近畿,554    ,7.2    ,12.5    ,15.9    ,10.6    ,12.3    ,15.0    ,10.5    ,11.2    ,4.7    ,-,-,0.2    ,-,35.6    ,37.9    ,26.4    ,0.2    
中国・四国,326    ,7.7    ,8.6    ,12.9    ,12.0    ,14.4    ,13.2    ,11.0    ,14.4    ,5.5    ,-,-,0.3    ,-,29.1    ,39.6    ,31.0    ,0.3    
九州・沖縄,413    ,8.0    ,11.6    ,13.8    ,12.3    ,13.8    ,9.7    ,11.6    ,13.8    ,4.4    ,-,-,1.0    ,-,33.4    ,35.8    ,29.8    ,1.0    
〔都市規模〕,,,,,,,,,,,,,,,,,,
大都市（政令指定都市）,850    ,6.4    ,11.4    ,13.1    ,11.9    ,13.5    ,12.2    ,13.5    ,13.9    ,3.5    ,-,0.1    ,0.5    ,-,30.8    ,37.6    ,30.9    ,0.6    
人口２０万人以上の市,894    ,7.7    ,11.9    ,14.2    ,11.5    ,12.4    ,13.0    ,11.2    ,11.7    ,6.0    ,-,0.1    ,0.2    ,-,33.8    ,36.9    ,29.0    ,0.3    
人口１０万人以上の市,592    ,6.6    ,12.2    ,12.8    ,13.0    ,13.0    ,13.5    ,12.8    ,11.7    ,3.2    ,-,-,1.2    ,-,31.6    ,39.5    ,27.7    ,1.2    
人口１０万人未満の市,796    ,7.2    ,11.2    ,11.9    ,13.3    ,14.6    ,13.4    ,9.8    ,12.1    ,5.5    ,-,0.4    ,0.5    ,0.1    ,30.3    ,41.3    ,27.4    ,1.0    
