,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,
Ｆ２　あなたは、今、何歳ですか。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,
,総数,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,平均,標準偏差
  インターネット非利用（含わからない）,527    ,24.3    ,22.4    ,21.8    ,11.8    ,9.5    ,6.1    ,1.9    ,2.3    ,11.97    ,1.8    
小学生（計）,909    ,31.8    ,37.4    ,30.8    ,-,-,-,-,-,10.99    ,0.8    
  インターネット利用（計）,572    ,28.1    ,38.8    ,33.0    ,-,-,-,-,-,11.05    ,0.8    
  インターネット非利用（含わからない）,337    ,38.0    ,35.0    ,27.0    ,-,-,-,-,-,10.89    ,0.8    
中学生（計）,1216    ,-,-,11.5    ,32.0    ,35.1    ,21.4    ,-,-,13.66    ,0.9    
  インターネット利用（計）,1055    ,-,-,11.0    ,31.0    ,35.7    ,22.3    ,-,-,13.69    ,0.9    
  インターネット非利用（含わからない）,161    ,-,-,14.9    ,38.5    ,31.1    ,15.5    ,-,-,13.47    ,0.9    
高校生（計）,992    ,-,-,-,-,-,12.7    ,43.0    ,44.3    ,16.32    ,0.7    
  インターネット利用（計）,965    ,-,-,-,-,-,12.4    ,43.3    ,44.2    ,16.32    ,0.7    
  インターネット非利用（含わからない）,27    ,-,-,-,-,-,22.2    ,33.3    ,44.4    ,16.22    ,0.8    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,
  １人以上いる,1846    ,9.4    ,9.9    ,12.7    ,12.8    ,14.5    ,12.6    ,14.3    ,13.8    ,13.77    ,2.2    
  いない,1595    ,12.2    ,13.4    ,14.8    ,11.7    ,12.7    ,11.2    ,11.4    ,12.6    ,13.41    ,2.3    
小学生（計）,1080    ,34.1    ,36.8    ,29.2    ,-,-,-,-,-,10.95    ,0.8    
  １人以上いる,511    ,33.9    ,35.8    ,30.3    ,-,-,-,-,-,10.96    ,0.8    
  いない,569    ,34.3    ,37.6    ,28.1    ,-,-,-,-,-,10.94    ,0.8    
中学生（計）,1329    ,-,-,11.7    ,31.8    ,35.4    ,21.1    ,-,-,13.66    ,0.9    
  １人以上いる,740    ,-,-,10.7    ,32.0    ,36.1    ,21.2    ,-,-,13.68    ,0.9    
  いない,589    ,-,-,12.9    ,31.6    ,34.5    ,21.1    ,-,-,13.64    ,1.0    
高校生（計）,1007    ,-,-,-,-,-,12.8    ,43.2    ,44.0    ,16.31    ,0.7    
  １人以上いる,579    ,-,-,-,-,-,13.0    ,44.4    ,42.7    ,16.30    ,0.7    
  いない,428    ,-,-,-,-,-,12.6    ,41.6    ,45.8    ,16.33    ,0.7    
〔地域〕,,,,,,,,,,,
北海道・東北,430    ,11.6    ,10.9    ,12.8    ,10.9    ,13.5    ,11.2    ,13.0    ,16.0    ,13.70    ,2.3    
北関東,540    ,10.4    ,11.5    ,13.0    ,10.9    ,14.8    ,12.6    ,13.0    ,13.9    ,13.67    ,2.3    
南関東,485    ,12.6    ,11.8    ,14.2    ,11.8    ,13.6    ,12.6    ,12.2    ,11.3    ,13.45    ,2.3    
東海・北陸・信越,693    ,8.2    ,11.5    ,12.4    ,14.4    ,14.0    ,13.7    ,13.4    ,12.3    ,13.71    ,2.2    
近畿,554    ,12.1    ,12.5    ,15.5    ,10.3    ,12.8    ,13.2    ,12.3    ,11.4    ,13.45    ,2.3    
中国・四国,326    ,9.8    ,8.3    ,15.0    ,13.2    ,14.4    ,11.3    ,11.7    ,16.3    ,13.76    ,2.2    
九州・沖縄,413    ,10.9    ,13.3    ,13.3    ,14.5    ,12.3    ,7.0    ,15.0    ,13.6    ,13.53    ,2.3    
〔都市規模〕,,,,,,,,,,,
大都市（政令指定都市）,850    ,10.9    ,9.5    ,14.4    ,12.2    ,12.9    ,12.9    ,14.2    ,12.8    ,13.67    ,2.2    
人口２０万人以上の市,894    ,11.1    ,12.9    ,13.5    ,12.2    ,13.2    ,10.9    ,12.5    ,13.8    ,13.55    ,2.3    
人口１０万人以上の市,592    ,9.5    ,13.2    ,14.0    ,11.0    ,13.9    ,15.0    ,12.7    ,10.8    ,13.56    ,2.2    
人口１０万人未満の市,796    ,11.2    ,11.7    ,12.9    ,13.3    ,14.8    ,10.2    ,11.4    ,14.4    ,13.57    ,2.3    
郡部（町村）,309    ,10.0    ,9.7    ,13.3    ,12.6    ,13.6    ,11.0    ,15.2    ,14.6    ,13.77    ,2.3    
〔都道府県〕,,,,,,,,,,,
北海道,162    ,11.1    ,9.9    ,13.6    ,13.0    ,11.1    ,14.8    ,11.1    ,15.4    ,13.69    ,2.3    
青森県,60    ,10.0    ,10.0    ,6.7    ,10.0    ,15.0    ,13.3    ,15.0    ,20.0    ,14.10    ,2.3    
岩手県,30    ,16.7    ,20.0    ,13.3    ,3.3    ,6.7    ,13.3    ,13.3    ,13.3    ,13.23    ,2.6    
宮城県,80    ,12.5    ,8.8    ,16.3    ,10.0    ,16.3    ,5.0    ,12.5    ,18.8    ,13.68    ,2.4    
秋田県,26    ,7.7    ,7.7    ,11.5    ,11.5    ,15.4    ,7.7    ,19.2    ,19.2    ,14.15    ,2.3    
山形県,29    ,6.9    ,6.9    ,13.8    ,17.2    ,17.2    ,6.9    ,17.2    ,13.8    ,13.90    ,2.1    
福島県,43    ,16.3    ,18.6    ,11.6    ,7.0    ,16.3    ,9.3    ,11.6    ,9.3    ,13.09    ,2.3    
茨城県,82    ,12.2    ,12.2    ,6.1    ,9.8    ,20.7    ,12.2    ,12.2    ,14.6    ,13.73    ,2.3    
栃木県,69    ,10.1    ,11.6    ,11.6    ,17.4    ,15.9    ,13.0    ,11.6    ,8.7    ,13.46    ,2.1    
群馬県,41    ,12.2    ,4.9    ,19.5    ,7.3    ,14.6    ,9.8    ,14.6    ,17.1    ,13.80    ,2.4    
埼玉県,174    ,9.8    ,9.2    ,14.4    ,10.3    ,17.8    ,13.2    ,12.1    ,13.2    ,13.71    ,2.2    
千葉県,174    ,9.8    ,14.9    ,13.8    ,10.3    ,8.6    ,12.6    ,14.4    ,15.5    ,13.66    ,2.4    
