,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,
〔回答票８〕Ｑ８　あなたは、青少年に不適切（ふてきせつ）なサイト（出会い系サイトやアダルトサイトなど）やネットいじめの問題などインターネットの危険性（きけんせい）について、これまで説明を受けたり学んだりしたことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,総数,学校で教えてもらった,親（保護者）から教えてもらった,兄弟・姉妹から教えてもらった,機器の購入時に販売員より説明された,機器の購入時に資料をもらった,友だちから教えてもらった,テレビや本・パンフレットで知った,インターネットで知った,その他,説明を受けたり学んだりした（計）,教えてもらったり学んだりしない,わからない,回答計
Ｄタブレット（計）,666    ,87.2    ,45.8    ,4.1    ,5.9    ,3.2    ,10.8    ,17.7    ,8.6    ,0.3    ,93.2    ,5.4    ,1.4    ,190.2    
Ｅ携帯音楽プレイヤー,875    ,92.9    ,42.2    ,4.9    ,7.7    ,4.7    ,13.8    ,22.9    ,11.5    ,0.5    ,95.4    ,3.9    ,0.7    ,205.6    
Ｆゲーム機（計）,1679    ,85.2    ,41.2    ,3.6    ,5.3    ,3.7    ,10.8    ,19.2    ,8.6    ,0.2    ,90.6    ,7.7    ,1.7    ,187.1    
Ｇインターネット接続テレビ,114    ,89.5    ,42.1    ,7.0    ,7.9    ,7.0    ,10.5    ,23.7    ,21.1    ,0.9    ,93.0    ,4.4    ,2.6    ,216.7    
Ａ・Ｂスマートフォン・携帯電話（計）,2285    ,88.5    ,39.6    ,3.5    ,7.1    ,4.1    ,11.5    ,17.6    ,8.8    ,0.3    ,93.0    ,6.0    ,1.1    ,188.2    
Ａ・Ｂ機能限定や子供向け（計）,367    ,74.4    ,45.2    ,3.5    ,2.7    ,3.3    ,7.4    ,15.5    ,5.4    ,-,86.1    ,11.4    ,2.5    ,171.4    
Ａ・Ｂ機能限定や子供向け以外（計）,1966    ,91.0    ,39.0    ,3.6    ,8.0    ,4.4    ,12.3    ,18.2    ,9.5    ,0.3    ,94.3    ,4.9    ,0.8    ,192.0    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,,,,,,,,,,,
スマートフォン,1475    ,92.5    ,36.6    ,3.6    ,9.8    ,4.9    ,12.7    ,18.5    ,10.5    ,0.1    ,95.2    ,4.1    ,0.7    ,194.2    
格安スマートフォン,19    ,94.7    ,26.3    ,-,5.3    ,5.3    ,-,10.5    ,5.3    ,-,94.7    ,5.3    ,-,152.6    
機能限定・子供向けスマートフォン,28    ,71.4    ,57.1    ,14.3    ,3.6    ,14.3    ,10.7    ,21.4    ,7.1    ,-,85.7    ,10.7    ,3.6    ,214.3    
契約切れスマートフォン,73    ,79.5    ,42.5    ,4.1    ,2.7    ,1.4    ,6.8    ,11.0    ,8.2    ,-,89.0    ,9.6    ,1.4    ,167.1    
携帯電話,120    ,88.3    ,46.7    ,4.2    ,8.3    ,5.8    ,11.7    ,20.8    ,8.3    ,0.8    ,90.0    ,10.0    ,-,205.0    
機能限定電話・子ども向け携帯電話,30    ,66.7    ,40.0    ,6.7    ,-,3.3    ,6.7    ,13.3    ,3.3    ,-,76.7    ,20.0    ,3.3    ,163.3    
ノートパソコン,793    ,90.5    ,44.1    ,4.0    ,7.3    ,3.8    ,11.9    ,20.9    ,11.9    ,0.3    ,94.2    ,4.9    ,0.9    ,200.5    
デスクトップパソコン,380    ,89.7    ,45.5    ,4.7    ,5.8    ,3.4    ,10.3    ,20.0    ,13.7    ,0.3    ,93.9    ,5.5    ,0.5    ,199.5    
タブレット,434    ,88.7    ,44.2    ,4.4    ,5.5    ,2.8    ,12.0    ,16.6    ,9.4    ,0.5    ,93.8    ,5.1    ,1.2    ,190.3    
学習用タブレット,139    ,88.5    ,55.4    ,5.0    ,5.0    ,4.3    ,13.7    ,24.5    ,10.1    ,-,93.5    ,5.0    ,1.4    ,212.9    
子供向け娯楽用タブレット,6    ,100.0    ,33.3    ,-,33.3    ,-,16.7    ,16.7    ,-,-,100.0    ,-,-,200.0    
携帯音楽プレイヤー,327    ,92.7    ,46.8    ,4.3    ,7.3    ,4.3    ,10.7    ,20.5    ,13.1    ,0.3    ,95.4    ,4.0    ,0.6    ,204.6    
携帯ゲーム機,638    ,85.6    ,42.8    ,3.4    ,4.5    ,3.9    ,10.0    ,19.6    ,9.6    ,0.2    ,90.9    ,7.4    ,1.7    ,188.7    
据置型ゲーム機,266    ,89.8    ,44.7    ,2.3    ,6.0    ,5.3    ,14.7    ,21.8    ,18.0    ,-,94.4    ,4.9    ,0.8    ,208.3    
インターネット接続テレビ,58    ,86.2    ,36.2    ,3.4    ,6.9    ,3.4    ,10.3    ,19.0    ,17.2    ,-,91.4    ,5.2    ,3.4    ,191.4    
インターネット利用（計）,2615    ,88.5    ,39.7    ,3.7    ,6.3    ,3.8    ,10.8    ,17.9    ,8.7    ,0.2    ,92.9    ,5.9    ,1.1    ,186.7    
インターネット非利用,527    ,77.6    ,36.1    ,2.5    ,0.9    ,0.9    ,6.6    ,13.9    ,1.1    ,0.2    ,85.0    ,12.5    ,2.5    ,154.8    
モバイル機器（計）,2548    ,88.6    ,39.6    ,3.8    ,6.4    ,3.8    ,10.8    ,17.8    ,8.8    ,0.2    ,92.9    ,5.9    ,1.2    ,187.0    
据置型機器（計）,611    ,89.7    ,44.5    ,3.8    ,6.4    ,4.1    ,11.6    ,19.8    ,13.9    ,0.2    ,94.1    ,5.1    ,0.8    ,199.8    
Ａスマートフォン（計）,1573    ,91.6    ,37.0    ,3.8    ,9.3    ,4.8    ,12.5    ,18.0    ,10.1    ,0.1    ,94.7    ,4.5    ,0.8    ,192.4    
Ｂ携帯電話（計）,150    ,84.0    ,45.3    ,4.7    ,6.7    ,5.3    ,10.7    ,19.3    ,7.3    ,0.7    ,87.3    ,12.0    ,0.7    ,196.7    
Ｃパソコン（計）,1129    ,90.4    ,44.5    ,4.3    ,6.6    ,3.5    ,11.2    ,20.9    ,12.3    ,0.3    ,94.3    ,5.0    ,0.7    ,199.8    
Ｄタブレット（計）,562    ,88.8    ,46.8    ,4.4    ,5.7    ,3.2    ,11.7    ,18.5    ,9.3    ,0.4    ,93.6    ,5.2    ,1.2    ,195.2    
Ｅ携帯音楽プレイヤー,327    ,92.7    ,46.8    ,4.3    ,7.3    ,4.3    ,10.7    ,20.5    ,13.1    ,0.3    ,95.4    ,4.0    ,0.6    ,204.6    
Ｆゲーム機（計）,719    ,86.2    ,43.3    ,3.3    ,5.0    ,4.3    ,10.7    ,20.2    ,11.3    ,0.1    ,91.5    ,7.0    ,1.5    ,192.9    
Ｇインターネット接続テレビ,58    ,86.2    ,36.2    ,3.4    ,6.9    ,3.4    ,10.3    ,19.0    ,17.2    ,-,91.4    ,5.2    ,3.4    ,191.4    
Ａ・Ｂスマートフォン・携帯電話（計）,1704    ,91.1    ,37.5    ,3.8    ,9.0    ,4.8    ,12.4    ,18.1    ,9.9    ,0.2    ,94.2    ,5.0    ,0.8    ,192.7    
Ａ・Ｂ機能限定や子供向け（計）,58    ,69.0    ,48.3    ,10.3    ,1.7    ,8.6    ,8.6    ,17.2    ,5.2    ,-,81.0    ,15.5    ,3.4    ,187.9    
Ａ・Ｂ機能限定や子供向け以外（計）,1656    ,91.7    ,37.3    ,3.6    ,9.3    ,4.7    ,12.5    ,18.1    ,10.0    ,0.2    ,94.6    ,4.7    ,0.7    ,192.9    
非該当,299    ,77.9    ,30.1    ,3.7    ,0.3    ,0.3    ,6.7    ,9.0    ,1.0    ,0.3    ,79.9    ,15.4    ,4.7    ,149.5    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,,,,,,,
使っている（計）,2615    ,88.5    ,39.7    ,3.7    ,6.3    ,3.8    ,10.8    ,17.9    ,8.7    ,0.2    ,92.9    ,5.9    ,1.1    ,186.7    
使える機種・設定で、使っていない（計）,923    ,86.3    ,42.9    ,4.0    ,5.7    ,3.4    ,11.4    ,18.7    ,7.4    ,0.4    ,91.9    ,6.5    ,1.6    ,188.4    
使えない機種・設定で、使っていない（計）,932    ,85.0    ,41.0    ,3.2    ,4.3    ,3.1    ,10.9    ,19.0    ,7.5    ,0.3    ,90.8    ,7.6    ,1.6    ,183.6    
わからない（計）,285    ,82.8    ,34.7    ,4.2    ,3.9    ,3.2    ,8.4    ,18.6    ,5.3    ,-,87.7    ,9.5    ,2.8    ,173.3    
非該当,299    ,77.9    ,30.1    ,3.7    ,0.3    ,0.3    ,6.7    ,9.0    ,1.0    ,0.3    ,79.9    ,15.4    ,4.7    ,149.5    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ）〕,,,,,,,,,,,,,,
使っている,1475    ,92.5    ,36.6    ,3.6    ,9.8    ,4.9    ,12.7    ,18.5    ,10.5    ,0.1    ,95.2    ,4.1    ,0.7    ,194.2    
使える機種・設定で、使っていない,45    ,84.4    ,42.2    ,4.4    ,2.2    ,-,15.6    ,20.0    ,4.4    ,2.2    ,95.6    ,4.4    ,-,180.0    
使えない機種・設定で、使っていない,9    ,66.7    ,66.7    ,-,-,-,11.1    ,22.2    ,11.1    ,-,100.0    ,-,-,177.8    
わからない,12    ,83.3    ,41.7    ,16.7    ,-,8.3    ,8.3    ,8.3    ,8.3    ,-,83.3    ,16.7    ,-,191.7    
非該当,1900    ,80.8    ,39.3    ,3.4    ,1.4    ,1.7    ,7.4    ,14.9    ,4.1    ,0.3    ,86.9    ,10.7    ,2.4    ,166.4    
【全数】Ｑ２〔ネット利用状況（Ａ２格安スマホ）〕,,,,,,,,,,,,,,
使っている,19    ,94.7    ,26.3    ,-,5.3    ,5.3    ,-,10.5    ,5.3    ,-,94.7    ,5.3    ,-,152.6    
使える機種・設定で、使っていない,2    ,100.0    ,50.0    ,-,-,-,50.0    ,-,-,-,100.0    ,-,-,200.0    
使えない機種・設定で、使っていない,1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-
非該当,3419    ,85.8    ,38.3    ,3.6    ,5.0    ,3.0    ,9.8    ,16.6    ,6.9    ,0.2    ,90.6    ,7.8    ,1.7    ,178.7    
【全数】Ｑ２〔ネット利用状況（Ａ３子供スマホ）〕,,,,,,,,,,,,,,
使っている,28    ,71.4    ,57.1    ,14.3    ,3.6    ,14.3    ,10.7    ,21.4    ,7.1    ,-,85.7    ,10.7    ,3.6    ,214.3    
使える機種・設定で、使っていない,6    ,83.3    ,83.3    ,-,16.7    ,-,-,16.7    ,16.7    ,-,83.3    ,16.7    ,-,233.3    
使えない機種・設定で、使っていない,16    ,68.8    ,25.0    ,-,6.3    ,-,6.3    ,12.5    ,12.5    ,-,81.3    ,12.5    ,6.3    ,150.0    
わからない,10    ,100.0    ,40.0    ,-,10.0    ,-,20.0    ,-,-,-,100.0    ,-,-,170.0    
非該当,3381    ,86.0    ,38.1    ,3.5    ,5.0    ,3.0    ,9.8    ,16.5    ,6.9    ,0.2    ,90.7    ,7.7    ,1.6    ,178.3    
【全数】Ｑ２〔ネット利用状況（Ａ４契約切れスマホ）〕,,,,,,,,,,,,,,
使っている,73    ,79.5    ,42.5    ,4.1    ,2.7    ,1.4    ,6.8    ,11.0    ,8.2    ,-,89.0    ,9.6    ,1.4    ,167.1    
使える機種・設定で、使っていない,12    ,83.3    ,50.0    ,16.7    ,8.3    ,-,16.7    ,25.0    ,16.7    ,-,91.7    ,-,8.3    ,225.0    
使えない機種・設定で、使っていない,10    ,90.0    ,20.0    ,-,-,-,10.0    ,40.0    ,10.0    ,-,90.0    ,-,10.0    ,180.0    
わからない,5    ,80.0    ,20.0    ,-,-,-,20.0    ,20.0    ,-,-,80.0    ,20.0    ,-,160.0    
非該当,3341    ,86.0    ,38.2    ,3.5    ,5.1    ,3.1    ,9.8    ,16.5    ,6.8    ,0.2    ,90.6    ,7.8    ,1.6    ,178.7    
【全数】Ｑ２〔ネット利用状況（Ｂ１携帯電話）〕,,,,,,,,,,,,,,
使っている,120    ,88.3    ,46.7    ,4.2    ,8.3    ,5.8    ,11.7    ,20.8    ,8.3    ,0.8    ,90.0    ,10.0    ,-,205.0    
使える機種・設定で、使っていない,128    ,93.0    ,47.7    ,5.5    ,1.6    ,3.9    ,13.3    ,17.2    ,6.3    ,1.6    ,95.3    ,4.7    ,-,194.5    
使えない機種・設定で、使っていない,120    ,88.3    ,50.0    ,1.7    ,2.5    ,1.7    ,8.3    ,16.7    ,6.7    ,-,92.5    ,5.0    ,2.5    ,183.3    
わからない,24    ,75.0    ,37.5    ,4.2    ,-,8.3    ,8.3    ,16.7    ,4.2    ,-,79.2    ,16.7    ,4.2    ,175.0    
非該当,3049    ,85.5    ,37.1    ,3.5    ,5.1    ,2.9    ,9.6    ,16.3    ,6.9    ,0.2    ,90.4    ,7.8    ,1.7    ,176.7    
【全数】Ｑ２〔ネット利用状況（Ｂ２子ども向け携帯等）〕,,,,,,,,,,,,,,
使っている,30    ,66.7    ,40.0    ,6.7    ,-,3.3    ,6.7    ,13.3    ,3.3    ,-,76.7    ,20.0    ,3.3    ,163.3    
使える機種・設定で、使っていない,37    ,64.9    ,40.5    ,2.7    ,-,5.4    ,18.9    ,13.5    ,8.1    ,-,78.4    ,13.5    ,8.1    ,175.7    
使えない機種・設定で、使っていない,214    ,76.2    ,46.3    ,2.3    ,2.8    ,2.3    ,5.1    ,16.8    ,5.1    ,-,88.3    ,10.3    ,1.4    ,168.7    
わからない,26    ,76.9    ,42.3    ,3.8    ,-,-,3.8    ,11.5    ,-,-,88.5    ,11.5    ,-,150.0    
非該当,3134    ,87.0    ,37.7    ,3.6    ,5.3    ,3.1    ,10.1    ,16.6    ,7.1    ,0.3    ,91.0    ,7.4    ,1.6    ,179.7    
【全数】Ｑ２〔ネット利用状況（Ｃ１ノートＰＣ）〕,,,,,,,,,,,,,,
使っている,793    ,90.5    ,44.1    ,4.0    ,7.3    ,3.8    ,11.9    ,20.9    ,11.9    ,0.3    ,94.2    ,4.9    ,0.9    ,200.5    
使える機種・設定で、使っていない,46    ,95.7    ,39.1    ,4.3    ,10.9    ,4.3    ,21.7    ,10.9    ,6.5    ,-,97.8    ,2.2    ,-,195.7    
使えない機種・設定で、使っていない,4    ,100.0    ,25.0    ,-,-,-,25.0    ,25.0    ,25.0    ,-,100.0    ,-,-,200.0    
わからない,3    ,100.0    ,66.7    ,-,-,-,-,33.3    ,-,-,100.0    ,-,-,200.0    
非該当,2595    ,84.2    ,36.5    ,3.4    ,4.2    ,2.8    ,8.9    ,15.2    ,5.4    ,0.2    ,89.3    ,8.7    ,1.9    ,171.5    
【全数】Ｑ２〔ネット利用状況（Ｃ２デスクトップＰＣ）〕,,,,,,,,,,,,,,
使っている,380    ,89.7    ,45.5    ,4.7    ,5.8    ,3.4    ,10.3    ,20.0    ,13.7    ,0.3    ,93.9    ,5.5    ,0.5    ,199.5    
使える機種・設定で、使っていない,25    ,80.0    ,28.0    ,8.0    ,8.0    ,4.0    ,16.0    ,16.0    ,8.0    ,-,80.0    ,16.0    ,4.0    ,188.0    
使えない機種・設定で、使っていない,2    ,100.0    ,50.0    ,-,-,-,-,-,-,-,100.0    ,-,-,150.0    
わからない,2    ,50.0    ,-,-,50.0    ,-,-,-,50.0    ,-,50.0    ,50.0    ,-,200.0    
非該当,3032    ,85.5    ,37.5    ,3.4    ,4.8    ,3.0    ,9.7    ,16.1    ,6.0    ,0.2    ,90.3    ,7.9    ,1.8    ,175.9    
【全数】Ｑ２〔ネット利用状況（Ｄ１タブレット）〕,,,,,,,,,,,,,,
使っている,434    ,88.7    ,44.2    ,4.4    ,5.5    ,2.8    ,12.0    ,16.6    ,9.4    ,0.5    ,93.8    ,5.1    ,1.2    ,190.3    
使える機種・設定で、使っていない,32    ,75.0    ,34.4    ,-,9.4    ,6.3    ,9.4    ,9.4    ,3.1    ,-,90.6    ,3.1    ,6.3    ,156.3    
使えない機種・設定で、使っていない,5    ,60.0    ,40.0    ,20.0    ,-,-,-,20.0    ,-,-,80.0    ,20.0    ,-,160.0    
わからない,12    ,75.0    ,33.3    ,-,-,-,8.3    ,16.7    ,8.3    ,-,75.0    ,25.0    ,-,166.7    
非該当,2958    ,85.7    ,37.5    ,3.4    ,4.9    ,3.1    ,9.5    ,16.6    ,6.6    ,0.2    ,90.2    ,8.1    ,1.7    ,177.2    
【全数】Ｑ２〔ネット利用状況（Ｄ２学習用タブレット）〕,,,,,,,,,,,,,,
使っている,139    ,88.5    ,55.4    ,5.0    ,5.0    ,4.3    ,13.7    ,24.5    ,10.1    ,-,93.5    ,5.0    ,1.4    ,212.9    
使える機種・設定で、使っていない,33    ,87.9    ,39.4    ,-,12.1    ,3.0    ,6.1    ,9.1    ,6.1    ,-,97.0    ,3.0    ,-,166.7    
使えない機種・設定で、使っていない,22    ,77.3    ,54.5    ,-,4.5    ,4.5    ,-,31.8    ,4.5    ,-,90.9    ,9.1    ,-,186.4    
わからない,8    ,87.5    ,25.0    ,12.5    ,-,-,-,-,-,-,87.5    ,12.5    ,-,137.5    
非該当,3239    ,85.8    ,37.4    ,3.5    ,4.9    ,3.0    ,9.8    ,16.2    ,6.8    ,0.2    ,90.4    ,7.9    ,1.7    ,177.3    
【全数】Ｑ２〔ネット利用状況（Ｄ３娯楽用タブレット）〕,,,,,,,,,,,,,,
使っている,6    ,100.0    ,33.3    ,-,33.3    ,-,16.7    ,16.7    ,-,-,100.0    ,-,-,200.0    
使える機種・設定で、使っていない,1    ,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,200.0    
使えない機種・設定で、使っていない,2    ,50.0    ,50.0    ,-,-,-,-,-,-,-,100.0    ,-,-,100.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-
非該当,3432    ,85.9    ,38.3    ,3.6    ,5.0    ,3.1    ,9.8    ,16.5    ,6.9    ,0.2    ,90.6    ,7.8    ,1.7    ,178.6    
【全数】Ｑ２〔ネット利用状況（Ｅ１携帯音楽プレイヤー）〕,,,,,,,,,,,,,,
使っている,327    ,92.7    ,46.8    ,4.3    ,7.3    ,4.3    ,10.7    ,20.5    ,13.1    ,0.3    ,95.4    ,4.0    ,0.6    ,204.6    
使える機種・設定で、使っていない,162    ,93.2    ,40.7    ,7.4    ,9.9    ,5.6    ,14.8    ,19.8    ,10.5    ,0.6    ,94.4    ,4.3    ,1.2    ,208.0    
使えない機種・設定で、使っていない,328    ,93.9    ,39.6    ,4.6    ,6.7    ,4.3    ,17.1    ,26.2    ,11.3    ,0.6    ,96.3    ,3.4    ,0.3    ,207.9    
わからない,58    ,87.9    ,34.5    ,3.4    ,8.6    ,6.9    ,10.3    ,25.9    ,6.9    ,-,93.1    ,5.2    ,1.7    ,191.4    
非該当,2566    ,83.5    ,36.9    ,3.1    ,4.1    ,2.5    ,8.4    ,14.3    ,5.3    ,0.2    ,88.9    ,9.1    ,2.0    ,169.4    
【全数】Ｑ２〔ネット利用状況（Ｆ１携帯ゲーム）〕,,,,,,,,,,,,,,
使っている,638    ,85.6    ,42.8    ,3.4    ,4.5    ,3.9    ,10.0    ,19.6    ,9.6    ,0.2    ,90.9    ,7.4    ,1.7    ,188.7    
使える機種・設定で、使っていない,462    ,85.5    ,43.9    ,4.3    ,7.4    ,3.5    ,10.6    ,19.3    ,7.8    ,0.2    ,91.6    ,7.4    ,1.1    ,190.9    
使えない機種・設定で、使っていない,298    ,84.6    ,38.6    ,3.0    ,4.7    ,3.0    ,11.7    ,16.1    ,7.0    ,0.3    ,89.6    ,8.4    ,2.0    ,179.5    
わからない,97    ,79.4    ,22.7    ,1.0    ,1.0    ,1.0    ,7.2    ,14.4    ,4.1    ,-,81.4    ,14.4    ,4.1    ,149.5    
非該当,1946    ,86.6    ,36.2    ,3.6    ,4.8    ,2.8    ,9.4    ,15.0    ,5.9    ,0.3    ,90.9    ,7.6    ,1.6    ,173.6    
【全数】Ｑ２〔ネット利用状況（Ｆ２据置型ゲーム）〕,,,,,,,,,,,,,,
使っている,266    ,89.8    ,44.7    ,2.3    ,6.0    ,5.3    ,14.7    ,21.8    ,18.0    ,-,94.4    ,4.9    ,0.8    ,208.3    
使える機種・設定で、使っていない,327    ,85.9    ,47.4    ,4.9    ,6.1    ,2.8    ,13.1    ,20.5    ,8.6    ,0.6    ,92.0    ,7.0    ,0.9    ,197.9    
使えない機種・設定で、使っていない,205    ,85.9    ,37.6    ,2.9    ,4.9    ,3.9    ,6.3    ,19.0    ,6.3    ,-,89.8    ,7.8    ,2.4    ,177.1    
わからない,93    ,80.6    ,40.9    ,7.5    ,3.2    ,4.3    ,9.7    ,18.3    ,6.5    ,-,89.2    ,6.5    ,4.3    ,181.7    
非該当,2550    ,85.6    ,36.4    ,3.4    ,4.8    ,2.7    ,9.1    ,15.2    ,5.6    ,0.2    ,90.1    ,8.2    ,1.7    ,173.0    
【全数】Ｑ２〔ネット利用状況（Ｇ１ネットテレビ）〕,,,,,,,,,,,,,,
使っている,58    ,86.2    ,36.2    ,3.4    ,6.9    ,3.4    ,10.3    ,19.0    ,17.2    ,-,91.4    ,5.2    ,3.4    ,191.4    
使える機種・設定で、使っていない,44    ,90.9    ,47.7    ,9.1    ,11.4    ,13.6    ,11.4    ,25.0    ,22.7    ,2.3    ,93.2    ,4.5    ,2.3    ,240.9    
使えない機種・設定で、使っていない,5    ,100.0    ,40.0    ,20.0    ,-,-,20.0    ,20.0    ,60.0    ,-,100.0    ,-,-,260.0    
わからない,7    ,100.0    ,57.1    ,14.3    ,-,-,-,57.1    ,14.3    ,-,100.0    ,-,-,242.9    
非該当,3327    ,85.8    ,38.1    ,3.4    ,4.9    ,2.9    ,9.8    ,16.3    ,6.4    ,0.2    ,90.5    ,7.9    ,1.6    ,177.3    
Ｑ３〔ネット利用項目（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,,,,,,,
コミニュケーション（計）,1732    ,91.7    ,39.1    ,4.0    ,8.6    ,5.0    ,12.9    ,18.8    ,10.7    ,0.2    ,94.7    ,4.4    ,0.9    ,196.2    
ニュース（計）,638    ,95.0    ,44.8    ,4.5    ,12.4    ,6.9    ,18.7    ,29.3    ,20.7    ,0.2    ,97.2    ,2.7    ,0.2    ,235.3    
情報検索（計）,1626    ,91.5    ,41.4    ,3.9    ,7.8    ,4.7    ,12.7    ,20.8    ,11.1    ,0.2    ,95.1    ,4.3    ,0.6    ,199.1    
地図・ナビゲーション（計）,701    ,94.4    ,41.4    ,5.6    ,10.8    ,5.8    ,17.0    ,25.4    ,17.3    ,0.1    ,96.4    ,3.0    ,0.6    ,221.4    
音楽視聴（計）,1607    ,92.0    ,40.6    ,4.3    ,8.1    ,5.0    ,13.4    ,20.0    ,12.0    ,0.1    ,95.0    ,4.4    ,0.6    ,200.6    
動画視聴（計）,1804    ,91.2    ,40.5    ,4.4    ,7.2    ,4.4    ,13.0    ,20.3    ,11.8    ,0.2    ,95.0    ,4.5    ,0.6    ,198.2    
電子書籍（計）,303    ,94.7    ,40.6    ,5.6    ,12.9    ,7.6    ,21.5    ,28.1    ,21.5    ,-,96.7    ,3.3    ,-,235.6    
ゲーム（計）,1856    ,88.7    ,40.0    ,3.7    ,7.2    ,4.0    ,12.1    ,18.9    ,10.7    ,0.2    ,93.1    ,5.8    ,1.1    ,192.3    
ショッピング・オークション（計）,299    ,94.0    ,37.5    ,5.4    ,9.4    ,5.4    ,14.4    ,27.1    ,19.7    ,-,97.0    ,3.0    ,-,215.7    
その他（計）,185    ,86.5    ,41.6    ,5.4    ,6.5    ,4.3    ,10.8    ,19.5    ,9.7    ,1.1    ,91.9    ,6.5    ,1.6    ,193.5    
わからない（計）,67    ,86.6    ,38.8    ,-,6.0    ,-,9.0    ,17.9    ,9.0    ,-,89.6    ,6.0    ,4.5    ,177.6    
Ｑ３〔ネット利用項目（Ａ１スマホ／ＭＡ）〕,,,,,,,,,,,,,,
コミニュケーション,1292    ,93.0    ,37.0    ,3.6    ,10.8    ,5.3    ,12.7    ,19.1    ,10.9    ,0.2    ,95.4    ,3.8    ,0.8    ,197.1    
ニュース,431    ,96.1    ,43.2    ,3.9    ,15.3    ,7.4    ,17.9    ,29.9    ,19.7    ,0.2    ,97.7    ,2.3    ,-,236.0    
情報検索,920    ,94.5    ,38.3    ,3.7    ,11.4    ,5.8    ,14.2    ,22.0    ,13.3    ,0.1    ,96.5    ,3.0    ,0.4    ,206.6    
地図・ナビゲーション,548    ,95.4    ,40.3    ,4.7    ,12.6    ,5.8    ,16.6    ,25.7    ,17.5    ,0.2    ,96.7    ,2.7    ,0.5    ,222.3    
音楽視聴,1052    ,93.1    ,38.6    ,3.9    ,10.4    ,5.2    ,14.6    ,19.8    ,12.1    ,0.1    ,95.4    ,3.9    ,0.7    ,202.3    
動画視聴,1068    ,93.6    ,37.3    ,4.1    ,9.8    ,5.2    ,14.5    ,20.7    ,12.5    ,0.1    ,96.1    ,3.6    ,0.4    ,201.9    
電子書籍,218    ,94.5    ,38.1    ,5.5    ,14.7    ,6.9    ,19.7    ,25.7    ,19.7    ,-,95.9    ,4.1    ,-,228.9    
ゲーム,1054    ,92.8    ,37.4    ,3.3    ,10.5    ,5.0    ,14.5    ,20.0    ,12.5    ,0.1    ,95.4    ,4.1    ,0.6    ,200.9    
ショッピング・オークション,177    ,92.7    ,32.2    ,5.6    ,9.6    ,6.2    ,16.4    ,26.6    ,20.9    ,-,96.6    ,3.4    ,-,213.6    
その他,39    ,97.4    ,35.9    ,2.6    ,5.1    ,7.7    ,12.8    ,20.5    ,10.3    ,2.6    ,100.0    ,-,-,194.9    
わからない,3    ,66.7    ,-,-,33.3    ,-,33.3    ,-,-,-,66.7    ,33.3    ,-,166.7    
Ｑ３〔ネット利用項目（Ａ２格安スマホ／ＭＡ）〕,,,,,,,,,,,,,,
コミニュケーション,14    ,100.0    ,21.4    ,-,7.1    ,7.1    ,-,7.1    ,7.1    ,-,100.0    ,-,-,150.0    
ニュース,6    ,83.3    ,16.7    ,-,16.7    ,16.7    ,-,-,-,-,83.3    ,16.7    ,-,150.0    
情報検索,9    ,88.9    ,11.1    ,-,11.1    ,11.1    ,-,-,-,-,88.9    ,11.1    ,-,133.3    
地図・ナビゲーション,6    ,100.0    ,16.7    ,-,-,-,-,-,-,-,100.0    ,-,-,116.7    
音楽視聴,11    ,100.0    ,27.3    ,-,9.1    ,9.1    ,-,18.2    ,9.1    ,-,100.0    ,-,-,172.7    
動画視聴,11    ,100.0    ,36.4    ,-,9.1    ,9.1    ,-,18.2    ,9.1    ,-,100.0    ,-,-,181.8    
電子書籍,2    ,100.0    ,-,-,-,-,-,-,-,-,100.0    ,-,-,100.0    
ゲーム,14    ,100.0    ,28.6    ,-,7.1    ,7.1    ,-,14.3    ,7.1    ,-,100.0    ,-,-,164.3    
ショッピング・オークション,1    ,100.0    ,-,-,-,-,-,-,-,-,100.0    ,-,-,100.0    
その他,1    ,100.0    ,-,-,-,-,-,-,-,-,100.0    ,-,-,100.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ３〔ネット利用項目（Ａ３子供スマホ／ＭＡ）〕,,,,,,,,,,,,,,
コミニュケーション,17    ,76.5    ,47.1    ,23.5    ,-,17.6    ,11.8    ,29.4    ,5.9    ,-,88.2    ,5.9    ,5.9    ,223.5    
ニュース,2    ,50.0    ,100.0    ,50.0    ,-,50.0    ,50.0    ,100.0    ,50.0    ,-,100.0    ,-,-,450.0    
情報検索,12    ,83.3    ,75.0    ,25.0    ,-,25.0    ,25.0    ,33.3    ,8.3    ,-,100.0    ,-,-,275.0    
