,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,
〔回答票８〕Ｑ８　あなたは、青少年に不適切（ふてきせつ）なサイト（出会い系サイトやアダルトサイトなど）やネットいじめの問題などインターネットの危険性（きけんせい）について、これまで説明を受けたり学んだりしたことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,総数,学校で教えてもらった,親（保護者）から教えてもらった,兄弟・姉妹から教えてもらった,機器の購入時に販売員より説明された,機器の購入時に資料をもらった,友だちから教えてもらった,テレビや本・パンフレットで知った,インターネットで知った,その他,説明を受けたり学んだりした（計）,教えてもらったり学んだりしない,わからない,回答計
  わからない,27    ,48.1    ,18.5    ,3.7    ,3.7    ,-,11.1    ,11.1    ,-,-,59.3    ,25.9    ,14.8    ,137.0    
小学生（計）,572    ,72.0    ,46.9    ,4.4    ,2.4    ,1.7    ,4.9    ,15.4    ,2.4    ,0.3    ,84.3    ,13.3    ,2.4    ,166.3    
  ルールを決めている（計）,424    ,73.3    ,52.6    ,4.7    ,2.8    ,2.1    ,4.7    ,15.8    ,2.8    ,0.2    ,86.8    ,11.3    ,1.9    ,172.4    
  特にルールを決めていない,135    ,72.6    ,32.6    ,3.7    ,1.5    ,0.7    ,5.2    ,14.8    ,1.5    ,0.7    ,80.7    ,17.0    ,2.2    ,152.6    
  わからない,13    ,23.1    ,7.7    ,-,-,-,7.7    ,7.7    ,-,-,38.5    ,38.5    ,23.1    ,107.7    
中学生（計）,1055    ,93.3    ,43.2    ,3.4    ,5.7    ,3.5    ,11.9    ,17.3    ,9.2    ,0.1    ,95.9    ,3.1    ,0.9    ,191.8    
  ルールを決めている（計）,731    ,94.5    ,52.0    ,4.4    ,7.1    ,4.5    ,13.7    ,19.7    ,9.7    ,-,97.3    ,1.9    ,0.8    ,208.3    
  特にルールを決めていない,315    ,90.8    ,23.2    ,1.3    ,2.2    ,1.3    ,7.9    ,12.1    ,8.3    ,0.3    ,93.0    ,5.7    ,1.3    ,154.3    
  わからない,9    ,77.8    ,33.3    ,-,11.1    ,-,11.1    ,11.1    ,-,-,88.9    ,11.1    ,-,155.6    
高校生（計）,965    ,93.2    ,31.9    ,3.6    ,9.3    ,5.1    ,12.6    ,20.3    ,11.7    ,0.3    ,94.9    ,4.5    ,0.6    ,193.2    
  ルールを決めている（計）,488    ,96.1    ,43.2    ,4.5    ,11.9    ,7.6    ,16.4    ,27.0    ,15.6    ,0.4    ,98.0    ,1.6    ,0.4    ,224.8    
  特にルールを決めていない,472    ,90.5    ,20.3    ,2.5    ,6.8    ,2.5    ,8.7    ,13.3    ,7.8    ,0.2    ,92.2    ,7.2    ,0.6    ,160.6    
  わからない,5    ,60.0    ,20.0    ,20.0    ,-,-,20.0    ,20.0    ,-,-,60.0    ,20.0    ,20.0    ,180.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,88.5    ,39.7    ,3.7    ,6.3    ,3.8    ,10.8    ,17.9    ,8.7    ,0.2    ,92.9    ,5.9    ,1.1    ,186.7    
  インターネット非利用（含わからない）,527    ,77.6    ,36.1    ,2.5    ,0.9    ,0.9    ,6.6    ,13.9    ,1.1    ,0.2    ,85.0    ,12.5    ,2.5    ,154.8    
小学生（計）,909    ,71.0    ,44.2    ,3.5    ,2.0    ,1.4    ,4.6    ,14.6    ,1.9    ,0.2    ,82.5    ,14.6    ,2.9    ,160.9    
  インターネット利用（計）,572    ,72.0    ,46.9    ,4.4    ,2.4    ,1.7    ,4.9    ,15.4    ,2.4    ,0.3    ,84.3    ,13.3    ,2.4    ,166.3    
  インターネット非利用（含わからない）,337    ,69.1    ,39.8    ,2.1    ,1.2    ,0.9    ,4.2    ,13.4    ,0.9    ,-,79.5    ,16.9    ,3.6    ,151.9    
中学生（計）,1216    ,93.2    ,41.1    ,3.4    ,4.9    ,3.1    ,11.6    ,16.8    ,8.0    ,0.2    ,95.7    ,3.4    ,0.9    ,186.5    
  インターネット利用（計）,1055    ,93.3    ,43.2    ,3.4    ,5.7    ,3.5    ,11.9    ,17.3    ,9.2    ,0.1    ,95.9    ,3.1    ,0.9    ,191.8    
  インターネット非利用（含わからない）,161    ,92.5    ,27.3    ,3.1    ,-,0.6    ,9.3    ,13.0    ,-,0.6    ,94.4    ,5.0    ,0.6    ,152.2    
高校生（計）,992    ,93.1    ,32.2    ,3.6    ,9.2    ,4.9    ,12.8    ,20.4    ,11.6    ,0.3    ,95.0    ,4.4    ,0.6    ,193.1    
  インターネット利用（計）,965    ,93.2    ,31.9    ,3.6    ,9.3    ,5.1    ,12.6    ,20.3    ,11.7    ,0.3    ,94.9    ,4.5    ,0.6    ,193.2    
  インターネット非利用（含わからない）,27    ,92.6    ,40.7    ,3.7    ,3.7    ,-,18.5    ,22.2    ,7.4    ,-,96.3    ,3.7    ,-,192.6    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,,
  １人以上いる,1846    ,86.6    ,36.6    ,6.3    ,4.8    ,3.0    ,8.1    ,15.9    ,6.9    ,0.1    ,90.7    ,7.7    ,1.5    ,177.4    
  いない,1595    ,85.1    ,40.2    ,0.4    ,5.3    ,3.1    ,11.8    ,17.2    ,6.9    ,0.4    ,90.4    ,7.8    ,1.8    ,179.9    
小学生（計）,1080    ,70.7    ,41.8    ,3.4    ,1.7    ,1.3    ,4.5    ,13.9    ,1.6    ,0.3    ,80.9    ,15.6    ,3.4    ,158.2    
  １人以上いる,511    ,74.2    ,40.5    ,6.7    ,0.8    ,0.4    ,2.9    ,13.1    ,1.6    ,-,83.0    ,13.9    ,3.1    ,157.1    
  いない,569    ,67.7    ,42.9    ,0.5    ,2.5    ,2.1    ,6.0    ,14.6    ,1.6    ,0.5    ,79.1    ,17.2    ,3.7    ,159.2    
中学生（計）,1329    ,92.9    ,40.2    ,3.3    ,4.6    ,2.9    ,11.4    ,15.9    ,7.4    ,0.2    ,95.3    ,3.7    ,1.1    ,183.4    
  １人以上いる,740    ,91.2    ,39.1    ,5.8    ,3.9    ,3.0    ,8.6    ,14.6    ,7.0    ,0.3    ,93.8    ,5.0    ,1.2    ,179.7    
  いない,589    ,94.9    ,41.6    ,0.2    ,5.4    ,2.7    ,14.8    ,17.5    ,8.0    ,-,97.1    ,2.0    ,0.8    ,187.9    
高校生（計）,1007    ,93.0    ,32.4    ,3.9    ,9.0    ,4.9    ,12.9    ,20.4    ,11.5    ,0.3    ,94.8    ,4.6    ,0.6    ,193.4    
  １人以上いる,579    ,91.9    ,30.4    ,6.4    ,9.2    ,4.8    ,10.9    ,20.0    ,10.7    ,-,93.8    ,5.7    ,0.5    ,190.5    
  いない,428    ,94.6    ,35.0    ,0.5    ,8.9    ,4.9    ,15.7    ,20.8    ,12.6    ,0.7    ,96.3    ,3.0    ,0.7    ,197.4    
〔地域〕,,,,,,,,,,,,,,
北海道・東北,430    ,82.1    ,34.9    ,3.0    ,5.3    ,5.1    ,10.2    ,18.4    ,8.1    ,0.2    ,88.4    ,9.8    ,1.9    ,179.1    
北関東,540    ,84.4    ,40.4    ,3.3    ,5.6    ,4.4    ,11.5    ,16.9    ,7.2    ,0.6    ,88.3    ,10.0    ,1.7    ,185.9    
南関東,485    ,86.8    ,44.3    ,3.9    ,5.6    ,4.1    ,10.1    ,20.8    ,7.4    ,0.2    ,93.0    ,4.7    ,2.3    ,190.3    
東海・北陸・信越,693    ,87.4    ,33.5    ,2.7    ,5.5    ,3.0    ,7.8    ,13.1    ,6.9    ,-,91.2    ,7.5    ,1.3    ,168.8    
近畿,554    ,83.4    ,41.7    ,3.6    ,4.9    ,0.9    ,8.1    ,13.0    ,6.7    ,0.5    ,88.6    ,9.2    ,2.2    ,174.2    
中国・四国,326    ,86.8    ,39.9    ,4.9    ,4.6    ,1.5    ,11.3    ,20.6    ,6.7    ,-,92.3    ,6.4    ,1.2    ,184.0    
九州・沖縄,413    ,90.6    ,34.1    ,4.1    ,2.9    ,1.9    ,11.1    ,16.2    ,4.8    ,-,93.2    ,5.8    ,1.0    ,172.6    
〔都市規模〕,,,,,,,,,,,,,,
大都市（政令指定都市）,850    ,87.3    ,41.6    ,4.5    ,4.4    ,3.6    ,9.5    ,20.4    ,7.6    ,-,92.0    ,6.8    ,1.2    ,186.9    
人口２０万人以上の市,894    ,86.2    ,40.4    ,3.5    ,4.9    ,3.4    ,9.5    ,15.9    ,7.0    ,0.4    ,90.8    ,7.6    ,1.6    ,180.4    
人口１０万人以上の市,592    ,83.6    ,36.3    ,2.7    ,6.4    ,3.4    ,8.1    ,16.6    ,5.1    ,0.3    ,89.2    ,9.8    ,1.0    ,173.3    
人口１０万人未満の市,796    ,86.1    ,35.6    ,3.6    ,5.5    ,2.4    ,12.6    ,14.4    ,7.9    ,0.1    ,90.1    ,7.4    ,2.5    ,178.1    
郡部（町村）,309    ,84.8    ,33.7    ,2.6    ,2.9    ,1.6    ,7.4    ,12.9    ,5.2    ,0.3    ,90.0    ,7.8    ,2.3    ,161.5    
〔都道府県〕,,,,,,,,,,,,,,
