,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,
Ｆ４　あなたに、1人以上、兄または姉はいますか。（１つだけ）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,
,総数,１人以上いる,いない,小学生（計）,１人以上いる,いない,中学生（計）,１人以上いる,いない,高校生（計）,１人以上いる,いない
＊＊【　総　数　】＊＊,3441    ,53.6    ,46.4    ,31.4    ,14.9    ,16.5    ,38.6    ,21.5    ,17.1    ,29.3    ,16.8    ,12.4    
  わからない,5    ,40.0    ,60.0    ,-,-,-,-,-,-,100.0    ,40.0    ,60.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,
  インターネット利用（計）,2615    ,54.0    ,46.0    ,21.9    ,10.1    ,11.8    ,40.3    ,22.2    ,18.2    ,36.9    ,21.1    ,15.8    
  インターネット非利用（含わからない）,527    ,48.4    ,51.6    ,63.9    ,28.5    ,35.5    ,30.6    ,17.3    ,13.3    ,5.1    ,2.5    ,2.7    
小学生（計）,909    ,45.4    ,54.6    ,100.0    ,45.4    ,54.6    ,-,-,-,-,-,-
  インターネット利用（計）,572    ,46.0    ,54.0    ,100.0    ,46.0    ,54.0    ,-,-,-,-,-,-
  インターネット非利用（含わからない）,337    ,44.5    ,55.5    ,100.0    ,44.5    ,55.5    ,-,-,-,-,-,-
中学生（計）,1216    ,55.2    ,44.8    ,-,-,-,100.0    ,55.2    ,44.8    ,-,-,-
  インターネット利用（計）,1055    ,55.0    ,45.0    ,-,-,-,100.0    ,55.0    ,45.0    ,-,-,-
  インターネット非利用（含わからない）,161    ,56.5    ,43.5    ,-,-,-,100.0    ,56.5    ,43.5    ,-,-,-
高校生（計）,992    ,57.1    ,42.9    ,-,-,-,-,-,-,100.0    ,57.1    ,42.9    
  インターネット利用（計）,965    ,57.3    ,42.7    ,-,-,-,-,-,-,100.0    ,57.3    ,42.7    
  インターネット非利用（含わからない）,27    ,48.1    ,51.9    ,-,-,-,-,-,-,100.0    ,48.1    ,51.9    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,
  １人以上いる,1846    ,100.0    ,-,27.7    ,27.7    ,-,40.1    ,40.1    ,-,31.4    ,31.4    ,-
  いない,1595    ,-,100.0    ,35.7    ,-,35.7    ,36.9    ,-,36.9    ,26.8    ,-,26.8    
小学生（計）,1080    ,47.3    ,52.7    ,100.0    ,47.3    ,52.7    ,-,-,-,-,-,-
  １人以上いる,511    ,100.0    ,-,100.0    ,100.0    ,-,-,-,-,-,-,-
