,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
  女子,516    ,90.1    ,0.2    ,0.8    ,1.6    ,5.0    ,0.8    ,32.0    ,17.8    ,10.5    ,1.9    ,-,38.6    ,22.3    ,13.4    ,5.2    ,99.2    ,0.8    ,91.5    ,5.8    ,47.3    ,12.0    ,38.6    ,26.7    ,5.2    ,96.5    ,1.6    ,95.5    ,240.9    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,47.0    ,0.6    ,1.7    ,2.9    ,11.5    ,8.5    ,25.6    ,12.2    ,14.4    ,6.1    ,0.3    ,26.8    ,43.3    ,26.3    ,3.4    ,92.3    ,7.7    ,50.8    ,19.9    ,36.3    ,19.9    ,26.8    ,48.8    ,3.4    ,68.1    ,10.1    ,59.4    ,238.2    
  教えてもらったり学んだりしたことはない,267    ,24.0    ,0.7    ,2.2    ,3.0    ,10.5    ,13.5    ,15.0    ,9.7    ,10.1    ,4.1    ,-,12.7    ,44.9    ,21.7    ,1.9    ,82.8    ,17.2    ,29.2    ,24.0    ,23.2    ,13.5    ,12.7    ,48.7    ,1.9    ,51.3    ,15.7    ,36.3    ,191.4    
  わからない,57    ,19.3    ,-,3.5    ,5.3    ,7.0    ,12.3    ,12.3    ,5.3    ,12.3    ,3.5    ,-,10.5    ,45.6    ,24.6    ,5.3    ,75.4    ,24.6    ,28.1    ,19.3    ,15.8    ,15.8    ,10.5    ,49.1    ,5.3    ,42.1    ,15.8    ,28.1    ,191.2    
小学生（計）,1080    ,11.7    ,0.3    ,2.8    ,2.9    ,10.8    ,21.9    ,18.7    ,8.3    ,14.3    ,6.1    ,0.6    ,9.8    ,55.7    ,31.5    ,2.4    ,84.2    ,15.8    ,17.1    ,32.6    ,26.3    ,20.1    ,9.8    ,60.4    ,2.4    ,46.1    ,24.6    ,23.8    ,213.5    
  説明を受けたり学んだりした,874    ,13.0    ,0.3    ,2.9    ,2.7    ,11.4    ,22.5    ,20.1    ,8.2    ,15.0    ,6.4    ,0.7    ,10.8    ,56.6    ,32.8    ,2.6    ,85.8    ,14.2    ,18.4    ,33.9    ,27.8    ,21.2    ,10.8    ,61.6    ,2.6    ,48.4    ,25.4    ,25.7    ,220.5    
  教えてもらったり学んだりしたことはない,169    ,6.5    ,-,1.8    ,3.0    ,8.9    ,20.1    ,13.6    ,10.1    ,10.7    ,5.3    ,-,5.9    ,53.3    ,27.2    ,1.8    ,78.7    ,21.3    ,11.2    ,29.0    ,22.5    ,15.4    ,5.9    ,56.8    ,1.8    ,37.9    ,21.9    ,16.6    ,189.3    
  わからない,37    ,2.7    ,-,5.4    ,5.4    ,5.4    ,13.5    ,8.1    ,2.7    ,13.5    ,2.7    ,-,5.4    ,45.9    ,18.9    ,-,70.3    ,29.7    ,13.5    ,18.9    ,8.1    ,16.2    ,5.4    ,48.6    ,-,29.7    ,18.9    ,10.8    ,159.5    
中学生（計）,1329    ,37.3    ,1.0    ,1.7    ,3.7    ,16.7    ,5.0    ,25.6    ,11.7    ,17.1    ,9.0    ,0.2    ,31.0    ,42.6    ,26.4    ,3.8    ,91.5    ,8.5    ,41.9    ,21.4    ,35.6    ,25.1    ,31.0    ,49.0    ,3.8    ,60.4    ,6.6    ,55.1    ,241.2    
