,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
Ｃパソコン（計）,1129    ,51.5    ,0.7    ,0.9    ,3.6    ,13.8    ,7.1    ,70.4    ,33.9    ,16.7    ,7.4    ,0.4    ,37.2    ,52.9    ,35.0    ,6.7    ,100.0    ,-,54.8    ,20.6    ,100.0    ,23.2    ,37.2    ,59.3    ,6.7    ,71.9    ,8.0    ,65.5    ,338.3    
Ｄタブレット（計）,562    ,34.7    ,0.2    ,2.3    ,3.2    ,15.3    ,11.2    ,28.3    ,17.4    ,77.2    ,26.3    ,1.1    ,31.5    ,56.4    ,38.1    ,4.8    ,100.0    ,-,39.1    ,26.2    ,43.2    ,100.0    ,31.5    ,63.9    ,4.8    ,61.4    ,13.5    ,49.5    ,348.0    
Ｅ携帯音楽プレイヤー,327    ,44.6    ,0.3    ,0.6    ,2.1    ,14.1    ,5.2    ,35.8    ,15.6    ,16.8    ,7.3    ,0.6    ,100.0    ,47.7    ,34.6    ,5.2    ,100.0    ,-,45.9    ,19.3    ,47.7    ,22.9    ,100.0    ,54.7    ,5.2    ,63.6    ,5.8    ,58.7    ,330.6    
Ｆゲーム機（計）,719    ,37.8    ,0.3    ,1.3    ,4.5    ,12.9    ,9.2    ,34.4    ,17.1    ,18.5    ,10.7    ,0.4    ,29.5    ,92.4    ,57.0    ,6.8    ,100.0    ,-,41.6    ,22.1    ,49.2    ,28.1    ,29.5    ,100.0    ,6.8    ,59.0    ,10.4    ,50.6    ,332.7    
Ｇインターネット接続テレビ,58    ,58.6    ,1.7    ,1.7    ,8.6    ,17.2    ,3.4    ,34.5    ,43.1    ,24.1    ,3.4    ,-,41.4    ,58.6    ,39.7    ,100.0    ,100.0    ,-,62.1    ,20.7    ,70.7    ,25.9    ,41.4    ,70.7    ,100.0    ,77.6    ,5.2    ,75.9    ,436.2    
Ａ・Ｂスマートフォン・携帯電話（計）,1704    ,86.6    ,1.2    ,1.9    ,5.3    ,9.0    ,3.3    ,28.2    ,14.1    ,12.0    ,4.2    ,0.1    ,31.2    ,38.4    ,24.1    ,4.5    ,100.0    ,-,92.4    ,12.1    ,40.3    ,15.4    ,31.2    ,43.4    ,4.5    ,100.0    ,5.2    ,97.2    ,264.1    
Ａ・Ｂ機能限定や子供向け（計）,58    ,12.1    ,-,48.3    ,5.2    ,3.4    ,51.7    ,19.0    ,10.3    ,15.5    ,6.9    ,-,17.2    ,39.7    ,25.9    ,3.4    ,100.0    ,-,58.6    ,55.2    ,27.6    ,17.2    ,17.2    ,48.3    ,3.4    ,100.0    ,100.0    ,19.0    ,258.6    
Ａ・Ｂ機能限定や子供向け以外（計）,1656    ,89.1    ,1.2    ,0.5    ,5.4    ,9.2    ,1.9    ,28.4    ,14.3    ,11.8    ,4.1    ,0.1    ,31.6    ,38.4    ,24.2    ,4.5    ,100.0    ,-,93.7    ,11.0    ,40.6    ,15.3    ,31.6    ,43.2    ,4.5    ,100.0    ,2.5    ,100.0    ,264.9    
非該当,299    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,100.0    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている（計）,2615    ,57.1    ,0.8    ,1.8    ,3.7    ,11.2    ,6.8    ,31.6    ,15.3    ,17.5    ,7.0    ,0.3    ,30.6    ,46.4    ,28.6    ,4.2    ,100.0    ,-,61.6    ,17.9    ,44.9    ,23.7    ,30.6    ,51.9    ,4.2    ,76.4    ,8.6    ,69.5    ,262.9    
使える機種・設定で、使っていない（計）,923    ,42.3    ,0.7    ,1.7    ,4.0    ,19.4    ,11.1    ,31.0    ,14.6    ,19.5    ,9.4    ,0.4    ,37.7    ,70.7    ,47.1    ,6.3    ,100.0    ,-,46.6    ,30.1    ,43.2    ,28.1    ,37.7    ,78.0    ,6.3    ,72.8    ,12.8    ,61.3    ,315.9    
使えない機種・設定で、使っていない（計）,932    ,34.1    ,0.4    ,2.1    ,3.2    ,20.3    ,24.6    ,27.5    ,14.1    ,17.7    ,9.0    ,0.5    ,42.0    ,62.0    ,38.5    ,3.6    ,100.0    ,-,38.3    ,44.5    ,40.1    ,25.9    ,42.0    ,69.8    ,3.6    ,77.1    ,26.7    ,53.5    ,299.7    
わからない（計）,285    ,42.1    ,1.4    ,5.6    ,4.6    ,17.9    ,16.8    ,26.0    ,11.9    ,14.0    ,9.8    ,-,34.0    ,66.3    ,47.7    ,4.2    ,100.0    ,-,50.2    ,33.7    ,37.2    ,22.1    ,34.0    ,79.3    ,4.2    ,77.9    ,22.5    ,59.3    ,302.5    
非該当,299    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,100.0    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,1475    ,100.0    ,0.1    ,0.5    ,2.2    ,2.2    ,1.6    ,28.3    ,14.6    ,11.5    ,3.9    ,0.1    ,31.5    ,37.2    ,24.7    ,4.5    ,100.0    ,-,100.0    ,3.7    ,40.7    ,14.8    ,31.5    ,42.2    ,4.5    ,100.0    ,2.1    ,100.0    ,263.0    
使える機種・設定で、使っていない,45    ,100.0    ,-,-,-,2.2    ,4.4    ,11.1    ,6.7    ,13.3    ,-,-,13.3    ,24.4    ,20.0    ,2.2    ,100.0    ,-,100.0    ,6.7    ,17.8    ,13.3    ,13.3    ,28.9    ,2.2    ,100.0    ,4.4    ,100.0    ,197.8    
使えない機種・設定で、使っていない,9    ,100.0    ,-,-,11.1    ,-,11.1    ,33.3    ,-,-,11.1    ,-,22.2    ,66.7    ,22.2    ,-,100.0    ,-,100.0    ,11.1    ,33.3    ,11.1    ,22.2    ,66.7    ,-,100.0    ,11.1    ,100.0    ,277.8    
わからない,12    ,100.0    ,-,-,-,8.3    ,-,8.3    ,-,16.7    ,-,-,16.7    ,58.3    ,41.7    ,8.3    ,100.0    ,-,100.0    ,8.3    ,8.3    ,16.7    ,16.7    ,66.7    ,8.3    ,100.0    ,-,100.0    ,258.3    
非該当,1900    ,-,1.1    ,2.8    ,3.5    ,18.8    ,14.7    ,22.1    ,10.0    ,16.1    ,7.6    ,0.4    ,21.1    ,48.5    ,26.9    ,2.4    ,84.3    ,15.7    ,7.2    ,33.4    ,31.0    ,23.1    ,21.1    ,54.2    ,2.4    ,39.2    ,17.5    ,22.4    ,211.6    
【全数】Ｑ２〔ネット利用状況（Ａ２格安スマホ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,19    ,10.5    ,100.0    ,-,5.3    ,10.5    ,5.3    ,21.1    ,15.8    ,-,-,-,15.8    ,26.3    ,15.8    ,5.3    ,100.0    ,-,100.0    ,15.8    ,36.8    ,-,15.8    ,42.1    ,5.3    ,100.0    ,5.3    ,100.0    ,231.6    
使える機種・設定で、使っていない,2    ,-,100.0    ,-,-,-,-,50.0    ,-,50.0    ,-,-,50.0    ,50.0    ,50.0    ,-,100.0    ,-,100.0    ,-,50.0    ,50.0    ,50.0    ,50.0    ,-,100.0    ,-,100.0    ,350.0    
使えない機種・設定で、使っていない,1    ,-,100.0    ,-,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,-,100.0    ,-,-,100.0    ,-,100.0    ,100.0    ,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,600.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
非該当,3419    ,45.0    ,-,1.8    ,2.9    ,11.4    ,9.0    ,24.6    ,11.9    ,14.1    ,5.9    ,0.3    ,25.5    ,43.5    ,25.9    ,3.3    ,91.3    ,8.7    ,48.4    ,20.2    ,34.9    ,19.4    ,25.5    ,48.8    ,3.3    ,66.2    ,10.7    ,56.9    ,233.6    
【全数】Ｑ２〔ネット利用状況（Ａ３子供スマホ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,28    ,10.7    ,-,100.0    ,3.6    ,7.1    ,-,10.7    ,7.1    ,10.7    ,3.6    ,-,14.3    ,32.1    ,25.0    ,3.6    ,100.0    ,-,100.0    ,7.1    ,17.9    ,10.7    ,14.3    ,39.3    ,3.6    ,100.0    ,100.0    ,17.9    ,228.6    
使える機種・設定で、使っていない,6    ,16.7    ,-,100.0    ,-,-,-,16.7    ,-,-,-,-,16.7    ,16.7    ,16.7    ,-,100.0    ,-,100.0    ,-,16.7    ,-,16.7    ,16.7    ,-,100.0    ,100.0    ,16.7    ,183.3    
使えない機種・設定で、使っていない,16    ,6.3    ,-,100.0    ,6.3    ,-,-,12.5    ,6.3    ,31.3    ,18.8    ,-,25.0    ,62.5    ,25.0    ,-,100.0    ,-,100.0    ,-,18.8    ,43.8    ,25.0    ,68.8    ,-,100.0    ,100.0    ,12.5    ,293.8    
わからない,10    ,20.0    ,-,100.0    ,-,-,-,20.0    ,-,20.0    ,10.0    ,-,-,30.0    ,20.0    ,-,100.0    ,-,100.0    ,-,20.0    ,30.0    ,-,40.0    ,-,100.0    ,100.0    ,20.0    ,220.0    
非該当,3381    ,45.4    ,0.7    ,-,2.9    ,11.5    ,9.1    ,24.8    ,12.0    ,14.0    ,5.8    ,0.3    ,25.6    ,43.5    ,25.9    ,3.3    ,91.2    ,8.8    ,47.9    ,20.5    ,35.2    ,19.3    ,25.6    ,48.9    ,3.3    ,65.8    ,9.1    ,57.9    ,233.7    
【全数】Ｑ２〔ネット利用状況（Ａ４契約切れスマホ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,73    ,21.9    ,-,2.7    ,100.0    ,17.8    ,11.0    ,31.5    ,15.1    ,15.1    ,4.1    ,-,17.8    ,58.9    ,23.3    ,6.8    ,100.0    ,-,100.0    ,28.8    ,42.5    ,19.2    ,17.8    ,60.3    ,6.8    ,100.0    ,13.7    ,100.0    ,326.0    
使える機種・設定で、使っていない,12    ,50.0    ,-,-,100.0    ,25.0    ,-,41.7    ,33.3    ,16.7    ,8.3    ,-,33.3    ,75.0    ,66.7    ,-,100.0    ,-,100.0    ,25.0    ,58.3    ,25.0    ,33.3    ,83.3    ,-,100.0    ,-,100.0    ,450.0    
使えない機種・設定で、使っていない,10    ,80.0    ,-,-,100.0    ,30.0    ,-,20.0    ,10.0    ,20.0    ,10.0    ,-,40.0    ,60.0    ,30.0    ,-,100.0    ,-,100.0    ,30.0    ,30.0    ,30.0    ,40.0    ,60.0    ,-,100.0    ,-,100.0    ,400.0    
わからない,5    ,80.0    ,20.0    ,-,100.0    ,20.0    ,20.0    ,40.0    ,-,20.0    ,20.0    ,-,60.0    ,80.0    ,60.0    ,20.0    ,100.0    ,-,100.0    ,40.0    ,40.0    ,40.0    ,60.0    ,80.0    ,20.0    ,100.0    ,20.0    ,100.0    ,540.0    
非該当,3341    ,45.1    ,0.6    ,1.7    ,-,11.1    ,8.9    ,24.4    ,11.8    ,14.0    ,5.9    ,0.3    ,25.5    ,42.9    ,25.7    ,3.2    ,91.1    ,8.9    ,47.2    ,19.9    ,34.7    ,19.3    ,25.5    ,48.3    ,3.2    ,65.4    ,10.7    ,55.9    ,230.1    
【全数】Ｑ２〔ネット利用状況（Ｂ１携帯電話）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,120    ,7.5    ,1.7    ,0.8    ,3.3    ,100.0    ,-,33.3    ,10.8    ,17.5    ,6.7    ,-,43.3    ,49.2    ,26.7    ,5.8    ,100.0    ,-,12.5    ,100.0    ,44.2    ,22.5    ,43.3    ,54.2    ,5.8    ,100.0    ,0.8    ,100.0    ,306.7    
使える機種・設定で、使っていない,128    ,8.6    ,0.8    ,-,7.8    ,100.0    ,1.6    ,30.5    ,14.8    ,21.1    ,7.0    ,-,32.0    ,56.3    ,34.4    ,2.3    ,100.0    ,-,14.8    ,100.0    ,43.0    ,25.8    ,32.0    ,61.7    ,2.3    ,100.0    ,1.6    ,100.0    ,317.2    
使えない機種・設定で、使っていない,120    ,10.0    ,-,0.8    ,4.2    ,100.0    ,2.5    ,25.0    ,18.3    ,26.7    ,6.7    ,-,24.2    ,49.2    ,32.5    ,2.5    ,100.0    ,-,14.2    ,100.0    ,42.5    ,31.7    ,24.2    ,54.2    ,2.5    ,100.0    ,3.3    ,100.0    ,302.5    
わからない,24    ,8.3    ,-,-,4.2    ,100.0    ,-,12.5    ,12.5    ,4.2    ,12.5    ,-,25.0    ,62.5    ,37.5    ,4.2    ,100.0    ,-,12.5    ,100.0    ,20.8    ,16.7    ,25.0    ,62.5    ,4.2    ,100.0    ,-,100.0    ,283.3    
非該当,3049    ,49.4    ,0.6    ,1.9    ,2.6    ,-,9.9    ,24.1    ,11.5    ,13.2    ,5.7    ,0.3    ,24.5    ,42.3    ,25.2    ,3.3    ,90.2    ,9.8    ,53.3    ,9.9    ,34.0    ,18.5    ,24.5    ,47.7    ,3.3    ,62.1    ,11.8    ,51.6    ,224.3    
【全数】Ｑ２〔ネット利用状況（Ｂ２子ども向け携帯等）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,30    ,13.3    ,-,-,6.7    ,-,100.0    ,26.7    ,13.3    ,20.0    ,10.0    ,-,20.0    ,46.7    ,26.7    ,3.3    ,100.0    ,-,20.0    ,100.0    ,36.7    ,23.3    ,20.0    ,56.7    ,3.3    ,100.0    ,100.0    ,20.0    ,286.7    
使える機種・設定で、使っていない,37    ,5.4    ,-,-,-,2.7    ,100.0    ,16.2    ,10.8    ,29.7    ,10.8    ,-,13.5    ,48.6    ,27.0    ,2.7    ,100.0    ,-,5.4    ,100.0    ,18.9    ,40.5    ,13.5    ,51.4    ,2.7    ,100.0    ,100.0    ,8.1    ,267.6    
使えない機種・設定で、使っていない,214    ,8.4    ,-,-,1.4    ,0.9    ,100.0    ,19.6    ,9.3    ,17.3    ,8.9    ,0.9    ,13.1    ,51.4    ,29.4    ,0.5    ,100.0    ,-,9.8    ,100.0    ,28.5    ,25.7    ,13.1    ,56.1    ,0.5    ,100.0    ,100.0    ,10.3    ,261.2    
わからない,26    ,11.5    ,3.8    ,-,15.4    ,7.7    ,100.0    ,26.9    ,11.5    ,11.5    ,7.7    ,-,15.4    ,61.5    ,34.6    ,3.8    ,100.0    ,-,23.1    ,100.0    ,34.6    ,19.2    ,15.4    ,65.4    ,3.8    ,100.0    ,100.0    ,26.9    ,311.5    
非該当,3134    ,48.3    ,0.7    ,1.9    ,2.9    ,12.3    ,-,25.0    ,12.1    ,13.6    ,5.6    ,0.2    ,26.5    ,42.7    ,25.6    ,3.5    ,90.5    ,9.5    ,52.4    ,12.3    ,35.5    ,18.6    ,26.5    ,48.1    ,3.5    ,63.1    ,1.9    ,61.5    ,230.4    
【全数】Ｑ２〔ネット利用状況（Ｃ１ノートＰＣ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,793    ,51.1    ,0.6    ,0.9    ,3.7    ,13.4    ,7.1    ,100.0    ,5.9    ,15.5    ,7.1    ,0.4    ,37.6    ,53.8    ,35.1    ,5.9    ,100.0    ,-,54.5    ,20.4    ,100.0    ,21.6    ,37.6    ,60.2    ,5.9    ,71.8    ,7.9    ,64.9    ,338.0    
使える機種・設定で、使っていない,46    ,37.0    ,2.2    ,2.2    ,6.5    ,10.9    ,13.0    ,100.0    ,13.0    ,21.7    ,6.5    ,-,43.5    ,58.7    ,39.1    ,2.2    ,100.0    ,-,43.5    ,23.9    ,100.0    ,28.3    ,43.5    ,65.2    ,2.2    ,65.2    ,15.2    ,50.0    ,356.5    
使えない機種・設定で、使っていない,4    ,75.0    ,-,-,-,25.0    ,-,100.0    ,-,25.0    ,25.0    ,-,50.0    ,25.0    ,75.0    ,25.0    ,100.0    ,-,75.0    ,25.0    ,100.0    ,25.0    ,50.0    ,75.0    ,25.0    ,100.0    ,-,100.0    ,425.0    
わからない,3    ,33.3    ,-,-,-,-,33.3    ,100.0    ,-,33.3    ,33.3    ,-,-,100.0    ,33.3    ,-,100.0    ,-,33.3    ,33.3    ,100.0    ,66.7    ,-,100.0    ,-,66.7    ,33.3    ,33.3    ,366.7    
非該当,2595    ,43.0    ,0.6    ,2.0    ,2.6    ,10.8    ,9.4    ,-,13.7    ,13.4    ,5.4    ,0.2    ,21.4    ,40.0    ,22.8    ,2.5    ,88.5    ,11.5    ,47.1    ,20.0    ,13.7    ,18.5    ,21.4    ,44.9    ,2.5    ,64.7    ,11.4    ,54.8    ,199.3    
【全数】Ｑ２〔ネット利用状況（Ｃ２デスクトップＰＣ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,380    ,53.4    ,0.8    ,0.8    ,3.9    ,14.2    ,7.6    ,12.1    ,100.0    ,20.5    ,7.9    ,0.3    ,36.8    ,50.5    ,35.3    ,8.9    ,100.0    ,-,56.8    ,21.1    ,100.0    ,27.4    ,36.8    ,56.8    ,8.9    ,73.4    ,8.4    ,67.4    ,353.2    
使える機種・設定で、使っていない,25    ,56.0    ,-,-,4.0    ,8.0    ,8.0    ,28.0    ,100.0    ,24.0    ,4.0    ,-,56.0    ,60.0    ,36.0    ,16.0    ,100.0    ,-,60.0    ,12.0    ,100.0    ,28.0    ,56.0    ,72.0    ,16.0    ,64.0    ,8.0    ,60.0    ,400.0    
使えない機種・設定で、使っていない,2    ,50.0    ,-,-,-,50.0    ,-,-,100.0    ,-,-,-,-,100.0    ,-,-,100.0    ,-,50.0    ,50.0    ,100.0    ,-,-,100.0    ,-,100.0    ,-,100.0    ,300.0    
わからない,2    ,50.0    ,-,-,-,-,-,-,100.0    ,-,-,-,50.0    ,50.0    ,50.0    ,-,100.0    ,-,50.0    ,-,100.0    ,-,50.0    ,100.0    ,-,50.0    ,-,50.0    ,300.0    
非該当,3032    ,43.6    ,0.6    ,1.9    ,2.8    ,11.0    ,9.1    ,26.2    ,-,13.2    ,5.6    ,0.3    ,23.7    ,42.4    ,24.6    ,2.5    ,90.1    ,9.9    ,47.7    ,20.1    ,26.2    ,18.3    ,23.7    ,47.5    ,2.5    ,65.5    ,11.0    ,55.8    ,217.4    
【全数】Ｑ２〔ネット利用状況（Ｄ１タブレット）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,434    ,37.3    ,0.2    ,2.3    ,3.2    ,16.8    ,11.3    ,27.6    ,18.4    ,100.0    ,5.5    ,0.2    ,30.6    ,52.1    ,36.9    ,5.8    ,100.0    ,-,41.9    ,27.6    ,43.1    ,100.0    ,30.6    ,60.1    ,5.8    ,65.0    ,13.6    ,53.2    ,348.4    
使える機種・設定で、使っていない,32    ,40.6    ,-,-,6.3    ,21.9    ,15.6    ,31.3    ,12.5    ,100.0    ,3.1    ,-,21.9    ,65.6    ,40.6    ,3.1    ,100.0    ,-,46.9    ,37.5    ,40.6    ,100.0    ,21.9    ,68.8    ,3.1    ,81.3    ,15.6    ,65.6    ,362.5    
使えない機種・設定で、使っていない,5    ,20.0    ,-,-,-,-,-,40.0    ,-,100.0    ,-,-,20.0    ,60.0    ,-,20.0    ,100.0    ,-,20.0    ,-,40.0    ,100.0    ,20.0    ,60.0    ,20.0    ,20.0    ,-,20.0    ,260.0    
わからない,12    ,16.7    ,8.3    ,-,-,8.3    ,25.0    ,25.0    ,-,100.0    ,-,-,16.7    ,50.0    ,41.7    ,8.3    ,100.0    ,-,25.0    ,33.3    ,25.0    ,100.0    ,16.7    ,58.3    ,8.3    ,58.3    ,25.0    ,33.3    ,300.0    
非該当,2958    ,46.1    ,0.7    ,1.7    ,2.8    ,10.5    ,8.5    ,24.0    ,11.0    ,-,6.0    ,0.3    ,24.7    ,41.9    ,24.1    ,2.9    ,89.9    ,10.1    ,49.9    ,18.9    ,33.7    ,6.2    ,24.7    ,46.9    ,2.9    ,66.6    ,10.1    ,57.8    ,215.3    
【全数】Ｑ２〔ネット利用状況（Ｄ２学習用タブレット）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,139    ,28.8    ,-,2.9    ,2.9    ,12.2    ,10.8    ,30.9    ,15.1    ,10.8    ,100.0    ,0.7    ,36.0    ,71.2    ,43.2    ,2.2    ,100.0    ,-,33.1    ,23.0    ,44.6    ,100.0    ,36.0    ,77.0    ,2.2    ,53.2    ,13.7    ,41.7    ,367.6    
使える機種・設定で、使っていない,33    ,42.4    ,3.0    ,-,3.0    ,18.2    ,15.2    ,36.4    ,15.2    ,12.1    ,100.0    ,3.0    ,42.4    ,66.7    ,39.4    ,3.0    ,100.0    ,-,45.5    ,33.3    ,48.5    ,100.0    ,42.4    ,69.7    ,3.0    ,75.8    ,15.2    ,60.6    ,400.0    
使えない機種・設定で、使っていない,22    ,9.1    ,-,4.5    ,4.5    ,9.1    ,22.7    ,22.7    ,13.6    ,18.2    ,100.0    ,-,18.2    ,59.1    ,45.5    ,4.5    ,100.0    ,-,18.2    ,31.8    ,36.4    ,100.0    ,18.2    ,72.7    ,4.5    ,50.0    ,27.3    ,22.7    ,331.8    
わからない,8    ,25.0    ,-,-,-,37.5    ,37.5    ,12.5    ,25.0    ,25.0    ,100.0    ,-,12.5    ,75.0    ,37.5    ,-,100.0    ,-,25.0    ,75.0    ,37.5    ,100.0    ,12.5    ,75.0    ,-,87.5    ,37.5    ,50.0    ,387.5    
非該当,3239    ,45.8    ,0.6    ,1.7    ,2.9    ,11.2    ,8.6    ,24.2    ,11.7    ,14.1    ,-,0.2    ,24.9    ,41.8    ,24.9    ,3.4    ,90.8    ,9.2    ,49.7    ,19.7    ,34.4    ,14.3    ,24.9    ,47.1    ,3.4    ,66.9    ,10.3    ,58.0    ,225.3    
【全数】Ｑ２〔ネット利用状況（Ｄ３娯楽用タブレット）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,6    ,33.3    ,-,-,-,-,16.7    ,50.0    ,-,16.7    ,16.7    ,100.0    ,33.3    ,100.0    ,33.3    ,-,100.0    ,-,33.3    ,16.7    ,50.0    ,100.0    ,33.3    ,100.0    ,-,50.0    ,16.7    ,33.3    ,400.0    
使える機種・設定で、使っていない,1    ,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,100.0    ,-,-,-,100.0    ,-,-,100.0    ,100.0    ,100.0    ,100.0    ,-,-,100.0    ,100.0    ,-,500.0    
使えない機種・設定で、使っていない,2    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,50.0    ,50.0    ,-,100.0    ,-,-,-,-,100.0    ,-,50.0    ,-,-,-,-,200.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
非該当,3432    ,44.8    ,0.6    ,1.7    ,2.9    ,11.4    ,8.9    ,24.6    ,11.9    ,14.0    ,5.8    ,-,25.4    ,43.4    ,25.9    ,3.3    ,91.3    ,8.7    ,48.8    ,20.2    ,34.9    ,19.1    ,25.4    ,48.7    ,3.3    ,66.5    ,10.6    ,57.2    ,233.4    
【全数】Ｑ２〔ネット利用状況（Ｅ１携帯音楽プレイヤー）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,327    ,44.6    ,0.3    ,0.6    ,2.1    ,14.1    ,5.2    ,35.8    ,15.6    ,16.8    ,7.3    ,0.6    ,100.0    ,47.7    ,34.6    ,5.2    ,100.0    ,-,45.9    ,19.3    ,47.7    ,22.9    ,100.0    ,54.7    ,5.2    ,63.6    ,5.8    ,58.7    ,330.6    
使える機種・設定で、使っていない,162    ,65.4    ,1.2    ,0.6    ,3.7    ,13.6    ,2.5    ,35.8    ,19.8    ,14.8    ,8.0    ,-,100.0    ,57.4    ,35.8    ,3.1    ,100.0    ,-,69.1    ,16.0    ,51.9    ,21.6    ,100.0    ,62.3    ,3.1    ,82.7    ,3.1    ,80.2    ,361.7    
使えない機種・設定で、使っていない,328    ,56.7    ,0.3    ,1.2    ,3.0    ,17.1    ,5.5    ,37.8    ,19.8    ,18.3    ,8.2    ,0.3    ,100.0    ,57.0    ,35.1    ,7.6    ,100.0    ,-,59.8    ,22.3    ,54.9    ,25.6    ,100.0    ,63.7    ,7.6    ,78.4    ,6.7    ,72.3    ,368.0    
わからない,58    ,62.1    ,-,3.4    ,1.7    ,6.9    ,6.9    ,36.2    ,12.1    ,6.9    ,8.6    ,-,100.0    ,51.7    ,24.1    ,5.2    ,100.0    ,-,65.5    ,13.8    ,48.3    ,13.8    ,100.0    ,56.9    ,5.2    ,77.6    ,10.3    ,69.0    ,325.9    
非該当,2566    ,41.6    ,0.7    ,2.0    ,3.0    ,10.3    ,10.3    ,20.5    ,9.9    ,13.3    ,5.2    ,0.2    ,-,40.1    ,23.0    ,2.5    ,88.3    ,11.7    ,46.1    ,20.4    ,29.4    ,18.1    ,-,45.1    ,2.5    ,64.0    ,12.3    ,53.3    ,194.2    
【全数】Ｑ２〔ネット利用状況（Ｆ１携帯ゲーム）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,638    ,36.4    ,0.2    ,1.4    ,4.7    ,13.8    ,9.2    ,34.2    ,16.9    ,17.2    ,11.3    ,0.5    ,27.9    ,100.0    ,51.6    ,6.6    ,100.0    ,-,40.4    ,23.0    ,48.9    ,27.3    ,27.9    ,100.0    ,6.6    ,58.8    ,10.7    ,50.3    ,331.8    
使える機種・設定で、使っていない,462    ,42.9    ,0.6    ,1.7    ,3.5    ,12.1    ,10.6    ,27.5    ,13.0    ,18.6    ,8.2    ,0.4    ,37.2    ,100.0    ,49.1    ,4.5    ,100.0    ,-,47.0    ,22.3    ,38.5    ,26.4    ,37.2    ,100.0    ,4.5    ,66.9    ,12.3    ,56.1    ,330.1    
使えない機種・設定で、使っていない,298    ,34.2    ,0.3    ,1.0    ,4.0    ,16.1    ,12.1    ,28.5    ,10.1    ,16.1    ,7.0    ,0.7    ,29.5    ,100.0    ,41.3    ,1.7    ,100.0    ,-,37.9    ,28.2    ,36.2    ,22.5    ,29.5    ,100.0    ,1.7    ,62.1    ,13.1    ,50.0    ,302.7    
わからない,97    ,42.3    ,2.1    ,3.1    ,4.1    ,13.4    ,14.4    ,28.9    ,12.4    ,12.4    ,9.3    ,-,28.9    ,100.0    ,28.9    ,2.1    ,100.0    ,-,48.5    ,26.8    ,41.2    ,19.6    ,28.9    ,100.0    ,2.1    ,71.1    ,17.5    ,54.6    ,302.1    
