都道府県,01総数,01スマートフォン,01格安スマートフォン,01機能限定・子供向けスマートフォン,01契約切れスマートフォン,01携帯電話,01機能限定電話・子ども向け携帯電話,01ノートパソコン,01デスクトップパソコン,01タブレット,01学習用タブレット,01子供向け娯楽用タブレット,01携帯音楽プレイヤー,01携帯ゲーム機,01据置型ゲーム機,01インターネット接続テレビ,01利用している（計）,01いずれも利用していない,01Ａスマートフォン（計）,01Ｂ携帯電話（計）,01Ｃパソコン（計）,01Ｄタブレット（計）,01Ｅ携帯音楽プレイヤー,01Ｆゲーム機（計）,01Ｇインターネット接続テレビ,01Ａ・Ｂスマートフォン・携帯電話（計）,01Ａ・Ｂ機能限定や子供向け（計）,01Ａ・Ｂ機能限定や子供向け以外（計）,01回答計,01総数_1,01スマートフォン_2,01格安スマートフォン_3,01機能限定・子供向けスマートフォン_4,01契約切れスマートフォン_5,01携帯電話_6,01機能限定電話・子ども向け携帯電話_7,01ノートパソコン_8,01デスクトップパソコン_9,01タブレット_10,01学習用タブレット_11,01子供向け娯楽用タブレット_12,01携帯音楽プレイヤー_13,01携帯ゲーム機_14,01据置型ゲーム機_15,01インターネット接続テレビ_16,01利用している（計）_17,01いずれも利用していない_18,01Ａスマートフォン（計）_19,01Ｂ携帯電話（計）_20,01Ｃパソコン（計）_21,01Ｄタブレット（計）_22,01Ｅ携帯音楽プレイヤー_23,01Ｆゲーム機（計）_24,01Ｇインターネット接続テレビ_25,01Ａ・Ｂスマートフォン・携帯電話（計）_26,01Ａ・Ｂ機能限定や子供向け（計）_27,01Ａ・Ｂ機能限定や子供向け以外（計）_28,01回答計_29,02該当数,02スマートフォン,02格安スマートフォン,02機能限定・子供向けスマートフォン,02契約切れスマートフォン,02携帯電話,02機能限定電話・子ども向け携帯電話,02ノートパソコン,02デスクトップパソコン,02タブレット,02学習用タブレット,02子供向け娯楽用タブレット,02携帯音楽プレイヤー,02携帯ゲーム機,02据置型ゲーム機,02インターネット接続テレビ,02インターネット利用（計）,02インターネット非利用,02モバイル機器（計）,02据置型機器（計）,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,02Ａ・Ｂスマートフォン・携帯電話（計）,02Ａ・Ｂ機能限定や子供向け（計）,02Ａ・Ｂ機能限定や子供向け以外（計）,37該当数,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,37その他,37わからない,52全体 該当者,52使っていない,52３０分未満,52３０分以上１時間未満,52１時間以上２時間未満,52２時間以上３時間未満,52３時間以上４時間未満,52４時間以上５時間未満,52５時間以上６時間未満,52６時間以上９時間未満,52９時間以上１２時間未満,52１２時間以上１５時間未満,52１５時間以上１８時間未満,52１８時間以上２１時間未満,52２１時間以上２４時間未満,52２４時間以上,52わからない,52２時間以上（計）,52５時間以上（計）,52６時間以上（計）,52１２時間以上（計）,52１８時間以上（計）,52平均（分）,52標準偏差,68該当数,68スマートフォン,68格安スマートフォン,68機能限定・子供向けスマートフォン,68契約切れスマートフォン,68携帯電話,68機能限定電話・子ども向け携帯電話,68ノートパソコン,68デスクトップパソコン,68タブレット,68学習用タブレット,68子供向け娯楽用タブレット,68携帯音楽プレイヤー,68携帯ゲーム機,68据置型ゲーム機,68インターネット接続テレビ,68無線ＬＡＮ利用（計）,68無線ＬＡＮ非利用,68Ａスマートフォン（計）,68Ｂ携帯電話（計）,68Ｃパソコン（計）,68Ｄタブレット（計）,68Ｅ携帯音楽プレイヤー,68Ｆゲーム機（計）,68Ｇインターネット接続テレビ,68Ａ・Ｂスマートフォン・携帯電話（計）,68Ａ・Ｂ機能限定や子供向け（計）,68Ａ・Ｂ機能限定や子供向け以外（計）,85該当数,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,85あてはまるものがある（計）,85あてはまるものはない,85わからない,85回答計,86該当数,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,86ルールを決めている（計）,86特にルールを決めていない,86わからない,86回答計,87総数,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,87説明を受けたり学んだりした（計）,87教えてもらったり学んだりしない,87わからない,87回答計,88総数,88男性,88女性,89総数,89１０歳,89１１歳,89１２歳,89１３歳,89１４歳,89１５歳,89１６歳,89１７歳,89平均,89標準偏差,90総数,90男性１０歳,90１１歳,90１２歳,90１３歳,90１４歳,90１５歳,90１６歳,90１７歳,90女性１０歳,90１１歳_30,90１２歳_31,90１３歳_32,90１４歳_33,90１５歳_34,90１６歳_35,90１７歳_36,91総数,91小学４年生,91小学５年生,91小学６年生,91中学１年生,91中学２年生,91中学３年生,91高校１年生,91高校２年生,91高校３年生,91専門学校、各種学校等,91中学校卒業,91高校中退,91専門学校、各種学校等中退・卒業,91小学生（計）,91中学生（計）,91高校生（計）,91その他（計）,92総数,92小学生男子,92女子,92中学生男子,92女子_37,92高校生男子,92女子_38,92その他,93総数,93１人以上いる,93いない,暴力件数,いじめ件数,不登校件数
熊本県,45,40,2.2,2.2,2.2,2.2,6.7,8.9,2.2,15.6,0,0,11.1,26.7,13.3,2.2,80,20,46.7,8.9,11.1,15.6,11.1,28.9,2.2,55.6,8.9,46.7,155.6,45,40,2.2,2.2,2.2,2.2,6.7,8.9,2.2,15.6,0,0,11.1,26.7,13.3,2.2,80,20,46.7,8.9,11.1,15.6,11.1,28.9,2.2,55.6,8.9,46.7,155.6,36,50,2.8,2.8,0,0,0,8.3,2.8,16.7,0,0,11.1,16.7,5.6,2.8,80.6,19.4,80.6,11.1,55.6,0,11.1,16.7,11.1,19.4,2.8,55.6,2.8,52.8,18,83.3,33.3,77.8,44.4,83.3,77.8,27.8,72.2,16.7,5.6,0,29,0,3.4,6.9,31,24.1,10.3,3.4,3.4,13.8,3.4,0,0,0,0,0,0,58.6,20.7,17.2,0,0,162.41,140.2,29,55.2,3.4,0,0,0,0,6.9,3.4,20.7,0,0,6.9,13.8,3.4,3.4,89.7,10.3,58.6,0,10.3,20.7,6.9,17.2,3.4,58.6,0,58.6,29,0,0,0,0,0,0,3.4,13.8,20.7,6.9,3.4,0,6.9,0,31,69,0,124.1,29,27.6,6.9,3.4,3.4,3.4,3.4,3.4,6.9,6.9,48.3,48.3,3.4,117.2,45,93.3,46.7,6.7,2.2,0,11.1,6.7,6.7,0,95.6,4.4,0,177.8,45,40,60,45,15.6,2.2,11.1,17.8,13.3,17.8,13.3,8.9,13.62,2.2,45,2.2,2.2,2.2,11.1,13.3,2.2,2.2,4.4,13.3,0,8.9,6.7,0,15.6,11.1,4.4,45,2.2,13.3,8.9,11.1,20,13.3,20,8.9,2.2,0,0,0,0,24.4,44.4,31.1,0,45,4.4,20,26.7,17.8,8.9,22.2,0,45,75.6,24.4,1.3,12.1,14.2 
大分県,46,73.9,2.2,2.2,4.3,8.7,10.9,8.7,8.7,23.9,0,0,17.4,34.8,17.4,2.2,97.8,2.2,76.1,19.6,17.4,23.9,17.4,41.3,2.2,89.1,13,78.3,217.4,46,73.9,2.2,2.2,4.3,8.7,10.9,8.7,8.7,23.9,0,0,17.4,34.8,17.4,2.2,97.8,2.2,76.1,19.6,17.4,23.9,17.4,41.3,2.2,89.1,13,78.3,217.4,45,73.3,2.2,0,2.2,4.4,4.4,8.9,8.9,22.2,0,0,13.3,20,6.7,0,91.1,8.9,91.1,13.3,73.3,8.9,17.8,22.2,13.3,22.2,0,77.8,4.4,75.6,33,84.8,33.3,60.6,27.3,57.6,78.8,12.1,87.9,15.2,3,0,41,0,0,14.6,17.1,17.1,19.5,2.4,4.9,19.5,0,0,0,0,0,0,4.9,63.4,24.4,19.5,0,0,186.23,137.4,41,68.3,2.4,0,2.4,2.4,4.9,0,7.3,19.5,0,0,2.4,14.6,2.4,0,73.2,26.8,68.3,7.3,7.3,19.5,2.4,14.6,0,70.7,4.9,68.3,41,2.4,2.4,2.4,2.4,0,0,9.8,19.5,9.8,0,2.4,2.4,7.3,2.4,31.7,65.9,2.4,131.7,41,29.3,24.4,9.8,9.8,14.6,24.4,19.5,46.3,2.4,65.9,34.1,0,214.6,46,84.8,39.1,4.3,6.5,2.2,6.5,10.9,10.9,0,91.3,8.7,0,173.9,46,43.5,56.5,46,4.3,13,17.4,8.7,10.9,13,13,19.6,13.98,2.3,46,0,2.2,8.7,2.2,2.2,6.5,8.7,13,4.3,10.9,8.7,6.5,8.7,6.5,4.3,6.5,46,0,10.9,17.4,15.2,4.3,15.2,13,19.6,4.3,0,0,0,0,28.3,34.8,37,0,46,4.3,23.9,15.2,19.6,23.9,13,0,46,63,37,2.1,44.2,16.9 
宮崎県,34,50,2.9,0,5.9,2.9,0,11.8,2.9,11.8,2.9,0,5.9,17.6,8.8,8.8,76.5,23.5,58.8,2.9,14.7,11.8,5.9,20.6,8.8,61.8,0,61.8,155.9,34,50,2.9,0,5.9,2.9,0,11.8,2.9,11.8,2.9,0,5.9,17.6,8.8,8.8,76.5,23.5,58.8,2.9,14.7,11.8,5.9,20.6,8.8,61.8,0,61.8,155.9,26,61.5,3.8,0,7.7,3.8,0,15.4,3.8,15.4,3.8,0,0,11.5,7.7,11.5,92.3,7.7,92.3,19.2,73.1,3.8,19.2,15.4,0,15.4,11.5,76.9,0,76.9,16,93.8,43.8,62.5,12.5,87.5,75,25,68.8,18.8,0,0,24,0,0,8.3,33.3,20.8,16.7,4.2,0,4.2,0,0,0,0,0,0,12.5,45.8,4.2,4.2,0,0,120.48,79,24,66.7,4.2,0,8.3,4.2,0,12.5,4.2,16.7,4.2,0,0,4.2,8.3,12.5,91.7,8.3,79.2,4.2,16.7,16.7,0,8.3,12.5,83.3,0,83.3,24,0,0,0,0,4.2,0,8.3,0,0,0,0,0,8.3,0,16.7,83.3,0,104.2,24,20.8,29.2,8.3,4.2,16.7,20.8,20.8,20.8,0,66.7,29.2,4.2,175,34,97.1,29.4,0,0,0,5.9,5.9,2.9,0,97.1,2.9,0,144.1,34,38.2,61.8,34,11.8,5.9,5.9,14.7,14.7,14.7,11.8,20.6,14.09,2.3,34,8.8,2.9,0,5.9,5.9,2.9,5.9,5.9,2.9,2.9,5.9,8.8,8.8,11.8,5.9,14.7,34,2.9,11.8,2.9,14.7,17.6,14.7,5.9,11.8,14.7,0,0,2.9,0,17.6,47.1,32.4,2.9,34,11.8,5.9,14.7,32.4,8.8,23.5,2.9,34,58.8,41.2,1.5,108.2,12.4 
鹿児島県,42,50,4.8,0,2.4,7.1,0,14.3,2.4,21.4,2.4,0,14.3,16.7,14.3,9.5,76.2,23.8,57.1,7.1,14.3,21.4,14.3,28.6,9.5,61.9,0,61.9,183.3,42,50,4.8,0,2.4,7.1,0,14.3,2.4,21.4,2.4,0,14.3,16.7,14.3,9.5,76.2,23.8,57.1,7.1,14.3,21.4,14.3,28.6,9.5,61.9,0,61.9,183.3,32,62.5,3.1,0,3.1,3.1,0,15.6,3.1,25,3.1,0,6.3,12.5,6.3,6.3,87.5,12.5,81.3,15.6,68.8,3.1,15.6,25,6.3,18.8,6.3,68.8,0,68.8,20,90,30,60,25,65,75,10,70,20,0,0,28,0,7.1,0,25,21.4,14.3,3.6,10.7,7.1,3.6,0,0,0,0,0,7.1,60.7,21.4,10.7,0,0,177.38,133.6,28,64.3,3.6,0,3.6,3.6,0,17.9,0,28.6,3.6,0,7.1,14.3,3.6,7.1,89.3,10.7,71.4,3.6,17.9,28.6,7.1,17.9,7.1,71.4,0,71.4,28,7.1,3.6,3.6,0,3.6,0,10.7,14.3,10.7,0,0,0,7.1,0,32.1,60.7,7.1,128.6,28,35.7,17.9,10.7,3.6,17.9,21.4,21.4,25,0,64.3,28.6,7.1,189.3,42,83.3,16.7,2.4,0,4.8,9.5,7.1,7.1,0,85.7,7.1,7.1,145.2,42,59.5,40.5,42,11.9,9.5,11.9,19,14.3,7.1,14.3,11.9,13.52,2.2,42,9.5,2.4,11.9,9.5,9.5,7.1,4.8,4.8,2.4,7.1,0,9.5,4.8,0,9.5,7.1,42,4.8,9.5,19,11.9,11.9,14.3,11.9,14.3,2.4,0,0,0,0,33.3,38.1,28.6,0,42,23.8,9.5,23.8,14.3,11.9,16.7,0,42,64.3,35.7,0.8,28.3,15.6 
沖縄県,65,60,1.5,3.1,0,3.1,9.2,7.7,6.2,21.5,3.1,0,12.3,26.2,6.2,1.5,90.8,9.2,61.5,12.3,13.8,23.1,12.3,30.8,1.5,72.3,12.3,61.5,170.8,65,60,1.5,3.1,0,3.1,9.2,7.7,6.2,21.5,3.1,0,12.3,26.2,6.2,1.5,90.8,9.2,61.5,12.3,13.8,23.1,12.3,30.8,1.5,72.3,12.3,61.5,170.8,59,66.1,0,3.4,0,0,0,5.1,6.8,18.6,1.7,0,6.8,13.6,5.1,1.7,88.1,11.9,86.4,13.6,67.8,0,11.9,20.3,6.8,18.6,1.7,67.8,3.4,66.1,39,82.1,33.3,69.2,41,79.5,87.2,20.5,66.7,10.3,7.7,0,52,0,3.8,5.8,34.6,21.2,15.4,9.6,3.8,3.8,0,0,0,0,0,0,1.9,53.8,7.7,3.8,0,0,135.98,99.7,52,67.3,0,3.8,0,0,0,5.8,5.8,17.3,0,0,7.7,9.6,0,0,86.5,13.5,69.2,0,11.5,17.3,7.7,9.6,0,69.2,3.8,67.3,52,1.9,0,1.9,0,0,0,5.8,9.6,7.7,0,0,0,9.6,1.9,25,75,0,113.5,52,36.5,19.2,9.6,11.5,11.5,13.5,17.3,25,0,61.5,36.5,1.9,182.7,65,87.7,38.5,3.1,9.2,3.1,9.2,9.2,9.2,0,90.8,9.2,0,178.5,65,53.8,46.2,65,10.8,7.7,15.4,13.8,13.8,12.3,9.2,16.9,13.71,2.3,65,6.2,1.5,10.8,9.2,6.2,9.2,4.6,6.2,4.6,6.2,4.6,4.6,7.7,3.1,4.6,10.8,65,4.6,10.8,15.4,12.3,13.8,12.3,7.7,16.9,3.1,0,3.1,0,0,30.8,38.5,27.7,3.1,65,15.4,15.4,24.6,13.8,10.8,16.9,3.1,65,46.2,53.8,10,60.7,20.7 
北海道,147,49,4.8,3.4,6.1,7.5,9.5,25.2,11.6,29.9,2,0,22.4,52.4,40.8,6.1,99.3,0.7,58.5,16.3,35.4,32,22.4,63.9,6.1,72.1,12.2,62.6,271.4,147,49,4.8,3.4,6.1,7.5,9.5,25.2,11.6,29.9,2,0,22.4,52.4,40.8,6.1,99.3,0.7,58.5,16.3,35.4,32,22.4,63.9,6.1,72.1,12.2,62.6,271.4,146,49.3,4.8,2.1,4.8,2.7,0.7,24,10.3,28.1,1.4,0,8.9,37,26,3.4,91.1,8.9,89,31.5,58.2,3.4,32.9,29.5,8.9,44.5,3.4,61.6,2.7,58.9,133,71.4,29.3,65.4,31.6,69.9,82.7,14.3,82,16.5,6.8,0.8,133,3.8,0.8,5.3,23.3,27.1,14.3,6.8,6,9,2.3,1.5,0,0,0,0,0,66.9,18.8,12.8,1.5,0,179.25,149.9,133,50.4,4.5,2.3,5.3,1.5,0.8,23.3,6.8,27.8,1.5,0,9,36.1,24.8,3.8,91.7,8.3,59.4,2.3,29.3,29.3,9,43.6,3.8,61.7,3,58.6,133,4.5,1.5,0.8,3,1.5,0.8,15.8,23.3,15,1.5,0,0.8,11.3,3.8,41.4,57.9,0.8,142.1,133,36.1,25.6,8.3,12.8,12.8,21.8,28.6,27.1,4.5,69.2,30.1,0.8,208.3,147,86.4,29.3,4.8,3.4,3.4,11.6,18.4,11.6,0,88.4,10.9,0.7,180.3,147,53.7,46.3,147,10.9,14.3,12.2,11.6,9.5,10.9,15.6,15,13.65,2.4,147,5.4,10.2,6.8,5.4,6.1,5.4,6.8,7.5,5.4,4.1,5.4,6.1,3.4,5.4,8.8,7.5,147,6.1,15,12.9,11.6,8.8,12.2,12.2,19,2,0,0,0,0,34,32.7,33.3,0,147,19,15,18.4,14.3,16.3,17,0,147,40.1,59.9,2,15.5,11.2 
青森県,27,48.1,0,3.7,11.1,3.7,0,25.9,0,22.2,0,0,37,40.7,14.8,14.8,77.8,22.2,55.6,3.7,25.9,22.2,37,40.7,14.8,55.6,3.7,55.6,244.4,27,48.1,0,3.7,11.1,3.7,0,25.9,0,22.2,0,0,37,40.7,14.8,14.8,77.8,22.2,55.6,3.7,25.9,22.2,37,40.7,14.8,55.6,3.7,55.6,244.4,21,57.1,0,0,14.3,0,0,33.3,0,28.6,0,0,28.6,14.3,9.5,14.3,90.5,9.5,90.5,14.3,66.7,0,33.3,28.6,28.6,14.3,14.3,66.7,0,66.7,19,73.7,26.3,68.4,21.1,84.2,84.2,15.8,84.2,21.1,5.3,0,19,10.5,0,5.3,15.8,26.3,0,21.1,0,5.3,5.3,0,0,5.3,0,0,5.3,63.2,15.8,15.8,5.3,5.3,213.61,262.6,19,57.9,0,0,15.8,0,0,26.3,0,31.6,0,0,31.6,10.5,10.5,5.3,89.5,10.5,68.4,0,26.3,31.6,31.6,10.5,5.3,68.4,0,68.4,19,10.5,10.5,0,10.5,10.5,5.3,10.5,21.1,36.8,10.5,5.3,5.3,31.6,0,68.4,31.6,0,200,19,21.1,31.6,10.5,0,5.3,21.1,15.8,26.3,0,73.7,26.3,0,157.9,27,88.9,18.5,0,0,0,18.5,18.5,11.1,0,92.6,7.4,0,163,27,48.1,51.9,27,3.7,11.1,18.5,3.7,11.1,29.6,18.5,3.7,13.89,2,27,0,7.4,7.4,0,7.4,18.5,7.4,0,3.7,3.7,11.1,3.7,3.7,11.1,11.1,3.7,27,0,14.8,7.4,11.1,11.1,25.9,22.2,7.4,0,0,0,0,0,22.2,48.1,29.6,0,27,7.4,14.8,29.6,18.5,11.1,18.5,0,27,51.9,48.1,4.6,38.8,11.5 
岩手県,47,40.4,0,0,6.4,2.1,6.4,8.5,8.5,27.7,2.1,0,14.9,59.6,31.9,0,95.7,4.3,44.7,8.5,14.9,29.8,14.9,66,0,53.2,6.4,46.8,212.8,47,40.4,0,0,6.4,2.1,6.4,8.5,8.5,27.7,2.1,0,14.9,59.6,31.9,0,95.7,4.3,44.7,8.5,14.9,29.8,14.9,66,0,53.2,6.4,46.8,212.8,45,42.2,0,0,0,0,0,8.9,4.4,26.7,0,0,4.4,22.2,11.1,0,75.6,24.4,73.3,15.6,42.2,0,11.1,26.7,4.4,26.7,0,42.2,0,42.2,34,67.6,8.8,38.2,5.9,47.1,64.7,5.9,70.6,11.8,0,0,34,2.9,5.9,14.7,29.4,23.5,17.6,0,0,0,2.9,0,0,0,0,0,2.9,44.1,2.9,2.9,0,0,107.97,111.2,34,44.1,0,0,0,0,0,8.8,2.9,23.5,0,0,5.9,14.7,5.9,0,70.6,29.4,44.1,0,8.8,23.5,5.9,17.6,0,44.1,0,44.1,34,0,0,2.9,0,2.9,0,5.9,17.6,8.8,0,0,2.9,11.8,0,26.5,73.5,0,126.5,34,32.4,11.8,5.9,8.8,8.8,5.9,5.9,8.8,0,52.9,47.1,0,135.3,47,93.6,29.8,2.1,2.1,0,6.4,6.4,2.1,4.3,95.7,4.3,0,151.1,47,57.4,42.6,47,6.4,21.3,27.7,4.3,12.8,8.5,10.6,8.5,13.06,2.1,47,2.1,17,14.9,2.1,6.4,4.3,6.4,4.3,4.3,4.3,12.8,2.1,6.4,4.3,4.3,4.3,47,4.3,12.8,27.7,10.6,17,6.4,8.5,6.4,6.4,0,0,0,0,44.7,34,21.3,0,47,29.8,14.9,17,17,10.6,10.6,0,47,61.7,38.3,3.1,44.4,12.5 
宮城県,82,53.7,1.2,3.7,1.2,6.1,3.7,11,7.3,13.4,2.4,0,20.7,46.3,26.8,4.9,92.7,7.3,59.8,9.8,18.3,13.4,20.7,51.2,4.9,69.5,7.3,62.2,209.8,82,53.7,1.2,3.7,1.2,6.1,3.7,11,7.3,13.4,2.4,0,20.7,46.3,26.8,4.9,92.7,7.3,59.8,9.8,18.3,13.4,20.7,51.2,4.9,69.5,7.3,62.2,209.8,76,57.9,1.3,0,0,1.3,0,11.8,7.9,13.2,1.3,0,10.5,32.9,21.1,3.9,85.5,14.5,84.2,25,59.2,1.3,19.7,13.2,10.5,38.2,3.9,60.5,0,60.5,65,75.4,36.9,63.1,27.7,67.7,72.3,13.8,72.3,10.8,6.2,3.1,65,7.7,7.7,6.2,16.9,26.2,12.3,9.2,6.2,7.7,0,0,0,0,0,0,0,61.5,13.8,7.7,0,0,143.55,113.2,65,67.7,1.5,0,0,0,0,12.3,9.2,13.8,1.5,0,9.2,27.7,15.4,3.1,90.8,9.2,69.2,0,21.5,13.8,9.2,30.8,3.1,69.2,0,69.2,65,3.1,0,1.5,0,0,0,6.2,9.2,6.2,1.5,0,0,4.6,9.2,26.2,73.8,0,115.4,65,23.1,9.2,10.8,13.8,9.2,9.2,24.6,13.8,1.5,56.9,43.1,0,158.5,82,81.7,34.1,2.4,2.4,1.2,2.4,8.5,2.4,1.2,85.4,14.6,0,151.2,82,36.6,63.4,82,13.4,8.5,8.5,15.9,13.4,12.2,9.8,18.3,13.74,2.4,82,4.9,2.4,2.4,4.9,4.9,3.7,4.9,8.5,8.5,6.1,6.1,11,8.5,8.5,4.9,9.8,82,7.3,12.2,7.3,8.5,15.9,14.6,14.6,14.6,4.9,0,0,0,0,26.8,39,34.1,0,82,8.5,18.3,14.6,24.4,13.4,20.7,0,82,50,50,5,77.9,18.8 
秋田県,34,38.2,5.9,0,2.9,0,0,11.8,2.9,11.8,2.9,0,0,26.5,14.7,2.9,73.5,26.5,47.1,0,14.7,11.8,0,32.4,2.9,47.1,0,47.1,147.1,34,38.2,5.9,0,2.9,0,0,11.8,2.9,11.8,2.9,0,0,26.5,14.7,2.9,73.5,26.5,47.1,0,14.7,11.8,0,32.4,2.9,47.1,0,47.1,147.1,25,52,8,0,0,0,0,16,4,12,0,0,0,24,4,0,96,4,96,8,60,0,20,12,0,28,0,60,0,60,24,58.3,37.5,58.3,20.8,66.7,87.5,8.3,62.5,20.8,0,4.2,24,0,4.2,8.3,45.8,16.7,12.5,0,4.2,4.2,0,0,0,0,0,0,4.2,37.5,8.3,4.2,0,0,112.61,92.9,24,45.8,8.3,0,0,0,0,8.3,4.2,8.3,0,0,0,16.7,4.2,0,79.2,20.8,54.2,0,12.5,8.3,0,20.8,0,54.2,0,54.2,24,0,0,4.2,0,4.2,4.2,12.5,20.8,16.7,4.2,0,0,20.8,0,41.7,54.2,4.2,145.8,24,33.3,29.2,16.7,12.5,41.7,29.2,29.2,45.8,0,70.8,20.8,8.3,266.7,34,97.1,29.4,2.9,0,0,8.8,8.8,11.8,0,97.1,2.9,0,161.8,34,52.9,47.1,34,5.9,23.5,5.9,11.8,11.8,17.6,8.8,14.7,13.62,2.3,34,2.9,11.8,2.9,8.8,5.9,8.8,2.9,8.8,2.9,11.8,2.9,2.9,5.9,8.8,5.9,5.9,34,2.9,17.6,14.7,8.8,11.8,17.6,8.8,11.8,5.9,0,0,0,0,35.3,38.2,26.5,0,34,17.6,17.6,23.5,14.7,11.8,14.7,0,34,61.8,38.2,1.3,28.4,10.2 
山形県,35,45.7,2.9,0,2.9,0,0,28.6,11.4,14.3,2.9,0,28.6,37.1,20,0,85.7,14.3,48.6,0,37.1,17.1,28.6,42.9,0,48.6,0,48.6,208.6,35,45.7,2.9,0,2.9,0,0,28.6,11.4,14.3,2.9,0,28.6,37.1,20,0,85.7,14.3,48.6,0,37.1,17.1,28.6,42.9,0,48.6,0,48.6,208.6,30,53.3,3.3,0,0,0,0,30,13.3,16.7,3.3,0,20,16.7,6.7,0,93.3,6.7,86.7,20,56.7,0,40,20,20,20,0,56.7,0,56.7,28,67.9,32.1,57.1,21.4,67.9,60.7,3.6,67.9,14.3,17.9,3.6,28,3.6,3.6,14.3,21.4,28.6,14.3,3.6,3.6,7.1,0,0,0,0,0,0,0,57.1,10.7,7.1,0,0,130.68,100.4,28,46.4,3.6,0,0,0,0,17.9,10.7,17.9,0,0,0,0,0,0,78.6,21.4,50,0,25,17.9,0,0,0,50,0,50,28,0,0,10.7,0,3.6,0,7.1,17.9,7.1,0,0,0,7.1,0,39.3,60.7,0,114.3,28,28.6,25,3.6,3.6,7.1,10.7,14.3,25,3.6,64.3,35.7,0,157.1,35,100,42.9,5.7,5.7,8.6,11.4,14.3,5.7,0,100,0,0,194.3,35,45.7,54.3,35,8.6,11.4,14.3,20,0,20,14.3,11.4,13.66,2.2,35,2.9,5.7,5.7,11.4,0,5.7,11.4,2.9,5.7,5.7,8.6,8.6,0,14.3,2.9,8.6,35,8.6,11.4,5.7,20,8.6,5.7,20,14.3,5.7,0,0,0,0,25.7,34.3,40,0,35,11.4,14.3,17.1,17.1,17.1,22.9,0,35,65.7,34.3,0.8,56.6,11.3 
福島県,31,38.7,0,0,3.2,3.2,9.7,6.5,6.5,6.5,3.2,0,9.7,12.9,6.5,0,67.7,32.3,41.9,12.9,9.7,9.7,9.7,16.1,0,54.8,9.7,45.2,138.7,31,38.7,0,0,3.2,3.2,9.7,6.5,6.5,6.5,3.2,0,9.7,12.9,6.5,0,67.7,32.3,41.9,12.9,9.7,9.7,9.7,16.1,0,54.8,9.7,45.2,138.7,21,57.1,0,0,4.8,0,0,4.8,9.5,9.5,0,0,9.5,4.8,0,0,71.4,28.6,71.4,9.5,61.9,0,9.5,9.5,9.5,4.8,0,61.9,0,61.9,15,80,60,73.3,60,86.7,93.3,13.3,60,20,6.7,0,15,6.7,0,6.7,20,26.7,33.3,0,0,0,6.7,0,0,0,0,0,0,66.7,6.7,6.7,0,0,153.33,124.9,15,73.3,0,0,6.7,0,0,6.7,6.7,13.3,0,0,13.3,6.7,0,0,93.3,6.7,80,0,13.3,13.3,13.3,6.7,0,80,0,80,15,6.7,0,0,20,6.7,0,20,26.7,26.7,6.7,6.7,0,26.7,6.7,53.3,46.7,0,200,15,13.3,13.3,6.7,0,13.3,26.7,13.3,13.3,0,40,60,0,160,31,83.9,48.4,3.2,0,0,16.1,9.7,9.7,3.2,90.3,9.7,0,183.9,31,32.3,67.7,31,16.1,3.2,12.9,6.5,12.9,12.9,22.6,12.9,13.9,2.4,31,9.7,3.2,3.2,0,3.2,6.5,6.5,0,6.5,0,9.7,6.5,9.7,6.5,16.1,12.9,31,12.9,6.5,3.2,12.9,9.7,16.1,12.9,16.1,9.7,0,0,0,0,22.6,38.7,38.7,0,31,12.9,9.7,12.9,25.8,6.5,32.3,0,31,51.6,48.4,2,9.9,11.5 
