,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85ネットで知り合った人とメール等した,85ネットで知り合った異性と会った,86利用する時間を決めている,86メール・メッセージを送る相手の制限,86送信・投稿内容を決めている,86料金上限や課金方法を決めている,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された
67,0.0,1.9,0.0,0.0,0.0,20.8,0.0,20.8,11.3,18.9,22.6,38.6,12.3,3.5
68,1.2,2.4,2.4,0.0,1.2,10.6,0.0,35.3,2.4,2.4,16.5,27.7,4.3,0.0
69,0.0,2.3,2.3,2.3,0.0,14.9,2.3,21.3,7.5,8.0,18.4,33.2,0.0,3.3
70,0.0,2.0,2.0,3.9,0.0,5.9,2.0,19.6,7.8,5.9,11.8,28.3,5.0,11.7
71,0.0,0.0,0.0,0.0,0.0,2.4,0.0,38.1,7.1,4.8,11.9,39.7,1.7,3.4
72,0.0,0.0,5.6,0.0,0.0,5.6,0.0,16.7,5.6,11.1,5.6,12.5,0.0,0.0
73,1.4,1.4,4.3,0.7,0.7,9.9,1.4,26.2,11.3,14.9,17.7,42.0,3.0,2.4
74,0.7,2.8,2.1,0.7,1.4,9.7,0.7,29.9,7.6,7.6,20.8,37.0,5.5,1.8
75,0.0,0.0,5.3,0.0,0.0,0.0,0.0,63.2,15.8,5.3,21.1,36.4,6.1,6.1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,5.9,11.8,5.9,45.8,4.2,0.0
77,0.0,0.0,0.0,7.7,0.0,23.1,0.0,38.5,7.7,23.1,15.4,19.2,0.0,3.8
78,4.3,2.1,4.3,2.1,2.1,12.8,0.0,25.5,10.6,6.4,14.9,43.6,1.8,3.6
79,1.9,5.8,1.9,3.8,0.0,15.4,3.8,32.7,7.7,11.5,25.0,45.2,4.1,1.4
80,1.9,0.0,0.0,0.0,0.0,9.6,0.0,32.7,9.6,7.7,21.2,36.8,1.8,1.8
81,3.3,0.0,3.3,0.0,0.0,33.3,0.0,16.7,10.0,13.3,26.7,42.4,6.1,9.1
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,14.3,0.0,7.1,5.9,11.8,5.9
83,0.0,0.0,0.0,0.0,0.0,10.7,0.0,21.4,7.1,3.6,35.7,33.3,3.0,6.1
84,0.0,0.0,0.0,5.3,0.0,5.3,0.0,15.8,0.0,10.5,10.5,21.7,8.7,4.3
85,1.1,3.3,5.6,4.4,1.1,13.3,1.1,33.3,10.0,13.3,17.8,47.9,10.7,3.3
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.0,8.0,12.0,15.2,0.0,3.0
87,0.0,5.7,2.9,0.0,0.0,0.0,0.0,28.6,17.1,8.6,14.3,25.5,3.9,3.9
88,0.0,2.7,5.4,0.0,0.0,8.1,2.7,32.4,18.9,8.1,21.6,52.9,5.9,9.8
89,0.0,3.1,6.3,3.1,0.0,12.5,0.0,43.8,12.5,18.8,21.9,47.7,13.6,6.8
90,0.0,9.5,0.0,0.0,0.0,14.3,0.0,38.1,9.5,9.5,23.8,36.4,9.1,0.0
91,3.1,0.0,3.1,0.0,3.1,9.4,0.0,34.4,15.6,12.5,12.5,23.8,2.4,2.4
92,0.0,4.1,2.0,4.1,0.0,10.2,0.0,24.5,4.1,6.1,18.4,46.0,4.8,6.3
93,0.0,1.3,1.3,1.3,0.7,11.3,0.7,23.3,6.0,13.3,25.3,36.9,5.6,4.4
94,0.0,0.0,0.0,3.1,0.0,3.1,0.0,34.4,15.6,3.1,6.3,26.8,2.4,2.4
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,6.9,0.0,6.9,20.0,8.6,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,10.7,5.4,12.5,35.4,2.5,3.8
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,12.5,12.5,16.7,29.6,3.7,0.0
98,0.0,4.5,0.0,9.1,0.0,13.6,0.0,27.3,18.2,18.2,18.2,75.0,12.5,6.3
99,0.0,4.5,6.8,6.8,2.3,13.6,4.5,29.5,9.1,22.7,27.3,38.3,1.7,8.3
100,0.0,3.0,1.5,1.5,0.0,17.9,3.0,25.4,9.0,16.4,17.9,35.4,6.1,4.9
101,0.0,0.0,1.9,0.0,0.0,5.8,1.9,26.9,9.6,11.5,32.7,56.5,8.1,3.2
102,0.0,2.0,0.0,2.0,0.0,0.0,0.0,30.0,12.0,12.0,28.0,31.7,1.7,10.0
103,1.1,4.0,1.1,1.7,1.7,13.1,0.6,22.7,9.7,15.3,30.1,45.4,4.2,6.9
104,1.0,2.9,2.9,2.9,0.0,10.7,2.9,15.5,9.7,13.6,25.2,27.0,0.0,3.6
105,1.0,5.0,4.0,2.0,1.5,9.5,1.5,28.0,14.0,15.5,26.0,39.8,4.8,6.4
106,2.7,3.3,3.3,2.0,0.0,8.7,2.0,22.7,11.3,15.3,20.7,42.5,5.4,5.9
107,0.0,2.3,2.3,4.5,0.0,9.1,0.0,15.9,4.5,6.8,18.2,22.0,2.0,4.0
108,0.0,2.3,0.0,2.3,0.0,6.8,0.0,34.1,6.8,6.8,15.9,50.0,2.0,4.0
109,0.0,9.5,0.0,0.0,0.0,9.5,0.0,33.3,9.5,14.3,9.5,15.4,0.0,0.0
110,0.0,4.2,0.0,0.0,0.0,20.8,4.2,37.5,8.3,8.3,20.8,36.4,0.0,9.1
111,3.2,6.5,0.0,3.2,0.0,6.5,0.0,35.5,12.9,22.6,29.0,28.9,2.6,2.6
112,0.0,2.9,0.0,2.9,0.0,2.9,0.0,20.0,2.9,11.4,25.7,14.9,2.1,0.0
113,1.7,3.4,1.7,1.7,1.7,8.6,0.0,31.0,1.7,6.9,12.1,34.6,2.6,6.4
114,0.0,2.2,1.1,0.0,0.0,4.4,1.1,19.8,3.3,4.4,8.8,24.8,1.0,2.9
115,0.6,5.6,1.7,1.7,1.1,12.3,1.7,27.9,9.5,7.8,15.6,32.3,0.9,2.3
116,0.0,2.4,4.9,2.4,0.0,4.9,0.0,41.5,2.4,7.3,19.5,30.8,5.8,9.6
117,0.0,5.7,2.9,0.0,0.0,5.7,0.0,25.7,5.7,8.6,28.6,29.5,6.8,4.5
118,2.6,2.6,2.6,0.0,0.0,0.0,0.0,30.8,10.3,10.3,12.8,35.6,2.2,0.0
119,4.3,3.2,3.2,1.1,2.7,9.0,1.6,23.4,10.1,4.3,17.6,37.7,3.1,4.5
120,1.1,3.2,3.2,1.1,3.2,12.6,1.1,25.3,7.4,11.6,23.2,41.9,0.9,1.7
121,0.0,2.1,0.0,4.3,0.0,4.3,0.0,31.9,14.9,4.3,21.3,40.0,5.5,5.5
122,0.0,0.0,0.0,0.0,0.0,4.2,0.0,33.3,8.3,12.5,8.3,31.3,6.3,3.1
123,4.8,4.8,0.0,4.8,0.0,9.5,4.8,23.8,4.8,4.8,9.5,32.4,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,7.1,0.0,28.6,7.1,7.1,35.7,31.6,5.3,0.0
125,3.7,3.7,3.7,5.6,0.0,11.1,1.9,35.2,14.8,3.7,18.5,36.7,3.3,1.7
126,2.6,10.5,10.5,0.0,2.6,13.2,2.6,18.4,7.9,15.8,26.3,50.0,6.5,8.1
127,0.0,1.8,0.0,1.8,0.0,5.4,0.0,23.2,8.9,8.9,12.5,45.3,1.6,9.4
128,3.4,0.0,0.0,0.0,0.0,20.7,0.0,31.0,6.9,20.7,17.2,63.6,15.2,9.1
129,0.0,0.0,0.0,4.3,0.0,4.3,0.0,17.4,4.3,8.7,26.1,22.6,3.2,6.5
130,0.0,0.0,0.0,0.0,3.1,6.3,0.0,21.9,3.1,6.3,12.5,27.0,0.0,18.9
131,0.0,7.7,0.0,0.0,0.0,7.7,0.0,46.2,0.0,0.0,38.5,31.3,12.5,6.3
132,0.8,2.5,2.5,0.0,0.8,12.6,0.8,28.6,5.0,7.6,16.8,24.2,3.0,1.2
133,0.0,0.0,2.5,2.5,2.5,10.0,0.0,37.5,5.0,5.0,7.5,30.9,3.6,0.0
134,0.0,0.0,0.0,0.0,0.0,8.3,0.0,16.7,12.5,16.7,12.5,23.9,0.0,2.2
135,0.0,0.0,0.0,0.0,0.0,10.5,0.0,15.8,2.6,10.5,21.1,40.4,7.7,9.6
136,0.0,0.0,0.0,0.0,0.0,4.2,0.0,20.8,12.5,8.3,20.8,28.9,0.0,2.2
137,4.3,13.0,4.3,0.0,0.0,8.7,4.3,30.4,8.7,13.0,17.4,41.9,3.2,0.0
138,6.8,4.5,6.8,6.8,0.0,20.5,4.5,20.5,6.8,6.8,20.5,23.5,0.0,5.9
139,0.0,2.5,0.8,0.0,0.0,9.2,1.7,24.2,4.2,10.0,20.8,39.5,2.5,6.8
140,0.0,5.4,0.0,0.0,0.0,16.2,2.7,13.5,8.1,10.8,18.9,18.3,5.0,1.7
141,0.0,0.0,0.0,0.0,0.0,5.3,0.0,31.6,5.3,10.5,15.8,16.7,3.3,3.3
142,1.5,1.5,3.0,0.0,0.0,0.0,0.0,25.4,7.5,13.4,29.9,32.5,2.5,6.3
143,0.0,4.0,4.0,0.0,0.0,24.0,0.0,8.0,24.0,40.0,52.0,42.3,3.8,15.4
144,0.0,4.3,0.0,0.0,0.0,21.7,4.3,30.4,0.0,8.7,21.7,37.9,6.9,0.0
145,0.0,3.1,0.0,0.0,0.0,15.6,0.0,31.3,12.5,15.6,18.8,51.2,0.0,2.3
146,0.0,4.3,2.9,1.4,0.0,7.2,0.0,31.9,5.8,10.1,15.9,24.4,0.0,3.7
147,2.1,0.0,4.2,0.0,0.0,16.7,2.1,27.1,4.2,16.7,31.3,37.7,2.9,2.9
148,6.7,0.0,0.0,3.3,0.0,13.3,0.0,36.7,0.0,6.7,16.7,63.4,2.4,4.9
149,0.8,2.5,3.3,4.1,0.0,11.5,0.8,32.0,4.9,14.8,19.7,38.5,2.3,4.6
150,2.1,4.8,2.8,1.4,0.0,18.6,1.4,25.5,9.0,15.2,26.9,45.4,6.3,8.6
151,0.5,2.2,2.7,2.2,0.5,8.2,0.5,33.7,9.2,10.3,17.9,43.0,2.1,3.8
152,1.8,2.4,0.6,0.6,0.0,12.0,1.8,29.5,12.0,19.3,32.5,46.9,6.8,7.7
153,0.0,2.1,2.1,2.1,2.1,12.5,2.1,31.3,8.3,16.7,18.8,30.3,3.0,4.5
154,2.1,10.4,4.2,2.1,0.0,8.3,2.1,27.1,6.3,12.5,14.6,28.8,0.0,1.9
155,4.2,8.3,0.0,0.0,4.2,4.2,4.2,33.3,8.3,4.2,8.3,28.6,3.6,3.6
156,0.0,3.8,3.8,11.5,0.0,19.2,0.0,19.2,0.0,7.7,23.1,41.2,2.9,5.9
157,0.0,3.4,6.9,0.0,0.0,6.9,0.0,10.3,3.4,6.9,17.2,39.0,0.0,4.9
158,0.0,2.3,4.7,2.3,0.0,16.3,0.0,34.9,9.3,7.0,27.9,25.9,1.7,5.2
159,0.0,2.1,2.1,0.0,0.0,19.1,0.0,40.4,8.5,6.4,27.7,28.6,1.8,3.6
160,0.0,2.5,1.2,0.0,0.0,7.4,0.0,29.6,6.2,8.6,24.7,38.5,6.7,5.8
161,0.5,4.9,2.7,3.8,1.1,12.0,0.5,29.9,9.2,6.5,15.8,37.8,2.5,6.6
162,2.1,2.1,2.1,2.1,0.0,4.2,4.2,29.2,8.3,8.3,16.7,24.1,0.0,7.4
163,0.0,10.3,6.9,3.4,3.4,6.9,0.0,20.7,10.3,6.9,10.3,31.8,0.0,4.5
164,0.0,1.7,5.2,3.4,0.0,6.9,1.7,20.7,6.9,12.1,20.7,40.3,4.2,1.4
165,0.5,7.0,2.2,1.6,1.6,11.3,1.6,21.5,5.9,12.4,19.9,44.6,3.4,6.9
166,3.7,6.5,2.8,2.8,0.9,12.1,0.9,32.7,8.4,10.3,20.6,45.6,5.4,4.1
167,4.0,12.0,0.0,8.0,4.0,12.0,0.0,16.0,24.0,12.0,20.0,38.7,3.2,3.2
168,0.0,0.0,0.0,0.0,5.3,5.3,5.3,0.0,5.3,15.8,10.5,18.5,0.0,3.7
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,30.0,50.0,0.0,0.0
