,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票３〕Ｑ３〔A-3機能限定・子供向けスマートフォン〕あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,コミニュケーション,ニュース,情報検索,地図・ナビゲーション,音楽視聴,動画視聴,電子書籍,ゲーム,ショッピング・オークション,その他,わからない,回答計
＊＊【　総　数　】＊＊,28    ,60.7    ,7.1    ,42.9    ,21.4    ,32.1    ,35.7    ,3.6    ,42.9    ,-,10.7    ,10.7    ,267.9    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,28    ,60.7    ,7.1    ,42.9    ,21.4    ,32.1    ,35.7    ,3.6    ,42.9    ,-,10.7    ,10.7    ,267.9    
ＷＥＢ調査,-,-,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,10    ,70.0    ,-,40.0    ,10.0    ,10.0    ,10.0    ,-,50.0    ,-,10.0    ,10.0    ,210.0    
  男子,3    ,33.3    ,-,-,-,-,-,-,-,-,33.3    ,33.3    ,100.0    
  女子,7    ,85.7    ,-,57.1    ,14.3    ,14.3    ,14.3    ,-,71.4    ,-,-,-,257.1    
中学生（計）,10    ,40.0    ,10.0    ,40.0    ,20.0    ,50.0    ,40.0    ,10.0    ,40.0    ,-,20.0    ,10.0    ,280.0    
  男子,2    ,50.0    ,50.0    ,50.0    ,50.0    ,50.0    ,50.0    ,-,-,-,-,50.0    ,350.0    
  女子,8    ,37.5    ,-,37.5    ,12.5    ,50.0    ,37.5    ,12.5    ,50.0    ,-,25.0    ,-,262.5    
高校生（計）,8    ,75.0    ,12.5    ,50.0    ,37.5    ,37.5    ,62.5    ,-,37.5    ,-,-,12.5    ,325.0    
  男子,4    ,75.0    ,-,25.0    ,25.0    ,50.0    ,50.0    ,-,25.0    ,-,-,-,250.0    
  女子,4    ,75.0    ,25.0    ,75.0    ,50.0    ,25.0    ,75.0    ,-,50.0    ,-,-,25.0    ,400.0    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,24    ,62.5    ,8.3    ,50.0    ,25.0    ,37.5    ,41.7    ,4.2    ,45.8    ,-,4.2    ,12.5    ,291.7    
  教えてもらったり学んだりしたことはない,3    ,33.3    ,-,-,-,-,-,-,33.3    ,-,66.7    ,-,133.3    
  わからない,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,100.0    
