,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「９」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔D-1タブレット〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,483    ,89.9    ,6.6    ,1.0    ,2.5    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,472    ,89.8    ,6.6    ,1.1    ,2.5    
ＷＥＢ調査,11    ,90.9    ,9.1    ,-,-
〔性・学校種別〕,,,,,
小学生（計）,154    ,85.7    ,7.8    ,2.6    ,3.9    
  男子,87    ,87.4    ,9.2    ,2.3    ,1.1    
  女子,67    ,83.6    ,6.0    ,3.0    ,7.5    
中学生（計）,227    ,92.5    ,5.3    ,-,2.2    
  男子,116    ,94.0    ,4.3    ,-,1.7    
  女子,111    ,91.0    ,6.3    ,-,2.7    
高校生（計）,101    ,90.1    ,7.9    ,1.0    ,1.0    
  男子,47    ,91.5    ,6.4    ,2.1    ,-
  女子,54    ,88.9    ,9.3    ,-,1.9    
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,449    ,90.6    ,6.5    ,0.9    ,2.0    
  教えてもらったり学んだりしたことはない,27    ,81.5    ,3.7    ,3.7    ,11.1    
  わからない,7    ,71.4    ,28.6    ,-,-
小学生（計）,154    ,85.7    ,7.8    ,2.6    ,3.9    
  説明を受けたり学んだりした,131    ,87.8    ,6.9    ,2.3    ,3.1    
  教えてもらったり学んだりしたことはない,18    ,77.8    ,5.6    ,5.6    ,11.1    
  わからない,5    ,60.0    ,40.0    ,-,-
中学生（計）,227    ,92.5    ,5.3    ,-,2.2    
  説明を受けたり学んだりした,220    ,92.7    ,5.5    ,-,1.8    
  教えてもらったり学んだりしたことはない,6    ,83.3    ,-,-,16.7    
  わからない,1    ,100.0    ,-,-,-
高校生（計）,101    ,90.1    ,7.9    ,1.0    ,1.0    
  説明を受けたり学んだりした,97    ,89.7    ,8.2    ,1.0    ,1.0    
  教えてもらったり学んだりしたことはない,3    ,100.0    ,-,-,-
  わからない,1    ,100.0    ,-,-,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,322    ,95.7    ,3.4    ,0.3    ,0.6    
  特にルールを決めていない,129    ,92.2    ,6.2    ,0.8    ,0.8    
  わからない,7    ,100.0    ,-,-,-
小学生（計）,138    ,95.7    ,2.9    ,0.7    ,0.7    
  ルールを決めている（計）,111    ,96.4    ,2.7    ,0.9    ,-
  特にルールを決めていない,24    ,91.7    ,4.2    ,-,4.2    
  わからない,3    ,100.0    ,-,-,-
中学生（計）,219    ,95.9    ,3.7    ,-,0.5    
  ルールを決めている（計）,158    ,96.2    ,3.2    ,-,0.6    
