,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔C-2デスクトップパソコン〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,380    ,15.8    ,20.5    ,20.8    ,19.2    ,5.0    ,4.2    ,1.1    ,1.6    ,11.8    ,11.8    ,49.83    ,71.6    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,373    ,15.0    ,20.6    ,20.9    ,19.3    ,5.1    ,4.3    ,1.1    ,1.6    ,12.1    ,12.1    ,50.62    ,72.1    
ＷＥＢ調査,7    ,57.1    ,14.3    ,14.3    ,14.3    ,-,-,-,-,-,-,13.00    ,23.5    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,86    ,15.1    ,23.3    ,29.1    ,16.3    ,4.7    ,2.3    ,-,2.3    ,7.0    ,9.3    ,41.98    ,57.8    
  男子,42    ,14.3    ,14.3    ,33.3    ,16.7    ,7.1    ,4.8    ,-,4.8    ,4.8    ,16.7    ,57.50    ,74.9    
  女子,44    ,15.9    ,31.8    ,25.0    ,15.9    ,2.3    ,-,-,-,9.1    ,2.3    ,26.45    ,25.9    
中学生（計）,142    ,17.6    ,25.4    ,17.6    ,17.6    ,5.6    ,2.8    ,0.7    ,1.4    ,11.3    ,10.6    ,45.68    ,72.1    
  男子,74    ,21.6    ,18.9    ,14.9    ,18.9    ,6.8    ,4.1    ,1.4    ,-,13.5    ,12.2    ,45.55    ,54.2    
  女子,68    ,13.2    ,32.4    ,20.6    ,16.2    ,4.4    ,1.5    ,-,2.9    ,8.8    ,8.8    ,45.82    ,87.3    
高校生（計）,150    ,14.7    ,14.0    ,18.7    ,22.7    ,4.7    ,6.7    ,2.0    ,1.3    ,15.3    ,14.7    ,59.37    ,78.5    
  男子,61    ,14.8    ,11.5    ,18.0    ,27.9    ,3.3    ,3.3    ,4.9    ,1.6    ,14.8    ,13.1    ,66.35    ,97.3    
  女子,89    ,14.6    ,15.7    ,19.1    ,19.1    ,5.6    ,9.0    ,-,1.1    ,15.7    ,15.7    ,54.53    ,62.5    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,357    ,16.0    ,19.9    ,20.2    ,19.9    ,4.8    ,4.5    ,0.8    ,1.4    ,12.6    ,11.5    ,49.48    ,71.2    
  教えてもらったり学んだりしたことはない,21    ,14.3    ,28.6    ,33.3    ,9.5    ,9.5    ,-,4.8    ,-,-,14.3    ,45.00    ,58.8    
  わからない,2    ,-,50.0    ,-,-,-,-,-,50.0    ,-,50.0    ,155.00    ,205.1    
小学生（計）,86    ,15.1    ,23.3    ,29.1    ,16.3    ,4.7    ,2.3    ,-,2.3    ,7.0    ,9.3    ,41.98    ,57.8    
  説明を受けたり学んだりした,71    ,15.5    ,21.1    ,26.8    ,19.7    ,4.2    ,2.8    ,-,1.4    ,8.5    ,8.5    ,40.97    ,53.5    
  教えてもらったり学んだりしたことはない,14    ,14.3    ,35.7    ,42.9    ,-,7.1    ,-,-,-,-,7.1    ,28.21    ,30.6    
  わからない,1    ,-,-,-,-,-,-,-,100.0    ,-,100.0    ,300.00    ,-
中学生（計）,142    ,17.6    ,25.4    ,17.6    ,17.6    ,5.6    ,2.8    ,0.7    ,1.4    ,11.3    ,10.6    ,45.68    ,72.1    
  説明を受けたり学んだりした,138    ,18.1    ,25.4    ,17.4    ,16.7    ,5.8    ,2.9    ,0.7    ,1.4    ,11.6    ,10.9    ,45.87    ,73.2    
  教えてもらったり学んだりしたことはない,3    ,-,-,33.3    ,66.7    ,-,-,-,-,-,-,50.00    ,17.3    
  わからない,1    ,-,100.0    ,-,-,-,-,-,-,-,-,10.00    ,-
高校生（計）,150    ,14.7    ,14.0    ,18.7    ,22.7    ,4.7    ,6.7    ,2.0    ,1.3    ,15.3    ,14.7    ,59.37    ,78.5    
  説明を受けたり学んだりした,146    ,14.4    ,13.7    ,19.2    ,23.3    ,4.1    ,6.8    ,1.4    ,1.4    ,15.8    ,13.7    ,58.05    ,77.3    
  教えてもらったり学んだりしたことはない,4    ,25.0    ,25.0    ,-,-,25.0    ,-,25.0    ,-,-,50.0    ,100.00    ,115.8    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,258    ,17.1    ,20.2    ,21.7    ,19.0    ,5.0    ,3.5    ,0.4    ,1.6    ,11.6    ,10.5    ,46.25    ,65.8    
  特にルールを決めていない,120    ,13.3    ,21.7    ,19.2    ,18.3    ,5.0    ,5.8    ,2.5    ,1.7    ,12.5    ,15.0    ,57.43    ,83.2    
  わからない,2    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
小学生（計）,86    ,15.1    ,23.3    ,29.1    ,16.3    ,4.7    ,2.3    ,-,2.3    ,7.0    ,9.3    ,41.98    ,57.8    
  ルールを決めている（計）,64    ,17.2    ,20.3    ,34.4    ,14.1    ,4.7    ,-,-,3.1    ,6.3    ,7.8    ,39.47    ,59.1    
  特にルールを決めていない,21    ,9.5    ,33.3    ,14.3    ,19.0    ,4.8    ,9.5    ,-,-,9.5    ,14.3    ,48.95    ,56.0    
  わからない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
中学生（計）,142    ,17.6    ,25.4    ,17.6    ,17.6    ,5.6    ,2.8    ,0.7    ,1.4    ,11.3    ,10.6    ,45.68    ,72.1    
  ルールを決めている（計）,108    ,20.4    ,24.1    ,14.8    ,19.4    ,5.6    ,1.9    ,0.9    ,0.9    ,12.0    ,9.3    ,44.17    ,73.8    
  特にルールを決めていない,34    ,8.8    ,29.4    ,26.5    ,11.8    ,5.9    ,5.9    ,-,2.9    ,8.8    ,14.7    ,50.32    ,67.7    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,150    ,14.7    ,14.0    ,18.7    ,22.7    ,4.7    ,6.7    ,2.0    ,1.3    ,15.3    ,14.7    ,59.37    ,78.5    
  ルールを決めている（計）,85    ,12.9    ,14.1    ,21.2    ,22.4    ,4.7    ,8.2    ,-,1.2    ,15.3    ,14.1    ,55.14    ,60.0    
  特にルールを決めていない,64    ,17.2    ,14.1    ,15.6    ,21.9    ,4.7    ,4.7    ,4.7    ,1.6    ,15.6    ,15.6    ,65.00    ,98.9    
  わからない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,380    ,15.8    ,20.5    ,20.8    ,19.2    ,5.0    ,4.2    ,1.1    ,1.6    ,11.8    ,11.8    ,49.83    ,71.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
