,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「４」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔A-4携帯電話の契約が切れたスマートフォン〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,100    ,73.0    ,12.0    ,10.0    ,5.0    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,100    ,73.0    ,12.0    ,10.0    ,5.0    
ＷＥＢ調査,-,-,-,-,-
〔性・学校種別〕,,,,,
小学生（計）,31    ,83.9    ,9.7    ,3.2    ,3.2    
  男子,15    ,86.7    ,13.3    ,-,-
  女子,16    ,81.3    ,6.3    ,6.3    ,6.3    
中学生（計）,49    ,75.5    ,6.1    ,10.2    ,8.2    
  男子,26    ,76.9    ,11.5    ,3.8    ,7.7    
  女子,23    ,73.9    ,-,17.4    ,8.7    
高校生（計）,20    ,50.0    ,30.0    ,20.0    ,-
  男子,12    ,41.7    ,41.7    ,16.7    ,-
  女子,8    ,62.5    ,12.5    ,25.0    ,-
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,89    ,73.0    ,12.4    ,10.1    ,4.5    
  教えてもらったり学んだりしたことはない,8    ,87.5    ,-,-,12.5    
  わからない,3    ,33.3    ,33.3    ,33.3    ,-
小学生（計）,31    ,83.9    ,9.7    ,3.2    ,3.2    
  説明を受けたり学んだりした,24    ,83.3    ,12.5    ,-,4.2    
  教えてもらったり学んだりしたことはない,5    ,100.0    ,-,-,-
  わからない,2    ,50.0    ,-,50.0    ,-
中学生（計）,49    ,75.5    ,6.1    ,10.2    ,8.2    
  説明を受けたり学んだりした,46    ,78.3    ,4.3    ,10.9    ,6.5    
  教えてもらったり学んだりしたことはない,2    ,50.0    ,-,-,50.0    
  わからない,1    ,-,100.0    ,-,-
高校生（計）,20    ,50.0    ,30.0    ,20.0    ,-
  説明を受けたり学んだりした,19    ,47.4    ,31.6    ,21.1    ,-
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-,-
  わからない,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,59    ,76.3    ,10.2    ,8.5    ,5.1    
  特にルールを決めていない,36    ,72.2    ,13.9    ,8.3    ,5.6    
  わからない,2    ,100.0    ,-,-,-
小学生（計）,30    ,86.7    ,10.0    ,-,3.3    
  ルールを決めている（計）,23    ,87.0    ,13.0    ,-,-
  特にルールを決めていない,6    ,83.3    ,-,-,16.7    
  わからない,1    ,100.0    ,-,-,-
中学生（計）,47    ,78.7    ,4.3    ,8.5    ,8.5    
  ルールを決めている（計）,27    ,74.1    ,3.7    ,11.1    ,11.1    
