,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔A-3機能限定・子供向けスマートフォン〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,28    ,39.3    ,35.7    ,25.0    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,28    ,39.3    ,35.7    ,25.0    
ＷＥＢ調査,-,-,-,-
〔性・学校種別〕,,,,
小学生（計）,10    ,20.0    ,50.0    ,30.0    
  男子,3    ,33.3    ,33.3    ,33.3    
  女子,7    ,14.3    ,57.1    ,28.6    
中学生（計）,10    ,40.0    ,30.0    ,30.0    
  男子,2    ,50.0    ,-,50.0    
  女子,8    ,37.5    ,37.5    ,25.0    
高校生（計）,8    ,62.5    ,25.0    ,12.5    
  男子,4    ,50.0    ,50.0    ,-
  女子,4    ,75.0    ,-,25.0    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,24    ,45.8    ,29.2    ,25.0    
  教えてもらったり学んだりしたことはない,3    ,-,66.7    ,33.3    
  わからない,1    ,-,100.0    ,-
小学生（計）,10    ,20.0    ,50.0    ,30.0    
  説明を受けたり学んだりした,9    ,22.2    ,44.4    ,33.3    
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,1    ,-,100.0    ,-
中学生（計）,10    ,40.0    ,30.0    ,30.0    
  説明を受けたり学んだりした,8    ,50.0    ,25.0    ,25.0    
  教えてもらったり学んだりしたことはない,2    ,-,50.0    ,50.0    
  わからない,-,-,-,-
高校生（計）,8    ,62.5    ,25.0    ,12.5    
  説明を受けたり学んだりした,7    ,71.4    ,14.3    ,14.3    
  教えてもらったり学んだりしたことはない,1    ,-,100.0    ,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,22    ,45.5    ,27.3    ,27.3    
  特にルールを決めていない,6    ,16.7    ,66.7    ,16.7    
  わからない,-,-,-,-
小学生（計）,10    ,20.0    ,50.0    ,30.0    
  ルールを決めている（計）,8    ,12.5    ,50.0    ,37.5    
  特にルールを決めていない,2    ,50.0    ,50.0    ,-
  わからない,-,-,-,-
中学生（計）,10    ,40.0    ,30.0    ,30.0    
  ルールを決めている（計）,7    ,57.1    ,14.3    ,28.6    
  特にルールを決めていない,3    ,-,66.7    ,33.3    
  わからない,-,-,-,-
高校生（計）,8    ,62.5    ,25.0    ,12.5    
  ルールを決めている（計）,7    ,71.4    ,14.3    ,14.3    
  特にルールを決めていない,1    ,-,100.0    ,-
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,28    ,39.3    ,35.7    ,25.0    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,10    ,20.0    ,50.0    ,30.0    
  インターネット利用（計）,10    ,20.0    ,50.0    ,30.0    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,10    ,40.0    ,30.0    ,30.0    
  インターネット利用（計）,10    ,40.0    ,30.0    ,30.0    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,8    ,62.5    ,25.0    ,12.5    
  インターネット利用（計）,8    ,62.5    ,25.0    ,12.5    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,17    ,58.8    ,29.4    ,11.8    
  いない,11    ,9.1    ,45.5    ,45.5    
小学生（計）,10    ,20.0    ,50.0    ,30.0    
  １人以上いる,4    ,25.0    ,50.0    ,25.0    
  いない,6    ,16.7    ,50.0    ,33.3    
中学生（計）,10    ,40.0    ,30.0    ,30.0    
  １人以上いる,6    ,66.7    ,16.7    ,16.7    
  いない,4    ,-,50.0    ,50.0    
高校生（計）,8    ,62.5    ,25.0    ,12.5    
  １人以上いる,7    ,71.4    ,28.6    ,-
  いない,1    ,-,-,100.0    
〔地域〕,,,,
北海道・東北,4    ,75.0    ,25.0    ,-
北関東,3    ,-,33.3    ,66.7    
南関東,9    ,33.3    ,44.4    ,22.2    
東海・北陸・信越,6    ,50.0    ,33.3    ,16.7    
近畿,3    ,-,66.7    ,33.3    
中国・四国,-,-,-,-
九州・沖縄,3    ,66.7    ,-,33.3    
〔都市規模〕,,,,
大都市（政令指定都市）,8    ,50.0    ,25.0    ,25.0    
人口２０万人以上の市,10    ,30.0    ,50.0    ,20.0    
人口１０万人以上の市,4    ,50.0    ,50.0    ,-
人口１０万人未満の市,5    ,40.0    ,20.0    ,40.0    
郡部（町村）,1    ,-,-,100.0    
〔都道府県〕,,,,
北海道,1    ,100.0    ,-,-
青森県,-,-,-,-
岩手県,-,-,-,-
宮城県,1    ,100.0    ,-,-
秋田県,2    ,50.0    ,50.0    ,-
山形県,-,-,-,-
福島県,-,-,-,-
茨城県,1    ,-,-,100.0    
栃木県,-,-,-,-
群馬県,-,-,-,-
埼玉県,1    ,-,100.0    ,-
千葉県,1    ,-,-,100.0    
東京都,4    ,25.0    ,50.0    ,25.0    
神奈川県,5    ,40.0    ,40.0    ,20.0    
新潟県,-,-,-,-
富山県,1    ,-,-,100.0    
石川県,-,-,-,-
福井県,-,-,-,-
山梨県,-,-,-,-
長野県,1    ,-,100.0    ,-
岐阜県,-,-,-,-
静岡県,2    ,50.0    ,50.0    ,-
愛知県,2    ,100.0    ,-,-
三重県,-,-,-,-
滋賀県,-,-,-,-
京都府,-,-,-,-
大阪府,3    ,-,66.7    ,33.3    
兵庫県,-,-,-,-
奈良県,-,-,-,-
和歌山県,-,-,-,-
鳥取県,-,-,-,-
島根県,-,-,-,-
岡山県,-,-,-,-
広島県,-,-,-,-
山口県,-,-,-,-
徳島県,-,-,-,-
香川県,-,-,-,-
愛媛県,-,-,-,-
高知県,-,-,-,-
福岡県,1    ,100.0    ,-,-
佐賀県,-,-,-,-
長崎県,1    ,-,-,100.0    
熊本県,-,-,-,-
大分県,-,-,-,-
宮崎県,1    ,100.0    ,-,-
鹿児島県,-,-,-,-
沖縄県,-,-,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,3    ,66.7    ,33.3    ,-
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,28    ,39.3    ,35.7    ,25.0    
契約切れスマートフォン,1    ,-,100.0    ,-
携帯電話,2    ,100.0    ,-,-
機能限定電話・子ども向け携帯電話,-,-,-,-
ノートパソコン,3    ,66.7    ,-,33.3    
デスクトップパソコン,2    ,50.0    ,-,50.0    
タブレット,3    ,66.7    ,33.3    ,-
学習用タブレット,1    ,100.0    ,-,-
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,4    ,75.0    ,25.0    ,-
携帯ゲーム機,9    ,33.3    ,33.3    ,33.3    
据置型ゲーム機,7    ,28.6    ,42.9    ,28.6    
インターネット接続テレビ,1    ,-,-,100.0    
利用している（計）,28    ,39.3    ,35.7    ,25.0    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,28    ,39.3    ,35.7    ,25.0    
Ｂ携帯電話（計）,2    ,100.0    ,-,-
Ｃパソコン（計）,5    ,60.0    ,-,40.0    
Ｄタブレット（計）,3    ,66.7    ,33.3    ,-
Ｅ携帯音楽プレイヤー,4    ,75.0    ,25.0    ,-
Ｆゲーム機（計）,11    ,27.3    ,36.4    ,36.4    
Ｇインターネット接続テレビ,1    ,-,-,100.0    
Ａ・Ｂスマートフォン・携帯電話（計）,28    ,39.3    ,35.7    ,25.0    
Ａ・Ｂ機能限定や子供向け（計）,28    ,39.3    ,35.7    ,25.0    
Ａ・Ｂ機能限定や子供向け以外（計）,5    ,60.0    ,40.0    ,-
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,
スマートフォン,3    ,66.7    ,33.3    ,-
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,28    ,39.3    ,35.7    ,25.0    
契約切れスマートフォン,1    ,-,100.0    ,-
携帯電話,1    ,100.0    ,-,-
機能限定電話・子ども向け携帯電話,-,-,-,-
ノートパソコン,3    ,66.7    ,-,33.3    
デスクトップパソコン,2    ,50.0    ,-,50.0    
タブレット,3    ,66.7    ,33.3    ,-
学習用タブレット,1    ,100.0    ,-,-
子供向け娯楽用タブレット,-,-,-,-
