,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔B-2機能限定・子供向け携帯電話〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,30    ,16.7    ,46.7    ,23.3    ,3.3    ,-,-,-,-,10.0    ,-,13.33    ,15.1    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,30    ,16.7    ,46.7    ,23.3    ,3.3    ,-,-,-,-,10.0    ,-,13.33    ,15.1    
ＷＥＢ調査,-,-,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,18    ,16.7    ,44.4    ,22.2    ,-,-,-,-,-,16.7    ,-,10.87    ,12.6    
  男子,8    ,25.0    ,37.5    ,12.5    ,-,-,-,-,-,25.0    ,-,6.50    ,11.7    
  女子,10    ,10.0    ,50.0    ,30.0    ,-,-,-,-,-,10.0    ,-,13.78    ,13.0    
中学生（計）,11    ,18.2    ,54.5    ,18.2    ,9.1    ,-,-,-,-,-,-,15.18    ,18.1    
  男子,7    ,14.3    ,57.1    ,28.6    ,-,-,-,-,-,-,-,13.14    ,12.0    
  女子,4    ,25.0    ,50.0    ,-,25.0    ,-,-,-,-,-,-,18.75    ,27.8    
高校生（計）,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
  男子,-,-,-,-,-,-,-,-,-,-,-,-,-
  女子,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,23    ,13.0    ,47.8    ,26.1    ,4.3    ,-,-,-,-,8.7    ,-,14.81    ,15.7    
  教えてもらったり学んだりしたことはない,6    ,33.3    ,50.0    ,-,-,-,-,-,-,16.7    ,-,3.80    ,6.4    
  わからない,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
小学生（計）,18    ,16.7    ,44.4    ,22.2    ,-,-,-,-,-,16.7    ,-,10.87    ,12.6    
  説明を受けたり学んだりした,13    ,15.4    ,38.5    ,30.8    ,-,-,-,-,-,15.4    ,-,13.09    ,13.7    
  教えてもらったり学んだりしたことはない,5    ,20.0    ,60.0    ,-,-,-,-,-,-,20.0    ,-,4.75    ,6.9    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,11    ,18.2    ,54.5    ,18.2    ,9.1    ,-,-,-,-,-,-,15.18    ,18.1    
  説明を受けたり学んだりした,10    ,10.0    ,60.0    ,20.0    ,10.0    ,-,-,-,-,-,-,16.70    ,18.3    
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
  説明を受けたり学んだりした,-,-,-,-,-,-,-,-,-,-,-,-,-
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,18    ,22.2    ,38.9    ,33.3    ,-,-,-,-,-,5.6    ,-,12.35    ,13.7    
  特にルールを決めていない,11    ,9.1    ,63.6    ,9.1    ,9.1    ,-,-,-,-,9.1    ,-,15.00    ,17.8    
  わからない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
小学生（計）,18    ,16.7    ,44.4    ,22.2    ,-,-,-,-,-,16.7    ,-,10.87    ,12.6    
  ルールを決めている（計）,12    ,25.0    ,33.3    ,33.3    ,-,-,-,-,-,8.3    ,-,11.82    ,14.5    
  特にルールを決めていない,5    ,-,80.0    ,-,-,-,-,-,-,20.0    ,-,8.25    ,5.4    
  わからない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,11    ,18.2    ,54.5    ,18.2    ,9.1    ,-,-,-,-,-,-,15.18    ,18.1    
  ルールを決めている（計）,5    ,20.0    ,60.0    ,20.0    ,-,-,-,-,-,-,-,10.00    ,11.7    
  特にルールを決めていない,6    ,16.7    ,50.0    ,16.7    ,16.7    ,-,-,-,-,-,-,19.50    ,22.2    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
  ルールを決めている（計）,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
  特にルールを決めていない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,30    ,16.7    ,46.7    ,23.3    ,3.3    ,-,-,-,-,10.0    ,-,13.33    ,15.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,18    ,16.7    ,44.4    ,22.2    ,-,-,-,-,-,16.7    ,-,10.87    ,12.6    
  インターネット利用（計）,18    ,16.7    ,44.4    ,22.2    ,-,-,-,-,-,16.7    ,-,10.87    ,12.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,11    ,18.2    ,54.5    ,18.2    ,9.1    ,-,-,-,-,-,-,15.18    ,18.1    
  インターネット利用（計）,11    ,18.2    ,54.5    ,18.2    ,9.1    ,-,-,-,-,-,-,15.18    ,18.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
  インターネット利用（計）,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,
  １人以上いる,15    ,6.7    ,60.0    ,26.7    ,-,-,-,-,-,6.7    ,-,13.21    ,11.4    
  いない,15    ,26.7    ,33.3    ,20.0    ,6.7    ,-,-,-,-,13.3    ,-,13.46    ,18.7    
小学生（計）,18    ,16.7    ,44.4    ,22.2    ,-,-,-,-,-,16.7    ,-,10.87    ,12.6    
  １人以上いる,7    ,-,57.1    ,28.6    ,-,-,-,-,-,14.3    ,-,13.83    ,12.7    
  いない,11    ,27.3    ,36.4    ,18.2    ,-,-,-,-,-,18.2    ,-,8.89    ,12.9    
中学生（計）,11    ,18.2    ,54.5    ,18.2    ,9.1    ,-,-,-,-,-,-,15.18    ,18.1    
  １人以上いる,7    ,14.3    ,71.4    ,14.3    ,-,-,-,-,-,-,-,10.29    ,9.4    
  いない,4    ,25.0    ,25.0    ,25.0    ,25.0    ,-,-,-,-,-,-,23.75    ,27.5    
