,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「１２」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔E-1携帯音楽プレイヤー〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
＊＊【　総　数　】＊＊,3441    ,9.5    ,4.7    ,9.5    ,1.7    ,74.6    
調査方法〔訪問・ＷＥＢ〕,,,,,,
訪問面接調査,3385    ,9.5    ,4.8    ,9.4    ,1.7    ,74.7    
ＷＥＢ調査,56    ,12.5    ,1.8    ,17.9    ,3.6    ,64.3    
〔性・学校種別〕,,,,,,
小学生（計）,1080    ,3.1    ,1.8    ,4.3    ,0.7    ,90.2    
  男子,534    ,2.4    ,1.3    ,2.6    ,0.7    ,92.9    
  女子,546    ,3.7    ,2.2    ,5.9    ,0.7    ,87.5    
中学生（計）,1329    ,13.5    ,5.3    ,10.2    ,2.0    ,69.0    
  男子,654    ,13.8    ,3.8    ,7.6    ,1.8    ,72.9    
  女子,675    ,13.2    ,6.7    ,12.7    ,2.2    ,65.2    
高校生（計）,1007    ,11.1    ,7.1    ,14.4    ,2.1    ,65.3    
  男子,491    ,11.6    ,6.5    ,10.6    ,1.8    ,69.5    
  女子,516    ,10.7    ,7.6    ,18.0    ,2.3    ,61.4    
〔啓発学習経験・学校種別〕,,,,,,
  説明を受けたり学んだりした,3117    ,10.0    ,4.9    ,10.1    ,1.7    ,73.2    
  教えてもらったり学んだりしたことはない,267    ,4.9    ,2.6    ,4.1    ,1.1    ,87.3    
  わからない,57    ,3.5    ,3.5    ,1.8    ,1.8    ,89.5    
小学生（計）,1080    ,3.1    ,1.8    ,4.3    ,0.7    ,90.2    
  説明を受けたり学んだりした,874    ,3.4    ,1.8    ,4.7    ,0.8    ,89.2    
  教えてもらったり学んだりしたことはない,169    ,1.8    ,1.2    ,3.0    ,-,94.1    
  わからない,37    ,-,2.7    ,-,2.7    ,94.6    
中学生（計）,1329    ,13.5    ,5.3    ,10.2    ,2.0    ,69.0    
  説明を受けたり学んだりした,1266    ,13.3    ,5.4    ,10.3    ,2.0    ,69.0    
  教えてもらったり学んだりしたことはない,49    ,16.3    ,2.0    ,8.2    ,4.1    ,69.4    
  わからない,14    ,14.3    ,7.1    ,7.1    ,-,71.4    
高校生（計）,1007    ,11.1    ,7.1    ,14.4    ,2.1    ,65.3    
  説明を受けたり学んだりした,955    ,11.5    ,7.0    ,15.0    ,2.1    ,64.4    
  教えてもらったり学んだりしたことはない,46    ,4.3    ,8.7    ,4.3    ,2.2    ,80.4    
  わからない,6    ,-,-,-,-,100.0    
〔家庭のルール・学校種別〕,,,,,,
  ルールを決めている（計）,1651    ,12.5    ,4.6    ,12.1    ,1.8    ,69.0    
  特にルールを決めていない,937    ,12.8    ,6.2    ,9.8    ,2.0    ,69.2    
  わからない,27    ,3.7    ,-,-,-,96.3    
小学生（計）,572    ,5.8    ,1.7    ,5.6    ,0.5    ,86.4    
  ルールを決めている（計）,424    ,6.1    ,2.1    ,5.9    ,0.5    ,85.4    
  特にルールを決めていない,135    ,5.2    ,0.7    ,5.2    ,0.7    ,88.1    
  わからない,13    ,-,-,-,-,100.0    
中学生（計）,1055    ,17.0    ,5.1    ,10.8    ,2.4    ,64.7    
  ルールを決めている（計）,731    ,16.7    ,5.6    ,11.9    ,2.1    ,63.7    
  特にルールを決めていない,315    ,17.8    ,4.1    ,8.6    ,3.2    ,66.3    
  わからない,9    ,11.1    ,-,-,-,88.9    
高校生（計）,965    ,11.6    ,7.0    ,14.9    ,2.1    ,64.4    
  ルールを決めている（計）,488    ,11.9    ,5.1    ,17.6    ,2.5    ,62.9    
  特にルールを決めていない,472    ,11.4    ,9.1    ,12.3    ,1.7    ,65.5    
  わからない,5    ,-,-,-,-,100.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,
  インターネット利用（計）,2615    ,12.5    ,5.1    ,11.1    ,1.9    ,69.4    
  インターネット非利用（含わからない）,527    ,-,5.3    ,7.0    ,1.7    ,86.0    
小学生（計）,909    ,3.6    ,2.1    ,5.1    ,0.9    ,88.3    
  インターネット利用（計）,572    ,5.8    ,1.7    ,5.6    ,0.5    ,86.4    
  インターネット非利用（含わからない）,337    ,-,2.7    ,4.2    ,1.5    ,91.7    
中学生（計）,1216    ,14.7    ,5.8    ,11.2    ,2.2    ,66.1    
  インターネット利用（計）,1055    ,17.0    ,5.1    ,10.8    ,2.4    ,64.7    
  インターネット非利用（含わからない）,161    ,-,9.9    ,13.7    ,1.2    ,75.2    
高校生（計）,992    ,11.3    ,7.2    ,14.6    ,2.1    ,64.8    
  インターネット利用（計）,965    ,11.6    ,7.0    ,14.9    ,2.1    ,64.4    
  インターネット非利用（含わからない）,27    ,-,11.1    ,3.7    ,3.7    ,81.5    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,
  １人以上いる,1846    ,10.4    ,5.2    ,8.8    ,1.6    ,74.1    
  いない,1595    ,8.5    ,4.1    ,10.4    ,1.8    ,75.2    
小学生（計）,1080    ,3.1    ,1.8    ,4.3    ,0.7    ,90.2    
  １人以上いる,511    ,3.7    ,2.2    ,4.3    ,0.6    ,89.2    
  いない,569    ,2.5    ,1.4    ,4.2    ,0.9    ,91.0    
中学生（計）,1329    ,13.5    ,5.3    ,10.2    ,2.0    ,69.0    
  １人以上いる,740    ,13.9    ,5.9    ,9.5    ,2.0    ,68.6    
  いない,589    ,12.9    ,4.4    ,11.2    ,2.0    ,69.4    
高校生（計）,1007    ,11.1    ,7.1    ,14.4    ,2.1    ,65.3    
  １人以上いる,579    ,11.6    ,6.7    ,12.1    ,1.6    ,68.0    
  いない,428    ,10.5    ,7.5    ,17.5    ,2.8    ,61.7    
〔地域〕,,,,,,
北海道・東北,430    ,9.1    ,3.7    ,12.6    ,0.9    ,73.7    
北関東,540    ,8.9    ,3.9    ,9.1    ,2.0    ,76.1    
南関東,485    ,7.4    ,5.6    ,12.6    ,2.1    ,72.4    
東海・北陸・信越,693    ,12.3    ,4.6    ,8.1    ,0.9    ,74.2    
近畿,554    ,9.7    ,6.7    ,10.1    ,1.3    ,72.2    
中国・四国,326    ,9.8    ,5.2    ,7.1    ,3.1    ,74.8    
