,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔F-1携帯ゲーム機〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,638    ,18.5    ,8.8    ,19.0    ,28.2    ,11.1    ,3.3    ,1.3    ,-,9.9    ,15.7    ,53.04    ,51.5    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,627    ,17.7    ,8.9    ,18.8    ,28.5    ,11.3    ,3.3    ,1.3    ,-,10.0    ,15.9    ,53.81    ,51.7    
ＷＥＢ調査,11    ,63.6    ,-,27.3    ,9.1    ,-,-,-,-,-,-,13.64    ,20.6    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,269    ,11.2    ,10.4    ,20.4    ,33.1    ,10.4    ,2.6    ,2.2    ,-,9.7    ,15.2    ,58.13    ,52.6    
  男子,152    ,9.2    ,6.6    ,16.4    ,40.1    ,11.8    ,3.9    ,3.3    ,-,8.6    ,19.1    ,68.06    ,56.9    
  女子,117    ,13.7    ,15.4    ,25.6    ,23.9    ,8.5    ,0.9    ,0.9    ,-,11.1    ,10.3    ,44.86    ,43.1    
中学生（計）,253    ,22.1    ,7.1    ,17.4    ,26.9    ,13.4    ,2.4    ,0.4    ,-,10.3    ,16.2    ,49.91    ,48.0    
  男子,171    ,18.7    ,5.8    ,18.7    ,28.7    ,15.2    ,2.9    ,0.6    ,-,9.4    ,18.7    ,55.10    ,49.7    
  女子,82    ,29.3    ,9.8    ,14.6    ,23.2    ,9.8    ,1.2    ,-,-,12.2    ,11.0    ,38.75    ,42.2    
高校生（計）,111    ,27.9    ,9.0    ,19.8    ,18.9    ,7.2    ,7.2    ,0.9    ,-,9.0    ,15.3    ,47.52    ,56.1    
  男子,75    ,26.7    ,8.0    ,18.7    ,20.0    ,8.0    ,9.3    ,-,-,9.3    ,17.3    ,51.32    ,56.7    
  女子,36    ,30.6    ,11.1    ,22.2    ,16.7    ,5.6    ,2.8    ,2.8    ,-,8.3    ,11.1    ,39.70    ,54.9    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,580    ,19.0    ,8.6    ,19.7    ,27.4    ,11.2    ,3.6    ,1.0    ,-,9.5    ,15.9    ,52.53    ,51.5    
  教えてもらったり学んだりしたことはない,47    ,10.6    ,12.8    ,10.6    ,38.3    ,12.8    ,-,2.1    ,-,12.8    ,14.9    ,59.15    ,47.6    
  わからない,11    ,27.3    ,-,18.2    ,27.3    ,-,-,9.1    ,-,18.2    ,9.1    ,55.00    ,75.0    
小学生（計）,269    ,11.2    ,10.4    ,20.4    ,33.1    ,10.4    ,2.6    ,2.2    ,-,9.7    ,15.2    ,58.13    ,52.6    
  説明を受けたり学んだりした,218    ,11.0    ,10.1    ,22.5    ,32.1    ,10.6    ,3.2    ,1.8    ,-,8.7    ,15.6    ,57.74    ,52.5    
  教えてもらったり学んだりしたことはない,44    ,9.1    ,13.6    ,11.4    ,38.6    ,11.4    ,-,2.3    ,-,13.6    ,13.6    ,59.08    ,47.5    
  わからない,7    ,28.6    ,-,14.3    ,28.6    ,-,-,14.3    ,-,14.3    ,14.3    ,65.00    ,89.8    
中学生（計）,253    ,22.1    ,7.1    ,17.4    ,26.9    ,13.4    ,2.4    ,0.4    ,-,10.3    ,16.2    ,49.91    ,48.0    
  説明を受けたり学んだりした,246    ,22.0    ,7.3    ,17.5    ,26.8    ,13.4    ,2.4    ,0.4    ,-,10.2    ,16.3    ,49.98    ,48.1    
  教えてもらったり学んだりしたことはない,3    ,33.3    ,-,-,33.3    ,33.3    ,-,-,-,-,33.3    ,60.00    ,60.0    
  わからない,4    ,25.0    ,-,25.0    ,25.0    ,-,-,-,-,25.0    ,-,35.00    ,37.7    
高校生（計）,111    ,27.9    ,9.0    ,19.8    ,18.9    ,7.2    ,7.2    ,0.9    ,-,9.0    ,15.3    ,47.52    ,56.1    
  説明を受けたり学んだりした,111    ,27.9    ,9.0    ,19.8    ,18.9    ,7.2    ,7.2    ,0.9    ,-,9.0    ,15.3    ,47.52    ,56.1    
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,436    ,17.7    ,9.2    ,20.9    ,30.5    ,10.6    ,2.5    ,0.5    ,-,8.3    ,13.5    ,50.02    ,45.8    
  特にルールを決めていない,193    ,20.7    ,7.8    ,14.5    ,22.8    ,12.4    ,5.2    ,3.1    ,-,13.5    ,20.7    ,60.42    ,63.2    
  わからない,9    ,11.1    ,11.1    ,22.2    ,33.3    ,11.1    ,-,-,-,11.1    ,11.1    ,50.00    ,40.7    
小学生（計）,269    ,11.2    ,10.4    ,20.4    ,33.1    ,10.4    ,2.6    ,2.2    ,-,9.7    ,15.2    ,58.13    ,52.6    
  ルールを決めている（計）,196    ,11.2    ,12.2    ,21.9    ,34.7    ,10.7    ,2.0    ,0.5    ,-,6.6    ,13.3    ,52.82    ,44.4    
  特にルールを決めていない,67    ,11.9    ,6.0    ,14.9    ,26.9    ,10.4    ,4.5    ,7.5    ,-,17.9    ,22.4    ,76.18    ,72.8    
  わからない,6    ,-,-,33.3    ,50.0    ,-,-,-,-,16.7    ,-,54.00    ,25.1    
中学生（計）,253    ,22.1    ,7.1    ,17.4    ,26.9    ,13.4    ,2.4    ,0.4    ,-,10.3    ,16.2    ,49.91    ,48.0    
  ルールを決めている（計）,173    ,20.8    ,5.8    ,20.2    ,30.1    ,11.0    ,1.7    ,0.6    ,-,9.8    ,13.3    ,48.59    ,45.2    
  特にルールを決めていない,77    ,24.7    ,9.1    ,11.7    ,20.8    ,18.2    ,3.9    ,-,-,11.7    ,22.1    ,53.24    ,53.8    
  わからない,3    ,33.3    ,33.3    ,-,-,33.3    ,-,-,-,-,33.3    ,43.33    ,66.6    
高校生（計）,111    ,27.9    ,9.0    ,19.8    ,18.9    ,7.2    ,7.2    ,0.9    ,-,9.0    ,15.3    ,47.52    ,56.1    
  ルールを決めている（計）,65    ,29.2    ,9.2    ,20.0    ,16.9    ,9.2    ,6.2    ,-,-,9.2    ,15.4    ,44.75    ,52.2    
  特にルールを決めていない,46    ,26.1    ,8.7    ,19.6    ,21.7    ,4.3    ,8.7    ,2.2    ,-,8.7    ,15.2    ,51.43    ,61.5    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,638    ,18.5    ,8.8    ,19.0    ,28.2    ,11.1    ,3.3    ,1.3    ,-,9.9    ,15.7    ,53.04    ,51.5    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
