,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「１」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔A-1スマートフォン〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,1541    ,95.7    ,2.9    ,0.6    ,0.8    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,1505    ,95.9    ,2.9    ,0.6    ,0.7    
ＷＥＢ調査,36    ,88.9    ,5.6    ,-,5.6    
〔性・学校種別〕,,,,,
小学生（計）,126    ,77.8    ,14.3    ,4.0    ,4.0    
  男子,61    ,73.8    ,18.0    ,6.6    ,1.6    
  女子,65    ,81.5    ,10.8    ,1.5    ,6.2    
中学生（計）,496    ,97.4    ,1.6    ,0.2    ,0.8    
  男子,218    ,98.2    ,1.4    ,-,0.5    
  女子,278    ,96.8    ,1.8    ,0.4    ,1.1    
高校生（計）,897    ,97.4    ,2.0    ,0.3    ,0.2    
  男子,432    ,97.2    ,2.3    ,0.2    ,0.2    
  女子,465    ,97.6    ,1.7    ,0.4    ,0.2    
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,1466    ,95.8    ,2.9    ,0.6    ,0.7    
  教えてもらったり学んだりしたことはない,64    ,93.8    ,3.1    ,-,3.1    
  わからない,11    ,100.0    ,-,-,-
小学生（計）,126    ,77.8    ,14.3    ,4.0    ,4.0    
  説明を受けたり学んだりした,114    ,78.1    ,14.0    ,4.4    ,3.5    
  教えてもらったり学んだりしたことはない,11    ,72.7    ,18.2    ,-,9.1    
  わからない,1    ,100.0    ,-,-,-
中学生（計）,496    ,97.4    ,1.6    ,0.2    ,0.8    
  説明を受けたり学んだりした,478    ,97.5    ,1.7    ,0.2    ,0.6    
  教えてもらったり学んだりしたことはない,14    ,92.9    ,-,-,7.1    
  わからない,4    ,100.0    ,-,-,-
高校生（計）,897    ,97.4    ,2.0    ,0.3    ,0.2    
  説明を受けたり学んだりした,855    ,97.3    ,2.1    ,0.4    ,0.2    
  教えてもらったり学んだりしたことはない,36    ,100.0    ,-,-,-
  わからない,6    ,100.0    ,-,-,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,875    ,98.6    ,0.9    ,0.2    ,0.2    
  特にルールを決めていない,609    ,99.0    ,0.7    ,0.3    ,-
  わからない,9    ,100.0    ,-,-,-
小学生（計）,108    ,90.7    ,6.5    ,1.9    ,0.9    
  ルールを決めている（計）,85    ,91.8    ,4.7    ,2.4    ,1.2    
  特にルールを決めていない,22    ,86.4    ,13.6    ,-,-
  わからない,1    ,100.0    ,-,-,-
中学生（計）,487    ,99.2    ,0.4    ,0.2    ,0.2    
