,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔D-2学習用タブレット〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
富山県,-,-,-,-
石川県,-,-,-,-
福井県,2    ,100.0    ,-,-
山梨県,3    ,66.7    ,-,33.3    
長野県,1    ,100.0    ,-,-
岐阜県,7    ,42.9    ,14.3    ,42.9    
静岡県,7    ,71.4    ,14.3    ,14.3    
愛知県,16    ,81.3    ,6.3    ,12.5    
三重県,3    ,100.0    ,-,-
滋賀県,-,-,-,-
京都府,1    ,100.0    ,-,-
大阪府,12    ,75.0    ,8.3    ,16.7    
兵庫県,4    ,100.0    ,-,-
奈良県,1    ,-,-,100.0    
和歌山県,-,-,-,-
鳥取県,1    ,100.0    ,-,-
島根県,-,-,-,-
岡山県,4    ,100.0    ,-,-
広島県,3    ,100.0    ,-,-
山口県,1    ,-,-,100.0    
徳島県,-,-,-,-
香川県,-,-,-,-
愛媛県,2    ,50.0    ,50.0    ,-
高知県,-,-,-,-
福岡県,3    ,66.7    ,33.3    ,-
佐賀県,3    ,33.3    ,66.7    ,-
長崎県,1    ,-,100.0    ,-
熊本県,5    ,100.0    ,-,-
大分県,-,-,-,-
宮崎県,2    ,100.0    ,-,-
鹿児島県,-,-,-,-
沖縄県,-,-,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,40    ,75.0    ,15.0    ,10.0    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,4    ,75.0    ,25.0    ,-
契約切れスマートフォン,4    ,50.0    ,25.0    ,25.0    
携帯電話,17    ,70.6    ,5.9    ,23.5    
機能限定電話・子ども向け携帯電話,15    ,73.3    ,-,26.7    
ノートパソコン,43    ,74.4    ,11.6    ,14.0    
デスクトップパソコン,21    ,66.7    ,14.3    ,19.0    
タブレット,15    ,73.3    ,-,26.7    
学習用タブレット,139    ,74.8    ,12.2    ,12.9    
子供向け娯楽用タブレット,1    ,100.0    ,-,-
携帯音楽プレイヤー,50    ,90.0    ,4.0    ,6.0    
携帯ゲーム機,99    ,75.8    ,12.1    ,12.1    
据置型ゲーム機,60    ,76.7    ,13.3    ,10.0    
インターネット接続テレビ,3    ,66.7    ,33.3    ,-
利用している（計）,139    ,74.8    ,12.2    ,12.9    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,46    ,73.9    ,15.2    ,10.9    
Ｂ携帯電話（計）,32    ,71.9    ,3.1    ,25.0    
Ｃパソコン（計）,62    ,71.0    ,12.9    ,16.1    
Ｄタブレット（計）,139    ,74.8    ,12.2    ,12.9    
Ｅ携帯音楽プレイヤー,50    ,90.0    ,4.0    ,6.0    
Ｆゲーム機（計）,107    ,75.7    ,13.1    ,11.2    
Ｇインターネット接続テレビ,3    ,66.7    ,33.3    ,-
Ａ・Ｂスマートフォン・携帯電話（計）,74    ,75.7    ,10.8    ,13.5    
Ａ・Ｂ機能限定や子供向け（計）,19    ,73.7    ,5.3    ,21.1    
Ａ・Ｂ機能限定や子供向け以外（計）,58    ,74.1    ,12.1    ,13.8    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,
スマートフォン,40    ,75.0    ,15.0    ,10.0    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,1    ,100.0    ,-,-
契約切れスマートフォン,2    ,50.0    ,-,50.0    
携帯電話,5    ,80.0    ,-,20.0    
機能限定電話・子ども向け携帯電話,1    ,-,-,100.0    
ノートパソコン,41    ,75.6    ,9.8    ,14.6    
デスクトップパソコン,21    ,66.7    ,14.3    ,19.0    
タブレット,15    ,73.3    ,-,26.7    
学習用タブレット,139    ,74.8    ,12.2    ,12.9    
子供向け娯楽用タブレット,1    ,100.0    ,-,-
携帯音楽プレイヤー,18    ,94.4    ,-,5.6    
携帯ゲーム機,62    ,72.6    ,11.3    ,16.1    
据置型ゲーム機,24    ,75.0    ,12.5    ,12.5    
インターネット接続テレビ,2    ,50.0    ,50.0    ,-
インターネット利用（計）,139    ,74.8    ,12.2    ,12.9    
インターネット非利用,-,-,-,-
モバイル機器（計）,139    ,74.8    ,12.2    ,12.9    
据置型機器（計）,40    ,70.0    ,12.5    ,17.5    
Ａスマートフォン（計）,43    ,74.4    ,14.0    ,11.6    
Ｂ携帯電話（計）,6    ,66.7    ,-,33.3    
Ｃパソコン（計）,60    ,71.7    ,11.7    ,16.7    
Ｄタブレット（計）,139    ,74.8    ,12.2    ,12.9    
Ｅ携帯音楽プレイヤー,18    ,94.4    ,-,5.6    
Ｆゲーム機（計）,67    ,74.6    ,10.4    ,14.9    
Ｇインターネット接続テレビ,2    ,50.0    ,50.0    ,-
Ａ・Ｂスマートフォン・携帯電話（計）,48    ,75.0    ,12.5    ,12.5    
Ａ・Ｂ機能限定や子供向け（計）,2    ,50.0    ,-,50.0    
Ａ・Ｂ機能限定や子供向け以外（計）,47    ,74.5    ,12.8    ,12.8    
非該当,-,-,-,-
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,
使っている（計）,139    ,74.8    ,12.2    ,12.9    
使える機種・設定で、使っていない（計）,45    ,86.7    ,8.9    ,4.4    
使えない機種・設定で、使っていない（計）,47    ,74.5    ,10.6    ,14.9    
わからない（計）,15    ,60.0    ,20.0    ,20.0    
非該当,-,-,-,-
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ）〕,,,,
使っている,40    ,75.0    ,15.0    ,10.0    
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,-,-,-,-
非該当,99    ,74.7    ,11.1    ,14.1    
【全数】Ｑ２〔ネット利用状況（Ａ２格安スマホ）〕,,,,
使っている,-,-,-,-
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,-,-,-,-
非該当,139    ,74.8    ,12.2    ,12.9    
【全数】Ｑ２〔ネット利用状況（Ａ３子供スマホ）〕,,,,
使っている,1    ,100.0    ,-,-
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,2    ,50.0    ,50.0    ,-
わからない,1    ,100.0    ,-,-
非該当,135    ,74.8    ,11.9    ,13.3    
【全数】Ｑ２〔ネット利用状況（Ａ４契約切れスマホ）〕,,,,
使っている,2    ,50.0    ,-,50.0    
使える機種・設定で、使っていない,1    ,100.0    ,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,1    ,-,100.0    ,-
非該当,135    ,75.6    ,11.9    ,12.6    
【全数】Ｑ２〔ネット利用状況（Ｂ１携帯電話）〕,,,,
使っている,5    ,80.0    ,-,20.0    
使える機種・設定で、使っていない,7    ,71.4    ,-,28.6    
使えない機種・設定で、使っていない,3    ,100.0    ,-,-
わからない,2    ,-,50.0    ,50.0    
非該当,122    ,75.4    ,13.1    ,11.5    
【全数】Ｑ２〔ネット利用状況（Ｂ２子ども向け携帯等）〕,,,,
使っている,1    ,-,-,100.0    
使える機種・設定で、使っていない,3    ,100.0    ,-,-
使えない機種・設定で、使っていない,10    ,80.0    ,-,20.0    
わからない,1    ,-,-,100.0    
非該当,124    ,75.0    ,13.7    ,11.3    
【全数】Ｑ２〔ネット利用状況（Ｃ１ノートＰＣ）〕,,,,
使っている,41    ,75.6    ,9.8    ,14.6    
使える機種・設定で、使っていない,1    ,-,100.0    ,-
使えない機種・設定で、使っていない,1    ,100.0    ,-,-
わからない,-,-,-,-
非該当,96    ,75.0    ,12.5    ,12.5    
【全数】Ｑ２〔ネット利用状況（Ｃ２デスクトップＰＣ）〕,,,,
使っている,21    ,66.7    ,14.3    ,19.0    
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,-,-,-,-
非該当,118    ,76.3    ,11.9    ,11.9    
【全数】Ｑ２〔ネット利用状況（Ｄ１タブレット）〕,,,,
使っている,15    ,73.3    ,-,26.7    
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,-,-,-,-
非該当,124    ,75.0    ,13.7    ,11.3    
【全数】Ｑ２〔ネット利用状況（Ｄ２学習用タブレット）〕,,,,
使っている,139    ,74.8    ,12.2    ,12.9    
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,-,-,-,-
非該当,-,-,-,-
【全数】Ｑ２〔ネット利用状況（Ｄ３娯楽用タブレット）〕,,,,
使っている,1    ,100.0    ,-,-
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,-,-,-,-
わからない,-,-,-,-
非該当,138    ,74.6    ,12.3    ,13.0    
【全数】Ｑ２〔ネット利用状況（Ｅ１携帯音楽プレイヤー）〕,,,,
使っている,18    ,94.4    ,-,5.6    
使える機種・設定で、使っていない,6    ,100.0    ,-,-
使えない機種・設定で、使っていない,22    ,86.4    ,9.1    ,4.5    
わからない,4    ,75.0    ,-,25.0    
