,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔F-2据置型ゲーム機〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,266    ,59.4    ,26.7    ,13.9    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,262    ,58.8    ,27.1    ,14.1    
ＷＥＢ調査,4    ,100.0    ,-,-
〔性・学校種別〕,,,,
小学生（計）,82    ,52.4    ,30.5    ,17.1    
  男子,51    ,52.9    ,29.4    ,17.6    
  女子,31    ,51.6    ,32.3    ,16.1    
中学生（計）,113    ,59.3    ,25.7    ,15.0    
  男子,85    ,62.4    ,24.7    ,12.9    
  女子,28    ,50.0    ,28.6    ,21.4    
高校生（計）,69    ,68.1    ,23.2    ,8.7    
  男子,49    ,65.3    ,24.5    ,10.2    
  女子,20    ,75.0    ,20.0    ,5.0    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,251    ,58.2    ,27.5    ,14.3    
  教えてもらったり学んだりしたことはない,13    ,76.9    ,15.4    ,7.7    
  わからない,2    ,100.0    ,-,-
小学生（計）,82    ,52.4    ,30.5    ,17.1    
  説明を受けたり学んだりした,71    ,49.3    ,32.4    ,18.3    
  教えてもらったり学んだりしたことはない,11    ,72.7    ,18.2    ,9.1    
  わからない,-,-,-,-
中学生（計）,113    ,59.3    ,25.7    ,15.0    
  説明を受けたり学んだりした,109    ,57.8    ,26.6    ,15.6    
  教えてもらったり学んだりしたことはない,2    ,100.0    ,-,-
  わからない,2    ,100.0    ,-,-
高校生（計）,69    ,68.1    ,23.2    ,8.7    
  説明を受けたり学んだりした,69    ,68.1    ,23.2    ,8.7    
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,182    ,61.0    ,25.3    ,13.7    
  特にルールを決めていない,83    ,56.6    ,28.9    ,14.5    
  わからない,1    ,-,100.0    ,-
小学生（計）,82    ,52.4    ,30.5    ,17.1    
  ルールを決めている（計）,62    ,58.1    ,30.6    ,11.3    
  特にルールを決めていない,19    ,36.8    ,26.3    ,36.8    
  わからない,1    ,-,100.0    ,-
中学生（計）,113    ,59.3    ,25.7    ,15.0    
  ルールを決めている（計）,75    ,58.7    ,22.7    ,18.7    
  特にルールを決めていない,38    ,60.5    ,31.6    ,7.9    
  わからない,-,-,-,-
高校生（計）,69    ,68.1    ,23.2    ,8.7    
  ルールを決めている（計）,44    ,70.5    ,20.5    ,9.1    
  特にルールを決めていない,25    ,64.0    ,28.0    ,8.0    
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,266    ,59.4    ,26.7    ,13.9    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,82    ,52.4    ,30.5    ,17.1    
  インターネット利用（計）,82    ,52.4    ,30.5    ,17.1    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,113    ,59.3    ,25.7    ,15.0    
  インターネット利用（計）,113    ,59.3    ,25.7    ,15.0    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,69    ,68.1    ,23.2    ,8.7    
  インターネット利用（計）,69    ,68.1    ,23.2    ,8.7    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,116    ,55.2    ,32.8    ,12.1    
  いない,150    ,62.7    ,22.0    ,15.3    
小学生（計）,82    ,52.4    ,30.5    ,17.1    
  １人以上いる,39    ,51.3    ,33.3    ,15.4    
  いない,43    ,53.5    ,27.9    ,18.6    
中学生（計）,113    ,59.3    ,25.7    ,15.0    
  １人以上いる,45    ,51.1    ,37.8    ,11.1    
  いない,68    ,64.7    ,17.6    ,17.6    
高校生（計）,69    ,68.1    ,23.2    ,8.7    
  １人以上いる,31    ,64.5    ,25.8    ,9.7    
  いない,38    ,71.1    ,21.1    ,7.9    
〔地域〕,,,,
北海道・東北,48    ,56.3    ,35.4    ,8.3    
北関東,31    ,61.3    ,22.6    ,16.1    
南関東,41    ,58.5    ,26.8    ,14.6    
東海・北陸・信越,53    ,60.4    ,28.3    ,11.3    
近畿,42    ,57.1    ,28.6    ,14.3    
中国・四国,16    ,81.3    ,6.3    ,12.5    
九州・沖縄,35    ,54.3    ,22.9    ,22.9    
〔都市規模〕,,,,
大都市（政令指定都市）,68    ,63.2    ,27.9    ,8.8    
人口２０万人以上の市,67    ,55.2    ,31.3    ,13.4    
人口１０万人以上の市,42    ,64.3    ,21.4    ,14.3    
人口１０万人未満の市,70    ,57.1    ,24.3    ,18.6    
郡部（町村）,19    ,57.9    ,26.3    ,15.8    
〔都道府県〕,,,,
北海道,16    ,75.0    ,12.5    ,12.5    
青森県,1    ,100.0    ,-,-
岩手県,-,-,-,-
宮城県,15    ,53.3    ,46.7    ,-
秋田県,12    ,50.0    ,33.3    ,16.7    
山形県,-,-,-,-
福島県,4    ,-,100.0    ,-
茨城県,7    ,100.0    ,-,-
栃木県,7    ,57.1    ,28.6    ,14.3    
群馬県,2    ,50.0    ,50.0    ,-
埼玉県,10    ,30.0    ,30.0    ,40.0    
千葉県,5    ,80.0    ,20.0    ,-
東京都,14    ,71.4    ,28.6    ,-
神奈川県,24    ,54.2    ,25.0    ,20.8    
新潟県,2    ,100.0    ,-,-
富山県,5    ,20.0    ,40.0    ,40.0    
石川県,5    ,100.0    ,-,-
福井県,3    ,33.3    ,33.3    ,33.3    
山梨県,3    ,33.3    ,33.3    ,33.3    
長野県,4    ,50.0    ,25.0    ,25.0    
岐阜県,5    ,80.0    ,20.0    ,-
静岡県,13    ,69.2    ,30.8    ,-
愛知県,12    ,50.0    ,41.7    ,8.3    
三重県,4    ,50.0    ,25.0    ,25.0    
滋賀県,7    ,71.4    ,28.6    ,-
京都府,4    ,75.0    ,25.0    ,-
大阪府,17    ,64.7    ,17.6    ,17.6    
兵庫県,12    ,33.3    ,41.7    ,25.0    
奈良県,-,-,-,-
和歌山県,2    ,50.0    ,50.0    ,-
鳥取県,-,-,-,-
島根県,-,-,-,-
岡山県,4    ,75.0    ,25.0    ,-
広島県,4    ,75.0    ,-,25.0    
山口県,2    ,100.0    ,-,-
徳島県,3    ,100.0    ,-,-
香川県,1    ,-,-,100.0    
愛媛県,1    ,100.0    ,-,-
高知県,1    ,100.0    ,-,-
福岡県,11    ,54.5    ,36.4    ,9.1    
佐賀県,3    ,33.3    ,-,66.7    
長崎県,2    ,50.0    ,-,50.0    
熊本県,10    ,60.0    ,30.0    ,10.0    
大分県,-,-,-,-
宮崎県,5    ,40.0    ,20.0    ,40.0    
鹿児島県,3    ,66.7    ,-,33.3    
沖縄県,1    ,100.0    ,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,130    ,63.8    ,23.1    ,13.1    
格安スマートフォン,1    ,100.0    ,-,-
機能限定・子供向けスマートフォン,3    ,-,100.0    ,-
契約切れスマートフォン,10    ,80.0    ,-,20.0    
携帯電話,30    ,66.7    ,20.0    ,13.3    
機能限定電話・子ども向け携帯電話,24    ,58.3    ,20.8    ,20.8    
ノートパソコン,97    ,64.9    ,24.7    ,10.3    
デスクトップパソコン,61    ,65.6    ,24.6    ,9.8    
タブレット,60    ,60.0    ,15.0    ,25.0    
学習用タブレット,27    ,70.4    ,14.8    ,14.8    
子供向け娯楽用タブレット,1    ,100.0    ,-,-
携帯音楽プレイヤー,92    ,68.5    ,19.6    ,12.0    
携帯ゲーム機,211    ,61.6    ,28.4    ,10.0    
据置型ゲーム機,266    ,59.4    ,26.7    ,13.9    
インターネット接続テレビ,27    ,66.7    ,22.2    ,11.1    
利用している（計）,266    ,59.4    ,26.7    ,13.9    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,136    ,64.0    ,23.5    ,12.5    
Ｂ携帯電話（計）,54    ,63.0    ,20.4    ,16.7    
Ｃパソコン（計）,149    ,63.1    ,26.2    ,10.7    
Ｄタブレット（計）,85    ,63.5    ,15.3    ,21.2    
Ｅ携帯音楽プレイヤー,92    ,68.5    ,19.6    ,12.0    
Ｆゲーム機（計）,266    ,59.4    ,26.7    ,13.9    
