,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票３〕Ｑ３〔F-1携帯ゲーム機〕あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,コミニュケーション,ニュース,情報検索,地図・ナビゲーション,音楽視聴,動画視聴,電子書籍,ゲーム,ショッピング・オークション,その他,わからない,回答計
＊＊【　総　数　】＊＊,638    ,13.9    ,2.0    ,13.6    ,0.9    ,14.3    ,23.0    ,1.1    ,87.0    ,3.0    ,1.9    ,2.0    ,162.9    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,627    ,14.0    ,1.9    ,13.4    ,1.0    ,14.2    ,23.0    ,1.1    ,87.6    ,3.0    ,1.8    ,2.1    ,163.0    
ＷＥＢ調査,11    ,9.1    ,9.1    ,27.3    ,-,18.2    ,27.3    ,-,54.5    ,-,9.1    ,-,154.5    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,269    ,14.5    ,1.1    ,13.0    ,0.4    ,11.2    ,24.9    ,0.7    ,85.9    ,4.1    ,3.0    ,1.9    ,160.6    
  男子,152    ,12.5    ,1.3    ,13.2    ,-,7.9    ,25.7    ,0.7    ,85.5    ,4.6    ,3.9    ,1.3    ,156.6    
  女子,117    ,17.1    ,0.9    ,12.8    ,0.9    ,15.4    ,23.9    ,0.9    ,86.3    ,3.4    ,1.7    ,2.6    ,165.8    
中学生（計）,253    ,16.6    ,3.2    ,15.0    ,1.6    ,19.0    ,23.3    ,2.0    ,89.7    ,2.8    ,0.8    ,1.6    ,175.5    
  男子,171    ,14.0    ,3.5    ,14.6    ,1.8    ,14.6    ,22.2    ,1.2    ,93.0    ,2.3    ,-,0.6    ,167.8    
  女子,82    ,22.0    ,2.4    ,15.9    ,1.2    ,28.0    ,25.6    ,3.7    ,82.9    ,3.7    ,2.4    ,3.7    ,191.5    
高校生（計）,111    ,6.3    ,1.8    ,11.7    ,0.9    ,10.8    ,18.0    ,-,83.8    ,0.9    ,0.9    ,3.6    ,138.7    
  男子,75    ,6.7    ,1.3    ,12.0    ,1.3    ,13.3    ,17.3    ,-,88.0    ,1.3    ,-,2.7    ,144.0    
  女子,36    ,5.6    ,2.8    ,11.1    ,-,5.6    ,19.4    ,-,75.0    ,-,2.8    ,5.6    ,127.8    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
