,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔A-4携帯電話の契約が切れたスマートフォン〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,73    ,89.0    ,5.5    ,5.5    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,73    ,89.0    ,5.5    ,5.5    
ＷＥＢ調査,-,-,-,-
〔性・学校種別〕,,,,
小学生（計）,26    ,88.5    ,3.8    ,7.7    
  男子,13    ,84.6    ,7.7    ,7.7    
  女子,13    ,92.3    ,-,7.7    
中学生（計）,37    ,86.5    ,8.1    ,5.4    
  男子,20    ,95.0    ,5.0    ,-
  女子,17    ,76.5    ,11.8    ,11.8    
高校生（計）,10    ,100.0    ,-,-
  男子,5    ,100.0    ,-,-
  女子,5    ,100.0    ,-,-
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,65    ,87.7    ,6.2    ,6.2    
  教えてもらったり学んだりしたことはない,7    ,100.0    ,-,-
  わからない,1    ,100.0    ,-,-
小学生（計）,26    ,88.5    ,3.8    ,7.7    
  説明を受けたり学んだりした,20    ,85.0    ,5.0    ,10.0    
  教えてもらったり学んだりしたことはない,5    ,100.0    ,-,-
  わからない,1    ,100.0    ,-,-
中学生（計）,37    ,86.5    ,8.1    ,5.4    
  説明を受けたり学んだりした,36    ,86.1    ,8.3    ,5.6    
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-
  わからない,-,-,-,-
高校生（計）,10    ,100.0    ,-,-
  説明を受けたり学んだりした,9    ,100.0    ,-,-
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,45    ,91.1    ,2.2    ,6.7    
  特にルールを決めていない,26    ,84.6    ,11.5    ,3.8    
  わからない,2    ,100.0    ,-,-
小学生（計）,26    ,88.5    ,3.8    ,7.7    
  ルールを決めている（計）,20    ,85.0    ,5.0    ,10.0    
  特にルールを決めていない,5    ,100.0    ,-,-
  わからない,1    ,100.0    ,-,-
中学生（計）,37    ,86.5    ,8.1    ,5.4    
  ルールを決めている（計）,20    ,95.0    ,-,5.0    
  特にルールを決めていない,16    ,75.0    ,18.8    ,6.3    
  わからない,1    ,100.0    ,-,-
高校生（計）,10    ,100.0    ,-,-
  ルールを決めている（計）,5    ,100.0    ,-,-
  特にルールを決めていない,5    ,100.0    ,-,-
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,73    ,89.0    ,5.5    ,5.5    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,26    ,88.5    ,3.8    ,7.7    
  インターネット利用（計）,26    ,88.5    ,3.8    ,7.7    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,37    ,86.5    ,8.1    ,5.4    
  インターネット利用（計）,37    ,86.5    ,8.1    ,5.4    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,10    ,100.0    ,-,-
  インターネット利用（計）,10    ,100.0    ,-,-
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,40    ,87.5    ,7.5    ,5.0    
  いない,33    ,90.9    ,3.0    ,6.1    
小学生（計）,26    ,88.5    ,3.8    ,7.7    
  １人以上いる,13    ,92.3    ,-,7.7    
  いない,13    ,84.6    ,7.7    ,7.7    
中学生（計）,37    ,86.5    ,8.1    ,5.4    
  １人以上いる,21    ,81.0    ,14.3    ,4.8    
  いない,16    ,93.8    ,-,6.3    
高校生（計）,10    ,100.0    ,-,-
  １人以上いる,6    ,100.0    ,-,-
  いない,4    ,100.0    ,-,-
〔地域〕,,,,
北海道・東北,4    ,75.0    ,-,25.0    
北関東,7    ,100.0    ,-,-
南関東,12    ,91.7    ,8.3    ,-
東海・北陸・信越,11    ,90.9    ,9.1    ,-
近畿,25    ,84.0    ,8.0    ,8.0    
中国・四国,4    ,100.0    ,-,-
九州・沖縄,10    ,90.0    ,-,10.0    
〔都市規模〕,,,,
大都市（政令指定都市）,16    ,93.8    ,-,6.3    
人口２０万人以上の市,17    ,88.2    ,5.9    ,5.9    
人口１０万人以上の市,19    ,89.5    ,10.5    ,-
人口１０万人未満の市,16    ,87.5    ,-,12.5    
郡部（町村）,5    ,80.0    ,20.0    ,-
〔都道府県〕,,,,
北海道,2    ,50.0    ,-,50.0    
青森県,-,-,-,-
岩手県,-,-,-,-
宮城県,1    ,100.0    ,-,-
秋田県,-,-,-,-
山形県,-,-,-,-
福島県,1    ,100.0    ,-,-
茨城県,1    ,100.0    ,-,-
栃木県,-,-,-,-
群馬県,-,-,-,-
埼玉県,6    ,100.0    ,-,-
千葉県,-,-,-,-
東京都,2    ,100.0    ,-,-
神奈川県,9    ,88.9    ,11.1    ,-
新潟県,1    ,100.0    ,-,-
富山県,3    ,66.7    ,33.3    ,-
石川県,-,-,-,-
福井県,-,-,-,-
山梨県,1    ,100.0    ,-,-
長野県,-,-,-,-
岐阜県,-,-,-,-
静岡県,4    ,100.0    ,-,-
愛知県,2    ,100.0    ,-,-
三重県,1    ,100.0    ,-,-
滋賀県,3    ,100.0    ,-,-
京都府,1    ,100.0    ,-,-
大阪府,11    ,72.7    ,9.1    ,18.2    
兵庫県,5    ,100.0    ,-,-
奈良県,3    ,66.7    ,33.3    ,-
和歌山県,2    ,100.0    ,-,-
鳥取県,-,-,-,-
島根県,-,-,-,-
岡山県,1    ,100.0    ,-,-
広島県,2    ,100.0    ,-,-
山口県,-,-,-,-
徳島県,-,-,-,-
香川県,-,-,-,-
愛媛県,-,-,-,-
高知県,1    ,100.0    ,-,-
福岡県,1    ,100.0    ,-,-
佐賀県,-,-,-,-
長崎県,3    ,100.0    ,-,-
熊本県,1    ,-,-,100.0    
大分県,-,-,-,-
宮崎県,-,-,-,-
鹿児島県,1    ,100.0    ,-,-
沖縄県,4    ,100.0    ,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,16    ,93.8    ,-,6.3    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,2    ,50.0    ,50.0    ,-
契約切れスマートフォン,73    ,89.0    ,5.5    ,5.5    
携帯電話,13    ,69.2    ,15.4    ,15.4    
機能限定電話・子ども向け携帯電話,8    ,75.0    ,12.5    ,12.5    
ノートパソコン,23    ,91.3    ,4.3    ,4.3    
デスクトップパソコン,11    ,100.0    ,-,-
タブレット,11    ,81.8    ,-,18.2    
学習用タブレット,3    ,100.0    ,-,-
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,13    ,84.6    ,15.4    ,-
携帯ゲーム機,43    ,90.7    ,4.7    ,4.7    
据置型ゲーム機,17    ,82.4    ,11.8    ,5.9    
インターネット接続テレビ,5    ,100.0    ,-,-
利用している（計）,73    ,89.0    ,5.5    ,5.5    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,73    ,89.0    ,5.5    ,5.5    
Ｂ携帯電話（計）,21    ,71.4    ,14.3    ,14.3    
Ｃパソコン（計）,31    ,93.5    ,3.2    ,3.2    
Ｄタブレット（計）,14    ,85.7    ,-,14.3    
Ｅ携帯音楽プレイヤー,13    ,84.6    ,15.4    ,-
Ｆゲーム機（計）,44    ,90.9    ,4.5    ,4.5    
Ｇインターネット接続テレビ,5    ,100.0    ,-,-
Ａ・Ｂスマートフォン・携帯電話（計）,73    ,89.0    ,5.5    ,5.5    
Ａ・Ｂ機能限定や子供向け（計）,10    ,70.0    ,20.0    ,10.0    
Ａ・Ｂ機能限定や子供向け以外（計）,73    ,89.0    ,5.5    ,5.5    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,
スマートフォン,16    ,93.8    ,-,6.3    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,1    ,-,100.0    ,-
契約切れスマートフォン,73    ,89.0    ,5.5    ,5.5    
携帯電話,4    ,50.0    ,25.0    ,25.0    
機能限定電話・子ども向け携帯電話,2    ,100.0    ,-,-
ノートパソコン,23    ,91.3    ,4.3    ,4.3    
デスクトップパソコン,11    ,100.0    ,-,-
タブレット,11    ,81.8    ,-,18.2    
