,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「１３」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔F-1携帯ゲーム機〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,1495    ,42.7    ,30.9    ,19.9    ,6.5    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,1472    ,42.6    ,30.7    ,20.1    ,6.6    
ＷＥＢ調査,23    ,47.8    ,43.5    ,8.7    ,-
〔性・学校種別〕,,,,,
小学生（計）,602    ,44.7    ,28.9    ,20.4    ,6.0    
  男子,330    ,46.1    ,28.8    ,20.3    ,4.8    
  女子,272    ,43.0    ,29.0    ,20.6    ,7.4    
中学生（計）,566    ,44.7    ,30.7    ,17.1    ,7.4    
  男子,339    ,50.4    ,28.3    ,14.5    ,6.8    
  女子,227    ,36.1    ,34.4    ,21.1    ,8.4    
高校生（計）,319    ,34.8    ,34.8    ,24.5    ,6.0    
  男子,204    ,36.8    ,34.8    ,23.0    ,5.4    
  女子,115    ,31.3    ,34.8    ,27.0    ,7.0    
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,1349    ,43.0    ,31.4    ,19.8    ,5.9    
  教えてもらったり学んだりしたことはない,120    ,39.2    ,28.3    ,20.8    ,11.7    
  わからない,26    ,42.3    ,19.2    ,23.1    ,15.4    
小学生（計）,602    ,44.7    ,28.9    ,20.4    ,6.0    
  説明を受けたり学んだりした,495    ,44.0    ,30.1    ,20.8    ,5.1    
  教えてもらったり学んだりしたことはない,90    ,48.9    ,22.2    ,18.9    ,10.0    
  わからない,17    ,41.2    ,29.4    ,17.6    ,11.8    
中学生（計）,566    ,44.7    ,30.7    ,17.1    ,7.4    
  説明を受けたり学んだりした,540    ,45.6    ,31.1    ,16.7    ,6.7    
  教えてもらったり学んだりしたことはない,18    ,16.7    ,33.3    ,27.8    ,22.2    
  わからない,8    ,50.0    ,-,25.0    ,25.0    
高校生（計）,319    ,34.8    ,34.8    ,24.5    ,6.0    
  説明を受けたり学んだりした,306    ,36.3    ,33.7    ,24.2    ,5.9    
  教えてもらったり学んだりしたことはない,12    ,-,66.7    ,25.0    ,8.3    
  わからない,1    ,-,-,100.0    ,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,805    ,54.2    ,26.6    ,14.3    ,5.0    
  特にルールを決めていない,398    ,48.5    ,25.9    ,18.3    ,7.3    
  わからない,11    ,81.8    ,-,18.2    ,-
小学生（計）,404    ,66.6    ,18.3    ,11.1    ,4.0    
  ルールを決めている（計）,303    ,64.7    ,20.1    ,10.9    ,4.3    
  特にルールを決めていない,95    ,70.5    ,13.7    ,12.6    ,3.2    
