,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
動画視聴,47    ,25.5    ,-,-,-,4.3    ,-,25.5    ,8.5    ,6.4    ,100.0    ,2.1    ,8.5    ,31.9    ,10.6    ,-,100.0    ,-,100.0    ,17.0    ,25.5    ,4.3    ,34.0    ,100.0    ,8.5    ,36.2    ,-,29.8    ,-,29.8    
電子書籍,10    ,30.0    ,-,-,-,10.0    ,-,30.0    ,20.0    ,10.0    ,100.0    ,-,20.0    ,70.0    ,30.0    ,-,100.0    ,-,100.0    ,40.0    ,30.0    ,10.0    ,50.0    ,100.0    ,20.0    ,70.0    ,-,40.0    ,-,40.0    
ゲーム,19    ,21.1    ,-,5.3    ,-,-,-,26.3    ,10.5    ,15.8    ,100.0    ,-,10.5    ,52.6    ,21.1    ,-,100.0    ,-,100.0    ,26.3    ,26.3    ,-,36.8    ,100.0    ,10.5    ,57.9    ,-,26.3    ,5.3    ,21.1    
ショッピング・オークション,1    ,100.0    ,-,-,-,-,-,100.0    ,-,-,100.0    ,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,-,-,100.0    ,-,100.0    
その他,49    ,34.7    ,-,2.0    ,2.0    ,2.0    ,2.0    ,18.4    ,20.4    ,16.3    ,100.0    ,2.0    ,18.4    ,51.0    ,16.3    ,4.1    ,100.0    ,-,100.0    ,30.6    ,38.8    ,4.1    ,36.7    ,100.0    ,18.4    ,51.0    ,4.1    ,40.8    ,4.1    ,38.8    
わからない,4    ,25.0    ,-,-,-,-,-,25.0    ,50.0    ,25.0    ,100.0    ,-,25.0    ,100.0    ,25.0    ,-,100.0    ,-,100.0    ,75.0    ,25.0    ,-,75.0    ,100.0    ,25.0    ,100.0    ,-,25.0    ,-,25.0    
Ｑ３〔ネット利用項目（Ｄ３娯楽用タブレット／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,-,-,100.0    ,-,100.0    ,-,-,-,-
ニュース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
情報検索,3    ,33.3    ,-,-,-,-,-,33.3    ,-,-,33.3    ,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,33.3    ,-,33.3    ,100.0    ,-,-,-,33.3    ,-,33.3    
地図・ナビゲーション,1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,100.0    ,-,-,-,-,-,-
音楽視聴,1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,100.0    ,-,-,-,-,-,-
動画視聴,4    ,50.0    ,-,-,-,-,-,75.0    ,-,25.0    ,25.0    ,100.0    ,25.0    ,50.0    ,-,-,100.0    ,-,100.0    ,-,50.0    ,-,75.0    ,100.0    ,25.0    ,50.0    ,-,50.0    ,-,50.0    
電子書籍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ゲーム,1    ,100.0    ,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ３〔ネット利用項目（Ｅ１携帯音楽プレイヤー／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,104    ,23.1    ,-,-,1.0    ,7.7    ,1.0    ,29.8    ,15.4    ,15.4    ,4.8    ,-,100.0    ,27.9    ,12.5    ,4.8    ,100.0    ,-,100.0    ,24.0    ,24.0    ,8.7    ,41.3    ,20.2    ,100.0    ,30.8    ,4.8    ,31.7    ,1.0    ,30.8    
ニュース,38    ,31.6    ,-,-,-,10.5    ,2.6    ,31.6    ,21.1    ,13.2    ,13.2    ,-,100.0    ,21.1    ,23.7    ,10.5    ,100.0    ,-,100.0    ,36.8    ,31.6    ,13.2    ,47.4    ,26.3    ,100.0    ,31.6    ,10.5    ,44.7    ,2.6    ,42.1    
情報検索,94    ,25.5    ,-,-,1.1    ,9.6    ,-,31.9    ,16.0    ,20.2    ,5.3    ,-,100.0    ,23.4    ,16.0    ,4.3    ,100.0    ,-,100.0    ,26.6    ,26.6    ,9.6    ,45.7    ,25.5    ,100.0    ,29.8    ,4.3    ,35.1    ,-,35.1    
地図・ナビゲーション,32    ,21.9    ,-,-,-,12.5    ,-,31.3    ,21.9    ,18.8    ,9.4    ,-,100.0    ,21.9    ,18.8    ,12.5    ,100.0    ,-,100.0    ,31.3    ,21.9    ,12.5    ,46.9    ,28.1    ,100.0    ,28.1    ,12.5    ,34.4    ,-,34.4    
音楽視聴,281    ,44.8    ,0.4    ,0.4    ,1.4    ,8.2    ,1.1    ,33.5    ,14.2    ,14.2    ,5.7    ,0.4    ,100.0    ,28.5    ,17.1    ,3.6    ,100.0    ,-,100.0    ,28.1    ,45.9    ,9.3    ,45.2    ,19.6    ,100.0    ,34.9    ,3.6    ,54.4    ,1.4    ,53.0    
動画視聴,144    ,32.6    ,-,-,1.4    ,6.3    ,-,30.6    ,13.2    ,14.6    ,6.9    ,-,100.0    ,28.5    ,17.4    ,3.5    ,100.0    ,-,100.0    ,25.7    ,33.3    ,6.3    ,41.0    ,20.1    ,100.0    ,34.7    ,3.5    ,38.9    ,-,38.9    
電子書籍,20    ,25.0    ,-,-,-,25.0    ,-,25.0    ,10.0    ,15.0    ,-,-,100.0    ,25.0    ,20.0    ,15.0    ,100.0    ,-,100.0    ,25.0    ,25.0    ,25.0    ,35.0    ,15.0    ,100.0    ,30.0    ,15.0    ,50.0    ,-,50.0    
ゲーム,128    ,21.9    ,-,-,0.8    ,8.6    ,0.8    ,28.1    ,10.9    ,15.6    ,7.0    ,-,100.0    ,31.3    ,18.0    ,3.9    ,100.0    ,-,100.0    ,25.0    ,22.7    ,9.4    ,35.9    ,21.9    ,100.0    ,38.3    ,3.9    ,32.0    ,0.8    ,31.3    
ショッピング・オークション,10    ,20.0    ,-,-,-,10.0    ,-,30.0    ,10.0    ,20.0    ,-,-,100.0    ,40.0    ,30.0    ,10.0    ,100.0    ,-,100.0    ,30.0    ,20.0    ,10.0    ,40.0    ,20.0    ,100.0    ,40.0    ,10.0    ,30.0    ,-,30.0    
その他,7    ,42.9    ,-,-,-,28.6    ,-,28.6    ,14.3    ,28.6    ,-,-,100.0    ,-,-,-,100.0    ,-,100.0    ,14.3    ,42.9    ,28.6    ,42.9    ,28.6    ,100.0    ,-,-,71.4    ,-,71.4    
わからない,5    ,60.0    ,-,-,-,-,20.0    ,60.0    ,40.0    ,20.0    ,20.0    ,-,100.0    ,40.0    ,20.0    ,-,100.0    ,-,100.0    ,60.0    ,60.0    ,20.0    ,80.0    ,20.0    ,100.0    ,40.0    ,-,60.0    ,20.0    ,60.0    
Ｑ３〔ネット利用項目（Ｆ１携帯ゲーム／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,89    ,30.3    ,-,-,4.5    ,3.4    ,2.2    ,30.3    ,11.2    ,19.1    ,10.1    ,1.1    ,16.9    ,100.0    ,28.1    ,3.4    ,100.0    ,-,100.0    ,33.7    ,33.7    ,5.6    ,40.4    ,28.1    ,16.9    ,100.0    ,3.4    ,38.2    ,2.2    ,36.0    
ニュース,13    ,38.5    ,-,-,7.7    ,7.7    ,-,38.5    ,15.4    ,15.4    ,23.1    ,-,15.4    ,100.0    ,46.2    ,7.7    ,100.0    ,-,100.0    ,46.2    ,38.5    ,7.7    ,53.8    ,30.8    ,15.4    ,100.0    ,7.7    ,46.2    ,-,46.2    
情報検索,87    ,29.9    ,-,-,3.4    ,3.4    ,-,41.4    ,10.3    ,23.0    ,13.8    ,-,12.6    ,100.0    ,23.0    ,4.6    ,100.0    ,-,100.0    ,29.9    ,32.2    ,3.4    ,50.6    ,34.5    ,12.6    ,100.0    ,4.6    ,35.6    ,-,35.6    
地図・ナビゲーション,6    ,33.3    ,-,-,-,-,-,16.7    ,16.7    ,50.0    ,50.0    ,-,16.7    ,100.0    ,16.7    ,16.7    ,100.0    ,-,100.0    ,33.3    ,33.3    ,-,33.3    ,66.7    ,16.7    ,100.0    ,16.7    ,33.3    ,-,33.3    
音楽視聴,91    ,31.9    ,-,1.1    ,1.1    ,6.6    ,-,35.2    ,15.4    ,16.5    ,14.3    ,1.1    ,14.3    ,100.0    ,30.8    ,3.3    ,100.0    ,-,100.0    ,37.4    ,34.1    ,6.6    ,49.5    ,28.6    ,14.3    ,100.0    ,3.3    ,39.6    ,1.1    ,38.5    
動画視聴,147    ,27.2    ,-,0.7    ,4.1    ,7.5    ,-,34.7    ,18.4    ,15.0    ,11.6    ,-,9.5    ,100.0    ,25.2    ,4.1    ,100.0    ,-,100.0    ,35.4    ,30.6    ,7.5    ,49.7    ,23.8    ,9.5    ,100.0    ,4.1    ,37.4    ,0.7    ,36.7    
電子書籍,7    ,14.3    ,-,-,-,-,14.3    ,57.1    ,-,28.6    ,28.6    ,-,14.3    ,100.0    ,-,-,100.0    ,-,100.0    ,-,14.3    ,14.3    ,57.1    ,42.9    ,14.3    ,100.0    ,-,28.6    ,14.3    ,14.3    
ゲーム,555    ,35.7    ,0.2    ,0.9    ,4.1    ,5.9    ,1.1    ,32.6    ,16.6    ,16.0    ,9.9    ,0.2    ,15.3    ,100.0    ,30.6    ,4.5    ,100.0    ,-,100.0    ,40.7    ,39.3    ,7.0    ,47.0    ,24.1    ,15.3    ,100.0    ,4.5    ,45.4    ,2.0    ,44.0    
ショッピング・オークション,19    ,31.6    ,-,-,5.3    ,5.3    ,-,26.3    ,15.8    ,15.8    ,10.5    ,-,10.5    ,100.0    ,57.9    ,5.3    ,100.0    ,-,100.0    ,68.4    ,31.6    ,5.3    ,36.8    ,21.1    ,10.5    ,100.0    ,5.3    ,36.8    ,-,36.8    
その他,12    ,33.3    ,-,-,-,16.7    ,-,41.7    ,25.0    ,25.0    ,16.7    ,-,-,100.0    ,33.3    ,8.3    ,100.0    ,-,100.0    ,50.0    ,33.3    ,16.7    ,66.7    ,33.3    ,-,100.0    ,8.3    ,50.0    ,-,50.0    
わからない,13    ,38.5    ,-,-,-,-,-,30.8    ,23.1    ,23.1    ,23.1    ,-,15.4    ,100.0    ,-,-,100.0    ,-,100.0    ,23.1    ,38.5    ,-,53.8    ,46.2    ,15.4    ,100.0    ,-,38.5    ,-,38.5    
Ｑ３〔ネット利用項目（Ｆ２据置型ゲーム／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,21    ,52.4    ,-,-,-,-,-,28.6    ,14.3    ,23.8    ,9.5    ,4.8    ,23.8    ,76.2    ,100.0    ,14.3    ,100.0    ,-,100.0    ,100.0    ,52.4    ,-,42.9    ,38.1    ,23.8    ,100.0    ,14.3    ,52.4    ,-,52.4    
ニュース,3    ,33.3    ,-,-,-,-,-,33.3    ,66.7    ,-,33.3    ,-,66.7    ,66.7    ,100.0    ,33.3    ,100.0    ,-,66.7    ,100.0    ,33.3    ,-,100.0    ,33.3    ,66.7    ,100.0    ,33.3    ,33.3    ,-,33.3    
情報検索,18    ,38.9    ,-,-,5.6    ,-,-,38.9    ,22.2    ,27.8    ,11.1    ,-,38.9    ,61.1    ,100.0    ,5.6    ,100.0    ,-,94.4    ,100.0    ,44.4    ,-,55.6    ,38.9    ,38.9    ,100.0    ,5.6    ,44.4    ,-,44.4    
地図・ナビゲーション,1    ,-,-,-,-,-,-,-,100.0    ,-,-,-,100.0    ,100.0    ,100.0    ,100.0    ,100.0    ,-,100.0    ,100.0    ,-,-,100.0    ,-,100.0    ,100.0    ,100.0    ,-,-,-
音楽視聴,20    ,70.0    ,-,-,15.0    ,10.0    ,5.0    ,30.0    ,30.0    ,10.0    ,10.0    ,-,25.0    ,65.0    ,100.0    ,15.0    ,100.0    ,-,95.0    ,100.0    ,75.0    ,15.0    ,60.0    ,20.0    ,25.0    ,100.0    ,15.0    ,80.0    ,5.0    ,80.0    
動画視聴,46    ,58.7    ,-,2.2    ,6.5    ,6.5    ,-,37.0    ,23.9    ,21.7    ,13.0    ,-,19.6    ,60.9    ,100.0    ,10.9    ,100.0    ,-,95.7    ,100.0    ,63.0    ,6.5    ,56.5    ,34.8    ,19.6    ,100.0    ,10.9    ,67.4    ,2.2    ,65.2    
電子書籍,1    ,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,-,-,-,-,100.0    ,-,-,-,-
ゲーム,231    ,49.4    ,0.4    ,1.3    ,2.6    ,4.8    ,2.2    ,37.2    ,23.8    ,20.8    ,9.5    ,-,21.2    ,71.0    ,100.0    ,7.4    ,100.0    ,-,96.5    ,100.0    ,51.5    ,6.9    ,57.1    ,29.0    ,21.2    ,100.0    ,7.4    ,55.8    ,3.5    ,54.1    
ショッピング・オークション,13    ,46.2    ,-,-,7.7    ,7.7    ,-,38.5    ,7.7    ,15.4    ,-,-,15.4    ,92.3    ,100.0    ,-,100.0    ,-,100.0    ,100.0    ,46.2    ,7.7    ,46.2    ,15.4    ,15.4    ,100.0    ,-,53.8    ,-,53.8    
その他,4    ,50.0    ,-,-,-,25.0    ,-,25.0    ,25.0    ,25.0    ,25.0    ,-,-,75.0    ,100.0    ,25.0    ,100.0    ,-,100.0    ,100.0    ,50.0    ,25.0    ,50.0    ,50.0    ,-,100.0    ,25.0    ,75.0    ,-,75.0    
わからない,11    ,45.5    ,-,-,9.1    ,-,-,27.3    ,-,36.4    ,9.1    ,-,18.2    ,54.5    ,100.0    ,-,100.0    ,-,90.9    ,100.0    ,45.5    ,-,27.3    ,45.5    ,18.2    ,100.0    ,-,45.5    ,-,45.5    
Ｑ３〔ネット利用項目（Ｇ１ネットテレビ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1    ,-,-,-,-,100.0    ,-,-,100.0    ,-,-,-,-,100.0    ,100.0    ,100.0    ,100.0    ,-,100.0    ,100.0    ,-,100.0    ,100.0    ,-,-,100.0    ,100.0    ,100.0    ,-,100.0    
ニュース,9    ,66.7    ,-,-,11.1    ,11.1    ,-,33.3    ,44.4    ,11.1    ,-,-,11.1    ,22.2    ,22.2    ,100.0    ,100.0    ,-,100.0    ,100.0    ,66.7    ,11.1    ,77.8    ,11.1    ,11.1    ,33.3    ,100.0    ,77.8    ,-,77.8    
情報検索,11    ,72.7    ,-,-,18.2    ,9.1    ,-,-,63.6    ,27.3    ,9.1    ,-,9.1    ,72.7    ,36.4    ,100.0    ,100.0    ,-,100.0    ,100.0    ,72.7    ,9.1    ,63.6    ,36.4    ,9.1    ,72.7    ,100.0    ,81.8    ,-,81.8    
地図・ナビゲーション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音楽視聴,10    ,60.0    ,-,-,10.0    ,10.0    ,-,50.0    ,50.0    ,20.0    ,-,-,40.0    ,60.0    ,40.0    ,100.0    ,100.0    ,-,100.0    ,100.0    ,60.0    ,10.0    ,80.0    ,20.0    ,40.0    ,70.0    ,100.0    ,70.0    ,-,70.0    
動画視聴,30    ,60.0    ,-,-,3.3    ,10.0    ,-,33.3    ,50.0    ,26.7    ,3.3    ,-,16.7    ,40.0    ,26.7    ,100.0    ,100.0    ,-,96.7    ,100.0    ,60.0    ,10.0    ,73.3    ,26.7    ,16.7    ,50.0    ,100.0    ,70.0    ,-,70.0    
電子書籍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ゲーム,6    ,16.7    ,-,-,33.3    ,16.7    ,-,50.0    ,16.7    ,16.7    ,-,-,16.7    ,83.3    ,50.0    ,100.0    ,100.0    ,-,83.3    ,100.0    ,33.3    ,16.7    ,66.7    ,16.7    ,16.7    ,100.0    ,100.0    ,50.0    ,-,50.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,6    ,33.3    ,-,-,-,50.0    ,-,50.0    ,50.0    ,16.7    ,-,-,33.3    ,50.0    ,50.0    ,100.0    ,100.0    ,-,83.3    ,100.0    ,33.3    ,50.0    ,83.3    ,16.7    ,33.3    ,50.0    ,100.0    ,83.3    ,-,83.3    
わからない,5    ,60.0    ,20.0    ,20.0    ,-,-,20.0    ,40.0    ,20.0    ,20.0    ,-,-,40.0    ,40.0    ,40.0    ,100.0    ,100.0    ,-,100.0    ,100.0    ,80.0    ,20.0    ,60.0    ,20.0    ,40.0    ,40.0    ,100.0    ,80.0    ,40.0    ,60.0    
Ｑ４〔ネット利用時間（Ａ１～Ｇ１の合計時間〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っていない,69    ,4.3    ,-,2.9    ,-,7.2    ,1.4    ,37.7    ,20.3    ,15.9    ,-,-,7.2    ,33.3    ,7.2    ,-,100.0    ,-,87.0    ,27.5    ,7.2    ,8.7    ,56.5    ,15.9    ,7.2    ,33.3    ,-,15.9    ,4.3    ,11.6    
３０分未満,184    ,28.3    ,1.1    ,1.6    ,2.2    ,7.6    ,3.8    ,38.6    ,12.0    ,15.2    ,5.4    ,0.5    ,5.4    ,17.4    ,6.0    ,1.6    ,100.0    ,-,94.6    ,18.5    ,33.2    ,11.4    ,50.0    ,20.7    ,5.4    ,19.0    ,1.6    ,44.0    ,5.4    ,39.1    
３０分以上１時間未満,324    ,38.0    ,0.3    ,1.2    ,2.8    ,7.1    ,3.1    ,26.9    ,13.6    ,16.4    ,8.6    ,0.3    ,7.4    ,17.6    ,6.8    ,1.5    ,100.0    ,-,94.1    ,20.1    ,41.7    ,10.2    ,39.8    ,25.0    ,7.4    ,21.0    ,1.5    ,50.3    ,4.3    ,46.6    
１時間以上２時間未満,647    ,51.5    ,0.6    ,1.7    ,2.3    ,4.0    ,0.8    ,28.0    ,12.7    ,17.8    ,7.1    ,0.3    ,12.2    ,26.1    ,9.1    ,1.4    ,100.0    ,-,98.1    ,21.2    ,55.5    ,4.8    ,39.3    ,24.9    ,12.2    ,28.9    ,1.4    ,59.7    ,2.5    ,57.7    
２時間以上３時間未満,486    ,63.6    ,0.8    ,0.4    ,4.1    ,3.5    ,0.4    ,28.0    ,11.9    ,15.2    ,4.1    ,0.2    ,12.3    ,24.3    ,10.7    ,1.2    ,100.0    ,-,99.0    ,21.6    ,67.9    ,3.9    ,38.5    ,19.1    ,12.3    ,27.0    ,1.2    ,71.0    ,0.8    ,70.2    
３時間以上４時間未満,343    ,72.3    ,-,0.6    ,2.0    ,4.1    ,0.6    ,31.2    ,14.0    ,18.1    ,5.2    ,-,13.1    ,24.8    ,12.5    ,2.0    ,100.0    ,-,98.5    ,24.5    ,74.6    ,4.7    ,43.7    ,21.9    ,13.1    ,28.6    ,2.0    ,78.7    ,1.2    ,77.8    
４時間以上５時間未満,171    ,73.7    ,0.6    ,0.6    ,1.2    ,2.3    ,0.6    ,33.3    ,19.9    ,21.1    ,2.3    ,-,20.5    ,26.9    ,13.5    ,4.7    ,100.0    ,-,99.4    ,30.4    ,75.4    ,2.9    ,50.3    ,22.2    ,20.5    ,31.0    ,4.7    ,77.8    ,1.2    ,77.8    
５時間以上６時間未満,129    ,86.8    ,-,-,3.9    ,6.2    ,-,34.9    ,17.1    ,12.4    ,2.3    ,0.8    ,12.4    ,21.7    ,12.4    ,8.5    ,100.0    ,-,100.0    ,27.9    ,88.4    ,6.2    ,49.6    ,14.7    ,12.4    ,24.8    ,8.5    ,94.6    ,-,94.6    
６時間以上９時間未満,124    ,83.1    ,2.4    ,0.8    ,3.2    ,1.6    ,-,33.9    ,24.2    ,21.0    ,5.6    ,-,22.6    ,30.6    ,19.4    ,4.8    ,100.0    ,-,100.0    ,37.1    ,87.1    ,1.6    ,53.2    ,25.0    ,22.6    ,37.9    ,4.8    ,88.7    ,0.8    ,87.9    
９時間以上１２時間未満,24    ,75.0    ,4.2    ,4.2    ,4.2    ,12.5    ,-,54.2    ,16.7    ,8.3    ,8.3    ,-,16.7    ,50.0    ,8.3    ,4.2    ,100.0    ,-,100.0    ,25.0    ,83.3    ,12.5    ,66.7    ,12.5    ,16.7    ,50.0    ,4.2    ,91.7    ,4.2    ,91.7    
１２時間以上１５時間未満,17    ,94.1    ,-,-,5.9    ,-,-,29.4    ,41.2    ,17.6    ,-,-,35.3    ,41.2    ,11.8    ,5.9    ,100.0    ,-,100.0    ,41.2    ,94.1    ,-,52.9    ,17.6    ,35.3    ,41.2    ,5.9    ,94.1    ,-,94.1    
１５時間以上１８時間未満,4    ,100.0    ,-,-,25.0    ,-,-,-,50.0    ,-,-,-,25.0    ,25.0    ,-,25.0    ,100.0    ,-,100.0    ,50.0    ,100.0    ,-,50.0    ,-,25.0    ,25.0    ,25.0    ,100.0    ,-,100.0    
１８時間以上２１時間未満,4    ,75.0    ,-,-,25.0    ,-,-,25.0    ,75.0    ,-,-,-,50.0    ,25.0    ,-,-,100.0    ,-,100.0    ,75.0    ,100.0    ,-,75.0    ,-,50.0    ,25.0    ,-,100.0    ,-,100.0    
２１時間以上２４時間未満,3    ,100.0    ,-,-,-,-,-,66.7    ,-,33.3    ,-,-,33.3    ,-,33.3    ,-,100.0    ,-,100.0    ,33.3    ,100.0    ,-,66.7    ,33.3    ,33.3    ,33.3    ,-,100.0    ,-,100.0    
２４時間以上,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    
わからない,85    ,24.7    ,3.5    ,1.2    ,3.5    ,4.7    ,2.4    ,23.5    ,11.8    ,8.2    ,1.2    ,-,12.9    ,24.7    ,7.1    ,-,100.0    ,-,92.9    ,16.5    ,32.9    ,7.1    ,35.3    ,9.4    ,12.9    ,27.1    ,-,38.8    ,3.5    ,35.3    
２時間以上（計）,1306    ,72.2    ,0.7    ,0.5    ,3.2    ,3.7    ,0.4    ,31.2    ,15.9    ,16.8    ,4.1    ,0.2    ,15.2    ,25.7    ,12.5    ,3.1    ,100.0    ,-,99.2    ,26.2    ,75.4    ,4.1    ,44.8    ,20.1    ,15.2    ,29.3    ,3.1    ,78.9    ,0.9    ,78.3    
５時間以上（計）,306    ,85.0    ,1.3    ,0.7    ,4.2    ,4.2    ,-,35.3    ,22.2    ,15.7    ,3.9    ,0.3    ,19.0    ,28.4    ,14.7    ,6.5    ,100.0    ,-,100.0    ,33.0    ,88.2    ,4.2    ,52.9    ,18.6    ,19.0    ,33.0    ,6.5    ,92.2    ,0.7    ,91.8    
６時間以上（計）,177    ,83.6    ,2.3    ,1.1    ,4.5    ,2.8    ,-,35.6    ,26.0    ,18.1    ,5.1    ,-,23.7    ,33.3    ,16.4    ,5.1    ,100.0    ,-,100.0    ,36.7    ,88.1    ,2.8    ,55.4    ,21.5    ,23.7    ,39.0    ,5.1    ,90.4    ,1.1    ,89.8    
１２時間以上（計）,29    ,93.1    ,-,-,10.3    ,-,-,27.6    ,41.4    ,13.8    ,-,-,34.5    ,31.0    ,10.3    ,6.9    ,100.0    ,-,100.0    ,44.8    ,96.6    ,-,55.2    ,13.8    ,34.5    ,34.5    ,6.9    ,96.6    ,-,96.6    
１８時間以上（計）,8    ,87.5    ,-,-,12.5    ,-,-,37.5    ,37.5    ,12.5    ,-,-,37.5    ,12.5    ,12.5    ,-,100.0    ,-,100.0    ,50.0    ,100.0    ,-,62.5    ,12.5    ,37.5    ,25.0    ,-,100.0    ,-,100.0    
Ｑ４〔ネット利用時間（Ａ１スマホ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っていない,12    ,100.0    ,8.3    ,-,8.3    ,-,8.3    ,58.3    ,8.3    ,33.3    ,16.7    ,-,25.0    ,41.7    ,41.7    ,16.7    ,100.0    ,-,100.0    ,58.3    ,100.0    ,8.3    ,66.7    ,41.7    ,25.0    ,50.0    ,16.7    ,100.0    ,8.3    ,100.0    
３０分未満,78    ,100.0    ,-,1.3    ,-,3.8    ,1.3    ,26.9    ,11.5    ,20.5    ,5.1    ,-,5.1    ,12.8    ,9.0    ,3.8    ,100.0    ,-,100.0    ,23.1    ,100.0    ,5.1    ,38.5    ,24.4    ,5.1    ,17.9    ,3.8    ,100.0    ,2.6    ,100.0    
３０分以上１時間未満,164    ,100.0    ,-,-,0.6    ,1.2    ,-,25.6    ,11.6    ,7.3    ,0.6    ,-,9.1    ,15.9    ,7.9    ,-,100.0    ,-,100.0    ,18.3    ,100.0    ,1.2    ,35.4    ,7.9    ,9.1    ,17.7    ,-,100.0    ,-,100.0    
１時間以上２時間未満,364    ,100.0    ,-,0.3    ,1.9    ,-,0.3    ,27.7    ,13.2    ,10.7    ,3.6    ,0.3    ,9.1    ,13.7    ,8.0    ,2.2    ,100.0    ,-,100.0    ,20.1    ,100.0    ,0.3    ,38.7    ,14.3    ,9.1    ,15.9    ,2.2    ,100.0    ,0.5    ,100.0    
２時間以上３時間未満,327    ,100.0    ,-,0.3    ,0.6    ,0.6    ,-,26.0    ,15.9    ,11.0    ,2.4    ,-,9.8    ,16.8    ,9.8    ,1.5    ,100.0    ,-,100.0    ,24.2    ,100.0    ,0.6    ,40.4    ,12.5    ,9.8    ,19.9    ,1.5    ,100.0    ,0.3    ,100.0    
３時間以上４時間未満,244    ,100.0    ,-,-,1.2    ,0.4    ,0.4    ,30.3    ,12.7    ,12.3    ,3.3    ,-,12.3    ,14.3    ,8.6    ,3.7    ,100.0    ,-,100.0    ,22.1    ,100.0    ,0.8    ,40.6    ,15.2    ,12.3    ,17.2    ,3.7    ,100.0    ,0.4    ,100.0    
