,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
  女子,516    ,88.0    ,0.2    ,0.8    ,1.0    ,3.3    ,0.2    ,30.4    ,17.2    ,9.3    ,1.7    ,-,10.7    ,7.0    ,3.9    ,2.1    ,97.1    ,2.9    ,96.9    ,21.3    ,89.3    ,3.5    ,45.2    ,10.7    ,10.7    ,8.7    ,2.1    ,92.6    ,1.0    ,91.9    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,45.0    ,0.6    ,0.8    ,2.1    ,3.5    ,0.7    ,24.0    ,11.5    ,13.1    ,4.2    ,0.2    ,10.0    ,18.6    ,8.1    ,1.7    ,78.0    ,22.0    ,76.0    ,18.4    ,47.8    ,4.2    ,34.2    ,16.9    ,10.0    ,21.1    ,1.7    ,51.5    ,1.5    ,50.2    
  教えてもらったり学んだりしたことはない,267    ,22.5    ,0.4    ,1.1    ,2.6    ,4.5    ,2.2    ,14.6    ,7.9    ,8.2    ,2.6    ,-,4.9    ,17.6    ,4.9    ,1.1    ,58.1    ,41.9    ,56.2    ,11.6    ,26.2    ,6.7    ,21.0    ,10.9    ,4.9    ,18.7    ,1.1    ,32.2    ,3.4    ,29.2    
  わからない,57    ,19.3    ,-,1.8    ,1.8    ,-,1.8    ,12.3    ,3.5    ,8.8    ,3.5    ,-,3.5    ,19.3    ,3.5    ,3.5    ,52.6    ,47.4    ,52.6    ,8.8    ,22.8    ,1.8    ,14.0    ,12.3    ,3.5    ,19.3    ,3.5    ,22.8    ,3.5    ,21.1    
小学生（計）,1080    ,9.1    ,0.3    ,0.9    ,2.4    ,2.2    ,1.7    ,17.4    ,8.0    ,12.2    ,3.1    ,0.4    ,3.1    ,24.9    ,7.6    ,1.0    ,53.0    ,47.0    ,50.4    ,14.5    ,12.5    ,3.9    ,24.6    ,15.3    ,3.1    ,26.0    ,1.0    ,15.6    ,2.6    ,13.3    
  説明を受けたり学んだりした,874    ,10.2    ,0.3    ,1.0    ,2.3    ,2.4    ,1.5    ,18.5    ,8.1    ,13.2    ,3.1    ,0.5    ,3.4    ,24.9    ,8.1    ,1.1    ,55.1    ,44.9    ,52.3    ,15.2    ,13.6    ,3.9    ,26.1    ,16.1    ,3.4    ,26.1    ,1.1    ,16.8    ,2.5    ,14.6    
  教えてもらったり学んだりしたことはない,169    ,4.7    ,-,-,3.0    ,1.8    ,3.0    ,13.6    ,8.3    ,8.3    ,3.6    ,-,1.8    ,26.0    ,6.5    ,0.6    ,45.0    ,55.0    ,43.2    ,13.6    ,7.7    ,4.7    ,20.7    ,11.8    ,1.8    ,27.2    ,0.6    ,11.2    ,3.0    ,8.3    
  わからない,37    ,2.7    ,-,2.7    ,2.7    ,-,-,8.1    ,2.7    ,8.1    ,2.7    ,-,-,18.9    ,-,-,37.8    ,62.2    ,37.8    ,2.7    ,8.1    ,-,8.1    ,10.8    ,-,18.9    ,-,8.1    ,2.7    ,5.4    
中学生（計）,1329    ,36.3    ,0.8    ,0.8    ,2.8    ,5.0    ,0.8    ,24.1    ,10.7    ,15.8    ,6.8    ,0.2    ,13.5    ,19.0    ,8.5    ,2.3    ,79.4    ,20.6    ,76.9    ,18.1    ,39.8    ,5.8    ,33.4    ,22.0    ,13.5    ,22.3    ,2.3    ,44.9    ,1.6    ,43.6    
