,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔D-1タブレット〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,434    ,81.3    ,11.5    ,7.1    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,424    ,80.9    ,11.8    ,7.3    
ＷＥＢ調査,10    ,100.0    ,-,-
〔性・学校種別〕,,,,
小学生（計）,132    ,75.0    ,13.6    ,11.4    
  男子,76    ,72.4    ,15.8    ,11.8    
  女子,56    ,78.6    ,10.7    ,10.7    
中学生（計）,210    ,82.9    ,10.0    ,7.1    
  男子,109    ,86.2    ,10.1    ,3.7    
  女子,101    ,79.2    ,9.9    ,10.9    
高校生（計）,91    ,86.8    ,12.1    ,1.1    
  男子,43    ,93.0    ,7.0    ,-
  女子,48    ,81.3    ,16.7    ,2.1    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,407    ,81.3    ,12.0    ,6.6    
  教えてもらったり学んだりしたことはない,22    ,81.8    ,-,18.2    
  わからない,5    ,80.0    ,20.0    ,-
小学生（計）,132    ,75.0    ,13.6    ,11.4    
  説明を受けたり学んだりした,115    ,74.8    ,15.7    ,9.6    
  教えてもらったり学んだりしたことはない,14    ,71.4    ,-,28.6    
  わからない,3    ,100.0    ,-,-
中学生（計）,210    ,82.9    ,10.0    ,7.1    
  説明を受けたり学んだりした,204    ,82.4    ,10.3    ,7.4    
  教えてもらったり学んだりしたことはない,5    ,100.0    ,-,-
  わからない,1    ,100.0    ,-,-
高校生（計）,91    ,86.8    ,12.1    ,1.1    
  説明を受けたり学んだりした,87    ,87.4    ,11.5    ,1.1    
  教えてもらったり学んだりしたことはない,3    ,100.0    ,-,-
  わからない,1    ,-,100.0    ,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,308    ,81.2    ,10.7    ,8.1    
  特にルールを決めていない,119    ,84.9    ,11.8    ,3.4    
  わからない,7    ,28.6    ,42.9    ,28.6    
小学生（計）,132    ,75.0    ,13.6    ,11.4    
  ルールを決めている（計）,107    ,74.8    ,12.1    ,13.1    
  特にルールを決めていない,22    ,77.3    ,18.2    ,4.5    
  わからない,3    ,66.7    ,33.3    ,-
中学生（計）,210    ,82.9    ,10.0    ,7.1    
  ルールを決めている（計）,152    ,83.6    ,9.9    ,6.6    
  特にルールを決めていない,55    ,85.5    ,9.1    ,5.5    
  わからない,3    ,-,33.3    ,66.7    
高校生（計）,91    ,86.8    ,12.1    ,1.1    
  ルールを決めている（計）,49    ,87.8    ,10.2    ,2.0    
  特にルールを決めていない,41    ,87.8    ,12.2    ,-
  わからない,1    ,-,100.0    ,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,434    ,81.3    ,11.5    ,7.1    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,132    ,75.0    ,13.6    ,11.4    
  インターネット利用（計）,132    ,75.0    ,13.6    ,11.4    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,210    ,82.9    ,10.0    ,7.1    
  インターネット利用（計）,210    ,82.9    ,10.0    ,7.1    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,91    ,86.8    ,12.1    ,1.1    
  インターネット利用（計）,91    ,86.8    ,12.1    ,1.1    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,219    ,81.3    ,12.3    ,6.4    
  いない,215    ,81.4    ,10.7    ,7.9    
小学生（計）,132    ,75.0    ,13.6    ,11.4    
  １人以上いる,59    ,84.7    ,6.8    ,8.5    
  いない,73    ,67.1    ,19.2    ,13.7    
中学生（計）,210    ,82.9    ,10.0    ,7.1    
  １人以上いる,112    ,78.6    ,13.4    ,8.0    
  いない,98    ,87.8    ,6.1    ,6.1    
高校生（計）,91    ,86.8    ,12.1    ,1.1    
  １人以上いる,47    ,83.0    ,17.0    ,-
  いない,44    ,90.9    ,6.8    ,2.3    
〔地域〕,,,,
北海道・東北,44    ,72.7    ,22.7    ,4.5    
北関東,64    ,79.7    ,12.5    ,7.8    
南関東,74    ,82.4    ,8.1    ,9.5    
東海・北陸・信越,88    ,84.1    ,12.5    ,3.4    
近畿,70    ,80.0    ,8.6    ,11.4    
中国・四国,49    ,85.7    ,10.2    ,4.1    
九州・沖縄,45    ,82.2    ,8.9    ,8.9    
〔都市規模〕,,,,
大都市（政令指定都市）,117    ,81.2    ,10.3    ,8.5    
人口２０万人以上の市,118    ,79.7    ,13.6    ,6.8    
人口１０万人以上の市,72    ,87.5    ,5.6    ,6.9    
人口１０万人未満の市,102    ,79.4    ,13.7    ,6.9    
郡部（町村）,25    ,80.0    ,16.0    ,4.0    
〔都道府県〕,,,,
北海道,20    ,75.0    ,20.0    ,5.0    
青森県,3    ,66.7    ,33.3    ,-
岩手県,5    ,100.0    ,-,-
宮城県,5    ,80.0    ,-,20.0    
秋田県,2    ,100.0    ,-,-
山形県,3    ,-,100.0    ,-
福島県,6    ,66.7    ,33.3    ,-
茨城県,10    ,70.0    ,20.0    ,10.0    
栃木県,10    ,70.0    ,20.0    ,10.0    
群馬県,9    ,77.8    ,11.1    ,11.1    
埼玉県,16    ,87.5    ,-,12.5    
千葉県,19    ,84.2    ,15.8    ,-
東京都,39    ,84.6    ,7.7    ,7.7    
神奈川県,34    ,79.4    ,8.8    ,11.8    
新潟県,7    ,85.7    ,-,14.3    
富山県,6    ,83.3    ,-,16.7    
石川県,5    ,100.0    ,-,-
福井県,9    ,88.9    ,-,11.1    
山梨県,1    ,100.0    ,-,-
長野県,8    ,75.0    ,25.0    ,-
岐阜県,5    ,60.0    ,40.0    ,-
静岡県,16    ,87.5    ,12.5    ,-
愛知県,24    ,79.2    ,20.8    ,-
三重県,8    ,100.0    ,-,-
滋賀県,2    ,100.0    ,-,-
京都府,10    ,70.0    ,-,30.0    
大阪府,33    ,78.8    ,12.1    ,9.1    
兵庫県,17    ,88.2    ,5.9    ,5.9    
奈良県,7    ,71.4    ,14.3    ,14.3    
和歌山県,1    ,100.0    ,-,-
鳥取県,1    ,100.0    ,-,-
島根県,-,-,-,-
岡山県,17    ,100.0    ,-,-
広島県,13    ,84.6    ,-,15.4    
山口県,5    ,60.0    ,40.0    ,-
徳島県,5    ,60.0    ,40.0    ,-
香川県,3    ,100.0    ,-,-
愛媛県,4    ,75.0    ,25.0    ,-
高知県,1    ,100.0    ,-,-
福岡県,13    ,76.9    ,7.7    ,15.4    
佐賀県,1    ,100.0    ,-,-
長崎県,6    ,83.3    ,16.7    ,-
熊本県,10    ,80.0    ,-,20.0    
大分県,-,-,-,-
宮崎県,7    ,100.0    ,-,-
鹿児島県,3    ,100.0    ,-,-
沖縄県,5    ,60.0    ,40.0    ,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,162    ,84.0    ,9.3    ,6.8    
格安スマートフォン,1    ,100.0    ,-,-
機能限定・子供向けスマートフォン,10    ,60.0    ,30.0    ,10.0    
契約切れスマートフォン,14    ,92.9    ,-,7.1    
携帯電話,73    ,76.7    ,15.1    ,8.2    
機能限定電話・子ども向け携帯電話,49    ,73.5    ,10.2    ,16.3    
ノートパソコン,120    ,85.8    ,9.2    ,5.0    
デスクトップパソコン,80    ,81.3    ,12.5    ,6.3    
タブレット,434    ,81.3    ,11.5    ,7.1    
学習用タブレット,24    ,87.5    ,-,12.5    
子供向け娯楽用タブレット,1    ,100.0    ,-,-
携帯音楽プレイヤー,133    ,89.5    ,7.5    ,3.0    
携帯ゲーム機,226    ,79.6    ,13.3    ,7.1    
据置型ゲーム機,160    ,81.3    ,11.9    ,6.9    
インターネット接続テレビ,25    ,92.0    ,4.0    ,4.0    
利用している（計）,434    ,81.3    ,11.5    ,7.1    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,182    ,83.0    ,9.9    ,7.1    
Ｂ携帯電話（計）,120    ,75.8    ,13.3    ,10.8    
Ｃパソコン（計）,187    ,83.4    ,10.7    ,5.9    
Ｄタブレット（計）,434    ,81.3    ,11.5    ,7.1    
Ｅ携帯音楽プレイヤー,133    ,89.5    ,7.5    ,3.0    
