,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票３〕Ｑ３〔D-2学習用タブレット〕あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,コミニュケーション,ニュース,情報検索,地図・ナビゲーション,音楽視聴,動画視聴,電子書籍,ゲーム,ショッピング・オークション,その他,わからない,回答計
＊＊【　総　数　】＊＊,139    ,16.5    ,9.4    ,46.0    ,6.5    ,15.8    ,33.8    ,7.2    ,13.7    ,0.7    ,35.3    ,2.9    ,187.8    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,138    ,16.7    ,9.4    ,45.7    ,6.5    ,15.9    ,34.1    ,7.2    ,13.8    ,0.7    ,35.5    ,2.9    ,188.4    
ＷＥＢ調査,1    ,-,-,100.0    ,-,-,-,-,-,-,-,-,100.0    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,34    ,5.9    ,11.8    ,23.5    ,5.9    ,2.9    ,17.6    ,8.8    ,29.4    ,-,58.8    ,2.9    ,167.6    
  男子,15    ,6.7    ,20.0    ,26.7    ,6.7    ,-,13.3    ,6.7    ,26.7    ,-,66.7    ,-,173.3    
  女子,19    ,5.3    ,5.3    ,21.1    ,5.3    ,5.3    ,21.1    ,10.5    ,31.6    ,-,52.6    ,5.3    ,163.2    
中学生（計）,90    ,23.3    ,6.7    ,51.1    ,6.7    ,18.9    ,38.9    ,7.8    ,8.9    ,-,28.9    ,2.2    ,193.3    
  男子,41    ,19.5    ,4.9    ,56.1    ,9.8    ,7.3    ,39.0    ,12.2    ,12.2    ,-,31.7    ,2.4    ,195.1    
  女子,49    ,26.5    ,8.2    ,46.9    ,4.1    ,28.6    ,38.8    ,4.1    ,6.1    ,-,26.5    ,2.0    ,191.8    
高校生（計）,15    ,-,20.0    ,66.7    ,6.7    ,26.7    ,40.0    ,-,6.7    ,6.7    ,20.0    ,6.7    ,200.0    
  男子,6    ,-,16.7    ,66.7    ,-,33.3    ,66.7    ,-,16.7    ,-,33.3    ,-,233.3    
  女子,9    ,-,22.2    ,66.7    ,11.1    ,22.2    ,22.2    ,-,-,11.1    ,11.1    ,11.1    ,177.8    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,130    ,16.9    ,9.2    ,49.2    ,6.9    ,16.9    ,36.2    ,7.7    ,13.8    ,0.8    ,33.8    ,2.3    ,193.8    
