,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「１」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔A-1スマートフォン〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
＊＊【　総　数　】＊＊,3441    ,42.9    ,1.3    ,0.3    ,0.3    ,55.2    
調査方法〔訪問・ＷＥＢ〕,,,,,,
訪問面接調査,3385    ,42.6    ,1.3    ,0.3    ,0.3    ,55.5    
ＷＥＢ調査,56    ,57.1    ,3.6    ,-,3.6    ,35.7    
〔性・学校種別〕,,,,,,
小学生（計）,1080    ,9.1    ,1.7    ,0.5    ,0.5    ,88.3    
  男子,534    ,8.4    ,2.1    ,0.7    ,0.2    ,88.6    
  女子,546    ,9.7    ,1.3    ,0.2    ,0.7    ,88.1    
中学生（計）,1329    ,36.3    ,0.6    ,0.1    ,0.3    ,62.7    
  男子,654    ,32.7    ,0.5    ,-,0.2    ,66.7    
  女子,675    ,39.9    ,0.7    ,0.1    ,0.4    ,58.8    
高校生（計）,1007    ,86.8    ,1.8    ,0.3    ,0.2    ,10.9    
  男子,491    ,85.5    ,2.0    ,0.2    ,0.2    ,12.0    
  女子,516    ,88.0    ,1.6    ,0.4    ,0.2    ,9.9    
〔啓発学習経験・学校種別〕,,,,,,
  説明を受けたり学んだりした,3117    ,45.0    ,1.4    ,0.3    ,0.3    ,53.0    
  教えてもらったり学んだりしたことはない,267    ,22.5    ,0.7    ,-,0.7    ,76.0    
  わからない,57    ,19.3    ,-,-,-,80.7    
小学生（計）,1080    ,9.1    ,1.7    ,0.5    ,0.5    ,88.3    
  説明を受けたり学んだりした,874    ,10.2    ,1.8    ,0.6    ,0.5    ,87.0    
  教えてもらったり学んだりしたことはない,169    ,4.7    ,1.2    ,-,0.6    ,93.5    
  わからない,37    ,2.7    ,-,-,-,97.3    
中学生（計）,1329    ,36.3    ,0.6    ,0.1    ,0.3    ,62.7    
  説明を受けたり学んだりした,1266    ,36.8    ,0.6    ,0.1    ,0.2    ,62.2    
  教えてもらったり学んだりしたことはない,49    ,26.5    ,-,-,2.0    ,71.4    
  わからない,14    ,28.6    ,-,-,-,71.4    
高校生（計）,1007    ,86.8    ,1.8    ,0.3    ,0.2    ,10.9    
  説明を受けたり学んだりした,955    ,87.1    ,1.9    ,0.3    ,0.2    ,10.5    
  教えてもらったり学んだりしたことはない,46    ,78.3    ,-,-,-,21.7    
  わからない,6    ,100.0    ,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,
  ルールを決めている（計）,1651    ,52.3    ,0.5    ,0.1    ,0.1    ,47.0    
  特にルールを決めていない,937    ,64.4    ,0.4    ,0.2    ,-,35.0    
  わからない,27    ,33.3    ,-,-,-,66.7    
小学生（計）,572    ,17.1    ,1.2    ,0.3    ,0.2    ,81.1    
  ルールを決めている（計）,424    ,18.4    ,0.9    ,0.5    ,0.2    ,80.0    
  特にルールを決めていない,135    ,14.1    ,2.2    ,-,-,83.7    
  わからない,13    ,7.7    ,-,-,-,92.3    
中学生（計）,1055    ,45.8    ,0.2    ,0.1    ,0.1    ,53.8    
  ルールを決めている（計）,731    ,46.4    ,0.3    ,-,0.1    ,53.2    
  特にルールを決めていない,315    ,44.8    ,-,0.3    ,-,54.9    
  わからない,9    ,33.3    ,-,-,-,66.7    
高校生（計）,965    ,90.6    ,0.3    ,0.1    ,-,9.0    
  ルールを決めている（計）,488    ,90.0    ,0.4    ,-,-,9.6    
  特にルールを決めていない,472    ,91.1    ,0.2    ,0.2    ,-,8.5    
  わからない,5    ,100.0    ,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,
  インターネット利用（計）,2615    ,56.4    ,0.5    ,0.2    ,0.1    ,42.9    
  インターネット非利用（含わからない）,527    ,-,6.3    ,0.9    ,1.9    ,90.9    
小学生（計）,909    ,10.8    ,2.0    ,0.6    ,0.6    ,86.1    
  インターネット利用（計）,572    ,17.1    ,1.2    ,0.3    ,0.2    ,81.1    
  インターネット非利用（含わからない）,337    ,-,3.3    ,0.9    ,1.2    ,94.7    
中学生（計）,1216    ,39.7    ,0.7    ,0.1    ,0.3    ,59.2    
  インターネット利用（計）,1055    ,45.8    ,0.2    ,0.1    ,0.1    ,53.8    
  インターネット非利用（含わからない）,161    ,-,3.7    ,-,1.9    ,94.4    
高校生（計）,992    ,88.1    ,1.8    ,0.3    ,0.2    ,9.6    
  インターネット利用（計）,965    ,90.6    ,0.3    ,0.1    ,-,9.0    
  インターネット非利用（含わからない）,27    ,-,55.6    ,7.4    ,7.4    ,29.6    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,
  １人以上いる,1846    ,44.4    ,1.3    ,0.3    ,0.5    ,53.6    
  いない,1595    ,41.1    ,1.3    ,0.3    ,0.2    ,57.1    
小学生（計）,1080    ,9.1    ,1.7    ,0.5    ,0.5    ,88.3    
  １人以上いる,511    ,8.8    ,1.4    ,0.8    ,0.8    ,88.3    
  いない,569    ,9.3    ,1.9    ,0.2    ,0.2    ,88.4    
中学生（計）,1329    ,36.3    ,0.6    ,0.1    ,0.3    ,62.7    
  １人以上いる,740    ,34.5    ,0.9    ,-,0.5    ,64.1    
  いない,589    ,38.7    ,0.2    ,0.2    ,-,61.0    
高校生（計）,1007    ,86.8    ,1.8    ,0.3    ,0.2    ,10.9    
  １人以上いる,579    ,87.4    ,1.7    ,0.2    ,-,10.7    
  いない,428    ,86.0    ,1.9    ,0.5    ,0.5    ,11.2    
〔地域〕,,,,,,
北海道・東北,430    ,40.7    ,0.5    ,0.5    ,0.2    ,58.1    
北関東,540    ,45.2    ,1.7    ,0.4    ,0.4    ,52.4    
南関東,485    ,45.8    ,1.2    ,0.2    ,0.2    ,52.6    
東海・北陸・信越,693    ,41.4    ,1.3    ,0.3    ,0.3    ,56.7    
近畿,554    ,43.9    ,1.1    ,-,0.5    ,54.5    
中国・四国,326    ,41.7    ,2.1    ,-,-,56.1    
九州・沖縄,413    ,40.7    ,1.5    ,0.5    ,0.7    ,56.7    
〔都市規模〕,,,,,,
大都市（政令指定都市）,850    ,47.1    ,1.3    ,0.1    ,0.6    ,50.9    
