,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「１４」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔F-2据置型ゲーム機〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
＊＊【　総　数　】＊＊,3441    ,7.7    ,9.5    ,6.0    ,2.7    ,74.1    
調査方法〔訪問・ＷＥＢ〕,,,,,,
訪問面接調査,3385    ,7.7    ,9.4    ,6.0    ,2.7    ,74.2    
ＷＥＢ調査,56    ,7.1    ,17.9    ,3.6    ,3.6    ,67.9    
〔性・学校種別〕,,,,,,
小学生（計）,1080    ,7.6    ,11.5    ,8.9    ,3.5    ,68.5    
  男子,534    ,9.6    ,14.2    ,11.0    ,3.9    ,61.2    
  女子,546    ,5.7    ,8.8    ,6.8    ,3.1    ,75.6    
中学生（計）,1329    ,8.5    ,10.0    ,5.0    ,2.9    ,73.6    
  男子,654    ,13.0    ,12.1    ,5.5    ,2.9    ,66.5    
  女子,675    ,4.1    ,8.0    ,4.6    ,2.8    ,80.4    
高校生（計）,1007    ,6.9    ,7.0    ,4.2    ,1.7    ,80.3    
  男子,491    ,10.0    ,9.6    ,4.1    ,2.6    ,73.7    
  女子,516    ,3.9    ,4.5    ,4.3    ,0.8    ,86.6    
〔啓発学習経験・学校種別〕,,,,,,
  説明を受けたり学んだりした,3117    ,8.1    ,9.7    ,5.9    ,2.7    ,73.7    
  教えてもらったり学んだりしたことはない,267    ,4.9    ,8.6    ,6.0    ,2.2    ,78.3    
  わからない,57    ,3.5    ,5.3    ,8.8    ,7.0    ,75.4    
小学生（計）,1080    ,7.6    ,11.5    ,8.9    ,3.5    ,68.5    
  説明を受けたり学んだりした,874    ,8.1    ,11.9    ,9.4    ,3.4    ,67.2    
  教えてもらったり学んだりしたことはない,169    ,6.5    ,10.7    ,7.1    ,3.0    ,72.8    
  わからない,37    ,-,5.4    ,5.4    ,8.1    ,81.1    
中学生（計）,1329    ,8.5    ,10.0    ,5.0    ,2.9    ,73.6    
  説明を受けたり学んだりした,1266    ,8.6    ,10.3    ,4.9    ,2.8    ,73.4    
  教えてもらったり学んだりしたことはない,49    ,4.1    ,4.1    ,6.1    ,2.0    ,83.7    
  わからない,14    ,14.3    ,7.1    ,14.3    ,7.1    ,57.1    
高校生（計）,1007    ,6.9    ,7.0    ,4.2    ,1.7    ,80.3    
  説明を受けたり学んだりした,955    ,7.2    ,7.0    ,4.2    ,1.8    ,79.8    
  教えてもらったり学んだりしたことはない,46    ,-,6.5    ,2.2    ,-,91.3    
  わからない,6    ,-,-,16.7    ,-,83.3    
〔家庭のルール・学校種別〕,,,,,,
  ルールを決めている（計）,1651    ,11.0    ,12.2    ,5.6    ,2.7    ,68.5    
  特にルールを決めていない,937    ,8.9    ,7.2    ,5.2    ,2.7    ,76.1    
  わからない,27    ,3.7    ,-,3.7    ,7.4    ,85.2    
小学生（計）,572    ,14.3    ,14.7    ,8.4    ,4.2    ,58.4    
  ルールを決めている（計）,424    ,14.6    ,16.3    ,7.1    ,3.8    ,58.3    
  特にルールを決めていない,135    ,14.1    ,11.1    ,13.3    ,4.4    ,57.0    
  わからない,13    ,7.7    ,-,-,15.4    ,76.9    
中学生（計）,1055    ,10.7    ,10.8    ,4.9    ,3.0    ,70.5    
  ルールを決めている（計）,731    ,10.3    ,12.2    ,4.9    ,3.3    ,69.4    
  特にルールを決めていない,315    ,12.1    ,7.9    ,5.1    ,2.5    ,72.4    
  わからない,9    ,-,-,-,-,100.0    
高校生（計）,965    ,7.2    ,7.3    ,4.4    ,1.7    ,79.6    
  ルールを決めている（計）,488    ,9.0    ,8.8    ,5.3    ,1.0    ,75.8    
  特にルールを決めていない,472    ,5.3    ,5.7    ,3.2    ,2.3    ,83.5    
  わからない,5    ,-,-,20.0    ,-,80.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,
  インターネット利用（計）,2615    ,10.2    ,10.2    ,5.4    ,2.8    ,71.4    
  インターネット非利用（含わからない）,527    ,-,11.2    ,12.0    ,4.0    ,72.9    
小学生（計）,909    ,9.0    ,13.6    ,10.6    ,4.2    ,62.6    
  インターネット利用（計）,572    ,14.3    ,14.7    ,8.4    ,4.2    ,58.4    
  インターネット非利用（含わからない）,337    ,-,11.9    ,14.2    ,4.2    ,69.7    
中学生（計）,1216    ,9.3    ,10.9    ,5.5    ,3.1    ,71.1    
  インターネット利用（計）,1055    ,10.7    ,10.8    ,4.9    ,3.0    ,70.5    
  インターネット非利用（含わからない）,161    ,-,11.8    ,9.3    ,3.7    ,75.2    
高校生（計）,992    ,7.0    ,7.1    ,4.2    ,1.7    ,80.0    
  インターネット利用（計）,965    ,7.2    ,7.3    ,4.4    ,1.7    ,79.6    
  インターネット非利用（含わからない）,27    ,-,-,-,3.7    ,96.3    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,
  １人以上いる,1846    ,6.3    ,8.4    ,5.3    ,2.9    ,77.1    
  いない,1595    ,9.4    ,10.8    ,6.7    ,2.5    ,70.6    
小学生（計）,1080    ,7.6    ,11.5    ,8.9    ,3.5    ,68.5    
  １人以上いる,511    ,7.6    ,9.4    ,8.4    ,3.1    ,71.4    
  いない,569    ,7.6    ,13.4    ,9.3    ,3.9    ,65.9    
中学生（計）,1329    ,8.5    ,10.0    ,5.0    ,2.9    ,73.6    
  １人以上いる,740    ,6.1    ,9.6    ,4.5    ,3.6    ,76.2    
  いない,589    ,11.5    ,10.5    ,5.8    ,1.9    ,70.3    
高校生（計）,1007    ,6.9    ,7.0    ,4.2    ,1.7    ,80.3    
  １人以上いる,579    ,5.4    ,6.2    ,3.8    ,1.7    ,82.9    
  いない,428    ,8.9    ,7.9    ,4.7    ,1.6    ,76.9    
〔地域〕,,,,,,
北海道・東北,430    ,11.2    ,6.3    ,5.3    ,3.7    ,73.5    
北関東,540    ,5.7    ,10.7    ,4.8    ,1.5    ,77.2    
南関東,485    ,8.5    ,10.9    ,5.4    ,2.7    ,72.6    
東海・北陸・信越,693    ,7.6    ,8.5    ,6.2    ,2.6    ,75.0    
近畿,554    ,7.6    ,15.2    ,7.0    ,2.9    ,67.3    
