,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔D-3子供向け娯楽用タブレット〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,6    ,16.7    ,50.0    ,33.3    ,-,-,-,-,-,-,-,13.83    ,13.1    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,6    ,16.7    ,50.0    ,33.3    ,-,-,-,-,-,-,-,13.83    ,13.1    
ＷＥＢ調査,-,-,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  男子,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  女子,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  男子,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-
  女子,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
高校生（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  男子,-,-,-,-,-,-,-,-,-,-,-,-,-
  女子,-,-,-,-,-,-,-,-,-,-,-,-,-
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,6    ,16.7    ,50.0    ,33.3    ,-,-,-,-,-,-,-,13.83    ,13.1    
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  説明を受けたり学んだりした,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  説明を受けたり学んだりした,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  説明を受けたり学んだりした,-,-,-,-,-,-,-,-,-,-,-,-,-
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,6    ,16.7    ,50.0    ,33.3    ,-,-,-,-,-,-,-,13.83    ,13.1    
  特にルールを決めていない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  ルールを決めている（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  特にルールを決めていない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  ルールを決めている（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  特にルールを決めていない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  ルールを決めている（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  特にルールを決めていない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,6    ,16.7    ,50.0    ,33.3    ,-,-,-,-,-,-,-,13.83    ,13.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  インターネット利用（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  インターネット利用（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  インターネット利用（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,
  １人以上いる,1    ,-,100.0    ,-,-,-,-,-,-,-,-,10.00    ,-
  いない,5    ,20.0    ,40.0    ,40.0    ,-,-,-,-,-,-,-,14.60    ,14.5    
小学生（計）,4    ,-,75.0    ,25.0    ,-,-,-,-,-,-,-,13.25    ,11.6    
  １人以上いる,1    ,-,100.0    ,-,-,-,-,-,-,-,-,10.00    ,-
  いない,3    ,-,66.7    ,33.3    ,-,-,-,-,-,-,-,14.33    ,14.0    
中学生（計）,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
  １人以上いる,-,-,-,-,-,-,-,-,-,-,-,-,-
  いない,2    ,50.0    ,-,50.0    ,-,-,-,-,-,-,-,15.00    ,21.2    
高校生（計）,-,-,-,-,-,-,-,-,-,-,-,-,-
  １人以上いる,-,-,-,-,-,-,-,-,-,-,-,-,-
  いない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔地域〕,,,,,,,,,,,,,
北海道・東北,2    ,-,100.0    ,-,-,-,-,-,-,-,-,6.50    ,4.9    
北関東,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
南関東,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-
東海・北陸・信越,-,-,-,-,-,-,-,-,-,-,-,-,-
近畿,1    ,-,100.0    ,-,-,-,-,-,-,-,-,10.00    ,-
中国・四国,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
九州・沖縄,-,-,-,-,-,-,-,-,-,-,-,-,-
〔都市規模〕,,,,,,,,,,,,,
大都市（政令指定都市）,3    ,33.3    ,66.7    ,-,-,-,-,-,-,-,-,6.67    ,5.8    
人口２０万人以上の市,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
