,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「２」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔A-2格安スマートフォン〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
＊＊【　総　数　】＊＊,3441    ,0.6    ,0.1    ,0.0    ,-,99.4    
調査方法〔訪問・ＷＥＢ〕,,,,,,
訪問面接調査,3385    ,0.5    ,0.1    ,0.0    ,-,99.4    
ＷＥＢ調査,56    ,1.8    ,-,-,-,98.2    
〔性・学校種別〕,,,,,,
小学生（計）,1080    ,0.3    ,-,-,-,99.7    
  男子,534    ,0.4    ,-,-,-,99.6    
  女子,546    ,0.2    ,-,-,-,99.8    
中学生（計）,1329    ,0.8    ,0.1    ,0.1    ,-,99.0    
  男子,654    ,0.8    ,-,0.2    ,-,99.1    
  女子,675    ,0.9    ,0.1    ,-,-,99.0    
高校生（計）,1007    ,0.4    ,0.1    ,-,-,99.5    
  男子,491    ,0.6    ,0.2    ,-,-,99.2    
  女子,516    ,0.2    ,-,-,-,99.8    
〔啓発学習経験・学校種別〕,,,,,,
  説明を受けたり学んだりした,3117    ,0.6    ,0.1    ,-,-,99.4    
  教えてもらったり学んだりしたことはない,267    ,0.4    ,-,0.4    ,-,99.3    
  わからない,57    ,-,-,-,-,100.0    
小学生（計）,1080    ,0.3    ,-,-,-,99.7    
  説明を受けたり学んだりした,874    ,0.3    ,-,-,-,99.7    
  教えてもらったり学んだりしたことはない,169    ,-,-,-,-,100.0    
  わからない,37    ,-,-,-,-,100.0    
中学生（計）,1329    ,0.8    ,0.1    ,0.1    ,-,99.0    
  説明を受けたり学んだりした,1266    ,0.8    ,0.1    ,-,-,99.1    
  教えてもらったり学んだりしたことはない,49    ,2.0    ,-,2.0    ,-,95.9    
  わからない,14    ,-,-,-,-,100.0    
高校生（計）,1007    ,0.4    ,0.1    ,-,-,99.5    
  説明を受けたり学んだりした,955    ,0.4    ,0.1    ,-,-,99.5    
  教えてもらったり学んだりしたことはない,46    ,-,-,-,-,100.0    
  わからない,6    ,-,-,-,-,100.0    
〔家庭のルール・学校種別〕,,,,,,
  ルールを決めている（計）,1651    ,0.8    ,-,0.1    ,-,99.2    
  特にルールを決めていない,937    ,0.6    ,-,-,-,99.4    
  わからない,27    ,-,-,-,-,100.0    
小学生（計）,572    ,0.5    ,-,-,-,99.5    
  ルールを決めている（計）,424    ,0.5    ,-,-,-,99.5    
  特にルールを決めていない,135    ,0.7    ,-,-,-,99.3    
  わからない,13    ,-,-,-,-,100.0    
中学生（計）,1055    ,1.0    ,-,0.1    ,-,98.9    
  ルールを決めている（計）,731    ,1.1    ,-,0.1    ,-,98.8    
  特にルールを決めていない,315    ,1.0    ,-,-,-,99.0    
  わからない,9    ,-,-,-,-,100.0    
高校生（計）,965    ,0.4    ,-,-,-,99.6    
  ルールを決めている（計）,488    ,0.6    ,-,-,-,99.4    
  特にルールを決めていない,472    ,0.2    ,-,-,-,99.8    
  わからない,5    ,-,-,-,-,100.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,
  インターネット利用（計）,2615    ,0.7    ,-,0.0    ,-,99.2    
  インターネット非利用（含わからない）,527    ,-,0.4    ,-,-,99.6    
小学生（計）,909    ,0.3    ,-,-,-,99.7    
  インターネット利用（計）,572    ,0.5    ,-,-,-,99.5    
  インターネット非利用（含わからない）,337    ,-,-,-,-,100.0    
中学生（計）,1216    ,0.9    ,0.1    ,0.1    ,-,98.9    
  インターネット利用（計）,1055    ,1.0    ,-,0.1    ,-,98.9    
  インターネット非利用（含わからない）,161    ,-,0.6    ,-,-,99.4    
高校生（計）,992    ,0.4    ,0.1    ,-,-,99.5    
  インターネット利用（計）,965    ,0.4    ,-,-,-,99.6    
  インターネット非利用（含わからない）,27    ,-,3.7    ,-,-,96.3    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,
  １人以上いる,1846    ,0.6    ,0.1    ,0.1    ,-,99.2    
  いない,1595    ,0.5    ,-,-,-,99.5    
小学生（計）,1080    ,0.3    ,-,-,-,99.7    
  １人以上いる,511    ,0.2    ,-,-,-,99.8    
  いない,569    ,0.4    ,-,-,-,99.6    
中学生（計）,1329    ,0.8    ,0.1    ,0.1    ,-,99.0    
  １人以上いる,740    ,1.1    ,0.1    ,0.1    ,-,98.6    
  いない,589    ,0.5    ,-,-,-,99.5    
高校生（計）,1007    ,0.4    ,0.1    ,-,-,99.5    
  １人以上いる,579    ,0.2    ,0.2    ,-,-,99.7    
  いない,428    ,0.7    ,-,-,-,99.3    
〔地域〕,,,,,,
北海道・東北,430    ,0.5    ,-,-,-,99.5    
北関東,540    ,0.4    ,-,-,-,99.6    
南関東,485    ,1.0    ,-,0.2    ,-,98.8    
東海・北陸・信越,693    ,0.6    ,-,-,-,99.4    
近畿,554    ,0.5    ,0.2    ,-,-,99.3    
中国・四国,326    ,0.9    ,-,-,-,99.1    
九州・沖縄,413    ,-,0.2    ,-,-,99.8    
〔都市規模〕,,,,,,
大都市（政令指定都市）,850    ,0.8    ,-,0.1    ,-,99.1    
人口２０万人以上の市,894    ,0.2    ,0.2    ,-,-,99.6    
人口１０万人以上の市,592    ,1.7    ,-,-,-,98.3    
人口１０万人未満の市,796    ,-,-,-,-,100.0    
郡部（町村）,309    ,-,-,-,-,100.0    
〔都道府県〕,,,,,,
北海道,162    ,-,-,-,-,100.0    
青森県,60    ,1.7    ,-,-,-,98.3    
岩手県,30    ,-,-,-,-,100.0    
宮城県,80    ,1.3    ,-,-,-,98.8    
秋田県,26    ,-,-,-,-,100.0    
山形県,29    ,-,-,-,-,100.0    
福島県,43    ,-,-,-,-,100.0    
茨城県,82    ,-,-,-,-,100.0    
栃木県,69    ,-,-,-,-,100.0    
群馬県,41    ,-,-,-,-,100.0    
埼玉県,174    ,0.6    ,-,-,-,99.4    
千葉県,174    ,0.6    ,-,-,-,99.4    
東京都,237    ,1.7    ,-,0.4    ,-,97.9    
神奈川県,207    ,0.5    ,-,-,-,99.5    
新潟県,66    ,1.5    ,-,-,-,98.5    
富山県,52    ,1.9    ,-,-,-,98.1    
石川県,28    ,-,-,-,-,100.0    
福井県,34    ,-,-,-,-,100.0    
