,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「８」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔C-2デスクトップパソコン〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,409    ,92.9    ,6.1    ,0.5    ,0.5    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,402    ,92.8    ,6.2    ,0.5    ,0.5    
ＷＥＢ調査,7    ,100.0    ,-,-,-
〔性・学校種別〕,,,,,
小学生（計）,90    ,95.6    ,3.3    ,-,1.1    
  男子,44    ,95.5    ,2.3    ,-,2.3    
  女子,46    ,95.7    ,4.3    ,-,-
中学生（計）,155    ,91.6    ,7.7    ,0.6    ,-
  男子,80    ,92.5    ,6.3    ,1.3    ,-
  女子,75    ,90.7    ,9.3    ,-,-
高校生（計）,162    ,92.6    ,6.2    ,0.6    ,0.6    
  男子,70    ,87.1    ,11.4    ,-,1.4    
  女子,92    ,96.7    ,2.2    ,1.1    ,-
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,380    ,93.9    ,5.3    ,0.5    ,0.3    
  教えてもらったり学んだりしたことはない,26    ,80.8    ,15.4    ,-,3.8    
  わからない,3    ,66.7    ,33.3    ,-,-
小学生（計）,90    ,95.6    ,3.3    ,-,1.1    
  説明を受けたり学んだりした,72    ,98.6    ,1.4    ,-,-
  教えてもらったり学んだりしたことはない,17    ,82.4    ,11.8    ,-,5.9    
  わからない,1    ,100.0    ,-,-,-
中学生（計）,155    ,91.6    ,7.7    ,0.6    ,-
  説明を受けたり学んだりした,150    ,92.0    ,7.3    ,0.7    ,-
  教えてもらったり学んだりしたことはない,3    ,100.0    ,-,-,-
  わからない,2    ,50.0    ,50.0    ,-,-
高校生（計）,162    ,92.6    ,6.2    ,0.6    ,0.6    
  説明を受けたり学んだりした,156    ,93.6    ,5.1    ,0.6    ,0.6    
  教えてもらったり学んだりしたことはない,6    ,66.7    ,33.3    ,-,-
  わからない,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,266    ,97.0    ,2.6    ,0.4    ,-
  特にルールを決めていない,131    ,91.6    ,8.4    ,-,-
  わからない,3    ,66.7    ,33.3    ,-,-
小学生（計）,87    ,98.9    ,1.1    ,-,-
  ルールを決めている（計）,64    ,100.0    ,-,-,-
  特にルールを決めていない,21    ,100.0    ,-,-,-
  わからない,2    ,50.0    ,50.0    ,-,-
中学生（計）,150    ,94.7    ,5.3    ,-,-
  ルールを決めている（計）,112    ,96.4    ,3.6    ,-,-
  特にルールを決めていない,38    ,89.5    ,10.5    ,-,-
  わからない,-,-,-,-,-
