,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔E-1携帯音楽プレイヤー〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,327    ,9.2    ,9.8    ,21.1    ,22.0    ,13.5    ,9.8    ,1.5    ,2.8    ,10.4    ,27.5    ,79.61    ,89.6    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,320    ,7.8    ,9.7    ,21.3    ,22.5    ,13.8    ,10.0    ,1.6    ,2.8    ,10.6    ,28.1    ,81.45    ,89.9    
ＷＥＢ調査,7    ,71.4    ,14.3    ,14.3    ,-,-,-,-,-,-,-,4.43    ,11.3    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,33    ,9.1    ,12.1    ,33.3    ,27.3    ,3.0    ,3.0    ,-,-,12.1    ,6.1    ,44.00    ,39.0    
  男子,13    ,7.7    ,7.7    ,38.5    ,23.1    ,-,-,-,-,23.1    ,-,34.00    ,20.7    
  女子,20    ,10.0    ,15.0    ,30.0    ,30.0    ,5.0    ,5.0    ,-,-,5.0    ,10.0    ,49.26    ,45.5    
中学生（計）,179    ,7.3    ,6.1    ,17.9    ,24.6    ,17.9    ,10.6    ,2.2    ,1.1    ,12.3    ,31.8    ,85.68    ,82.4    
  男子,90    ,8.9    ,8.9    ,15.6    ,17.8    ,25.6    ,10.0    ,-,1.1    ,12.2    ,36.7    ,85.27    ,92.7    
  女子,89    ,5.6    ,3.4    ,20.2    ,31.5    ,10.1    ,11.2    ,4.5    ,1.1    ,12.4    ,27.0    ,86.09    ,71.0    
高校生（計）,112    ,11.6    ,15.2    ,23.2    ,17.0    ,9.8    ,9.8    ,0.9    ,6.3    ,6.3    ,26.8    ,80.17    ,106.8    
  男子,57    ,12.3    ,17.5    ,26.3    ,12.3    ,8.8    ,10.5    ,-,8.8    ,3.5    ,28.1    ,86.05    ,126.9    
  女子,55    ,10.9    ,12.7    ,20.0    ,21.8    ,10.9    ,9.1    ,1.8    ,3.6    ,9.1    ,25.5    ,73.70    ,79.9    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,312    ,9.6    ,9.6    ,20.8    ,22.8    ,13.5    ,10.3    ,1.6    ,2.6    ,9.3    ,27.9    ,79.73    ,89.8    
  教えてもらったり学んだりしたことはない,13    ,-,15.4    ,23.1    ,7.7    ,15.4    ,-,-,7.7    ,30.8    ,23.1    ,81.22    ,93.8    
  わからない,2    ,-,-,50.0    ,-,-,-,-,-,50.0    ,-,30.00    ,-
小学生（計）,33    ,9.1    ,12.1    ,33.3    ,27.3    ,3.0    ,3.0    ,-,-,12.1    ,6.1    ,44.00    ,39.0    
  説明を受けたり学んだりした,30    ,10.0    ,10.0    ,30.0    ,30.0    ,3.3    ,3.3    ,-,-,13.3    ,6.7    ,46.73    ,40.1    
  教えてもらったり学んだりしたことはない,3    ,-,33.3    ,66.7    ,-,-,-,-,-,-,-,20.33    ,16.7    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,179    ,7.3    ,6.1    ,17.9    ,24.6    ,17.9    ,10.6    ,2.2    ,1.1    ,12.3    ,31.8    ,85.68    ,82.4    
  説明を受けたり学んだりした,169    ,7.7    ,6.5    ,17.8    ,25.4    ,17.8    ,11.2    ,2.4    ,1.2    ,10.1    ,32.5    ,85.93    ,83.4    
  教えてもらったり学んだりしたことはない,8    ,-,-,12.5    ,12.5    ,25.0    ,-,-,-,50.0    ,25.0    ,90.00    ,42.4    
  わからない,2    ,-,-,50.0    ,-,-,-,-,-,50.0    ,-,30.00    ,-
高校生（計）,112    ,11.6    ,15.2    ,23.2    ,17.0    ,9.8    ,9.8    ,0.9    ,6.3    ,6.3    ,26.8    ,80.17    ,106.8    
  説明を受けたり学んだりした,110    ,11.8    ,14.5    ,23.6    ,17.3    ,10.0    ,10.0    ,0.9    ,5.5    ,6.4    ,26.4    ,78.72    ,105.4    
  教えてもらったり学んだりしたことはない,2    ,-,50.0    ,-,-,-,-,-,50.0    ,-,50.0    ,155.00    ,205.1    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,206    ,9.2    ,6.8    ,24.8    ,22.3    ,14.1    ,8.7    ,0.5    ,2.9    ,10.7    ,26.2    ,77.22    ,86.0    
  特にルールを決めていない,120    ,9.2    ,15.0    ,15.0    ,20.8    ,12.5    ,11.7    ,3.3    ,2.5    ,10.0    ,30.0    ,83.85    ,96.2    
  わからない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
小学生（計）,33    ,9.1    ,12.1    ,33.3    ,27.3    ,3.0    ,3.0    ,-,-,12.1    ,6.1    ,44.00    ,39.0    
  ルールを決めている（計）,26    ,7.7    ,15.4    ,30.8    ,26.9    ,3.8    ,3.8    ,-,-,11.5    ,7.7    ,46.35    ,42.4    
  特にルールを決めていない,7    ,14.3    ,-,42.9    ,28.6    ,-,-,-,-,14.3    ,-,35.00    ,22.6    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,179    ,7.3    ,6.1    ,17.9    ,24.6    ,17.9    ,10.6    ,2.2    ,1.1    ,12.3    ,31.8    ,85.68    ,82.4    
  ルールを決めている（計）,122    ,7.4    ,2.5    ,23.0    ,25.4    ,17.2    ,10.7    ,0.8    ,0.8    ,12.3    ,29.5    ,82.66    ,85.4    
  特にルールを決めていない,56    ,7.1    ,14.3    ,7.1    ,21.4    ,19.6    ,10.7    ,5.4    ,1.8    ,12.5    ,37.5    ,92.78    ,76.4    
  わからない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
高校生（計）,112    ,11.6    ,15.2    ,23.2    ,17.0    ,9.8    ,9.8    ,0.9    ,6.3    ,6.3    ,26.8    ,80.17    ,106.8    
  ルールを決めている（計）,58    ,13.8    ,12.1    ,25.9    ,13.8    ,12.1    ,6.9    ,-,8.6    ,6.9    ,27.6    ,79.59    ,98.5    
  特にルールを決めていない,54    ,9.3    ,18.5    ,20.4    ,20.4    ,7.4    ,13.0    ,1.9    ,3.7    ,5.6    ,25.9    ,80.78    ,116.0    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,327    ,9.2    ,9.8    ,21.1    ,22.0    ,13.5    ,9.8    ,1.5    ,2.8    ,10.4    ,27.5    ,79.61    ,89.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,33    ,9.1    ,12.1    ,33.3    ,27.3    ,3.0    ,3.0    ,-,-,12.1    ,6.1    ,44.00    ,39.0    
