,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔A-2格安スマートフォン〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,19    ,68.4    ,21.1    ,10.5    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,18    ,72.2    ,16.7    ,11.1    
ＷＥＢ調査,1    ,-,100.0    ,-
〔性・学校種別〕,,,,
小学生（計）,3    ,33.3    ,33.3    ,33.3    
  男子,2    ,-,50.0    ,50.0    
  女子,1    ,100.0    ,-,-
中学生（計）,11    ,81.8    ,9.1    ,9.1    
  男子,5    ,80.0    ,20.0    ,-
  女子,6    ,83.3    ,-,16.7    
高校生（計）,4    ,50.0    ,50.0    ,-
  男子,3    ,66.7    ,33.3    ,-
  女子,1    ,-,100.0    ,-
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,18    ,66.7    ,22.2    ,11.1    
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-
  わからない,-,-,-,-
小学生（計）,3    ,33.3    ,33.3    ,33.3    
  説明を受けたり学んだりした,3    ,33.3    ,33.3    ,33.3    
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,-,-,-,-
中学生（計）,11    ,81.8    ,9.1    ,9.1    
  説明を受けたり学んだりした,10    ,80.0    ,10.0    ,10.0    
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-
  わからない,-,-,-,-
高校生（計）,4    ,50.0    ,50.0    ,-
  説明を受けたり学んだりした,4    ,50.0    ,50.0    ,-
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,13    ,61.5    ,30.8    ,7.7    
  特にルールを決めていない,6    ,83.3    ,-,16.7    
  わからない,-,-,-,-
小学生（計）,3    ,33.3    ,33.3    ,33.3    
  ルールを決めている（計）,2    ,50.0    ,50.0    ,-
  特にルールを決めていない,1    ,-,-,100.0    
  わからない,-,-,-,-
中学生（計）,11    ,81.8    ,9.1    ,9.1    
  ルールを決めている（計）,8    ,75.0    ,12.5    ,12.5    
  特にルールを決めていない,3    ,100.0    ,-,-
  わからない,-,-,-,-
高校生（計）,4    ,50.0    ,50.0    ,-
  ルールを決めている（計）,3    ,33.3    ,66.7    ,-
  特にルールを決めていない,1    ,100.0    ,-,-
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,19    ,68.4    ,21.1    ,10.5    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,3    ,33.3    ,33.3    ,33.3    
  インターネット利用（計）,3    ,33.3    ,33.3    ,33.3    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,11    ,81.8    ,9.1    ,9.1    
  インターネット利用（計）,11    ,81.8    ,9.1    ,9.1    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,4    ,50.0    ,50.0    ,-
  インターネット利用（計）,4    ,50.0    ,50.0    ,-
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,11    ,63.6    ,18.2    ,18.2    
  いない,8    ,75.0    ,25.0    ,-
小学生（計）,3    ,33.3    ,33.3    ,33.3    
  １人以上いる,1    ,-,-,100.0    
  いない,2    ,50.0    ,50.0    ,-
中学生（計）,11    ,81.8    ,9.1    ,9.1    
  １人以上いる,8    ,75.0    ,12.5    ,12.5    
  いない,3    ,100.0    ,-,-
高校生（計）,4    ,50.0    ,50.0    ,-
  １人以上いる,1    ,-,100.0    ,-
  いない,3    ,66.7    ,33.3    ,-
〔地域〕,,,,
北海道・東北,2    ,50.0    ,50.0    ,-
北関東,2    ,-,100.0    ,-
南関東,5    ,40.0    ,20.0    ,40.0    
東海・北陸・信越,4    ,100.0    ,-,-
近畿,3    ,100.0    ,-,-
中国・四国,3    ,100.0    ,-,-
九州・沖縄,-,-,-,-
〔都市規模〕,,,,
大都市（政令指定都市）,7    ,57.1    ,28.6    ,14.3    
人口２０万人以上の市,2    ,100.0    ,-,-
人口１０万人以上の市,10    ,70.0    ,20.0    ,10.0    
人口１０万人未満の市,-,-,-,-
郡部（町村）,-,-,-,-
〔都道府県〕,,,,
北海道,-,-,-,-
青森県,1    ,-,100.0    ,-
岩手県,-,-,-,-
宮城県,1    ,100.0    ,-,-
秋田県,-,-,-,-
山形県,-,-,-,-
福島県,-,-,-,-
茨城県,-,-,-,-
栃木県,-,-,-,-
群馬県,-,-,-,-
埼玉県,1    ,-,100.0    ,-
千葉県,1    ,-,100.0    ,-
東京都,4    ,50.0    ,-,50.0    
神奈川県,1    ,-,100.0    ,-
新潟県,1    ,100.0    ,-,-
富山県,1    ,100.0    ,-,-
石川県,-,-,-,-
福井県,-,-,-,-
山梨県,-,-,-,-
長野県,-,-,-,-
岐阜県,-,-,-,-
静岡県,-,-,-,-
愛知県,1    ,100.0    ,-,-
三重県,1    ,100.0    ,-,-
滋賀県,-,-,-,-
京都府,-,-,-,-
大阪府,2    ,100.0    ,-,-
兵庫県,1    ,100.0    ,-,-
奈良県,-,-,-,-
和歌山県,-,-,-,-
鳥取県,1    ,100.0    ,-,-
島根県,1    ,100.0    ,-,-
岡山県,-,-,-,-
広島県,-,-,-,-
山口県,1    ,100.0    ,-,-
徳島県,-,-,-,-
香川県,-,-,-,-
愛媛県,-,-,-,-
高知県,-,-,-,-
福岡県,-,-,-,-
佐賀県,-,-,-,-
長崎県,-,-,-,-
熊本県,-,-,-,-
大分県,-,-,-,-
宮崎県,-,-,-,-
鹿児島県,-,-,-,-
沖縄県,-,-,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,2    ,100.0    ,-,-
格安スマートフォン,19    ,68.4    ,21.1    ,10.5    
機能限定・子供向けスマートフォン,-,-,-,-
契約切れスマートフォン,1    ,100.0    ,-,-
携帯電話,2    ,50.0    ,-,50.0    
機能限定電話・子ども向け携帯電話,1    ,100.0    ,-,-
ノートパソコン,4    ,100.0    ,-,-
デスクトップパソコン,3    ,33.3    ,33.3    ,33.3    
タブレット,-,-,-,-
学習用タブレット,-,-,-,-
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,3    ,66.7    ,-,33.3    
携帯ゲーム機,5    ,60.0    ,20.0    ,20.0    
据置型ゲーム機,3    ,100.0    ,-,-
インターネット接続テレビ,1    ,100.0    ,-,-
利用している（計）,19    ,68.4    ,21.1    ,10.5    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,19    ,68.4    ,21.1    ,10.5    
Ｂ携帯電話（計）,3    ,66.7    ,-,33.3    
Ｃパソコン（計）,7    ,71.4    ,14.3    ,14.3    
Ｄタブレット（計）,-,-,-,-
Ｅ携帯音楽プレイヤー,3    ,66.7    ,-,33.3    
Ｆゲーム機（計）,8    ,75.0    ,12.5    ,12.5    
Ｇインターネット接続テレビ,1    ,100.0    ,-,-
Ａ・Ｂスマートフォン・携帯電話（計）,19    ,68.4    ,21.1    ,10.5    
Ａ・Ｂ機能限定や子供向け（計）,1    ,100.0    ,-,-
Ａ・Ｂ機能限定や子供向け以外（計）,19    ,68.4    ,21.1    ,10.5    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,
スマートフォン,2    ,100.0    ,-,-
格安スマートフォン,19    ,68.4    ,21.1    ,10.5    
機能限定・子供向けスマートフォン,-,-,-,-
契約切れスマートフォン,-,-,-,-
携帯電話,1    ,100.0    ,-,-
機能限定電話・子ども向け携帯電話,-,-,-,-
ノートパソコン,4    ,100.0    ,-,-
デスクトップパソコン,3    ,33.3    ,33.3    ,33.3    
タブレット,-,-,-,-
学習用タブレット,-,-,-,-
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,1    ,100.0    ,-,-
携帯ゲーム機,1    ,100.0    ,-,-
据置型ゲーム機,1    ,100.0    ,-,-
インターネット接続テレビ,1    ,100.0    ,-,-
インターネット利用（計）,19    ,68.4    ,21.1    ,10.5    
インターネット非利用,-,-,-,-
モバイル機器（計）,19    ,68.4    ,21.1    ,10.5    
据置型機器（計）,5    ,60.0    ,20.0    ,20.0    
