,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票６〕Ｑ６　あなたは、インターネットを使っていて、このようなことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,悪口等のメール・メッセージ送られた,悪口等のメール・メッセージ送った,掲示板で自分や他人の情報書き込んだ,親に話しにくいサイトを見た,ゲームなどでお金を使いすぎた,差別内容掲載サイトにアクセスする,知らない人や、お店からメール来た,迷惑メッセージ・メールを送られた,ネットで知り合った人とメール等した,ネットで知り合った同性と会った,ネットで知り合った異性と会った,ネットで知り合った人との関係悩んだ,ネットにのめりこんで勉強できない,その他困ったことがある,メール受信関連（計）,メール送信関連（計）,メール関連（計）,サイトアクセス関連（計）,ＳＮＳ等関連（計）,その他（計）,あてはまるものがある（計）,あてはまるものはない,わからない,回答計
  教えてもらったり学んだりしたことはない,155    ,1.3    ,0.6    ,2.6    ,0.6    ,-,-,9.7    ,11.6    ,3.2    ,1.3    ,-,-,5.8    ,1.9    ,14.8    ,0.6    ,14.8    ,2.6    ,3.9    ,7.7    ,22.6    ,74.2    ,3.2    ,116.1    
  わからない,30    ,3.3    ,3.3    ,3.3    ,-,-,-,10.0    ,10.0    ,13.3    ,6.7    ,-,-,6.7    ,-,16.7    ,3.3    ,16.7    ,3.3    ,13.3    ,6.7    ,23.3    ,70.0    ,6.7    ,133.3    
小学生（計）,572    ,3.0    ,1.0    ,0.9    ,1.2    ,0.2    ,-,4.4    ,2.8    ,3.8    ,0.7    ,0.7    ,0.5    ,5.8    ,1.2    ,8.9    ,1.0    ,8.9    ,1.9    ,4.5    ,6.8    ,16.4    ,81.5    ,2.1    ,109.8    
  説明を受けたり学んだりした,482    ,3.3    ,1.0    ,1.0    ,1.5    ,0.2    ,-,4.8    ,2.9    ,3.9    ,0.8    ,0.8    ,0.6    ,6.2    ,1.2    ,10.0    ,1.0    ,10.0    ,2.3    ,4.8    ,7.3    ,17.4    ,81.5    ,1.0    ,111.0    
  教えてもらったり学んだりしたことはない,76    ,1.3    ,1.3    ,-,-,-,-,2.6    ,2.6    ,2.6    ,-,-,-,3.9    ,1.3    ,3.9    ,1.3    ,3.9    ,-,2.6    ,5.3    ,11.8    ,81.6    ,6.6    ,103.9    
  わからない,14    ,-,-,-,-,-,-,-,-,7.1    ,-,-,-,-,-,-,-,-,-,7.1    ,-,7.1    ,78.6    ,14.3    ,100.0    
中学生（計）,1055    ,3.8    ,1.0    ,3.1    ,1.3    ,2.1    ,0.3    ,15.1    ,17.3    ,10.9    ,2.5    ,1.0    ,0.9    ,12.2    ,1.5    ,25.7    ,1.0    ,26.0    ,6.0    ,11.7    ,13.7    ,38.7    ,60.4    ,0.9    ,134.3    
  説明を受けたり学んだりした,1012    ,4.0    ,1.1    ,3.3    ,1.4    ,2.2    ,0.3    ,15.0    ,17.5    ,11.2    ,2.5    ,1.1    ,0.9    ,12.5    ,1.6    ,26.0    ,1.1    ,26.3    ,6.2    ,12.0    ,14.0    ,39.4    ,59.6    ,1.0    ,134.9    
  教えてもらったり学んだりしたことはない,33    ,-,-,-,-,-,-,18.2    ,12.1    ,3.0    ,3.0    ,-,-,6.1    ,-,21.2    ,-,21.2    ,-,3.0    ,6.1    ,24.2    ,75.8    ,-,118.2    
  わからない,10    ,-,-,-,-,-,-,10.0    ,10.0    ,10.0    ,-,-,-,10.0    ,-,10.0    ,-,10.0    ,-,10.0    ,10.0    ,10.0    ,90.0    ,-,130.0    
高校生（計）,965    ,4.0    ,1.1    ,5.1    ,3.3    ,2.8    ,1.3    ,25.4    ,39.9    ,15.2    ,3.7    ,1.3    ,0.9    ,16.7    ,1.7    ,45.3    ,1.1    ,45.3    ,10.2    ,15.9    ,18.4    ,56.7    ,42.9    ,0.4    ,165.9    
  説明を受けたり学んだりした,916    ,4.0    ,1.1    ,4.8    ,3.4    ,2.9    ,1.4    ,25.8    ,40.5    ,15.6    ,3.6    ,1.4    ,1.0    ,17.0    ,1.5    ,45.9    ,1.1    ,45.9    ,10.2    ,16.2    ,18.7    ,57.2    ,42.4    ,0.4    ,166.9    
  教えてもらったり学んだりしたことはない,43    ,2.3    ,-,9.3    ,2.3    ,-,-,16.3    ,27.9    ,4.7    ,2.3    ,-,-,9.3    ,4.7    ,30.2    ,-,30.2    ,9.3    ,7.0    ,14.0    ,41.9    ,58.1    ,-,137.2    
  わからない,6    ,16.7    ,16.7    ,16.7    ,-,-,-,33.3    ,33.3    ,33.3    ,33.3    ,-,-,16.7    ,-,66.7    ,16.7    ,66.7    ,16.7    ,33.3    ,16.7    ,83.3    ,16.7    ,-,216.7    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,
