,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票６〕Ｑ６　あなたは、インターネットを使っていて、このようなことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,悪口等のメール・メッセージ送られた,悪口等のメール・メッセージ送った,掲示板で自分や他人の情報書き込んだ,親に話しにくいサイトを見た,ゲームなどでお金を使いすぎた,差別内容掲載サイトにアクセスする,知らない人や、お店からメール来た,迷惑メッセージ・メールを送られた,ネットで知り合った人とメール等した,ネットで知り合った同性と会った,ネットで知り合った異性と会った,ネットで知り合った人との関係悩んだ,ネットにのめりこんで勉強できない,その他困ったことがある,メール受信関連（計）,メール送信関連（計）,メール関連（計）,サイトアクセス関連（計）,ＳＮＳ等関連（計）,その他（計）,あてはまるものがある（計）,あてはまるものはない,わからない,回答計
大都市（政令指定都市）,680    ,4.3    ,0.9    ,3.7    ,2.1    ,2.2    ,0.9    ,19.9    ,25.4    ,11.2    ,3.4    ,1.8    ,0.4    ,14.4    ,1.3    ,31.3    ,0.9    ,31.6    ,7.2    ,11.9    ,15.6    ,42.1    ,56.9    ,1.0    ,149.7    
人口２０万人以上の市,652    ,4.9    ,2.0    ,4.6    ,2.3    ,2.5    ,0.9    ,17.8    ,23.6    ,12.3    ,3.2    ,0.9    ,1.1    ,13.2    ,1.4    ,31.4    ,2.0    ,31.6    ,8.1    ,13.2    ,14.6    ,43.4    ,56.0    ,0.6    ,147.2    
人口１０万人以上の市,444    ,3.4    ,0.9    ,2.0    ,1.4    ,0.9    ,-,12.8    ,23.4    ,10.8    ,2.5    ,1.4    ,0.9    ,10.1    ,1.4    ,27.9    ,0.9    ,27.9    ,3.6    ,11.7    ,11.3    ,37.2    ,61.9    ,0.9    ,134.7    
人口１０万人未満の市,608    ,2.6    ,0.5    ,2.3    ,2.5    ,1.5    ,0.5    ,14.1    ,19.2    ,10.0    ,1.3    ,0.5    ,1.3    ,11.8    ,1.2    ,27.6    ,0.5    ,27.6    ,6.3    ,10.5    ,13.3    ,38.3    ,60.0    ,1.6    ,131.1    
郡部（町村）,231    ,3.0    ,0.9    ,4.3    ,1.7    ,2.6    ,0.4    ,17.7    ,18.6    ,10.4    ,2.2    ,1.3    ,-,11.7    ,3.5    ,25.1    ,0.9    ,25.1    ,7.4    ,10.4    ,15.2    ,39.4    ,60.2    ,0.4    ,139.0    
〔都道府県〕,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,120    ,5.0    ,-,2.5    ,0.8    ,-,-,10.8    ,18.3    ,9.2    ,5.8    ,1.7    ,-,8.3    ,0.8    ,25.8    ,-,25.8    ,3.3    ,11.7    ,9.2    ,39.2    ,60.8    ,-,124.2    
青森県,37    ,5.4    ,-,5.4    ,-,-,-,24.3    ,29.7    ,16.2    ,2.7    ,2.7    ,-,18.9    ,-,43.2    ,-,43.2    ,5.4    ,18.9    ,18.9    ,56.8    ,43.2    ,-,148.6    
岩手県,19    ,-,-,-,-,-,-,10.5    ,5.3    ,5.3    ,-,-,-,5.3    ,-,15.8    ,-,15.8    ,-,5.3    ,5.3    ,26.3    ,73.7    ,-,100.0    
宮城県,67    ,10.4    ,1.5    ,1.5    ,3.0    ,-,-,14.9    ,11.9    ,-,-,-,-,7.5    ,1.5    ,23.9    ,1.5    ,23.9    ,4.5    ,-,9.0    ,28.4    ,71.6    ,-,123.9    
秋田県,25    ,4.0    ,-,4.0    ,4.0    ,-,-,20.0    ,32.0    ,24.0    ,-,-,-,24.0    ,-,44.0    ,-,44.0    ,8.0    ,24.0    ,24.0    ,56.0    ,44.0    ,-,156.0    
山形県,23    ,4.3    ,-,4.3    ,-,-,-,34.8    ,17.4    ,21.7    ,8.7    ,4.3    ,-,8.7    ,-,39.1    ,-,39.1    ,4.3    ,21.7    ,8.7    ,47.8    ,52.2    ,-,156.5    
福島県,32    ,-,-,3.1    ,-,-,-,25.0    ,31.3    ,15.6    ,-,-,-,18.8    ,-,37.5    ,-,37.5    ,3.1    ,15.6    ,18.8    ,40.6    ,53.1    ,6.3    ,153.1    
茨城県,69    ,1.4    ,-,4.3    ,2.9    ,1.4    ,-,7.2    ,8.7    ,7.2    ,-,-,1.4    ,7.2    ,4.3    ,14.5    ,-,14.5    ,7.2    ,7.2    ,11.6    ,27.5    ,71.0    ,1.4    ,118.8    
栃木県,48    ,2.1    ,2.1    ,-,4.2    ,-,-,16.7    ,14.6    ,16.7    ,4.2    ,2.1    ,2.1    ,10.4    ,-,25.0    ,2.1    ,25.0    ,4.2    ,18.8    ,10.4    ,35.4    ,62.5    ,2.1    ,139.6    
群馬県,30    ,13.3    ,6.7    ,-,-,3.3    ,-,20.0    ,23.3    ,13.3    ,3.3    ,-,-,10.0    ,3.3    ,36.7    ,6.7    ,36.7    ,3.3    ,13.3    ,13.3    ,50.0    ,43.3    ,6.7    ,146.7    
埼玉県,122    ,4.9    ,0.8    ,2.5    ,3.3    ,4.1    ,-,15.6    ,27.9    ,11.5    ,1.6    ,0.8    ,0.8    ,17.2    ,-,33.6    ,0.8    ,33.6    ,8.2    ,12.3    ,17.2    ,47.5    ,49.2    ,3.3    ,143.4    
千葉県,145    ,4.1    ,2.1    ,4.8    ,2.8    ,1.4    ,-,17.9    ,29.7    ,18.6    ,1.4    ,1.4    ,1.4    ,13.1    ,0.7    ,34.5    ,2.1    ,35.2    ,7.6    ,19.3    ,13.1    ,46.2    ,53.1    ,0.7    ,153.1    
東京都,184    ,3.8    ,0.5    ,2.2    ,2.7    ,2.2    ,0.5    ,20.7    ,28.3    ,8.2    ,2.2    ,0.5    ,1.1    ,9.8    ,1.6    ,34.2    ,0.5    ,34.2    ,7.1    ,8.7    ,12.0    ,44.0    ,55.4    ,0.5    ,140.2    
神奈川県,166    ,4.2    ,1.8    ,2.4    ,0.6    ,0.6    ,-,18.7    ,24.7    ,12.0    ,3.6    ,1.8    ,-,16.3    ,1.8    ,33.1    ,1.8    ,33.7    ,3.6    ,12.7    ,18.1    ,45.2    ,54.2    ,0.6    ,143.4    
新潟県,48    ,4.2    ,-,2.1    ,2.1    ,2.1    ,2.1    ,22.9    ,20.8    ,12.5    ,4.2    ,2.1    ,2.1    ,27.1    ,2.1    ,31.3    ,-,31.3    ,4.2    ,12.5    ,29.2    ,50.0    ,45.8    ,4.2    ,156.3    
富山県,48    ,2.1    ,2.1    ,10.4    ,4.2    ,2.1    ,-,14.6    ,8.3    ,8.3    ,2.1    ,2.1    ,2.1    ,10.4    ,-,16.7    ,2.1    ,16.7    ,12.5    ,10.4    ,10.4    ,33.3    ,66.7    ,-,135.4    
石川県,24    ,4.2    ,4.2    ,8.3    ,-,-,4.2    ,8.3    ,25.0    ,4.2    ,4.2    ,4.2    ,4.2    ,4.2    ,4.2    ,25.0    ,4.2    ,25.0    ,8.3    ,4.2    ,8.3    ,33.3    ,66.7    ,-,145.8    
福井県,26    ,3.8    ,-,3.8    ,3.8    ,11.5    ,-,19.2    ,34.6    ,19.2    ,-,-,3.8    ,26.9    ,-,38.5    ,-,38.5    ,15.4    ,19.2    ,26.9    ,57.7    ,42.3    ,-,169.2    
山梨県,29    ,3.4    ,-,3.4    ,6.9    ,-,-,13.8    ,20.7    ,6.9    ,3.4    ,-,-,20.7    ,6.9    ,27.6    ,-,27.6    ,10.3    ,6.9    ,27.6    ,41.4    ,58.6    ,-,144.8    
長野県,43    ,2.3    ,-,2.3    ,4.7    ,2.3    ,-,14.0    ,16.3    ,16.3    ,2.3    ,-,4.7    ,27.9    ,-,20.9    ,-,20.9    ,9.3    ,16.3    ,27.9    ,41.9    ,58.1    ,-,151.2    
岐阜県,47    ,2.1    ,-,2.1    ,2.1    ,-,-,6.4    ,17.0    ,19.1    ,-,-,-,10.6    ,-,23.4    ,-,23.4    ,4.3    ,19.1    ,10.6    ,34.0    ,63.8    ,2.1    ,125.5    
静岡県,81    ,2.5    ,-,2.5    ,1.2    ,-,-,13.6    ,23.5    ,7.4    ,3.7    ,-,1.2    ,4.9    ,-,29.6    ,-,29.6    ,3.7    ,9.9    ,6.2    ,35.8    ,64.2    ,-,124.7    
愛知県,184    ,3.3    ,0.5    ,4.9    ,2.7    ,3.8    ,1.1    ,28.3    ,31.0    ,12.0    ,3.3    ,0.5    ,1.6    ,10.3    ,-,37.5    ,0.5    ,37.5    ,10.3    ,12.0    ,10.9    ,41.3    ,58.2    ,0.5    ,162.0    
三重県,48    ,2.1    ,2.1    ,2.1    ,2.1    ,2.1    ,-,16.7    ,25.0    ,4.2    ,4.2    ,4.2    ,2.1    ,16.7    ,4.2    ,29.2    ,2.1    ,29.2    ,4.2    ,8.3    ,20.8    ,39.6    ,60.4    ,-,147.9    
滋賀県,29    ,3.4    ,-,10.3    ,6.9    ,3.4    ,3.4    ,13.8    ,20.7    ,6.9    ,-,-,3.4    ,20.7    ,3.4    ,24.1    ,-,24.1    ,17.2    ,6.9    ,24.1    ,44.8    ,55.2    ,-,151.7    
京都府,58    ,-,-,1.7    ,5.2    ,3.4    ,-,8.6    ,8.6    ,6.9    ,1.7    ,1.7    ,-,6.9    ,-,13.8    ,-,13.8    ,8.6    ,6.9    ,6.9    ,25.9    ,72.4    ,1.7    ,119.0    
大阪府,186    ,5.9    ,0.5    ,7.0    ,2.2    ,1.6    ,1.6    ,17.2    ,26.9    ,11.3    ,1.6    ,1.6    ,-,9.7    ,4.8    ,32.8    ,0.5    ,32.8    ,9.1    ,11.3    ,14.0    ,45.2    ,54.3    ,0.5    ,146.8    
兵庫県,107    ,5.6    ,3.7    ,6.5    ,2.8    ,2.8    ,0.9    ,15.9    ,17.8    ,12.1    ,3.7    ,0.9    ,0.9    ,12.1    ,3.7    ,28.0    ,3.7    ,28.0    ,9.3    ,13.1    ,15.0    ,39.3    ,60.7    ,-,150.5    
奈良県,25    ,4.0    ,4.0    ,12.0    ,-,8.0    ,4.0    ,12.0    ,28.0    ,12.0    ,4.0    ,-,-,20.0    ,-,28.0    ,4.0    ,28.0    ,16.0    ,12.0    ,20.0    ,52.0    ,48.0    ,-,156.0    
和歌山県,19    ,-,-,-,-,-,5.3    ,5.3    ,5.3    ,5.3    ,10.5    ,5.3    ,-,5.3    ,-,10.5    ,-,10.5    ,5.3    ,10.5    ,5.3    ,15.8    ,84.2    ,-,126.3    
鳥取県,10    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.0    ,10.0    ,100.0    
島根県,14    ,7.1    ,7.1    ,7.1    ,-,-,-,14.3    ,14.3    ,21.4    ,14.3    ,7.1    ,-,-,-,21.4    ,7.1    ,21.4    ,7.1    ,21.4    ,-,35.7    ,64.3    ,-,157.1    
岡山県,57    ,3.5    ,-,-,-,3.5    ,1.8    ,15.8    ,19.3    ,8.8    ,1.8    ,-,-,7.0    ,-,28.1    ,-,28.1    ,5.3    ,8.8    ,7.0    ,38.6    ,61.4    ,-,122.8    
広島県,62    ,3.2    ,1.6    ,3.2    ,1.6    ,1.6    ,-,16.1    ,24.2    ,17.7    ,3.2    ,-,1.6    ,17.7    ,-,29.0    ,1.6    ,29.0    ,6.5    ,17.7    ,17.7    ,40.3    ,59.7    ,-,151.6    
山口県,31    ,6.5    ,-,-,3.2    ,-,-,12.9    ,22.6    ,9.7    ,3.2    ,3.2    ,-,9.7    ,-,25.8    ,-,25.8    ,3.2    ,9.7    ,9.7    ,25.8    ,74.2    ,-,145.2    
徳島県,18    ,-,-,-,-,-,5.6    ,5.6    ,16.7    ,11.1    ,5.6    ,5.6    ,-,11.1    ,-,22.2    ,-,22.2    ,5.6    ,16.7    ,11.1    ,50.0    ,50.0    ,-,111.1    
香川県,27    ,3.7    ,-,-,-,3.7    ,-,14.8    ,11.1    ,7.4    ,3.7    ,-,-,11.1    ,7.4    ,14.8    ,-,14.8    ,3.7    ,7.4    ,18.5    ,29.6    ,63.0    ,7.4    ,133.3    
愛媛県,21    ,-,-,4.8    ,-,4.8    ,-,14.3    ,19.0    ,4.8    ,-,-,-,-,-,23.8    ,-,23.8    ,9.5    ,4.8    ,-,28.6    ,66.7    ,4.8    ,119.0    
高知県,9    ,11.1    ,11.1    ,-,-,11.1    ,11.1    ,33.3    ,66.7    ,55.6    ,22.2    ,-,11.1    ,22.2    ,-,66.7    ,11.1    ,66.7    ,11.1    ,55.6    ,22.2    ,88.9    ,11.1    ,-,266.7    
福岡県,104    ,-,-,-,-,-,1.0    ,17.3    ,22.1    ,7.7    ,1.0    ,1.0    ,-,15.4    ,2.9    ,27.9    ,-,27.9    ,1.0    ,7.7    ,18.3    ,38.5    ,61.5    ,-,129.8    
佐賀県,15    ,-,-,6.7    ,-,-,-,6.7    ,20.0    ,6.7    ,-,-,-,20.0    ,-,20.0    ,-,20.0    ,6.7    ,6.7    ,20.0    ,33.3    ,66.7    ,-,126.7    
長崎県,25    ,-,-,-,-,-,-,16.0    ,16.0    ,-,-,-,-,4.0    ,-,20.0    ,-,20.0    ,-,-,4.0    ,20.0    ,76.0    ,4.0    ,116.0    
熊本県,34    ,5.9    ,2.9    ,-,-,5.9    ,-,17.6    ,23.5    ,5.9    ,2.9    ,2.9    ,-,26.5    ,2.9    ,26.5    ,2.9    ,26.5    ,5.9    ,5.9    ,29.4    ,41.2    ,58.8    ,-,155.9    
大分県,15    ,-,-,-,6.7    ,-,-,6.7    ,26.7    ,6.7    ,-,-,-,-,-,26.7    ,-,26.7    ,6.7    ,6.7    ,-,26.7    ,66.7    ,6.7    ,120.0    
宮崎県,28    ,3.6    ,-,3.6    ,3.6    ,3.6    ,-,17.9    ,21.4    ,10.7    ,-,-,-,14.3    ,-,32.1    ,-,32.1    ,3.6    ,10.7    ,14.3    ,39.3    ,57.1    ,3.6    ,139.3    
鹿児島県,22    ,4.5    ,-,-,-,-,-,4.5    ,13.6    ,13.6    ,-,-,-,9.1    ,-,18.2    ,-,18.2    ,-,13.6    ,9.1    ,36.4    ,63.6    ,-,109.1    
沖縄県,34    ,2.9    ,5.9    ,2.9    ,-,5.9    ,-,11.8    ,26.5    ,11.8    ,2.9    ,2.9    ,-,17.6    ,-,35.3    ,5.9    ,38.2    ,8.8    ,14.7    ,17.6    ,44.1    ,55.9    ,-,147.1    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,,,,,,,,,,,,,,
スマートフォン,1493    ,4.9    ,1.3    ,5.2    ,2.6    ,2.3    ,0.9    ,23.6    ,34.4    ,14.5    ,3.5    ,1.5    ,1.1    ,15.2    ,1.5    ,42.1    ,1.3    ,42.2    ,9.1    ,15.1    ,16.7    ,53.2    ,46.1    ,0.7    ,159.4    
格安スマートフォン,20    ,5.0    ,-,-,-,-,-,30.0    ,35.0    ,5.0    ,-,-,5.0    ,20.0    ,-,35.0    ,-,35.0    ,-,5.0    ,20.0    ,50.0    ,50.0    ,-,150.0    
機能限定・子供向けスマートフォン,46    ,2.2    ,2.2    ,-,2.2    ,6.5    ,-,4.3    ,17.4    ,4.3    ,-,-,2.2    ,10.9    ,4.3    ,17.4    ,2.2    ,17.4    ,8.7    ,4.3    ,15.2    ,32.6    ,63.0    ,4.3    ,123.9    
契約切れスマートフォン,97    ,5.2    ,-,3.1    ,1.0    ,3.1    ,4.1    ,20.6    ,17.5    ,20.6    ,5.2    ,1.0    ,-,12.4    ,3.1    ,27.8    ,-,27.8    ,9.3    ,20.6    ,15.5    ,46.4    ,52.6    ,1.0    ,150.5    
携帯電話,294    ,3.1    ,0.7    ,2.0    ,3.4    ,1.0    ,0.3    ,13.6    ,15.0    ,8.8    ,2.0    ,0.7    ,1.0    ,11.6    ,2.0    ,23.5    ,0.7    ,23.5    ,5.8    ,9.9    ,13.3    ,35.4    ,63.9    ,0.7    ,129.9    
機能限定電話・子ども向け携帯電話,179    ,2.8    ,0.6    ,1.1    ,1.1    ,-,-,4.5    ,6.1    ,5.0    ,1.1    ,0.6    ,0.6    ,5.6    ,0.6    ,10.6    ,0.6    ,10.6    ,2.2    ,5.6    ,6.1    ,18.4    ,78.8    ,2.8    ,111.2    
ノートパソコン,826    ,3.4    ,1.3    ,4.0    ,3.3    ,2.1    ,0.7    ,16.6    ,23.6    ,11.9    ,2.5    ,1.0    ,1.2    ,11.0    ,1.3    ,29.7    ,1.3    ,29.9    ,7.6    ,12.5    ,12.2    ,39.7    ,59.9    ,0.4    ,144.2    
デスクトップパソコン,400    ,5.5    ,0.5    ,4.3    ,3.3    ,2.8    ,2.3    ,19.5    ,26.8    ,16.3    ,2.8    ,1.0    ,1.5    ,16.8    ,1.8    ,33.8    ,0.5    ,33.8    ,10.0    ,16.5    ,18.5    ,47.0    ,52.5    ,0.5    ,157.8    
タブレット,458    ,4.1    ,1.3    ,3.5    ,1.5    ,2.6    ,0.4    ,17.7    ,16.4    ,10.5    ,2.6    ,1.5    ,0.4    ,13.1    ,2.2    ,25.8    ,1.3    ,25.8    ,6.8    ,11.4    ,14.8    ,38.6    ,60.3    ,1.1    ,139.3    
学習用タブレット,182    ,6.0    ,1.1    ,3.3    ,3.3    ,2.2    ,-,10.4    ,16.5    ,9.9    ,1.1    ,0.5    ,-,14.3    ,0.5    ,22.5    ,1.1    ,22.5    ,7.7    ,9.9    ,14.8    ,37.9    ,61.0    ,1.1    ,131.3    
子供向け娯楽用タブレット,7    ,28.6    ,-,-,-,-,-,14.3    ,28.6    ,28.6    ,14.3    ,14.3    ,-,-,-,57.1    ,-,57.1    ,-,28.6    ,-,57.1    ,42.9    ,-,171.4    
携帯音楽プレイヤー,801    ,4.6    ,1.1    ,4.5    ,3.0    ,2.9    ,0.9    ,21.2    ,28.1    ,14.6    ,3.4    ,1.0    ,1.0    ,17.1    ,1.5    ,35.1    ,1.1    ,35.2    ,9.1    ,15.4    ,18.5    ,48.6    ,50.8    ,0.6    ,156.3    
携帯ゲーム機,1214    ,4.6    ,1.5    ,3.0    ,2.9    ,2.1    ,0.8    ,15.5    ,19.7    ,11.8    ,2.4    ,1.2    ,1.0    ,12.3    ,0.8    ,27.2    ,1.5    ,27.3    ,6.8    ,12.4    ,13.1    ,37.9    ,60.9    ,1.2    ,141.7    
据置型ゲーム機,748    ,5.3    ,1.7    ,3.6    ,3.2    ,2.3    ,0.9    ,16.8    ,21.5    ,13.8    ,2.7    ,1.7    ,0.9    ,14.2    ,1.1    ,29.4    ,1.7    ,29.4    ,7.5    ,14.4    ,15.0    ,42.5    ,56.8    ,0.7    ,147.3    
インターネット接続テレビ,109    ,7.3    ,0.9    ,6.4    ,3.7    ,3.7    ,2.8    ,19.3    ,33.9    ,16.5    ,4.6    ,2.8    ,2.8    ,20.2    ,0.9    ,39.4    ,0.9    ,39.4    ,13.8    ,17.4    ,22.0    ,56.0    ,43.1    ,0.9    ,169.7    
利用している（計）,2615    ,3.8    ,1.1    ,3.4    ,2.1    ,1.9    ,0.6    ,16.6    ,22.6    ,11.1    ,2.6    ,1.1    ,0.8    ,12.5    ,1.5    ,29.4    ,1.1    ,29.5    ,6.6    ,11.7    ,14.0    ,40.5    ,58.5    ,1.0    ,141.3    
いずれも利用していない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ａスマートフォン（計）,1611    ,4.7    ,1.3    ,4.8    ,2.4    ,2.3    ,0.9    ,22.8    ,32.8    ,14.1    ,3.3    ,1.4    ,1.2    ,14.9    ,1.6    ,40.3    ,1.3    ,40.5    ,8.6    ,14.7    ,16.6    ,51.8    ,47.5    ,0.7    ,156.7    
Ｂ携帯電話（計）,469    ,3.0    ,0.6    ,1.7    ,2.6    ,0.6    ,0.2    ,10.2    ,11.5    ,7.5    ,1.7    ,0.6    ,0.9    ,9.2    ,1.5    ,18.6    ,0.6    ,18.6    ,4.5    ,8.3    ,10.4    ,28.8    ,69.7    ,1.5    ,123.0    
Ｃパソコン（計）,1174    ,4.1    ,1.0    ,4.2    ,3.2    ,2.1    ,1.0    ,17.6    ,24.9    ,13.0    ,2.6    ,0.9    ,1.2    ,12.9    ,1.4    ,31.3    ,1.0    ,31.4    ,8.3    ,13.5    ,14.2    ,42.2    ,57.5    ,0.3    ,148.0    
Ｄタブレット（計）,619    ,4.4    ,1.0    ,3.4    ,2.1    ,2.6    ,0.3    ,15.2    ,15.3    ,10.0    ,2.1    ,1.1    ,0.3    ,13.1    ,1.8    ,24.1    ,1.0    ,24.1    ,7.1    ,10.7    ,14.5    ,37.8    ,61.2    ,1.0    ,134.9    
Ｅ携帯音楽プレイヤー,801    ,4.6    ,1.1    ,4.5    ,3.0    ,2.9    ,0.9    ,21.2    ,28.1    ,14.6    ,3.4    ,1.0    ,1.0    ,17.1    ,1.5    ,35.1    ,1.1    ,35.2    ,9.1    ,15.4    ,18.5    ,48.6    ,50.8    ,0.6    ,156.3    
Ｆゲーム機（計）,1356    ,4.5    ,1.4    ,2.9    ,2.9    ,2.2    ,0.7    ,15.4    ,20.0    ,11.8    ,2.3    ,1.2    ,0.9    ,12.5    ,0.9    ,27.2    ,1.4    ,27.3    ,6.9    ,12.3    ,13.3    ,38.3    ,60.5    ,1.1    ,141.3    
Ｇインターネット接続テレビ,109    ,7.3    ,0.9    ,6.4    ,3.7    ,3.7    ,2.8    ,19.3    ,33.9    ,16.5    ,4.6    ,2.8    ,2.8    ,20.2    ,0.9    ,39.4    ,0.9    ,39.4    ,13.8    ,17.4    ,22.0    ,56.0    ,43.1    ,0.9    ,169.7    
Ａ・Ｂスマートフォン・携帯電話（計）,1998    ,4.3    ,1.2    ,4.2    ,2.5    ,2.0    ,0.8    ,20.1    ,28.5    ,12.5    ,3.0    ,1.3    ,1.1    ,13.6    ,1.6    ,35.8    ,1.2    ,35.9    ,7.8    ,13.2    ,15.2    ,46.9    ,52.2    ,0.9    ,149.3    
Ａ・Ｂ機能限定や子供向け（計）,225    ,2.7    ,0.9    ,0.9    ,1.3    ,1.3    ,-,4.4    ,8.4    ,4.9    ,0.9    ,0.4    ,0.9    ,6.7    ,1.3    ,12.0    ,0.9    ,12.0    ,3.6    ,5.3    ,8.0    ,21.3    ,75.6    ,3.1    ,113.8    
Ａ・Ｂ機能限定や子供向け以外（計）,1818    ,4.5    ,1.2    ,4.6    ,2.6    ,2.1    ,0.8    ,21.8    ,30.7    ,13.4    ,3.2    ,1.3    ,1.1    ,14.6    ,1.6    ,38.5    ,1.2    ,38.6    ,8.4    ,14.1    ,16.2    ,50.1    ,49.3    ,0.7    ,153.5    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
スマートフォン,1475    ,4.9    ,1.4    ,5.3    ,2.5    ,2.3    ,0.9    ,23.7    ,34.8    ,14.4    ,3.6    ,1.5    ,1.2    ,15.4    ,1.4    ,42.4    ,1.4    ,42.5    ,9.0    ,15.1    ,16.9    ,53.4    ,46.0    ,0.7    ,159.9    
格安スマートフォン,19    ,5.3    ,-,-,-,-,-,31.6    ,36.8    ,5.3    ,-,-,5.3    ,21.1    ,-,36.8    ,-,36.8    ,-,5.3    ,21.1    ,52.6    ,47.4    ,-,152.6    
機能限定・子供向けスマートフォン,28    ,-,-,-,3.6    ,3.6    ,-,7.1    ,17.9    ,3.6    ,-,-,-,10.7    ,7.1    ,17.9    ,-,17.9    ,7.1    ,3.6    ,17.9    ,32.1    ,67.9    ,-,121.4    
契約切れスマートフォン,73    ,4.1    ,-,1.4    ,-,4.1    ,2.7    ,16.4    ,15.1    ,19.2    ,5.5    ,1.4    ,-,16.4    ,4.1    ,24.7    ,-,24.7    ,6.8    ,19.2    ,20.5    ,43.8    ,56.2    ,-,146.6    
携帯電話,120    ,5.0    ,-,2.5    ,5.0    ,0.8    ,0.8    ,15.8    ,18.3    ,8.3    ,1.7    ,0.8    ,-,10.8    ,3.3    ,30.8    ,-,30.8    ,7.5    ,9.2    ,13.3    ,42.5    ,57.5    ,-,130.8    
機能限定電話・子ども向け携帯電話,30    ,-,-,3.3    ,-,-,-,6.7    ,6.7    ,3.3    ,3.3    ,-,-,6.7    ,-,10.0    ,-,10.0    ,3.3    ,3.3    ,6.7    ,13.3    ,83.3    ,3.3    ,116.7    
ノートパソコン,793    ,3.5    ,1.4    ,4.0    ,3.3    ,2.1    ,0.8    ,16.5    ,23.7    ,12.0    ,2.6    ,1.0    ,1.3    ,11.3    ,1.4    ,29.8    ,1.4    ,30.0    ,7.8    ,12.6    ,12.6    ,40.0    ,59.8    ,0.3    ,145.0    
デスクトップパソコン,380    ,5.5    ,0.5    ,4.2    ,3.4    ,2.9    ,2.4    ,18.9    ,26.1    ,16.1    ,2.6    ,1.1    ,1.6    ,16.3    ,1.8    ,33.2    ,0.5    ,33.2    ,10.3    ,16.3    ,18.2    ,46.3    ,53.2    ,0.5    ,157.1    
タブレット,434    ,4.4    ,1.4    ,3.7    ,1.6    ,2.5    ,0.5    ,18.0    ,16.1    ,10.6    ,2.8    ,1.6    ,0.5    ,13.6    ,1.8    ,25.8    ,1.4    ,25.8    ,6.9    ,11.5    ,15.0    ,38.2    ,60.6    ,1.2    ,140.8    
学習用タブレット,139    ,6.5    ,0.7    ,3.6    ,3.6    ,2.2    ,-,12.2    ,18.0    ,10.8    ,1.4    ,0.7    ,-,15.1    ,-,24.5    ,0.7    ,24.5    ,7.9    ,10.8    ,15.1    ,40.3    ,59.0    ,0.7    ,134.5    
子供向け娯楽用タブレット,6    ,33.3    ,-,-,-,-,-,-,33.3    ,16.7    ,16.7    ,16.7    ,-,-,-,50.0    ,-,50.0    ,-,16.7    ,-,50.0    ,50.0    ,-,166.7    
携帯音楽プレイヤー,327    ,5.8    ,2.1    ,3.7    ,3.4    ,3.7    ,1.2    ,20.5    ,26.3    ,16.8    ,4.3    ,1.2    ,1.5    ,19.0    ,1.5    ,33.6    ,2.1    ,33.6    ,9.5    ,17.4    ,20.5    ,48.3    ,50.5    ,1.2    ,162.7    
携帯ゲーム機,638    ,5.3    ,1.4    ,2.8    ,3.3    ,2.8    ,1.3    ,12.7    ,16.0    ,14.1    ,3.0    ,1.1    ,1.1    ,14.7    ,0.5    ,22.9    ,1.4    ,22.9    ,7.5    ,14.6    ,15.0    ,36.5    ,61.9    ,1.6    ,143.6    
据置型ゲーム機,266    ,7.9    ,1.1    ,1.9    ,4.5    ,2.3    ,1.1    ,16.5    ,22.9    ,17.3    ,2.6    ,1.1    ,0.8    ,15.4    ,-,31.6    ,1.1    ,31.6    ,7.5    ,17.7    ,15.4    ,45.5    ,54.1    ,0.4    ,150.0    
インターネット接続テレビ,58    ,6.9    ,-,5.2    ,1.7    ,1.7    ,3.4    ,20.7    ,39.7    ,17.2    ,8.6    ,3.4    ,3.4    ,17.2    ,-,41.4    ,-,41.4    ,10.3    ,19.0    ,19.0    ,55.2    ,44.8    ,-,174.1    
インターネット利用（計）,2615    ,3.8    ,1.1    ,3.4    ,2.1    ,1.9    ,0.6    ,16.6    ,22.6    ,11.1    ,2.6    ,1.1    ,0.8    ,12.5    ,1.5    ,29.4    ,1.1    ,29.5    ,6.6    ,11.7    ,14.0    ,40.5    ,58.5    ,1.0    ,141.3    
インターネット非利用,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
モバイル機器（計）,2548    ,3.8    ,1.1    ,3.5    ,2.1    ,2.0    ,0.6    ,17.1    ,23.1    ,11.3    ,2.7    ,1.2    ,0.9    ,12.8    ,1.5    ,30.0    ,1.1    ,30.1    ,6.8    ,12.0    ,14.3    ,41.2    ,57.8    ,1.0    ,142.2    
