,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「１３」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔F-1携帯ゲーム機〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
＊＊【　総　数　】＊＊,3441    ,18.5    ,13.4    ,8.7    ,2.8    ,56.6    
調査方法〔訪問・ＷＥＢ〕,,,,,,
訪問面接調査,3385    ,18.5    ,13.4    ,8.7    ,2.9    ,56.5    
ＷＥＢ調査,56    ,19.6    ,17.9    ,3.6    ,-,58.9    
〔性・学校種別〕,,,,,,
小学生（計）,1080    ,24.9    ,16.1    ,11.4    ,3.3    ,44.3    
  男子,534    ,28.5    ,17.8    ,12.5    ,3.0    ,38.2    
  女子,546    ,21.4    ,14.5    ,10.3    ,3.7    ,50.2    
中学生（計）,1329    ,19.0    ,13.1    ,7.3    ,3.2    ,57.4    
  男子,654    ,26.1    ,14.7    ,7.5    ,3.5    ,48.2    
  女子,675    ,12.1    ,11.6    ,7.1    ,2.8    ,66.4    
高校生（計）,1007    ,11.0    ,11.0    ,7.7    ,1.9    ,68.3    
  男子,491    ,15.3    ,14.5    ,9.6    ,2.2    ,58.5    
  女子,516    ,7.0    ,7.8    ,6.0    ,1.6    ,77.7    
〔啓発学習経験・学校種別〕,,,,,,
  説明を受けたり学んだりした,3117    ,18.6    ,13.6    ,8.6    ,2.5    ,56.7    
  教えてもらったり学んだりしたことはない,267    ,17.6    ,12.7    ,9.4    ,5.2    ,55.1    
  わからない,57    ,19.3    ,8.8    ,10.5    ,7.0    ,54.4    
小学生（計）,1080    ,24.9    ,16.1    ,11.4    ,3.3    ,44.3    
  説明を受けたり学んだりした,874    ,24.9    ,17.0    ,11.8    ,2.9    ,43.4    
  教えてもらったり学んだりしたことはない,169    ,26.0    ,11.8    ,10.1    ,5.3    ,46.7    
  わからない,37    ,18.9    ,13.5    ,8.1    ,5.4    ,54.1    
中学生（計）,1329    ,19.0    ,13.1    ,7.3    ,3.2    ,57.4    
  説明を受けたり学んだりした,1266    ,19.4    ,13.3    ,7.1    ,2.8    ,57.3    
  教えてもらったり学んだりしたことはない,49    ,6.1    ,12.2    ,10.2    ,8.2    ,63.3    
  わからない,14    ,28.6    ,-,14.3    ,14.3    ,42.9    
高校生（計）,1007    ,11.0    ,11.0    ,7.7    ,1.9    ,68.3    
  説明を受けたり学んだりした,955    ,11.6    ,10.8    ,7.7    ,1.9    ,68.0    
  教えてもらったり学んだりしたことはない,46    ,-,17.4    ,6.5    ,2.2    ,73.9    
  わからない,6    ,-,-,16.7    ,-,83.3    
〔家庭のルール・学校種別〕,,,,,,
  ルールを決めている（計）,1651    ,26.4    ,13.0    ,7.0    ,2.4    ,51.2    
  特にルールを決めていない,937    ,20.6    ,11.0    ,7.8    ,3.1    ,57.5    
  わからない,27    ,33.3    ,-,7.4    ,-,59.3    
小学生（計）,572    ,47.0    ,12.9    ,7.9    ,2.8    ,29.4    
  ルールを決めている（計）,424    ,46.2    ,14.4    ,7.8    ,3.1    ,28.5    
  特にルールを決めていない,135    ,49.6    ,9.6    ,8.9    ,2.2    ,29.6    
  わからない,13    ,46.2    ,-,-,-,53.8    
中学生（計）,1055    ,24.0    ,12.4    ,6.5    ,3.3    ,53.7    
  ルールを決めている（計）,731    ,23.7    ,13.0    ,6.2    ,2.7    ,54.4    
  特にルールを決めていない,315    ,24.4    ,11.4    ,7.3    ,4.8    ,52.1    
  わからない,9    ,33.3    ,-,11.1    ,-,55.6    
高校生（計）,965    ,11.5    ,11.3    ,7.9    ,1.9    ,67.5    
  ルールを決めている（計）,488    ,13.3    ,11.7    ,7.6    ,1.4    ,66.0    
  特にルールを決めていない,472    ,9.7    ,11.0    ,8.1    ,2.3    ,68.9    
  わからない,5    ,-,-,20.0    ,-,80.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,
  インターネット利用（計）,2615    ,24.4    ,12.1    ,7.3    ,2.6    ,53.6    
  インターネット非利用（含わからない）,527    ,-,27.5    ,20.5    ,5.3    ,46.7    
小学生（計）,909    ,29.6    ,19.1    ,13.5    ,4.0    ,33.8    
  インターネット利用（計）,572    ,47.0    ,12.9    ,7.9    ,2.8    ,29.4    
  インターネット非利用（含わからない）,337    ,-,29.7    ,23.1    ,5.9    ,41.2    
中学生（計）,1216    ,20.8    ,14.3    ,8.0    ,3.5    ,53.5    
  インターネット利用（計）,1055    ,24.0    ,12.4    ,6.5    ,3.3    ,53.7    
  インターネット非利用（含わからない）,161    ,-,26.7    ,17.4    ,4.3    ,51.6    
高校生（計）,992    ,11.2    ,11.2    ,7.9    ,1.9    ,67.8    
  インターネット利用（計）,965    ,11.5    ,11.3    ,7.9    ,1.9    ,67.5    
  インターネット非利用（含わからない）,27    ,-,7.4    ,7.4    ,3.7    ,81.5    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,
  １人以上いる,1846    ,16.7    ,12.6    ,7.7    ,2.6    ,60.5    
  いない,1595    ,20.7    ,14.4    ,9.8    ,3.1    ,52.0    
小学生（計）,1080    ,24.9    ,16.1    ,11.4    ,3.3    ,44.3    
  １人以上いる,511    ,23.7    ,16.0    ,9.6    ,2.7    ,47.9    
  いない,569    ,26.0    ,16.2    ,13.0    ,3.9    ,40.9    
中学生（計）,1329    ,19.0    ,13.1    ,7.3    ,3.2    ,57.4    
  １人以上いる,740    ,16.2    ,12.0    ,6.6    ,3.1    ,62.0    
  いない,589    ,22.6    ,14.4    ,8.1    ,3.2    ,51.6    
高校生（計）,1007    ,11.0    ,11.0    ,7.7    ,1.9    ,68.3    
  １人以上いる,579    ,11.1    ,10.2    ,7.6    ,1.9    ,69.3    
  いない,428    ,11.0    ,12.1    ,7.9    ,1.9    ,67.1    
〔地域〕,,,,,,
北海道・東北,430    ,24.4    ,13.7    ,8.4    ,1.6    ,51.9    
北関東,540    ,18.3    ,13.1    ,8.3    ,2.2    ,58.0    
南関東,485    ,18.4    ,15.5    ,7.8    ,3.7    ,54.6    
東海・北陸・信越,693    ,21.6    ,11.3    ,8.9    ,1.7    ,56.4    
近畿,554    ,18.6    ,18.2    ,8.7    ,3.6    ,50.9    
