,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔B-2機能限定・子供向け携帯電話〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,30    ,23.3    ,46.7    ,30.0    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,30    ,23.3    ,46.7    ,30.0    
ＷＥＢ調査,-,-,-,-
〔性・学校種別〕,,,,
小学生（計）,18    ,16.7    ,38.9    ,44.4    
  男子,8    ,12.5    ,37.5    ,50.0    
  女子,10    ,20.0    ,40.0    ,40.0    
中学生（計）,11    ,36.4    ,54.5    ,9.1    
  男子,7    ,42.9    ,42.9    ,14.3    
  女子,4    ,25.0    ,75.0    ,-
高校生（計）,1    ,-,100.0    ,-
  男子,-,-,-,-
  女子,1    ,-,100.0    ,-
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,23    ,26.1    ,52.2    ,21.7    
  教えてもらったり学んだりしたことはない,6    ,16.7    ,16.7    ,66.7    
  わからない,1    ,-,100.0    ,-
小学生（計）,18    ,16.7    ,38.9    ,44.4    
  説明を受けたり学んだりした,13    ,15.4    ,46.2    ,38.5    
  教えてもらったり学んだりしたことはない,5    ,20.0    ,20.0    ,60.0    
  わからない,-,-,-,-
中学生（計）,11    ,36.4    ,54.5    ,9.1    
  説明を受けたり学んだりした,10    ,40.0    ,60.0    ,-
  教えてもらったり学んだりしたことはない,1    ,-,-,100.0    
  わからない,-,-,-,-
高校生（計）,1    ,-,100.0    ,-
  説明を受けたり学んだりした,-,-,-,-
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,1    ,-,100.0    ,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,18    ,22.2    ,50.0    ,27.8    
  特にルールを決めていない,11    ,27.3    ,45.5    ,27.3    
  わからない,1    ,-,-,100.0    
小学生（計）,18    ,16.7    ,38.9    ,44.4    
  ルールを決めている（計）,12    ,16.7    ,41.7    ,41.7    
  特にルールを決めていない,5    ,20.0    ,40.0    ,40.0    
  わからない,1    ,-,-,100.0    
中学生（計）,11    ,36.4    ,54.5    ,9.1    
  ルールを決めている（計）,5    ,40.0    ,60.0    ,-
  特にルールを決めていない,6    ,33.3    ,50.0    ,16.7    
  わからない,-,-,-,-
高校生（計）,1    ,-,100.0    ,-
  ルールを決めている（計）,1    ,-,100.0    ,-
  特にルールを決めていない,-,-,-,-
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,30    ,23.3    ,46.7    ,30.0    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,18    ,16.7    ,38.9    ,44.4    
  インターネット利用（計）,18    ,16.7    ,38.9    ,44.4    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,11    ,36.4    ,54.5    ,9.1    
  インターネット利用（計）,11    ,36.4    ,54.5    ,9.1    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,1    ,-,100.0    ,-
  インターネット利用（計）,1    ,-,100.0    ,-
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,15    ,26.7    ,60.0    ,13.3    
  いない,15    ,20.0    ,33.3    ,46.7    
小学生（計）,18    ,16.7    ,38.9    ,44.4    
  １人以上いる,7    ,14.3    ,57.1    ,28.6    
  いない,11    ,18.2    ,27.3    ,54.5    
中学生（計）,11    ,36.4    ,54.5    ,9.1    
  １人以上いる,7    ,42.9    ,57.1    ,-
  いない,4    ,25.0    ,50.0    ,25.0    
高校生（計）,1    ,-,100.0    ,-
  １人以上いる,1    ,-,100.0    ,-
  いない,-,-,-,-
〔地域〕,,,,
北海道・東北,4    ,25.0    ,25.0    ,50.0    
北関東,4    ,-,50.0    ,50.0    
南関東,4    ,25.0    ,75.0    ,-
東海・北陸・信越,5    ,40.0    ,40.0    ,20.0    
近畿,5    ,20.0    ,40.0    ,40.0    
中国・四国,5    ,-,60.0    ,40.0    
九州・沖縄,3    ,66.7    ,33.3    ,-
〔都市規模〕,,,,
大都市（政令指定都市）,9    ,44.4    ,44.4    ,11.1    
人口２０万人以上の市,9    ,22.2    ,44.4    ,33.3    
人口１０万人以上の市,3    ,-,33.3    ,66.7    
人口１０万人未満の市,7    ,-,71.4    ,28.6    
郡部（町村）,2    ,50.0    ,-,50.0    
〔都道府県〕,,,,
北海道,1    ,-,100.0    ,-
青森県,-,-,-,-
岩手県,-,-,-,-
宮城県,1    ,100.0    ,-,-
秋田県,2    ,-,-,100.0    
山形県,-,-,-,-
福島県,-,-,-,-
茨城県,1    ,-,100.0    ,-
栃木県,-,-,-,-
群馬県,-,-,-,-
埼玉県,1    ,-,-,100.0    
千葉県,2    ,-,50.0    ,50.0    
東京都,2    ,-,100.0    ,-
神奈川県,2    ,50.0    ,50.0    ,-
新潟県,-,-,-,-
富山県,1    ,100.0    ,-,-
石川県,-,-,-,-
福井県,-,-,-,-
山梨県,-,-,-,-
長野県,-,-,-,-
岐阜県,-,-,-,-
静岡県,1    ,-,100.0    ,-
愛知県,3    ,33.3    ,33.3    ,33.3    
三重県,-,-,-,-
滋賀県,1    ,-,100.0    ,-
京都府,-,-,-,-
大阪府,2    ,-,-,100.0    
兵庫県,2    ,50.0    ,50.0    ,-
奈良県,-,-,-,-
和歌山県,-,-,-,-
鳥取県,1    ,-,-,100.0    
島根県,-,-,-,-
岡山県,2    ,-,100.0    ,-
広島県,-,-,-,-
山口県,1    ,-,100.0    ,-
徳島県,-,-,-,-
香川県,-,-,-,-
愛媛県,1    ,-,-,100.0    
高知県,-,-,-,-
福岡県,1    ,100.0    ,-,-
佐賀県,-,-,-,-
長崎県,-,-,-,-
熊本県,-,-,-,-
大分県,1    ,-,100.0    ,-
宮崎県,-,-,-,-
鹿児島県,1    ,100.0    ,-,-
沖縄県,-,-,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,4    ,25.0    ,25.0    ,50.0    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,-,-,-,-
契約切れスマートフォン,2    ,50.0    ,50.0    ,-
携帯電話,-,-,-,-
機能限定電話・子ども向け携帯電話,30    ,23.3    ,46.7    ,30.0    
ノートパソコン,8    ,12.5    ,62.5    ,25.0    
デスクトップパソコン,4    ,-,50.0    ,50.0    
タブレット,6    ,-,66.7    ,33.3    
学習用タブレット,3    ,-,33.3    ,66.7    
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,6    ,-,66.7    ,33.3    
携帯ゲーム機,14    ,14.3    ,50.0    ,35.7    
据置型ゲーム機,8    ,25.0    ,37.5    ,37.5    
インターネット接続テレビ,1    ,-,100.0    ,-
利用している（計）,30    ,23.3    ,46.7    ,30.0    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,6    ,33.3    ,33.3    ,33.3    
Ｂ携帯電話（計）,30    ,23.3    ,46.7    ,30.0    
Ｃパソコン（計）,11    ,9.1    ,54.5    ,36.4    
Ｄタブレット（計）,7    ,-,57.1    ,42.9    
Ｅ携帯音楽プレイヤー,6    ,-,66.7    ,33.3    
Ｆゲーム機（計）,17    ,17.6    ,47.1    ,35.3    
Ｇインターネット接続テレビ,1    ,-,100.0    ,-
Ａ・Ｂスマートフォン・携帯電話（計）,30    ,23.3    ,46.7    ,30.0    
Ａ・Ｂ機能限定や子供向け（計）,30    ,23.3    ,46.7    ,30.0    
Ａ・Ｂ機能限定や子供向け以外（計）,6    ,33.3    ,33.3    ,33.3    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,
スマートフォン,4    ,25.0    ,25.0    ,50.0    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,-,-,-,-
契約切れスマートフォン,2    ,50.0    ,50.0    ,-
携帯電話,-,-,-,-
機能限定電話・子ども向け携帯電話,30    ,23.3    ,46.7    ,30.0    
ノートパソコン,5    ,20.0    ,60.0    ,20.0    
デスクトップパソコン,4    ,-,50.0    ,50.0    
タブレット,6    ,-,66.7    ,33.3    
学習用タブレット,1    ,-,-,100.0    
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,4    ,-,50.0    ,50.0    
