Ｇインターネット接続テレビ,-,-,-,-
Ａ・Ｂスマートフォン・携帯電話（計）,2    ,100.0    ,-,-
Ａ・Ｂ機能限定や子供向け（計）,-,-,-,-
Ａ・Ｂ機能限定や子供向け以外（計）,2    ,100.0    ,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,
使っている（計）,5    ,80.0    ,-,20.0    
使うことはない（計）,-,-,-,-
わからない（計）,3    ,33.3    ,-,66.7    
Ｑ５〔無線ＬＡＮ利用状況（Ａ１スマホ）〕,,,,
使っている,2    ,100.0    ,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ａ２格安スマホ）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ａ３子供スマホ）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ａ４契約切れスマホ）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｂ１携帯電話）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｂ２子ども向け携帯等）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｃ１ノートＰＣ）〕,,,,
使っている,3    ,100.0    ,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｃ２デスクトップＰＣ）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｄ１タブレット）〕,,,,
使っている,1    ,100.0    ,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｄ２学習用タブレット）〕,,,,
使っている,1    ,100.0    ,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｄ３娯楽用タブレット）〕,,,,
使っている,4    ,100.0    ,-,-
使うことはない,-,-,-,-
わからない,2    ,-,-,100.0    
Ｑ５〔無線ＬＡＮ利用状況（Ｅ１携帯音楽プレイヤー）〕,,,,
使っている,1    ,100.0    ,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｆ１携帯ゲーム）〕,,,,
使っている,2    ,50.0    ,-,50.0    
使うことはない,-,-,-,-
わからない,1    ,100.0    ,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｆ２据置型ゲーム）〕,,,,
使っている,1    ,-,-,100.0    
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ５〔無線ＬＡＮ利用状況（Ｇ１ネットテレビ）〕,,,,
使っている,-,-,-,-
使うことはない,-,-,-,-
わからない,-,-,-,-
Ｑ６〔インターネット利用上での経験〕,,,,
悪口等のメール・メッセージ送られた,2    ,50.0    ,-,50.0    
悪口等のメール・メッセージ送った,-,-,-,-
掲示板で自分や他人の情報書き込んだ,-,-,-,-
親に話しにくいサイトを見た,-,-,-,-
ゲームなどでお金を使いすぎた,-,-,-,-
差別内容掲載サイトにアクセスする,-,-,-,-
知らない人や、お店からメール来た,-,-,-,-
迷惑メッセージ・メールを送られた,2    ,100.0    ,-,-
ネットで知り合った人とメール等した,1    ,100.0    ,-,-
ネットで知り合った同性と会った,1    ,100.0    ,-,-
ネットで知り合った異性と会った,1    ,100.0    ,-,-
ネットで知り合った人との関係悩んだ,-,-,-,-
ネットにのめりこんで勉強できない,-,-,-,-
その他困ったことがある,-,-,-,-
あてはまるものがある（計）,3    ,66.7    ,-,33.3    
あてはまるものはない,3    ,66.7    ,-,33.3    
わからない,-,-,-,-
Ｑ７〔インターネット利用についての家庭のルール〕,,,,
利用する時間を決めている,2    ,50.0    ,-,50.0    
利用する場所を決めている,3    ,33.3    ,-,66.7    
メール・メッセージを送る相手の制限,-,-,-,-
利用サイト・アプリ内容を決めている,2    ,100.0    ,-,-
送信・投稿内容を決めている,-,-,-,-
利用者情報を漏れないようにしている,1    ,100.0    ,-,-
料金上限や課金方法を決めている,-,-,-,-
困ったときはすぐに保護者に連絡する,2    ,-,-,100.0    
その他,1    ,100.0    ,-,-
ルールを決めている（計）,6    ,66.7    ,-,33.3    
特にルールを決めていない,-,-,-,-
わからない,-,-,-,-
Ｑ８〔インターネットに関する啓発や学習の経験〕,,,,
学校で教えてもらった,6    ,66.7    ,-,33.3    
親（保護者）から教えてもらった,2    ,100.0    ,-,-
兄弟・姉妹から教えてもらった,-,-,-,-
機器の購入時に販売員より説明された,2    ,100.0    ,-,-
機器の購入時に資料をもらった,-,-,-,-
友だちから教えてもらった,1    ,100.0    ,-,-
テレビや本・パンフレットで知った,1    ,-,-,100.0    
インターネットで知った,-,-,-,-
その他,-,-,-,-
説明を受けたり学んだりした（計）,6    ,66.7    ,-,33.3    
教えてもらったり学んだりしない,-,-,-,-
わからない,-,-,-,-
Ｆ１〔性別〕,,,,
男性,5    ,60.0    ,-,40.0    
女性,1    ,100.0    ,-,-
Ｆ２〔年齢〕,,,,
１０歳,2    ,50.0    ,-,50.0    
１１歳,2    ,50.0    ,-,50.0    
１２歳,-,-,-,-
１３歳,1    ,100.0    ,-,-
１４歳,1    ,100.0    ,-,-
１５歳,-,-,-,-
１６歳,-,-,-,-
１７歳,-,-,-,-
Ｆ１・Ｆ２〔性・年齢別〕,,,,
男性１０歳,2    ,50.0    ,-,50.0    
  １１歳,2    ,50.0    ,-,50.0    
  １２歳,-,-,-,-
  １３歳,1    ,100.0    ,-,-
  １４歳,-,-,-,-
  １５歳,-,-,-,-
  １６歳,-,-,-,-
  １７歳,-,-,-,-
女性１０歳,-,-,-,-
  １１歳,-,-,-,-
  １２歳,-,-,-,-
  １３歳,-,-,-,-
  １４歳,1    ,100.0    ,-,-
  １５歳,-,-,-,-
  １６歳,-,-,-,-
  １７歳,-,-,-,-
Ｆ３〔学年〕,,,,
小学４年生,1    ,100.0    ,-,-
小学５年生,3    ,33.3    ,-,66.7    
小学６年生,-,-,-,-
中学１年生,-,-,-,-
中学２年生,1    ,100.0    ,-,-
中学３年生,1    ,100.0    ,-,-
高校１年生,-,-,-,-
高校２年生,-,-,-,-
高校３年生,-,-,-,-
専門学校、各種学校等,-,-,-,-
中学校卒業,-,-,-,-
高校中退,-,-,-,-
専門学校、各種学校等中退・卒業,-,-,-,-
小学生（計）,4    ,50.0    ,-,50.0    
中学生（計）,2    ,100.0    ,-,-
高校生（計）,-,-,-,-
その他（計）,-,-,-,-
Ｆ１・Ｆ３〔性・学校種別〕,,,,
小学生男子,4    ,50.0    ,-,50.0    
女子,-,-,-,-
中学生男子,1    ,100.0    ,-,-
女子,1    ,100.0    ,-,-
高校生男子,-,-,-,-
女子,-,-,-,-
その他,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
１人以上いる,1    ,-,-,100.0    
いない,5    ,80.0    ,-,20.0    
