,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票３〕Ｑ３〔A-4携帯電話の契約が切れたスマートフォン〕あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,コミニュケーション,ニュース,情報検索,地図・ナビゲーション,音楽視聴,動画視聴,電子書籍,ゲーム,ショッピング・オークション,その他,わからない,回答計
＊＊【　総　数　】＊＊,73    ,42.5    ,15.1    ,45.2    ,9.6    ,45.2    ,58.9    ,4.1    ,68.5    ,5.5    ,1.4    ,1.4    ,297.3    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,73    ,42.5    ,15.1    ,45.2    ,9.6    ,45.2    ,58.9    ,4.1    ,68.5    ,5.5    ,1.4    ,1.4    ,297.3    
ＷＥＢ調査,-,-,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,26    ,26.9    ,7.7    ,26.9    ,-,34.6    ,46.2    ,-,84.6    ,-,-,3.8    ,230.8    
  男子,13    ,23.1    ,7.7    ,30.8    ,-,23.1    ,46.2    ,-,84.6    ,-,-,7.7    ,223.1    
  女子,13    ,30.8    ,7.7    ,23.1    ,-,46.2    ,46.2    ,-,84.6    ,-,-,-,238.5    
中学生（計）,37    ,51.4    ,18.9    ,54.1    ,13.5    ,54.1    ,67.6    ,5.4    ,62.2    ,2.7    ,-,-,329.7    
  男子,20    ,40.0    ,15.0    ,50.0    ,15.0    ,50.0    ,70.0    ,5.0    ,70.0    ,-,-,-,315.0    
  女子,17    ,64.7    ,23.5    ,58.8    ,11.8    ,58.8    ,64.7    ,5.9    ,52.9    ,5.9    ,-,-,347.1    
高校生（計）,10    ,50.0    ,20.0    ,60.0    ,20.0    ,40.0    ,60.0    ,10.0    ,50.0    ,30.0    ,10.0    ,-,350.0    
  男子,5    ,40.0    ,20.0    ,60.0    ,-,20.0    ,40.0    ,-,60.0    ,60.0    ,-,-,300.0    
  女子,5    ,60.0    ,20.0    ,60.0    ,40.0    ,60.0    ,80.0    ,20.0    ,40.0    ,-,20.0    ,-,400.0    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,65    ,43.1    ,15.4    ,47.7    ,10.8    ,43.1    ,56.9    ,4.6    ,66.2    ,4.6    ,1.5    ,-,293.8    
