,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔D-2学習用タブレット〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,139    ,7.9    ,14.4    ,38.1    ,19.4    ,7.2    ,1.4    ,-,-,11.5    ,8.6    ,42.20    ,35.9    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,138    ,7.2    ,14.5    ,38.4    ,19.6    ,7.2    ,1.4    ,-,-,11.6    ,8.7    ,42.54    ,35.8    
ＷＥＢ調査,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,34    ,5.9    ,32.4    ,41.2    ,17.6    ,-,-,-,-,2.9    ,-,28.94    ,18.6    
  男子,15    ,6.7    ,33.3    ,53.3    ,6.7    ,-,-,-,-,-,-,24.67    ,15.2    
  女子,19    ,5.3    ,31.6    ,31.6    ,26.3    ,-,-,-,-,5.3    ,-,32.50    ,20.7    
中学生（計）,90    ,10.0    ,8.9    ,35.6    ,17.8    ,11.1    ,2.2    ,-,-,14.4    ,13.3    ,47.60    ,41.9    
  男子,41    ,12.2    ,2.4    ,36.6    ,14.6    ,9.8    ,4.9    ,-,-,19.5    ,14.6    ,51.82    ,48.3    
  女子,49    ,8.2    ,14.3    ,34.7    ,20.4    ,12.2    ,-,-,-,10.2    ,12.2    ,44.43    ,36.5    
高校生（計）,15    ,-,6.7    ,46.7    ,33.3    ,-,-,-,-,13.3    ,-,43.85    ,20.2    
  男子,6    ,-,-,83.3    ,16.7    ,-,-,-,-,-,-,36.67    ,12.1    
  女子,9    ,-,11.1    ,22.2    ,44.4    ,-,-,-,-,22.2    ,-,50.00    ,24.5    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,130    ,8.5    ,13.8    ,36.9    ,20.8    ,6.9    ,1.5    ,-,-,11.5    ,8.5    ,42.39    ,36.2    
  教えてもらったり学んだりしたことはない,7    ,-,28.6    ,42.9    ,-,14.3    ,-,-,-,14.3    ,14.3    ,42.50    ,39.0    
  わからない,2    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
小学生（計）,34    ,5.9    ,32.4    ,41.2    ,17.6    ,-,-,-,-,2.9    ,-,28.94    ,18.6    
  説明を受けたり学んだりした,27    ,7.4    ,33.3    ,37.0    ,22.2    ,-,-,-,-,-,-,29.26    ,20.2    
  教えてもらったり学んだりしたことはない,6    ,-,33.3    ,50.0    ,-,-,-,-,-,16.7    ,-,27.00    ,9.7    
  わからない,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
中学生（計）,90    ,10.0    ,8.9    ,35.6    ,17.8    ,11.1    ,2.2    ,-,-,14.4    ,13.3    ,47.60    ,41.9    
  説明を受けたり学んだりした,88    ,10.2    ,9.1    ,35.2    ,18.2    ,10.2    ,2.3    ,-,-,14.8    ,12.5    ,46.87    ,41.5    
  教えてもらったり学んだりしたことはない,1    ,-,-,-,-,100.0    ,-,-,-,-,100.0    ,120.00    ,-
  わからない,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
高校生（計）,15    ,-,6.7    ,46.7    ,33.3    ,-,-,-,-,13.3    ,-,43.85    ,20.2    
  説明を受けたり学んだりした,15    ,-,6.7    ,46.7    ,33.3    ,-,-,-,-,13.3    ,-,43.85    ,20.2    
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,108    ,9.3    ,14.8    ,38.0    ,18.5    ,6.5    ,0.9    ,-,-,12.0    ,7.4    ,39.95    ,34.4    
  特にルールを決めていない,30    ,3.3    ,13.3    ,36.7    ,23.3    ,10.0    ,3.3    ,-,-,10.0    ,13.3    ,50.56    ,40.9    
  わからない,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
小学生（計）,34    ,5.9    ,32.4    ,41.2    ,17.6    ,-,-,-,-,2.9    ,-,28.94    ,18.6    
  ルールを決めている（計）,25    ,4.0    ,32.0    ,40.0    ,20.0    ,-,-,-,-,4.0    ,-,30.42    ,19.3    
  特にルールを決めていない,8    ,12.5    ,37.5    ,37.5    ,12.5    ,-,-,-,-,-,-,24.38    ,18.0    
  わからない,1    ,-,-,100.0    ,-,-,-,-,-,-,-,30.00    ,-
中学生（計）,90    ,10.0    ,8.9    ,35.6    ,17.8    ,11.1    ,2.2    ,-,-,14.4    ,13.3    ,47.60    ,41.9    
  ルールを決めている（計）,73    ,12.3    ,9.6    ,35.6    ,16.4    ,9.6    ,1.4    ,-,-,15.1    ,11.0    ,43.31    ,39.6    
  特にルールを決めていない,17    ,-,5.9    ,35.3    ,23.5    ,17.6    ,5.9    ,-,-,11.8    ,23.5    ,65.33    ,47.6    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,15    ,-,6.7    ,46.7    ,33.3    ,-,-,-,-,13.3    ,-,43.85    ,20.2    
  ルールを決めている（計）,10    ,-,10.0    ,50.0    ,30.0    ,-,-,-,-,10.0    ,-,42.22    ,22.8    
  特にルールを決めていない,5    ,-,-,40.0    ,40.0    ,-,-,-,-,20.0    ,-,47.50    ,15.0    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,139    ,7.9    ,14.4    ,38.1    ,19.4    ,7.2    ,1.4    ,-,-,11.5    ,8.6    ,42.20    ,35.9    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,34    ,5.9    ,32.4    ,41.2    ,17.6    ,-,-,-,-,2.9    ,-,28.94    ,18.6    
  インターネット利用（計）,34    ,5.9    ,32.4    ,41.2    ,17.6    ,-,-,-,-,2.9    ,-,28.94    ,18.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,90    ,10.0    ,8.9    ,35.6    ,17.8    ,11.1    ,2.2    ,-,-,14.4    ,13.3    ,47.60    ,41.9    
  インターネット利用（計）,90    ,10.0    ,8.9    ,35.6    ,17.8    ,11.1    ,2.2    ,-,-,14.4    ,13.3    ,47.60    ,41.9    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,15    ,-,6.7    ,46.7    ,33.3    ,-,-,-,-,13.3    ,-,43.85    ,20.2    
  インターネット利用（計）,15    ,-,6.7    ,46.7    ,33.3    ,-,-,-,-,13.3    ,-,43.85    ,20.2    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,
