,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票３〕Ｑ３〔C-1ノートパソコン〕あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,コミニュケーション,ニュース,情報検索,地図・ナビゲーション,音楽視聴,動画視聴,電子書籍,ゲーム,ショッピング・オークション,その他,わからない,回答計
＊＊【　総　数　】＊＊,793    ,22.2    ,20.6    ,66.7    ,10.6    ,36.7    ,60.8    ,3.8    ,28.2    ,10.1    ,6.4    ,1.3    ,267.3    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,777    ,22.4    ,20.5    ,66.8    ,10.4    ,36.4    ,60.7    ,3.9    ,28.4    ,10.2    ,6.4    ,1.2    ,267.3    
ＷＥＢ調査,16    ,12.5    ,25.0    ,62.5    ,18.8    ,50.0    ,62.5    ,-,18.8    ,6.3    ,6.3    ,6.3    ,268.8    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,188    ,12.2    ,9.6    ,59.6    ,3.7    ,24.5    ,58.5    ,1.1    ,40.4    ,2.1    ,8.5    ,1.6    ,221.8    
  男子,102    ,7.8    ,9.8    ,58.8    ,2.9    ,16.7    ,64.7    ,2.0    ,47.1    ,1.0    ,7.8    ,-,218.6    
  女子,86    ,17.4    ,9.3    ,60.5    ,4.7    ,33.7    ,51.2    ,-,32.6    ,3.5    ,9.3    ,3.5    ,225.6    
中学生（計）,320    ,22.5    ,20.0    ,67.2    ,7.8    ,39.1    ,62.2    ,5.0    ,28.1    ,9.1    ,5.3    ,1.3    ,267.5    
  男子,155    ,25.2    ,25.8    ,69.7    ,7.7    ,35.5    ,62.6    ,5.2    ,33.5    ,9.7    ,6.5    ,0.6    ,281.9    
  女子,165    ,20.0    ,14.5    ,64.8    ,7.9    ,42.4    ,61.8    ,4.8    ,23.0    ,8.5    ,4.2    ,1.8    ,253.9    
高校生（計）,283    ,28.3    ,28.3    ,71.0    ,18.0    ,42.0    ,60.8    ,4.2    ,20.5    ,16.6    ,6.4    ,1.1    ,297.2    
  男子,126    ,27.0    ,34.9    ,70.6    ,16.7    ,38.9    ,57.9    ,5.6    ,23.8    ,12.7    ,5.6    ,-,293.7    
  女子,157    ,29.3    ,22.9    ,71.3    ,19.1    ,44.6    ,63.1    ,3.2    ,17.8    ,19.7    ,7.0    ,1.9    ,300.0    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
