,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔G-1インターネット接続テレビ〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,58    ,24.1    ,15.5    ,13.8    ,24.1    ,5.2    ,-,-,1.7    ,15.5    ,6.9    ,40.31    ,58.2    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,58    ,24.1    ,15.5    ,13.8    ,24.1    ,5.2    ,-,-,1.7    ,15.5    ,6.9    ,40.31    ,58.2    
ＷＥＢ調査,-,-,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,11    ,27.3    ,9.1    ,9.1    ,27.3    ,-,-,-,9.1    ,18.2    ,9.1    ,68.89    ,114.3    
  男子,4    ,-,25.0    ,25.0    ,25.0    ,-,-,-,25.0    ,-,25.0    ,115.00    ,164.6    
  女子,7    ,42.9    ,-,-,28.6    ,-,-,-,-,28.6    ,-,32.00    ,44.4    
中学生（計）,30    ,30.0    ,13.3    ,13.3    ,30.0    ,3.3    ,-,-,-,10.0    ,3.3    ,30.93    ,31.3    
  男子,17    ,17.6    ,23.5    ,11.8    ,35.3    ,5.9    ,-,-,-,5.9    ,5.9    ,37.19    ,33.3    
  女子,13    ,46.2    ,-,15.4    ,23.1    ,-,-,-,-,15.4    ,-,21.82    ,27.1    
高校生（計）,17    ,11.8    ,23.5    ,17.6    ,11.8    ,11.8    ,-,-,-,23.5    ,11.8    ,40.00    ,43.6    
  男子,6    ,16.7    ,-,33.3    ,16.7    ,-,-,-,-,33.3    ,-,30.00    ,24.5    
  女子,11    ,9.1    ,36.4    ,9.1    ,9.1    ,18.2    ,-,-,-,18.2    ,18.2    ,44.44    ,50.5    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,53    ,24.5    ,17.0    ,15.1    ,22.6    ,5.7    ,-,-,1.9    ,13.2    ,7.5    ,40.33    ,59.7    
  教えてもらったり学んだりしたことはない,3    ,33.3    ,-,-,33.3    ,-,-,-,-,33.3    ,-,30.00    ,42.4    
  わからない,2    ,-,-,-,50.0    ,-,-,-,-,50.0    ,-,60.00    ,-
小学生（計）,11    ,27.3    ,9.1    ,9.1    ,27.3    ,-,-,-,9.1    ,18.2    ,9.1    ,68.89    ,114.3    
  説明を受けたり学んだりした,10    ,30.0    ,10.0    ,10.0    ,30.0    ,-,-,-,10.0    ,10.0    ,10.0    ,68.89    ,114.3    
  教えてもらったり学んだりしたことはない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,30    ,30.0    ,13.3    ,13.3    ,30.0    ,3.3    ,-,-,-,10.0    ,3.3    ,30.93    ,31.3    
  説明を受けたり学んだりした,27    ,29.6    ,14.8    ,14.8    ,25.9    ,3.7    ,-,-,-,11.1    ,3.7    ,29.79    ,31.5    
  教えてもらったり学んだりしたことはない,2    ,50.0    ,-,-,50.0    ,-,-,-,-,-,-,30.00    ,42.4    
  わからない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
高校生（計）,17    ,11.8    ,23.5    ,17.6    ,11.8    ,11.8    ,-,-,-,23.5    ,11.8    ,40.00    ,43.6    
  説明を受けたり学んだりした,16    ,12.5    ,25.0    ,18.8    ,12.5    ,12.5    ,-,-,-,18.8    ,12.5    ,40.00    ,43.6    
  教えてもらったり学んだりしたことはない,-,-,-,-,-,-,-,-,-,-,-,-,-
  わからない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,36    ,19.4    ,11.1    ,11.1    ,36.1    ,2.8    ,-,-,2.8    ,16.7    ,5.6    ,50.00    ,67.1    
  特にルールを決めていない,21    ,33.3    ,23.8    ,19.0    ,4.8    ,9.5    ,-,-,-,9.5    ,9.5    ,25.00    ,37.2    
  わからない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
小学生（計）,11    ,27.3    ,9.1    ,9.1    ,27.3    ,-,-,-,9.1    ,18.2    ,9.1    ,68.89    ,114.3    
  ルールを決めている（計）,9    ,22.2    ,11.1    ,11.1    ,33.3    ,-,-,-,11.1    ,11.1    ,11.1    ,77.50    ,119.0    
  特にルールを決めていない,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-
  わからない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,30    ,30.0    ,13.3    ,13.3    ,30.0    ,3.3    ,-,-,-,10.0    ,3.3    ,30.93    ,31.3    
  ルールを決めている（計）,19    ,21.1    ,5.3    ,15.8    ,42.1    ,-,-,-,-,15.8    ,-,36.88    ,26.0    
  特にルールを決めていない,11    ,45.5    ,27.3    ,9.1    ,9.1    ,9.1    ,-,-,-,-,9.1    ,22.27    ,37.4    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,17    ,11.8    ,23.5    ,17.6    ,11.8    ,11.8    ,-,-,-,23.5    ,11.8    ,40.00    ,43.6    
  ルールを決めている（計）,8    ,12.5    ,25.0    ,-,25.0    ,12.5    ,-,-,-,25.0    ,12.5    ,48.33    ,49.6    
  特にルールを決めていない,9    ,11.1    ,22.2    ,33.3    ,-,11.1    ,-,-,-,22.2    ,11.1    ,32.86    ,40.3    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,58    ,24.1    ,15.5    ,13.8    ,24.1    ,5.2    ,-,-,1.7    ,15.5    ,6.9    ,40.31    ,58.2    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,11    ,27.3    ,9.1    ,9.1    ,27.3    ,-,-,-,9.1    ,18.2    ,9.1    ,68.89    ,114.3    
  インターネット利用（計）,11    ,27.3    ,9.1    ,9.1    ,27.3    ,-,-,-,9.1    ,18.2    ,9.1    ,68.89    ,114.3    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,30    ,30.0    ,13.3    ,13.3    ,30.0    ,3.3    ,-,-,-,10.0    ,3.3    ,30.93    ,31.3    
  インターネット利用（計）,30    ,30.0    ,13.3    ,13.3    ,30.0    ,3.3    ,-,-,-,10.0    ,3.3    ,30.93    ,31.3    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,17    ,11.8    ,23.5    ,17.6    ,11.8    ,11.8    ,-,-,-,23.5    ,11.8    ,40.00    ,43.6    
  インターネット利用（計）,17    ,11.8    ,23.5    ,17.6    ,11.8    ,11.8    ,-,-,-,23.5    ,11.8    ,40.00    ,43.6    
