,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔E-1携帯音楽プレイヤー〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,327    ,68.8    ,20.2    ,11.0    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,320    ,69.1    ,20.0    ,10.9    
ＷＥＢ調査,7    ,57.1    ,28.6    ,14.3    
〔性・学校種別〕,,,,
小学生（計）,33    ,57.6    ,24.2    ,18.2    
  男子,13    ,61.5    ,23.1    ,15.4    
  女子,20    ,55.0    ,25.0    ,20.0    
中学生（計）,179    ,71.5    ,18.4    ,10.1    
  男子,90    ,68.9    ,20.0    ,11.1    
  女子,89    ,74.2    ,16.9    ,9.0    
高校生（計）,112    ,67.9    ,22.3    ,9.8    
  男子,57    ,71.9    ,19.3    ,8.8    
  女子,55    ,63.6    ,25.5    ,10.9    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,312    ,68.6    ,20.5    ,10.9    
  教えてもらったり学んだりしたことはない,13    ,76.9    ,7.7    ,15.4    
  わからない,2    ,50.0    ,50.0    ,-
小学生（計）,33    ,57.6    ,24.2    ,18.2    
  説明を受けたり学んだりした,30    ,56.7    ,26.7    ,16.7    
  教えてもらったり学んだりしたことはない,3    ,66.7    ,-,33.3    
  わからない,-,-,-,-
中学生（計）,179    ,71.5    ,18.4    ,10.1    
  説明を受けたり学んだりした,169    ,71.0    ,18.9    ,10.1    
  教えてもらったり学んだりしたことはない,8    ,87.5    ,-,12.5    
  わからない,2    ,50.0    ,50.0    ,-
高校生（計）,112    ,67.9    ,22.3    ,9.8    
  説明を受けたり学んだりした,110    ,68.2    ,21.8    ,10.0    
  教えてもらったり学んだりしたことはない,2    ,50.0    ,50.0    ,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,206    ,70.4    ,16.5    ,13.1    
  特にルールを決めていない,120    ,65.8    ,26.7    ,7.5    
  わからない,1    ,100.0    ,-,-
小学生（計）,33    ,57.6    ,24.2    ,18.2    
  ルールを決めている（計）,26    ,61.5    ,19.2    ,19.2    
  特にルールを決めていない,7    ,42.9    ,42.9    ,14.3    
  わからない,-,-,-,-
中学生（計）,179    ,71.5    ,18.4    ,10.1    
  ルールを決めている（計）,122    ,72.1    ,16.4    ,11.5    
  特にルールを決めていない,56    ,69.6    ,23.2    ,7.1    
  わからない,1    ,100.0    ,-,-
高校生（計）,112    ,67.9    ,22.3    ,9.8    
  ルールを決めている（計）,58    ,70.7    ,15.5    ,13.8    
  特にルールを決めていない,54    ,64.8    ,29.6    ,5.6    
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,327    ,68.8    ,20.2    ,11.0    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,33    ,57.6    ,24.2    ,18.2    
  インターネット利用（計）,33    ,57.6    ,24.2    ,18.2    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,179    ,71.5    ,18.4    ,10.1    
  インターネット利用（計）,179    ,71.5    ,18.4    ,10.1    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,112    ,67.9    ,22.3    ,9.8    
  インターネット利用（計）,112    ,67.9    ,22.3    ,9.8    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,192    ,69.3    ,22.4    ,8.3    
  いない,135    ,68.1    ,17.0    ,14.8    
小学生（計）,33    ,57.6    ,24.2    ,18.2    
  １人以上いる,19    ,68.4    ,26.3    ,5.3    
  いない,14    ,42.9    ,21.4    ,35.7    
中学生（計）,179    ,71.5    ,18.4    ,10.1    
  １人以上いる,103    ,74.8    ,18.4    ,6.8    
  いない,76    ,67.1    ,18.4    ,14.5    
高校生（計）,112    ,67.9    ,22.3    ,9.8    
  １人以上いる,67    ,61.2    ,28.4    ,10.4    
  いない,45    ,77.8    ,13.3    ,8.9    
〔地域〕,,,,
北海道・東北,39    ,69.2    ,20.5    ,10.3    
北関東,48    ,62.5    ,22.9    ,14.6    
南関東,36    ,63.9    ,16.7    ,19.4    
東海・北陸・信越,85    ,68.2    ,24.7    ,7.1    
近畿,54    ,74.1    ,18.5    ,7.4    
中国・四国,32    ,71.9    ,15.6    ,12.5    
九州・沖縄,33    ,72.7    ,15.2    ,12.1    
〔都市規模〕,,,,
大都市（政令指定都市）,85    ,70.6    ,18.8    ,10.6    
人口２０万人以上の市,75    ,68.0    ,24.0    ,8.0    
人口１０万人以上の市,55    ,74.5    ,18.2    ,7.3    
人口１０万人未満の市,88    ,65.9    ,19.3    ,14.8    
郡部（町村）,24    ,62.5    ,20.8    ,16.7    
〔都道府県〕,,,,
北海道,11    ,81.8    ,18.2    ,-
青森県,3    ,66.7    ,-,33.3    
岩手県,2    ,100.0    ,-,-
宮城県,12    ,50.0    ,33.3    ,16.7    
秋田県,5    ,100.0    ,-,-
山形県,5    ,40.0    ,40.0    ,20.0    
福島県,1    ,100.0    ,-,-
茨城県,8    ,75.0    ,12.5    ,12.5    
栃木県,5    ,40.0    ,20.0    ,40.0    
群馬県,8    ,62.5    ,37.5    ,-
埼玉県,11    ,36.4    ,45.5    ,18.2    
千葉県,16    ,81.3    ,6.3    ,12.5    
東京都,17    ,70.6    ,11.8    ,17.6    
神奈川県,19    ,57.9    ,21.1    ,21.1    
新潟県,8    ,62.5    ,25.0    ,12.5    
富山県,9    ,66.7    ,22.2    ,11.1    
石川県,4    ,50.0    ,25.0    ,25.0    
福井県,5    ,80.0    ,20.0    ,-
山梨県,-,-,-,-
長野県,9    ,55.6    ,33.3    ,11.1    
岐阜県,9    ,100.0    ,-,-
静岡県,10    ,70.0    ,30.0    ,-
愛知県,27    ,59.3    ,33.3    ,7.4    
三重県,4    ,100.0    ,-,-
滋賀県,2    ,-,100.0    ,-
京都府,9    ,77.8    ,11.1    ,11.1    
大阪府,21    ,76.2    ,19.0    ,4.8    
兵庫県,17    ,82.4    ,5.9    ,11.8    
奈良県,2    ,100.0    ,-,-
和歌山県,3    ,33.3    ,66.7    ,-
鳥取県,1    ,-,-,100.0    
島根県,1    ,-,100.0    ,-
岡山県,8    ,100.0    ,-,-
広島県,10    ,50.0    ,30.0    ,20.0    
山口県,4    ,75.0    ,-,25.0    
徳島県,2    ,100.0    ,-,-
香川県,6    ,83.3    ,16.7    ,-
愛媛県,-,-,-,-
高知県,-,-,-,-
福岡県,13    ,76.9    ,15.4    ,7.7    
佐賀県,1    ,100.0    ,-,-
長崎県,-,-,-,-
熊本県,10    ,80.0    ,10.0    ,10.0    
大分県,1    ,-,-,100.0    
宮崎県,5    ,80.0    ,20.0    ,-
鹿児島県,2    ,50.0    ,50.0    ,-
沖縄県,1    ,-,-,100.0    
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,146    ,61.6    ,26.0    ,12.3    
格安スマートフォン,1    ,100.0    ,-,-
機能限定・子供向けスマートフォン,2    ,50.0    ,50.0    ,-
契約切れスマートフォン,7    ,57.1    ,42.9    ,-
携帯電話,46    ,69.6    ,19.6    ,10.9    
機能限定電話・子ども向け携帯電話,17    ,64.7    ,17.6    ,17.6    
ノートパソコン,117    ,65.0    ,23.9    ,11.1    
デスクトップパソコン,51    ,58.8    ,25.5    ,15.7    
タブレット,55    ,67.3    ,21.8    ,10.9    
学習用タブレット,24    ,75.0    ,4.2    ,20.8    
子供向け娯楽用タブレット,2    ,50.0    ,50.0    ,-
携帯音楽プレイヤー,327    ,68.8    ,20.2    ,11.0    
携帯ゲーム機,156    ,64.7    ,24.4    ,10.9    
据置型ゲーム機,113    ,66.4    ,23.0    ,10.6    
インターネット接続テレビ,17    ,76.5    ,23.5    ,-
利用している（計）,327    ,68.8    ,20.2    ,11.0    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,150    ,61.3    ,26.7    ,12.0    
Ｂ携帯電話（計）,63    ,68.3    ,19.0    ,12.7    
Ｃパソコン（計）,156    ,63.5    ,23.7    ,12.8    
Ｄタブレット（計）,75    ,69.3    ,17.3    ,13.3    
Ｅ携帯音楽プレイヤー,327    ,68.8    ,20.2    ,11.0    
