,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔C-2デスクトップパソコン〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,380    ,56.3    ,31.3    ,12.4    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,373    ,56.0    ,31.6    ,12.3    
ＷＥＢ調査,7    ,71.4    ,14.3    ,14.3    
〔性・学校種別〕,,,,
小学生（計）,86    ,40.7    ,37.2    ,22.1    
  男子,42    ,38.1    ,42.9    ,19.0    
  女子,44    ,43.2    ,31.8    ,25.0    
中学生（計）,142    ,62.0    ,28.2    ,9.9    
  男子,74    ,66.2    ,25.7    ,8.1    
  女子,68    ,57.4    ,30.9    ,11.8    
高校生（計）,150    ,60.0    ,30.7    ,9.3    
  男子,61    ,57.4    ,32.8    ,9.8    
  女子,89    ,61.8    ,29.2    ,9.0    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,357    ,56.6    ,31.7    ,11.8    
  教えてもらったり学んだりしたことはない,21    ,52.4    ,23.8    ,23.8    
  わからない,2    ,50.0    ,50.0    ,-
小学生（計）,86    ,40.7    ,37.2    ,22.1    
  説明を受けたり学んだりした,71    ,40.8    ,39.4    ,19.7    
  教えてもらったり学んだりしたことはない,14    ,42.9    ,21.4    ,35.7    
  わからない,1    ,-,100.0    ,-
中学生（計）,142    ,62.0    ,28.2    ,9.9    
  説明を受けたり学んだりした,138    ,60.9    ,29.0    ,10.1    
  教えてもらったり学んだりしたことはない,3    ,100.0    ,-,-
  わからない,1    ,100.0    ,-,-
高校生（計）,150    ,60.0    ,30.7    ,9.3    
  説明を受けたり学んだりした,146    ,60.3    ,30.1    ,9.6    
  教えてもらったり学んだりしたことはない,4    ,50.0    ,50.0    ,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,258    ,56.6    ,31.0    ,12.4    
  特にルールを決めていない,120    ,55.8    ,31.7    ,12.5    
  わからない,2    ,50.0    ,50.0    ,-
小学生（計）,86    ,40.7    ,37.2    ,22.1    
  ルールを決めている（計）,64    ,42.2    ,35.9    ,21.9    
  特にルールを決めていない,21    ,33.3    ,42.9    ,23.8    
  わからない,1    ,100.0    ,-,-
中学生（計）,142    ,62.0    ,28.2    ,9.9    
  ルールを決めている（計）,108    ,64.8    ,27.8    ,7.4    
  特にルールを決めていない,34    ,52.9    ,29.4    ,17.6    
  わからない,-,-,-,-
高校生（計）,150    ,60.0    ,30.7    ,9.3    
  ルールを決めている（計）,85    ,57.6    ,30.6    ,11.8    
  特にルールを決めていない,64    ,64.1    ,29.7    ,6.3    
  わからない,1    ,-,100.0    ,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,380    ,56.3    ,31.3    ,12.4    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,86    ,40.7    ,37.2    ,22.1    
  インターネット利用（計）,86    ,40.7    ,37.2    ,22.1    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,142    ,62.0    ,28.2    ,9.9    
  インターネット利用（計）,142    ,62.0    ,28.2    ,9.9    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,150    ,60.0    ,30.7    ,9.3    
  インターネット利用（計）,150    ,60.0    ,30.7    ,9.3    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,210    ,56.2    ,31.4    ,12.4    
  いない,170    ,56.5    ,31.2    ,12.4    
小学生（計）,86    ,40.7    ,37.2    ,22.1    
  １人以上いる,42    ,47.6    ,31.0    ,21.4    
  いない,44    ,34.1    ,43.2    ,22.7    
中学生（計）,142    ,62.0    ,28.2    ,9.9    
  １人以上いる,76    ,57.9    ,31.6    ,10.5    
  いない,66    ,66.7    ,24.2    ,9.1    
高校生（計）,150    ,60.0    ,30.7    ,9.3    
  １人以上いる,90    ,58.9    ,31.1    ,10.0    
  いない,60    ,61.7    ,30.0    ,8.3    
〔地域〕,,,,
北海道・東北,52    ,59.6    ,30.8    ,9.6    
北関東,58    ,55.2    ,36.2    ,8.6    
南関東,59    ,57.6    ,32.2    ,10.2    
東海・北陸・信越,71    ,56.3    ,31.0    ,12.7    
近畿,66    ,50.0    ,33.3    ,16.7    
中国・四国,44    ,61.4    ,27.3    ,11.4    
九州・沖縄,30    ,56.7    ,23.3    ,20.0    
〔都市規模〕,,,,
大都市（政令指定都市）,114    ,58.8    ,27.2    ,14.0    
人口２０万人以上の市,97    ,50.5    ,40.2    ,9.3    
人口１０万人以上の市,64    ,54.7    ,35.9    ,9.4    
人口１０万人未満の市,77    ,58.4    ,26.0    ,15.6    
郡部（町村）,28    ,64.3    ,21.4    ,14.3    
〔都道府県〕,,,,
北海道,31    ,71.0    ,16.1    ,12.9    
青森県,3    ,33.3    ,66.7    ,-
岩手県,3    ,66.7    ,33.3    ,-
宮城県,3    ,-,100.0    ,-
秋田県,6    ,66.7    ,33.3    ,-
山形県,3    ,33.3    ,33.3    ,33.3    
福島県,3    ,33.3    ,66.7    ,-
茨城県,10    ,70.0    ,20.0    ,10.0    
栃木県,5    ,100.0    ,-,-
群馬県,4    ,25.0    ,75.0    ,-
埼玉県,20    ,60.0    ,40.0    ,-
千葉県,19    ,36.8    ,42.1    ,21.1    
東京都,35    ,62.9    ,31.4    ,5.7    
神奈川県,21    ,52.4    ,38.1    ,9.5    
新潟県,4    ,75.0    ,25.0    ,-
富山県,6    ,66.7    ,33.3    ,-
石川県,5    ,20.0    ,60.0    ,20.0    
福井県,2    ,100.0    ,-,-
山梨県,3    ,33.3    ,-,66.7    
長野県,7    ,28.6    ,57.1    ,14.3    
岐阜県,8    ,62.5    ,12.5    ,25.0    
静岡県,13    ,76.9    ,15.4    ,7.7    
愛知県,22    ,50.0    ,36.4    ,13.6    
三重県,4    ,50.0    ,25.0    ,25.0    
滋賀県,4    ,50.0    ,50.0    ,-
京都府,6    ,50.0    ,33.3    ,16.7    
大阪府,31    ,48.4    ,22.6    ,29.0    
兵庫県,18    ,61.1    ,38.9    ,-
奈良県,6    ,16.7    ,66.7    ,16.7    
和歌山県,1    ,100.0    ,-,-
鳥取県,2    ,50.0    ,-,50.0    
島根県,-,-,-,-
岡山県,12    ,58.3    ,41.7    ,-
広島県,12    ,58.3    ,33.3    ,8.3    
山口県,8    ,62.5    ,12.5    ,25.0    
徳島県,3    ,33.3    ,33.3    ,33.3    
香川県,2    ,100.0    ,-,-
愛媛県,3    ,66.7    ,33.3    ,-
高知県,2    ,100.0    ,-,-
福岡県,12    ,83.3    ,8.3    ,8.3    
佐賀県,1    ,-,100.0    ,-
長崎県,4    ,-,50.0    ,50.0    
熊本県,5    ,40.0    ,20.0    ,40.0    
大分県,1    ,100.0    ,-,-
宮崎県,3    ,66.7    ,33.3    ,-
鹿児島県,1    ,100.0    ,-,-
沖縄県,3    ,33.3    ,33.3    ,33.3    
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,203    ,63.1    ,28.1    ,8.9    
格安スマートフォン,3    ,66.7    ,-,33.3    
機能限定・子供向けスマートフォン,3    ,-,33.3    ,66.7    
契約切れスマートフォン,15    ,60.0    ,33.3    ,6.7    
携帯電話,54    ,57.4    ,33.3    ,9.3    
機能限定電話・子ども向け携帯電話,29    ,55.2    ,31.0    ,13.8    
ノートパソコン,46    ,65.2    ,28.3    ,6.5    
デスクトップパソコン,380    ,56.3    ,31.3    ,12.4    
タブレット,78    ,64.1    ,24.4    ,11.5    
学習用タブレット,30    ,50.0    ,23.3    ,26.7    
子供向け娯楽用タブレット,1    ,-,100.0    ,-
携帯音楽プレイヤー,140    ,55.7    ,31.4    ,12.9    
携帯ゲーム機,192    ,56.3    ,30.7    ,13.0    
据置型ゲーム機,134    ,53.7    ,32.8    ,13.4    
インターネット接続テレビ,34    ,67.6    ,23.5    ,8.8    
利用している（計）,380    ,56.3    ,31.3    ,12.4    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,216    ,62.0    ,27.8    ,10.2    
Ｂ携帯電話（計）,80    ,56.3    ,33.8    ,10.0    
Ｃパソコン（計）,380    ,56.3    ,31.3    ,12.4    
