,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,
〔回答票３〕Ｑ３（Ａ１スマホ～Ｇ１インターネット接続テレビ計）あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,
,該当数,コミニュケーション（計）,ニュース（計）,情報検索（計）,地図・ナビゲーション（計）,音楽視聴（計）,動画視聴（計）,電子書籍（計）,ゲーム（計）,ショッピング・オークション（計）,その他（計）,わからない（計）
小学生（計）,572    ,28.7    ,9.1    ,48.4    ,6.1    ,28.7    ,53.7    ,3.0    ,73.8    ,4.5    ,8.9    ,4.2    
  ルールを決めている（計）,424    ,29.2    ,10.6    ,51.9    ,6.8    ,28.5    ,56.1    ,2.8    ,74.8    ,4.7    ,9.7    ,3.3    
  特にルールを決めていない,135    ,29.6    ,4.4    ,40.7    ,4.4    ,31.1    ,46.7    ,3.7    ,72.6    ,3.7    ,6.7    ,5.9    
  わからない,13    ,-,7.7    ,15.4    ,-,7.7    ,46.2    ,-,53.8    ,7.7    ,7.7    ,15.4    
中学生（計）,1055    ,64.6    ,20.5    ,60.0    ,21.9    ,65.2    ,68.8    ,11.8    ,68.7    ,7.6    ,7.3    ,2.5    
  ルールを決めている（計）,731    ,65.5    ,21.3    ,62.2    ,22.7    ,66.2    ,70.3    ,13.1    ,68.4    ,7.8    ,8.1    ,2.6    
  特にルールを決めていない,315    ,63.2    ,18.7    ,55.9    ,20.6    ,63.8    ,66.7    ,8.6    ,69.8    ,7.3    ,5.7    ,1.9    
  わからない,9    ,44.4    ,11.1    ,22.2    ,-,33.3    ,22.2    ,11.1    ,55.6    ,-,-,11.1    
高校生（計）,965    ,89.6    ,37.8    ,73.2    ,43.9    ,76.4    ,78.3    ,16.4    ,71.7    ,19.0    ,5.8    ,1.8    
  ルールを決めている（計）,488    ,90.6    ,43.9    ,76.2    ,49.8    ,76.0    ,80.3    ,18.9    ,74.6    ,18.6    ,6.8    ,2.0    
  特にルールを決めていない,472    ,88.6    ,31.8    ,70.3    ,37.9    ,77.1    ,76.5    ,13.8    ,68.6    ,19.5    ,4.9    ,1.5    
  わからない,5    ,100.0    ,20.0    ,40.0    ,40.0    ,40.0    ,60.0    ,20.0    ,80.0    ,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,
  インターネット利用（計）,2615    ,66.2    ,24.4    ,62.2    ,26.8    ,61.5    ,69.0    ,11.6    ,71.0    ,11.4    ,7.1    ,2.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,572    ,28.7    ,9.1    ,48.4    ,6.1    ,28.7    ,53.7    ,3.0    ,73.8    ,4.5    ,8.9    ,4.2    
  インターネット利用（計）,572    ,28.7    ,9.1    ,48.4    ,6.1    ,28.7    ,53.7    ,3.0    ,73.8    ,4.5    ,8.9    ,4.2    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,1055    ,64.6    ,20.5    ,60.0    ,21.9    ,65.2    ,68.8    ,11.8    ,68.7    ,7.6    ,7.3    ,2.5    
  インターネット利用（計）,1055    ,64.6    ,20.5    ,60.0    ,21.9    ,65.2    ,68.8    ,11.8    ,68.7    ,7.6    ,7.3    ,2.5    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,965    ,89.6    ,37.8    ,73.2    ,43.9    ,76.4    ,78.3    ,16.4    ,71.7    ,19.0    ,5.8    ,1.8    
  インターネット利用（計）,965    ,89.6    ,37.8    ,73.2    ,43.9    ,76.4    ,78.3    ,16.4    ,71.7    ,19.0    ,5.8    ,1.8    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,
  １人以上いる,1411    ,67.5    ,24.3    ,62.6    ,27.2    ,63.7    ,70.0    ,10.6    ,70.4    ,11.9    ,5.9    ,2.3    
  いない,1204    ,64.8    ,24.5    ,61.7    ,26.3    ,58.8    ,67.8    ,12.8    ,71.6    ,10.9    ,8.5    ,2.9    
小学生（計）,572    ,28.7    ,9.1    ,48.4    ,6.1    ,28.7    ,53.7    ,3.0    ,73.8    ,4.5    ,8.9    ,4.2    
  １人以上いる,263    ,26.2    ,8.4    ,45.2    ,3.8    ,31.9    ,55.9    ,2.3    ,74.5    ,4.6    ,6.5    ,3.8    
  いない,309    ,30.7    ,9.7    ,51.1    ,8.1    ,25.9    ,51.8    ,3.6    ,73.1    ,4.5    ,11.0    ,4.5    
中学生（計）,1055    ,64.6    ,20.5    ,60.0    ,21.9    ,65.2    ,68.8    ,11.8    ,68.7    ,7.6    ,7.3    ,2.5    
  １人以上いる,580    ,64.5    ,19.0    ,60.0    ,20.3    ,65.0    ,67.9    ,8.8    ,66.4    ,6.6    ,5.3    ,1.9    
  いない,475    ,64.8    ,22.3    ,60.0    ,23.8    ,65.5    ,69.9    ,15.4    ,71.6    ,8.8    ,9.7    ,3.2    
高校生（計）,965    ,89.6    ,37.8    ,73.2    ,43.9    ,76.4    ,78.3    ,16.4    ,71.7    ,19.0    ,5.8    ,1.8    
  １人以上いる,553    ,89.7    ,37.3    ,73.6    ,44.7    ,76.9    ,79.2    ,15.9    ,72.5    ,20.1    ,6.1    ,2.0    
  いない,412    ,89.6    ,38.6    ,72.6    ,43.0    ,75.7    ,77.2    ,17.0    ,70.6    ,17.5    ,5.3    ,1.5    
〔地域〕,,,,,,,,,,,,
北海道・東北,323    ,70.9    ,23.8    ,61.6    ,20.7    ,60.4    ,70.0    ,11.5    ,74.6    ,10.2    ,3.1    ,1.2    
北関東,414    ,68.1    ,24.6    ,64.7    ,29.7    ,61.1    ,70.5    ,13.3    ,72.2    ,10.6    ,9.4    ,2.7    
南関東,379    ,68.9    ,29.8    ,64.9    ,33.5    ,63.9    ,68.1    ,11.1    ,71.0    ,13.2    ,7.9    ,3.4    
東海・北陸・信越,549    ,61.2    ,20.0    ,61.0    ,26.6    ,60.3    ,68.1    ,11.3    ,70.1    ,11.5    ,7.5    ,2.4    
近畿,424    ,67.0    ,22.6    ,60.1    ,25.5    ,60.1    ,67.5    ,10.1    ,71.5    ,9.4    ,8.0    ,2.8    
中国・四国,249    ,67.5    ,28.9    ,63.5    ,21.7    ,61.0    ,71.1    ,13.3    ,65.5    ,12.4    ,5.2    ,2.0    
九州・沖縄,277    ,62.1    ,24.5    ,59.6    ,27.4    ,64.6    ,69.0    ,11.2    ,70.8    ,13.7    ,6.5    ,3.2    
〔都市規模〕,,,,,,,,,,,,
大都市（政令指定都市）,680    ,70.3    ,26.9    ,65.1    ,32.4    ,59.6    ,69.0    ,10.0    ,69.4    ,11.5    ,8.2    ,3.2    
人口２０万人以上の市,652    ,63.2    ,25.9    ,63.5    ,27.0    ,62.3    ,72.1    ,12.0    ,73.8    ,11.5    ,6.0    ,2.1    
人口１０万人以上の市,444    ,69.1    ,26.1    ,63.1    ,28.6    ,59.2    ,66.0    ,12.8    ,70.7    ,13.1    ,8.3    ,3.2    
人口１０万人未満の市,608    ,63.2    ,19.7    ,60.2    ,20.9    ,65.0    ,69.1    ,12.3    ,70.9    ,11.5    ,6.9    ,2.0    
郡部（町村）,231    ,65.4    ,21.6    ,53.2    ,22.1    ,59.7    ,65.8    ,10.8    ,68.4    ,7.8    ,4.8    ,2.2    
〔都道府県〕,,,,,,,,,,,,
北海道,120    ,70.8    ,24.2    ,66.7    ,20.0    ,63.3    ,79.2    ,9.2    ,70.8    ,9.2    ,3.3    ,1.7    
青森県,37    ,78.4    ,35.1    ,54.1    ,32.4    ,64.9    ,86.5    ,21.6    ,83.8    ,13.5    ,2.7    ,2.7    
岩手県,19    ,63.2    ,15.8    ,52.6    ,10.5    ,52.6    ,47.4    ,10.5    ,89.5    ,5.3    ,-,-
宮城県,67    ,76.1    ,23.9    ,56.7    ,19.4    ,50.7    ,56.7    ,10.4    ,62.7    ,7.5    ,3.0    ,-
秋田県,25    ,88.0    ,24.0    ,84.0    ,24.0    ,64.0    ,68.0    ,24.0    ,92.0    ,20.0    ,-,4.0    
山形県,23    ,69.6    ,13.0    ,43.5    ,21.7    ,65.2    ,47.8    ,8.7    ,82.6    ,13.0    ,-,-
福島県,32    ,43.8    ,21.9    ,62.5    ,15.6    ,62.5    ,75.0    ,3.1    ,75.0    ,9.4    ,9.4    ,-
茨城県,69    ,60.9    ,23.2    ,56.5    ,15.9    ,60.9    ,69.6    ,7.2    ,66.7    ,5.8    ,4.3    ,1.4    
栃木県,48    ,64.6    ,25.0    ,68.8    ,29.2    ,72.9    ,75.0    ,14.6    ,79.2    ,14.6    ,10.4    ,4.2    
群馬県,30    ,53.3    ,26.7    ,63.3    ,30.0    ,53.3    ,66.7    ,6.7    ,56.7    ,10.0    ,3.3    ,3.3    
埼玉県,122    ,74.6    ,21.3    ,65.6    ,32.0    ,58.2    ,70.5    ,11.5    ,76.2    ,9.0    ,11.5    ,3.3    
千葉県,145    ,70.3    ,27.6    ,66.9    ,34.5    ,61.4    ,70.3    ,18.6    ,72.4    ,13.1    ,11.0    ,2.1    
東京都,184    ,67.4    ,33.2    ,70.7    ,38.0    ,62.0    ,69.6    ,12.5    ,75.0    ,14.1    ,4.9    ,2.7    
神奈川県,166    ,69.3    ,28.3    ,63.3    ,30.7    ,65.7    ,66.3    ,10.8    ,66.9    ,12.0    ,9.0    ,4.8    
新潟県,48    ,68.8    ,22.9    ,66.7    ,18.8    ,54.2    ,64.6    ,8.3    ,72.9    ,18.8    ,10.4    ,-
富山県,48    ,47.9    ,4.2    ,52.1    ,18.8    ,45.8    ,70.8    ,10.4    ,50.0    ,2.1    ,4.2    ,2.1    
石川県,24    ,66.7    ,4.2    ,54.2    ,25.0    ,62.5    ,54.2    ,-,75.0    ,20.8    ,-,12.5    
福井県,26    ,76.9    ,30.8    ,61.5    ,19.2    ,65.4    ,88.5    ,19.2    ,73.1    ,11.5    ,7.7    ,-
山梨県,29    ,75.9    ,17.2    ,37.9    ,20.7    ,65.5    ,69.0    ,3.4    ,69.0    ,13.8    ,20.7    ,-
長野県,43    ,46.5    ,32.6    ,65.1    ,25.6    ,60.5    ,69.8    ,11.6    ,79.1    ,2.3    ,7.0    ,-
