,,,,,
＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,
〔回答票２〕Ｑ２（Ａ１スマホ～Ｇ１インターネット接続テレビ計）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている（計）,使える機種・設定で、使っていない（計）,使えない機種・設定で、使っていない（計）,わからない（計）
東海・北陸・信越,634    ,86.6    ,29.2    ,27.1    ,7.4    
近畿,528    ,80.3    ,35.6    ,32.2    ,8.9    
中国・四国,296    ,84.1    ,26.7    ,25.0    ,10.1    
九州・沖縄,357    ,77.6    ,23.2    ,33.3    ,12.3    
〔都市規模〕,,,,,
大都市（政令指定都市）,792    ,85.9    ,29.8    ,30.3    ,10.0    
人口２０万人以上の市,802    ,81.3    ,29.8    ,31.2    ,8.6    
人口１０万人以上の市,533    ,83.3    ,29.8    ,28.7    ,8.8    
人口１０万人未満の市,731    ,83.2    ,29.4    ,28.7    ,9.4    
郡部（町村）,284    ,81.3    ,26.1    ,27.8    ,7.4    
〔都道府県〕,,,,,
北海道,143    ,83.9    ,29.4    ,30.8    ,6.3    
青森県,49    ,75.5    ,22.4    ,36.7    ,10.2    
岩手県,25    ,76.0    ,36.0    ,24.0    ,4.0    
宮城県,77    ,87.0    ,23.4    ,23.4    ,11.7    
秋田県,25    ,100.0    ,8.0    ,4.0    ,8.0    
山形県,27    ,85.2    ,14.8    ,40.7    ,11.1    
福島県,41    ,78.0    ,26.8    ,26.8    ,4.9    
茨城県,79    ,87.3    ,31.6    ,24.1    ,6.3    
栃木県,61    ,78.7    ,26.2    ,19.7    ,4.9    
群馬県,32    ,93.8    ,18.8    ,40.6    ,6.3    
埼玉県,147    ,83.0    ,26.5    ,25.9    ,10.2    
千葉県,163    ,89.0    ,34.4    ,32.5    ,6.1    
東京都,227    ,81.1    ,34.8    ,37.9    ,13.2    
神奈川県,196    ,84.7    ,33.7    ,30.1    ,9.2    
新潟県,57    ,84.2    ,43.9    ,24.6    ,3.5    
富山県,52    ,92.3    ,19.2    ,25.0    ,3.8    
石川県,27    ,88.9    ,29.6    ,18.5    ,14.8    
福井県,28    ,92.9    ,46.4    ,35.7    ,7.1    
山梨県,35    ,82.9    ,11.4    ,22.9    ,8.6    
長野県,50    ,86.0    ,56.0    ,20.0    ,16.0    
岐阜県,56    ,83.9    ,19.6    ,28.6    ,14.3    
静岡県,95    ,85.3    ,24.2    ,26.3    ,7.4    
愛知県,217    ,84.8    ,27.6    ,29.0    ,4.6    
三重県,52    ,92.3    ,13.5    ,30.8    ,7.7    
滋賀県,39    ,74.4    ,25.6    ,38.5    ,5.1    
京都府,70    ,82.9    ,35.7    ,30.0    ,5.7    
大阪府,223    ,83.4    ,34.5    ,31.8    ,8.5    
兵庫県,139    ,77.0    ,39.6    ,28.8    ,12.9    
奈良県,31    ,80.6    ,58.1    ,41.9    ,6.5    
和歌山県,26    ,73.1    ,11.5    ,38.5    ,7.7    
鳥取県,12    ,83.3    ,8.3    ,-,8.3    
島根県,17    ,82.4    ,11.8    ,11.8    ,-
岡山県,64    ,89.1    ,29.7    ,28.1    ,9.4    
広島県,67    ,92.5    ,22.4    ,25.4    ,6.0    
山口県,37    ,83.8    ,13.5    ,18.9    ,18.9    
徳島県,23    ,78.3    ,39.1    ,39.1    ,13.0    
香川県,32    ,84.4    ,46.9    ,9.4    ,9.4    
愛媛県,29    ,72.4    ,24.1    ,44.8    ,20.7    
高知県,15    ,60.0    ,40.0    ,33.3    ,-
福岡県,128    ,81.3    ,19.5    ,25.0    ,12.5    
佐賀県,18    ,83.3    ,22.2    ,44.4    ,16.7    
長崎県,35    ,71.4    ,37.1    ,60.0    ,11.4    
熊本県,43    ,79.1    ,25.6    ,32.6    ,27.9    
大分県,26    ,57.7    ,30.8    ,46.2    ,3.8    
宮崎県,31    ,90.3    ,6.5    ,22.6    ,3.2    
鹿児島県,32    ,68.8    ,43.8    ,15.6    ,-
沖縄県,44    ,77.3    ,13.6    ,45.5    ,15.9    
Ｑ１〔機器の利用状況〕,,,,,
スマートフォン,1541    ,96.9    ,25.3    ,20.6    ,7.8    
格安スマートフォン,22    ,90.9    ,27.3    ,18.2    ,18.2    
機能限定・子供向けスマートフォン,60    ,76.7    ,26.7    ,33.3    ,26.7    
契約切れスマートフォン,100    ,97.0    ,37.0    ,30.0    ,13.0    
携帯電話,392    ,75.0    ,45.7    ,48.2    ,13.0    
機能限定電話・子ども向け携帯電話,307    ,58.3    ,33.2    ,74.6    ,15.6    
ノートパソコン,846    ,97.6    ,33.8    ,30.3    ,8.7    
デスクトップパソコン,409    ,97.8    ,33.0    ,32.0    ,8.3    
タブレット,483    ,94.8    ,37.3    ,34.2    ,8.3    
学習用タブレット,202    ,90.1    ,43.1    ,41.6    ,13.9    
子供向け娯楽用タブレット,9    ,77.8    ,44.4    ,55.6    ,-
携帯音楽プレイヤー,875    ,91.5    ,39.8    ,44.7    ,11.1    
携帯ゲーム機,1495    ,81.2    ,43.7    ,38.7    ,12.6    
