,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔G-1インターネット接続テレビ〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,58    ,44.8    ,27.6    ,27.6    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,58    ,44.8    ,27.6    ,27.6    
ＷＥＢ調査,-,-,-,-
〔性・学校種別〕,,,,
小学生（計）,11    ,27.3    ,18.2    ,54.5    
  男子,4    ,25.0    ,-,75.0    
  女子,7    ,28.6    ,28.6    ,42.9    
中学生（計）,30    ,50.0    ,30.0    ,20.0    
  男子,17    ,58.8    ,17.6    ,23.5    
  女子,13    ,38.5    ,46.2    ,15.4    
高校生（計）,17    ,47.1    ,29.4    ,23.5    
  男子,6    ,33.3    ,16.7    ,50.0    
  女子,11    ,54.5    ,36.4    ,9.1    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,53    ,47.2    ,26.4    ,26.4    
  教えてもらったり学んだりしたことはない,3    ,33.3    ,-,66.7    
  わからない,2    ,-,100.0    ,-
小学生（計）,11    ,27.3    ,18.2    ,54.5    
  説明を受けたり学んだりした,10    ,30.0    ,20.0    ,50.0    
  教えてもらったり学んだりしたことはない,1    ,-,-,100.0    
  わからない,-,-,-,-
中学生（計）,30    ,50.0    ,30.0    ,20.0    
  説明を受けたり学んだりした,27    ,51.9    ,29.6    ,18.5    
  教えてもらったり学んだりしたことはない,2    ,50.0    ,-,50.0    
  わからない,1    ,-,100.0    ,-
高校生（計）,17    ,47.1    ,29.4    ,23.5    
  説明を受けたり学んだりした,16    ,50.0    ,25.0    ,25.0    
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,1    ,-,100.0    ,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,36    ,36.1    ,33.3    ,30.6    
  特にルールを決めていない,21    ,61.9    ,19.0    ,19.0    
  わからない,1    ,-,-,100.0    
小学生（計）,11    ,27.3    ,18.2    ,54.5    
  ルールを決めている（計）,9    ,22.2    ,22.2    ,55.6    
  特にルールを決めていない,1    ,100.0    ,-,-
  わからない,1    ,-,-,100.0    
中学生（計）,30    ,50.0    ,30.0    ,20.0    
  ルールを決めている（計）,19    ,42.1    ,36.8    ,21.1    
  特にルールを決めていない,11    ,63.6    ,18.2    ,18.2    
  わからない,-,-,-,-
高校生（計）,17    ,47.1    ,29.4    ,23.5    
  ルールを決めている（計）,8    ,37.5    ,37.5    ,25.0    
  特にルールを決めていない,9    ,55.6    ,22.2    ,22.2    
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,58    ,44.8    ,27.6    ,27.6    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,11    ,27.3    ,18.2    ,54.5    
  インターネット利用（計）,11    ,27.3    ,18.2    ,54.5    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,30    ,50.0    ,30.0    ,20.0    
  インターネット利用（計）,30    ,50.0    ,30.0    ,20.0    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,17    ,47.1    ,29.4    ,23.5    
  インターネット利用（計）,17    ,47.1    ,29.4    ,23.5    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,31    ,48.4    ,22.6    ,29.0    
  いない,27    ,40.7    ,33.3    ,25.9    
小学生（計）,11    ,27.3    ,18.2    ,54.5    
  １人以上いる,4    ,25.0    ,-,75.0    
  いない,7    ,28.6    ,28.6    ,42.9    
中学生（計）,30    ,50.0    ,30.0    ,20.0    
  １人以上いる,14    ,57.1    ,28.6    ,14.3    
  いない,16    ,43.8    ,31.3    ,25.0    
高校生（計）,17    ,47.1    ,29.4    ,23.5    
  １人以上いる,13    ,46.2    ,23.1    ,30.8    
  いない,4    ,50.0    ,50.0    ,-
〔地域〕,,,,
北海道・東北,8    ,37.5    ,25.0    ,37.5    
北関東,5    ,40.0    ,20.0    ,40.0    
南関東,13    ,46.2    ,15.4    ,38.5    
東海・北陸・信越,10    ,30.0    ,50.0    ,20.0    
近畿,13    ,53.8    ,30.8    ,15.4    
中国・四国,5    ,60.0    ,20.0    ,20.0    
九州・沖縄,4    ,50.0    ,25.0    ,25.0    
〔都市規模〕,,,,
大都市（政令指定都市）,23    ,52.2    ,30.4    ,17.4    
人口２０万人以上の市,20    ,30.0    ,30.0    ,40.0    
人口１０万人以上の市,8    ,62.5    ,25.0    ,12.5    
人口１０万人未満の市,7    ,42.9    ,14.3    ,42.9    
郡部（町村）,-,-,-,-
〔都道府県〕,,,,
北海道,4    ,50.0    ,25.0    ,25.0    
青森県,-,-,-,-
岩手県,-,-,-,-
宮城県,-,-,-,-
秋田県,1    ,100.0    ,-,-
山形県,-,-,-,-
福島県,3    ,-,33.3    ,66.7    
茨城県,-,-,-,-
栃木県,-,-,-,-
群馬県,-,-,-,-
埼玉県,2    ,-,50.0    ,50.0    
千葉県,3    ,66.7    ,-,33.3    
東京都,4    ,50.0    ,25.0    ,25.0    
神奈川県,8    ,50.0    ,12.5    ,37.5    
新潟県,-,-,-,-
富山県,-,-,-,-
石川県,1    ,-,-,100.0    
福井県,2    ,100.0    ,-,-
山梨県,1    ,-,-,100.0    
長野県,1    ,-,100.0    ,-
岐阜県,-,-,-,-
静岡県,2    ,50.0    ,-,50.0    
愛知県,4    ,-,100.0    ,-
三重県,-,-,-,-
滋賀県,2    ,-,50.0    ,50.0    
京都府,1    ,100.0    ,-,-
大阪府,6    ,50.0    ,33.3    ,16.7    
兵庫県,3    ,66.7    ,33.3    ,-
奈良県,-,-,-,-
和歌山県,1    ,100.0    ,-,-
鳥取県,-,-,-,-
島根県,-,-,-,-
岡山県,3    ,66.7    ,33.3    ,-
広島県,-,-,-,-
山口県,-,-,-,-
徳島県,-,-,-,-
香川県,1    ,-,-,100.0    
愛媛県,-,-,-,-
高知県,1    ,100.0    ,-,-
福岡県,1    ,100.0    ,-,-
佐賀県,-,-,-,-
長崎県,2    ,-,50.0    ,50.0    
熊本県,-,-,-,-
大分県,-,-,-,-
宮崎県,1    ,100.0    ,-,-
鹿児島県,-,-,-,-
沖縄県,-,-,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,34    ,55.9    ,20.6    ,23.5    
格安スマートフォン,1    ,-,100.0    ,-
機能限定・子供向けスマートフォン,1    ,-,-,100.0    
契約切れスマートフォン,5    ,60.0    ,40.0    ,-
携帯電話,10    ,30.0    ,60.0    ,10.0    
機能限定電話・子ども向け携帯電話,2    ,-,100.0    ,-
ノートパソコン,20    ,55.0    ,20.0    ,25.0    
デスクトップパソコン,25    ,52.0    ,28.0    ,20.0    
タブレット,14    ,50.0    ,28.6    ,21.4    
学習用タブレット,2    ,-,50.0    ,50.0    
子供向け娯楽用タブレット,-,-,-,-
携帯音楽プレイヤー,24    ,58.3    ,29.2    ,12.5    
携帯ゲーム機,34    ,44.1    ,29.4    ,26.5    
据置型ゲーム機,23    ,47.8    ,30.4    ,21.7    
インターネット接続テレビ,58    ,44.8    ,27.6    ,27.6    
利用している（計）,58    ,44.8    ,27.6    ,27.6    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,36    ,55.6    ,19.4    ,25.0    
Ｂ携帯電話（計）,12    ,25.0    ,66.7    ,8.3    
Ｃパソコン（計）,41    ,48.8    ,26.8    ,24.4    
Ｄタブレット（計）,15    ,46.7    ,33.3    ,20.0    
Ｅ携帯音楽プレイヤー,24    ,58.3    ,29.2    ,12.5    
Ｆゲーム機（計）,41    ,43.9    ,26.8    ,29.3    
Ｇインターネット接続テレビ,58    ,44.8    ,27.6    ,27.6    
Ａ・Ｂスマートフォン・携帯電話（計）,45    ,48.9    ,28.9    ,22.2    
Ａ・Ｂ機能限定や子供向け（計）,3    ,-,66.7    ,33.3    
Ａ・Ｂ機能限定や子供向け以外（計）,44    ,50.0    ,29.5    ,20.5    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,
スマートフォン,34    ,55.9    ,20.6    ,23.5    
格安スマートフォン,1    ,-,100.0    ,-
機能限定・子供向けスマートフォン,1    ,-,-,100.0    
