,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「１５」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔G-1インターネット接続テレビ〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,114    ,50.9    ,38.6    ,4.4    ,6.1    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,110    ,52.7    ,37.3    ,3.6    ,6.4    
ＷＥＢ調査,4    ,-,75.0    ,25.0    ,-
〔性・学校種別〕,,,,,
小学生（計）,26    ,42.3    ,38.5    ,7.7    ,11.5    
  男子,13    ,30.8    ,53.8    ,-,15.4    
  女子,13    ,53.8    ,23.1    ,15.4    ,7.7    
中学生（計）,51    ,58.8    ,35.3    ,2.0    ,3.9    
  男子,29    ,58.6    ,34.5    ,3.4    ,3.4    
  女子,22    ,59.1    ,36.4    ,-,4.5    
高校生（計）,37    ,45.9    ,43.2    ,5.4    ,5.4    
  男子,10    ,60.0    ,40.0    ,-,-
  女子,27    ,40.7    ,44.4    ,7.4    ,7.4    
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,106    ,50.0    ,38.7    ,4.7    ,6.6    
  教えてもらったり学んだりしたことはない,5    ,60.0    ,40.0    ,-,-
  わからない,3    ,66.7    ,33.3    ,-,-
小学生（計）,26    ,42.3    ,38.5    ,7.7    ,11.5    
  説明を受けたり学んだりした,23    ,43.5    ,34.8    ,8.7    ,13.0    
  教えてもらったり学んだりしたことはない,3    ,33.3    ,66.7    ,-,-
  わからない,-,-,-,-,-
中学生（計）,51    ,58.8    ,35.3    ,2.0    ,3.9    
  説明を受けたり学んだりした,47    ,57.4    ,36.2    ,2.1    ,4.3    
  教えてもらったり学んだりしたことはない,2    ,100.0    ,-,-,-
  わからない,2    ,50.0    ,50.0    ,-,-
高校生（計）,37    ,45.9    ,43.2    ,5.4    ,5.4    
  説明を受けたり学んだりした,36    ,44.4    ,44.4    ,5.6    ,5.6    
  教えてもらったり学んだりしたことはない,-,-,-,-,-
  わからない,1    ,100.0    ,-,-,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,72    ,50.0    ,37.5    ,5.6    ,6.9    
  特にルールを決めていない,35    ,60.0    ,34.3    ,2.9    ,2.9    
  わからない,2    ,50.0    ,50.0    ,-,-
小学生（計）,23    ,47.8    ,34.8    ,8.7    ,8.7    
  ルールを決めている（計）,18    ,50.0    ,27.8    ,11.1    ,11.1    
  特にルールを決めていない,3    ,33.3    ,66.7    ,-,-
  わからない,2    ,50.0    ,50.0    ,-,-
中学生（計）,50    ,60.0    ,34.0    ,2.0    ,4.0    
