,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「９」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔D-1タブレット〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
  １人以上いる,579    ,8.1    ,0.7    ,0.2    ,0.2    ,90.8    
  いない,428    ,10.3    ,0.9    ,-,-,88.8    
〔地域〕,,,,,,
北海道・東北,430    ,10.2    ,0.7    ,0.2    ,0.2    ,88.6    
北関東,540    ,11.9    ,0.7    ,-,0.2    ,87.2    
南関東,485    ,15.3    ,1.2    ,0.2    ,0.4    ,82.9    
東海・北陸・信越,693    ,12.7    ,0.9    ,-,0.7    ,85.7    
近畿,554    ,12.6    ,1.3    ,0.2    ,0.5    ,85.4    
中国・四国,326    ,15.0    ,1.2    ,0.3    ,-,83.4    
九州・沖縄,413    ,10.9    ,0.5    ,0.2    ,-,88.4    
〔都市規模〕,,,,,,
大都市（政令指定都市）,850    ,13.8    ,0.8    ,-,0.2    ,85.2    
人口２０万人以上の市,894    ,13.2    ,1.3    ,0.1    ,0.3    ,85.0    
人口１０万人以上の市,592    ,12.2    ,0.7    ,0.5    ,0.2    ,86.5    
人口１０万人未満の市,796    ,12.8    ,1.0    ,0.1    ,0.5    ,85.6    
郡部（町村）,309    ,8.1    ,0.3    ,-,0.6    ,90.9    
〔都道府県〕,,,,,,
北海道,162    ,12.3    ,-,0.6    ,-,87.0    
青森県,60    ,5.0    ,-,-,1.7    ,93.3    
岩手県,30    ,16.7    ,3.3    ,-,-,80.0    
宮城県,80    ,6.3    ,-,-,-,93.8    
秋田県,26    ,7.7    ,3.8    ,-,-,88.5    
山形県,29    ,10.3    ,3.4    ,-,-,86.2    
福島県,43    ,14.0    ,-,-,-,86.0    
茨城県,82    ,12.2    ,-,-,-,87.8    
栃木県,69    ,14.5    ,-,-,1.4    ,84.1    
群馬県,41    ,22.0    ,-,-,-,78.0    
埼玉県,174    ,9.2    ,1.1    ,-,-,89.7    
千葉県,174    ,10.9    ,1.1    ,-,-,87.9    
東京都,237    ,16.5    ,1.3    ,0.4    ,-,81.9    
神奈川県,207    ,16.4    ,1.4    ,-,0.5    ,81.6    
新潟県,66    ,10.6    ,1.5    ,-,1.5    ,86.4    
富山県,52    ,11.5    ,-,-,-,88.5    
石川県,28    ,17.9    ,3.6    ,-,7.1    ,71.4    
福井県,34    ,26.5    ,-,-,-,73.5    
山梨県,41    ,2.4    ,-,-,2.4    ,95.1    
長野県,58    ,13.8    ,-,-,-,86.2    
岐阜県,56    ,8.9    ,-,-,3.6    ,87.5    
静岡県,104    ,15.4    ,1.0    ,-,-,83.7    
愛知県,241    ,10.0    ,1.2    ,-,-,88.8    
三重県,54    ,14.8    ,-,-,-,85.2    
滋賀県,44    ,4.5    ,-,-,-,95.5    
京都府,72    ,13.9    ,2.8    ,-,-,83.3    
大阪府,233    ,14.2    ,-,-,0.4    ,85.4    
兵庫県,147    ,11.6    ,3.4    ,-,1.4    ,83.7    
奈良県,31    ,22.6    ,-,-,-,77.4    
和歌山県,27    ,3.7    ,-,3.7    ,-,92.6    
鳥取県,14    ,7.1    ,-,-,-,92.9    
島根県,21    ,-,-,4.8    ,-,95.2    
岡山県,65    ,26.2    ,-,-,-,73.8    
広島県,72    ,18.1    ,1.4    ,-,-,80.6    
山口県,45    ,11.1    ,-,-,-,88.9    
徳島県,26    ,19.2    ,-,-,-,80.8    
香川県,33    ,9.1    ,3.0    ,-,-,87.9    
