,,,,,
＜Ｑ１の該当機器を利用している（Ｑ１で「６」を回答）方に＞,,,,,
〔回答票２〕Ｑ２〔B-2機能限定・子供向け携帯電話〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない
＊＊【　総　数　】＊＊,307    ,9.8    ,12.1    ,69.7    ,8.5    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,303    ,9.9    ,12.2    ,69.3    ,8.6    
ＷＥＢ調査,4    ,-,-,100.0    ,-
〔性・学校種別〕,,,,,
小学生（計）,236    ,7.6    ,10.2    ,73.7    ,8.5    
  男子,106    ,7.5    ,9.4    ,76.4    ,6.6    
  女子,130    ,7.7    ,10.8    ,71.5    ,10.0    
中学生（計）,66    ,16.7    ,19.7    ,56.1    ,7.6    
  男子,28    ,25.0    ,25.0    ,46.4    ,3.6    
  女子,38    ,10.5    ,15.8    ,63.2    ,10.5    
高校生（計）,5    ,20.0    ,-,60.0    ,20.0    
  男子,1    ,-,-,-,100.0    
  女子,4    ,25.0    ,-,75.0    ,-
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,264    ,8.7    ,11.0    ,71.6    ,8.7    
  教えてもらったり学んだりしたことはない,36    ,16.7    ,13.9    ,61.1    ,8.3    
  わからない,7    ,14.3    ,42.9    ,42.9    ,-
小学生（計）,236    ,7.6    ,10.2    ,73.7    ,8.5    
  説明を受けたり学んだりした,197    ,6.6    ,8.6    ,76.1    ,8.6    
  教えてもらったり学んだりしたことはない,34    ,14.7    ,14.7    ,61.8    ,8.8    
  わからない,5    ,-,40.0    ,60.0    ,-
中学生（計）,66    ,16.7    ,19.7    ,56.1    ,7.6    
  説明を受けたり学んだりした,63    ,15.9    ,19.0    ,57.1    ,7.9    
  教えてもらったり学んだりしたことはない,2    ,50.0    ,-,50.0    ,-
  わからない,1    ,-,100.0    ,-,-
高校生（計）,5    ,20.0    ,-,60.0    ,20.0    
  説明を受けたり学んだりした,4    ,-,-,75.0    ,25.0    
  教えてもらったり学んだりしたことはない,-,-,-,-,-
  わからない,1    ,100.0    ,-,-,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,134    ,13.4    ,9.7    ,71.6    ,5.2    
  特にルールを決めていない,43    ,25.6    ,14.0    ,44.2    ,16.3    
  わからない,2    ,50.0    ,-,50.0    ,-
小学生（計）,125    ,14.4    ,8.0    ,69.6    ,8.0    
  ルールを決めている（計）,95    ,12.6    ,5.3    ,76.8    ,5.3    
  特にルールを決めていない,28    ,17.9    ,17.9    ,46.4    ,17.9    
  わからない,2    ,50.0    ,-,50.0    ,-
中学生（計）,49    ,22.4    ,18.4    ,53.1    ,6.1    
