,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔A-4携帯電話の契約が切れたスマートフォン〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,73    ,6.8    ,8.2    ,24.7    ,26.0    ,17.8    ,2.7    ,2.7    ,4.1    ,6.8    ,27.4    ,91.69    ,153.1    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,73    ,6.8    ,8.2    ,24.7    ,26.0    ,17.8    ,2.7    ,2.7    ,4.1    ,6.8    ,27.4    ,91.69    ,153.1    
ＷＥＢ調査,-,-,-,-,-,-,-,-,-,-,-,-,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,26    ,3.8    ,7.7    ,30.8    ,15.4    ,23.1    ,-,3.8    ,3.8    ,11.5    ,30.8    ,120.87    ,242.1    
  男子,13    ,-,7.7    ,30.8    ,23.1    ,23.1    ,-,7.7    ,-,7.7    ,30.8    ,82.92    ,67.3    
  女子,13    ,7.7    ,7.7    ,30.8    ,7.7    ,23.1    ,-,-,7.7    ,15.4    ,30.8    ,162.27    ,347.0    
中学生（計）,37    ,-,10.8    ,21.6    ,35.1    ,18.9    ,5.4    ,2.7    ,-,5.4    ,27.0    ,75.29    ,56.5    
  男子,20    ,-,5.0    ,25.0    ,50.0    ,15.0    ,5.0    ,-,-,-,20.0    ,70.00    ,41.0    
  女子,17    ,-,17.6    ,17.6    ,17.6    ,23.5    ,5.9    ,5.9    ,-,11.8    ,35.3    ,82.33    ,73.3    
高校生（計）,10    ,40.0    ,-,20.0    ,20.0    ,-,-,-,20.0    ,-,20.0    ,82.00    ,125.3    
  男子,5    ,60.0    ,-,-,20.0    ,-,-,-,20.0    ,-,20.0    ,72.00    ,130.1    
  女子,5    ,20.0    ,-,40.0    ,20.0    ,-,-,-,20.0    ,-,20.0    ,92.00    ,134.8    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,65    ,7.7    ,9.2    ,26.2    ,24.6    ,18.5    ,3.1    ,1.5    ,4.6    ,4.6    ,27.7    ,91.21    ,158.9    
  教えてもらったり学んだりしたことはない,7    ,-,-,14.3    ,42.9    ,14.3    ,-,-,-,28.6    ,14.3    ,68.00    ,32.7    
  わからない,1    ,-,-,-,-,-,-,100.0    ,-,-,100.0    ,240.00    ,-
小学生（計）,26    ,3.8    ,7.7    ,30.8    ,15.4    ,23.1    ,-,3.8    ,3.8    ,11.5    ,30.8    ,120.87    ,242.1    
  説明を受けたり学んだりした,20    ,5.0    ,10.0    ,35.0    ,15.0    ,25.0    ,-,-,5.0    ,5.0    ,30.0    ,122.11    ,265.1    
  教えてもらったり学んだりしたことはない,5    ,-,-,20.0    ,20.0    ,20.0    ,-,-,-,40.0    ,20.0    ,73.33    ,45.1    
  わからない,1    ,-,-,-,-,-,-,100.0    ,-,-,100.0    ,240.00    ,-
中学生（計）,37    ,-,10.8    ,21.6    ,35.1    ,18.9    ,5.4    ,2.7    ,-,5.4    ,27.0    ,75.29    ,56.5    
  説明を受けたり学んだりした,36    ,-,11.1    ,22.2    ,33.3    ,19.4    ,5.6    ,2.8    ,-,5.6    ,27.8    ,75.74    ,57.3    
  教えてもらったり学んだりしたことはない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,10    ,40.0    ,-,20.0    ,20.0    ,-,-,-,20.0    ,-,20.0    ,82.00    ,125.3    
  説明を受けたり学んだりした,9    ,44.4    ,-,22.2    ,11.1    ,-,-,-,22.2    ,-,22.2    ,84.44    ,132.7    
  教えてもらったり学んだりしたことはない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,45    ,8.9    ,11.1    ,26.7    ,22.2    ,13.3    ,2.2    ,4.4    ,4.4    ,6.7    ,24.4    ,96.79    ,188.5    
  特にルールを決めていない,26    ,3.8    ,3.8    ,23.1    ,30.8    ,26.9    ,3.8    ,-,3.8    ,3.8    ,34.6    ,84.40    ,67.6    
  わからない,2    ,-,-,-,50.0    ,-,-,-,-,50.0    ,-,60.00    ,-
小学生（計）,26    ,3.8    ,7.7    ,30.8    ,15.4    ,23.1    ,-,3.8    ,3.8    ,11.5    ,30.8    ,120.87    ,242.1    
  ルールを決めている（計）,20    ,5.0    ,10.0    ,35.0    ,10.0    ,20.0    ,-,5.0    ,5.0    ,10.0    ,30.0    ,130.56    ,274.0    
  特にルールを決めていない,5    ,-,-,20.0    ,40.0    ,40.0    ,-,-,-,-,40.0    ,86.00    ,37.8    
  わからない,1    ,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,37    ,-,10.8    ,21.6    ,35.1    ,18.9    ,5.4    ,2.7    ,-,5.4    ,27.0    ,75.29    ,56.5    
  ルールを決めている（計）,20    ,-,15.0    ,25.0    ,35.0    ,10.0    ,5.0    ,5.0    ,-,5.0    ,20.0    ,71.32    ,65.3    
  特にルールを決めていない,16    ,-,6.3    ,18.8    ,31.3    ,31.3    ,6.3    ,-,-,6.3    ,37.5    ,81.33    ,46.9    
  わからない,1    ,-,-,-,100.0    ,-,-,-,-,-,-,60.00    ,-
高校生（計）,10    ,40.0    ,-,20.0    ,20.0    ,-,-,-,20.0    ,-,20.0    ,82.00    ,125.3    
  ルールを決めている（計）,5    ,60.0    ,-,-,20.0    ,-,-,-,20.0    ,-,20.0    ,72.00    ,130.1    
  特にルールを決めていない,5    ,20.0    ,-,40.0    ,20.0    ,-,-,-,20.0    ,-,20.0    ,92.00    ,134.8    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,73    ,6.8    ,8.2    ,24.7    ,26.0    ,17.8    ,2.7    ,2.7    ,4.1    ,6.8    ,27.4    ,91.69    ,153.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,26    ,3.8    ,7.7    ,30.8    ,15.4    ,23.1    ,-,3.8    ,3.8    ,11.5    ,30.8    ,120.87    ,242.1    
  インターネット利用（計）,26    ,3.8    ,7.7    ,30.8    ,15.4    ,23.1    ,-,3.8    ,3.8    ,11.5    ,30.8    ,120.87    ,242.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,37    ,-,10.8    ,21.6    ,35.1    ,18.9    ,5.4    ,2.7    ,-,5.4    ,27.0    ,75.29    ,56.5    
  インターネット利用（計）,37    ,-,10.8    ,21.6    ,35.1    ,18.9    ,5.4    ,2.7    ,-,5.4    ,27.0    ,75.29    ,56.5    
