,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票３〕Ｑ３〔A-1スマートフォン〕あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,コミニュケーション,ニュース,情報検索,地図・ナビゲーション,音楽視聴,動画視聴,電子書籍,ゲーム,ショッピング・オークション,その他,わからない,回答計
＊＊【　総　数　】＊＊,1475    ,87.6    ,29.2    ,62.4    ,37.2    ,71.3    ,72.4    ,14.8    ,71.5    ,12.0    ,2.6    ,0.2    ,461.2    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,1443    ,87.7    ,28.8    ,62.1    ,37.0    ,71.2    ,72.4    ,14.6    ,71.7    ,12.1    ,2.6    ,0.2    ,460.2    
ＷＥＢ調査,32    ,84.4    ,50.0    ,75.0    ,43.8    ,78.1    ,71.9    ,21.9    ,62.5    ,9.4    ,6.3    ,-,503.1    
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,98    ,49.0    ,11.2    ,38.8    ,11.2    ,44.9    ,57.1    ,4.1    ,71.4    ,3.1    ,-,-,290.8    
  男子,45    ,22.2    ,11.1    ,44.4    ,15.6    ,31.1    ,68.9    ,2.2    ,75.6    ,4.4    ,-,-,275.6    
  女子,53    ,71.7    ,11.3    ,34.0    ,7.5    ,56.6    ,47.2    ,5.7    ,67.9    ,1.9    ,-,-,303.8    
中学生（計）,483    ,85.5    ,22.2    ,56.5    ,29.0    ,71.6    ,72.0    ,13.7    ,71.4    ,5.6    ,2.7    ,0.2    ,430.4    
  男子,214    ,78.5    ,23.8    ,53.7    ,30.8    ,68.2    ,72.4    ,10.3    ,81.8    ,8.4    ,3.7    ,-,431.8    
  女子,269    ,91.1    ,20.8    ,58.7    ,27.5    ,74.3    ,71.7    ,16.4    ,63.2    ,3.3    ,1.9    ,0.4    ,429.4    
高校生（計）,874    ,92.8    ,35.2    ,68.6    ,44.2    ,73.9    ,74.4    ,16.5    ,71.5    ,15.8    ,3.0    ,0.2    ,496.1    
  男子,420    ,90.5    ,40.0    ,64.8    ,46.2    ,70.2    ,75.7    ,16.0    ,81.0    ,14.8    ,1.9    ,0.2    ,501.2    
  女子,454    ,94.9    ,30.8    ,72.2    ,42.3    ,77.3    ,73.1    ,17.0    ,62.8    ,16.7    ,4.0    ,0.2    ,491.4    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
